,UKF248,UKF251,UKF255,UKF260,UKF266,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.021302987909563482,,0.03148249119283571,
BMP1,0.00033183168022347985,0.003778630355461209,0.05406930278152996,-0.004575786176542072,0.14185257913459207,-0.007177743203008511,-0.018272672355765688,0.02889060852616635,0.035195364195189295,0.036100643106218716,-0.018573045003356863,0.13583756696623656,0.1008763120913062
NDP,0.040875364146146585,0.0011781899777471828,0.01558343077323459,-0.04702203309861682,0.007844392713926413,-0.00046307137533658794,-0.01357866802371501,0.058146959715687584,0.11960878529015076,-0.04449611824952309,-0.026702683495239465,-0.030720822802760346,0.008518560989095087
TNFSF18,-0.027232128600384403,0.07850195597488709,,,-0.016548995173612614,-0.012224650331730943,,,,0.07073268065190723,,0.0742191626859182,-0.015881322543962163
IL36G,,,,,,,-0.012934684918850425,,,,,,
RTN4,-0.045730716897706025,-0.011954581843739648,0.09651353443721854,-0.037516850852860564,-0.15644317089490284,-0.024890808823228597,0.05618138303875333,-0.013408058710348085,-0.09631423605029583,-0.044433269388204556,0.04358069936459356,0.011640561211646534,0.0033420704819822743
HEBP1,0.01202581227832332,-0.03491826823942609,-0.022303276096358834,0.07149434901263578,0.07902785514534197,-0.013976342321985143,0.039387899125661784,0.05959715897798218,-0.028374581660432045,0.0069800772103490935,0.04411830348866698,-0.004715734787314759,0.012803271809184566
WNT7B,0.031187158373789405,0.07745409587987832,-0.02915064205212288,-0.032775018714579864,0.014312017145077474,-0.026863330306862075,-0.014216709337008564,-0.011785502171473276,-0.015718838485083552,-0.04593978308290188,-0.041364860515505524,0.061690982106533926,-0.05281723959881558
PTMA,-0.011781576758813014,0.019579304023217625,-0.017734193942538674,0.05274345024251137,0.17846713863481173,0.033607436750372706,-0.031974757015850924,-0.029498086220524005,-0.007041853674352439,0.01917843011214124,0.0237353310952764,0.04461705107326068,0.047141589347012125
FASLG,,,,,,,,,,,,-0.0006064087351400637,
CEACAM1,-0.017332503538678195,-0.010963601513361782,,0.009002145625721237,,-0.019226462644008204,,-0.04147399285386356,-0.029129653370902477,-0.015591914371465638,-0.027454459522281396,0.03701609413738885,
PDAP1,-0.013161364075496326,0.024758789521716458,0.02751147317373456,0.06673552871523122,0.0879878428235715,0.022845323066783243,-0.024764536638113527,-0.049344329469309015,-0.03903179943758813,-0.0658208242528566,-0.0054296665318475,-0.006543663692835122,-0.008888219526542925
QDPR,0.03129131065840353,0.017670129264235498,-0.005656276141748354,-0.09868637902387176,-0.03195584962356942,-0.005128779535225092,-0.02798877838382173,0.03827562148444664,0.036834520290401435,0.01878090452450799,0.018142637595185602,-0.013197220155415896,0.007185113830955916
POMC,0.03332509782766379,-0.01948057072777967,,0.007220969108028859,-0.009347240496657382,0.06326439059194477,-0.0012118292969854044,0.052063785710712074,0.12746644622136116,-0.025491735451279748,-0.035757235599679846,0.14193047880213544,-0.029692580481402688
CCL18,-0.021629326771535142,,,,,,,-0.01569399028743865,0.024364331236898778,,-0.02393904843464224,,
CCL17,,,,,,-0.015246519029981868,-0.011816201888950205,-0.029423790532135542,0.03344369179288741,-0.028086758991255973,,0.020677178644652138,
VEGFD,0.011558378870315085,-0.01570315954746878,,0.06068231040239689,,0.05046509418983814,-0.01266378955158827,,0.07034317037336209,0.14011818903070006,,,
TNFSF13,-0.01632218924588309,,,,0.07477247068929938,,,0.06320054608065152,-0.036653146011171284,0.0028085018514879333,-0.006044157322201777,0.0846485637643238,-0.004302350515083433
WNT5A,-0.009883909801210858,0.04359777796732129,0.01300905568616657,0.04757804254909623,0.17822291506142413,0.01970653844563725,0.011413895862872432,0.05324034645263263,0.04263165685725621,0.086745355049609,0.03768748845037272,0.09126970028770441,0.05328670959275967
CXCL8,-0.019108728257573298,-0.01470350784429989,0.0053840189706120985,-0.03656854956437366,-0.022828765417822663,-0.028484227407364716,0.09385056579694745,-0.031654963203555125,-0.11247186957618918,0.06583414517753798,-0.053850224365909714,0.04330790259684534,0.010265913507336176
GRN,-0.020002708400767354,0.05017582474465275,-0.0356127866787225,0.02537839895208115,0.04180339140134942,-0.00968026968586756,0.01603040179146204,0.019238231652862852,-0.03335829294648595,-0.005178210730973706,0.010282795725676445,0.1550162688540611,0.03264644581288379
MIA,0.04160017927701697,0.009697688040516869,-0.007194919213341456,-0.017513039464555194,0.1134269381685553,0.008575897519294983,-0.01734364014147882,0.03996805827077089,0.11036592343244804,-0.018045258546103914,-0.033157697780401035,0.012180889867917755,-0.029137651588331172
COL4A4,0.02545515742424652,-0.02348546152125732,-0.04274400194968361,-0.014650394030588095,0.08125698696084531,-0.01591783757434482,-0.01682397437064681,0.07164132612812409,-0.0370907044169143,-0.0432653818321392,-0.041224102395058235,0.03672939786182454,0.00011753203440060819
