,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.0032258669207414973,,,,,,,,,,0.06875080860812313,,,-0.01575564389215229,,
BMP1,-0.0119343326589156,0.03586823920058591,0.057439776200530965,-0.04529122885696419,0.0026355984379429136,-0.03488689316625369,0.028800191525036555,-0.033361348434867384,-0.0861264429346248,-0.006584328028412147,-0.09989847848423122,-0.08563153547137888,0.016100852707208877,0.09321835139526172,-0.011579332449050014,0.03535627148542077,-0.020126465850583065,0.07249984043645315,0.0077022472256704595,0.07008317426775572,0.07466268641451457,0.014690015426901517,0.017940374466407064
NDP,0.006885792592192983,0.0319260723237876,0.05285678222030743,0.03684778231255203,0.07315550763735973,0.02230984267752173,0.04963820292030302,-0.03709252819742932,0.01953139826658498,-0.01629783952460179,-0.03010459545983045,0.010426130183455274,0.01139707100321868,0.06261952788158077,0.02775496218608606,0.07675381421564491,0.17558528146671334,-0.009202391271177456,-0.0025725045909764507,0.057575879622670745,0.0291166725286689,0.04080633170835571,-0.004723822415033912
TNFSF18,-0.02310634137820005,0.004133833304702088,-0.024746115764740978,,,,0.019693157145377328,-0.02692801305857932,-0.017492662196414627,,,,,-0.0161832515066664,,,,-0.04169918493047652,,-0.043921758567938604,0.09327200565071356,-0.03636741318032997,
IL36G,,,,,,,,,,,,-0.01471457133786121,,,,,,,,,,,
RTN4,0.056597153394054155,-0.008723518006631776,0.04723082130302112,0.0035672636075531504,-0.0062806805254404085,0.061825648755819786,0.02396223736565052,0.055901145660340656,0.07557677715380529,0.03987495666172136,0.2285082271182781,0.06846932312771521,-0.02925973664833777,-0.04230706980707043,-0.0381418794943975,-0.011342944406734428,-0.031244012460295997,-0.037832752360356194,0.143648259213306,-0.046778228738930554,-0.014002136246521423,0.025834197369548804,-0.030513052365937585
HEBP1,-0.04397508284132981,-0.00935836214434126,0.04138200020516346,-0.0019460376564311994,-0.02567781114870288,-0.06840839367382873,-0.023194825854330005,0.011605092133540659,0.001177940932648842,-0.09042659806780706,-0.13215739690551723,0.02501385767975546,0.09870201482481016,-0.12430817725673575,0.016161781660640435,0.0618856379937811,0.05397521989048959,0.022863119221456365,0.006254058561844318,0.06277936045003754,0.03058286007393497,-0.03404085373142644,-0.02411253499370538
WNT7B,0.07503242511808633,0.004727254816685518,0.017150370958213465,-0.030606267972897096,0.030540589769824485,-0.0025308384153782983,-0.0034169597901869534,0.07595127254571964,0.005647217752144753,0.00142127360272923,,0.0048635437346022025,0.0883679918624563,,-0.044600632519765614,0.01174217585816832,0.010515713004350207,0.017894891961869847,0.00905018531508031,0.0507815855571362,0.02901327751852975,0.1373727761808272,-0.04256263414763142
PTMA,-0.04715949663089335,0.025498869740670258,-0.0009113979561536423,0.0744931976644685,-0.0017874111974984013,-0.10265340774908871,0.01144618085879179,0.036284500722450874,0.03282223404877307,-0.043119691100490194,-0.28238039458739683,-0.033268290304649485,-0.10761501102350861,0.02788617043685577,-0.06753387934409212,-0.1385597526629048,0.005623177649407452,-0.013884788011223309,0.0716025862735219,0.04422858514922528,-0.033105969871799146,-0.102260666808567,-0.10003301215582869
FASLG,,,,,,,,,,,,,,,,,,,,,-0.02610412390648203,,
CEACAM1,,-0.0008962144263806627,-0.0067598714671942796,,-0.01464655785265384,-0.02500763571164258,,0.052242257533776905,0.04666728362614744,,,,-0.02425075755851243,0.01431842512945412,-0.004806115392326392,0.009541682682876461,-0.027443591572664686,0.05263499492673549,0.040640340545835985,,-0.03632005441794021,,
