,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.0454605038847417,,,,,,,,,,,-0.03382767417546815,
BMP1,0.03046794417849103,-0.0018516513607436179,0.012911169994565517,0.04578937517806005,-0.0014760945234666514,0.005246519275648861,0.008582694562920828,0.07125646515594465,-0.06714954665682533,0.02198956031327467,-0.030609105512529503,0.03741805569619823,-0.05678548816892811,0.04363096754963529,-0.013022882993921828,0.08061702423630429,-0.02783159509265195,-0.003140811808812564,0.05178055403962598,-0.014828430533841442
NDP,-0.04329546105596085,-0.00513054067631765,0.006478512188540174,0.06933317038532992,0.021918982145818236,0.0634246577278553,-0.00893602594683814,0.014071378093525962,0.03123819566464001,0.04125367277636858,-0.00626399814660153,0.02921032871336218,0.04849999373828751,-0.024459976237650703,-0.017865026906435707,0.022856873084063114,0.03853967306997849,-0.03228368532369644,0.07289746589151772,-0.05863972329251998
TNFSF18,0.03815074729418102,0.010038812173937393,0.0029629742485578407,,,,-0.01163850524970117,0.01573711469983471,0.06032631907440582,,,,-0.02373642542580172,-0.08497145152704601,,,,,0.003361461958450354,-0.03389767257832978
IL36G,,,,,,,,,,,,-0.02238162959830815,,,,,,,,
RTN4,-0.04061303057026959,0.020242322723204302,-0.028516826829528056,-0.09110595878420016,0.042717830018436584,0.05827139243028253,-0.11617559381658144,-0.07871820580992701,-0.07548864067909022,0.04363743585650979,-0.02426616069670975,-0.02083491008683774,0.0756236989190168,-0.005793541724870783,-0.05341037505143758,-0.009697773886936259,-0.07213811968324225,0.029995915633441072,-0.026883501068541517,-0.004034442863541014
HEBP1,0.00602561183180746,0.02397147007855872,-0.04696272887172061,-0.020018625213644673,-0.007078783551397524,0.012259826494685929,0.0710039368428719,0.04974802068847729,0.040850763643638405,0.02333531201303336,0.030633326761058604,0.05071976216718809,0.023163956884533387,0.03227651949467661,0.06085372362513352,0.04391050954665323,0.09215958471334791,0.020579818961686928,0.055018176286627356,-0.005506561614506076
WNT7B,-0.05147678038643776,-0.008731220314127994,0.0358535028062005,-0.020294681040930317,-0.042673315824591086,0.011294637138442296,0.003694745753343985,-0.0626206926889662,0.014256267283949258,-0.014901627287874147,0.02577820697493007,-0.024599990218858326,-0.026131487590275313,,0.04105722409639198,-0.0332078525589013,0.020198730814744523,-0.026424906120052202,0.038144751452563325,-0.019839878653203247
PTMA,-0.003922167804112445,0.024287002513142003,-0.012748856003637224,0.07644138115050084,0.0376738696443595,-0.02766321695368043,0.15531555428347982,-0.02630270260643109,-0.05248300750641673,-0.017964354158187208,-0.05900893648456425,0.04090083178575493,0.009080782281707798,-0.0273098783555814,-0.08185291538831709,-0.010766412133727577,-0.04476551215487652,0.02510587886244197,-0.11979804031475817,-0.04671257455987477
FASLG,,,,,,,,,,,,,,,,,,,0.1441676501535461,
