,UKF248,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.015859550587408164,,,,,,,,,-0.02261217052407529,,0.05492849534042431,,
BMP1,0.1192893990800546,0.041501915649779175,-0.011959588932258397,0.007360434340428957,0.04837586685036428,-0.062170699341241475,-0.11339111675103085,0.0631851710026795,0.052921021382381715,0.12728819176288558,-0.09296120180510052,0.039156349298536494,-0.016822154181160294,-0.0780747737104527,0.1449013731319207,0.10373771974101617,-0.08085189847213925
NDP,0.0033947942356857587,0.14326090111999512,-0.012688166572374064,-0.02745148265602155,-0.01882031817864137,-0.006676731686570578,-0.04368464317819091,-0.04723441229334669,0.14067455777188792,-0.054556081593669724,0.05616708546513948,0.01878994102325437,0.034699463460129164,-0.007191958573225886,-0.013469206023472458,0.06841284114480177,0.012240662725422433
TNFSF18,0.08892169981778955,,0.031075568753825916,0.009198919434434396,,,,7.251006911161877e-05,,,,,-0.02331953233323027,,0.06846669633823772,0.008964747492918614,
IL36G,,,,,,,-0.022381621468552073,,,,,,,,,,
RTN4,-0.00552145317415281,0.10420442188655851,0.053851775676730426,0.007088260691584432,0.08632403263077398,0.18420647981843016,0.1769487516274277,-0.014912352303154582,0.03656843996733749,-0.010875242783791933,0.027983185531374764,-0.014483407613769905,0.024115528433359675,0.0798999804980535,-0.0230625038677369,0.025160413080800123,-0.037904330370495384
HEBP1,0.010605906376822998,0.006793932952450043,-0.03334840880433763,-0.04768373814413247,0.031177439715111638,-0.1378409847746688,0.0023084423914434553,0.0711810486278547,0.015426334909222739,0.006540341818921856,0.06367138492428386,0.03716663071494671,-0.003405718695035798,-0.004372178605795323,0.011891740072946848,-0.03115658962851294,-0.06885718943289314
WNT7B,-0.03832466231310042,-0.030477372929285422,0.0018516907381740497,0.04212438778266279,0.10673657858133384,,-0.024599981283319514,0.025475514483089098,-0.03622033761909929,-0.03732873461677933,-0.00920296677435029,-0.0034016030812957635,-0.03768256261200245,-0.03942902228496165,0.06121354363248378,0.13031568942877633,0.02869608875586674
PTMA,0.06992345082884097,-0.04403003390912824,-0.06454447782369722,-0.013671932004241882,-0.10057016126275824,-0.22705619411103103,-0.19373058937931859,0.11383385441281517,-0.003848328713631535,-0.028439366270086336,-0.03400810802925783,-0.013171651384084014,-0.0351759907848645,0.0030288747893848188,0.04885911143902251,-0.06725124494744719,-0.054179189815665656
FASLG,,,,,,,,,,,,,,,0.13966090477144308,,
