,UKF248,UKF251,UKF255,UKF260,UKF266,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,-0.019505709651327124,,0.037839594113988975,,
BMP1,-0.05862142857869467,0.01847573176621717,-0.059674341747253265,-0.03050342463062302,-0.0019206839269496818,0.0004409970721700862,0.08150830315840134,0.2053726010110509,-0.04816356017216426,0.04923848854559835,0.12606723047674123,-0.052036725214654085,-0.01930492956306391,0.017870234238999732,-0.044532121174903794,0.015558256581901308,0.11772834156230948,0.1581794701438893
NDP,0.04157369462473434,-0.034684825224697145,-0.019008196638572086,0.0063129629420319204,0.025938057788837777,-0.0018780130625064935,0.010381749849927683,-0.00947520282799289,-0.0223341833876461,0.07064559832920199,0.07580418325783703,0.0400452475770029,0.0054460192589041,-0.04150012576090191,-0.010098118156431284,0.07988543661962128,0.16068025047978654,0.030124204482594834
TNFSF18,-0.0010983955245104145,-0.03780982155977347,,,-0.03780932543782996,,,,,-0.007616844396757767,,,,-0.02011589406741952,,-0.011529332659133409,0.004409306310614298,
IL36G,,,,,,,,,-0.021869724185589672,,,,,,,,,
RTN4,0.02927632359272863,0.037061520046153804,0.057348006248477155,-8.633584667386373e-05,0.0335857964478159,0.04662512758952033,0.010501748813993518,-0.07619959439610992,0.052742009466402326,-0.02163752286643688,-0.09459550961975334,-0.06788843203625824,0.04074261172612789,0.010059494538419556,0.026908996569180013,-0.041222366442737676,-0.05714366551834279,0.08400485776423501
HEBP1,-0.05102202971206151,-0.05347289764771021,0.020609419410194126,0.021083557529779483,-0.06154267893654475,-0.01821659228349521,0.010171288887279327,-0.0014087558937154654,0.008412666113713912,-0.03964093532611826,0.07191719508425137,0.07666738172696784,0.03719419460353679,0.014933055202551889,0.028078377926101947,0.06316954434003205,0.08670936955622989,0.03959498777988538
WNT7B,0.02929918374323384,0.006140742577844454,-0.020996958324838916,0.030159220162430986,0.10633399465556759,-0.022741231424262758,,0.10732164022615123,-0.02403734717758456,,0.059465501132570514,0.0424548590369052,0.029693004100667303,-0.015806908555394503,0.01997957939484547,0.06838177299447275,0.14013898494940427,-0.054494933043660966
PTMA,0.02501113761147445,0.007308667352971723,0.021261670025250312,0.04794680730896784,-0.026966439826809862,0.010618032776702627,-0.04420419152650784,0.23790546188065864,-0.0649413041781272,-0.03198585543220878,-0.17176022059253288,-0.021696890712080304,0.003988714419958302,0.00230270917688454,-0.008805336893149203,-0.04662232862758895,-0.012607992426883069,-0.04539737426565709
FASLG,,,,,,,,,,,,,,,,0.057721809945270715,,
