,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.029914813942791066,,,,,,,,,-0.03318325035180796,,,-0.014234297028105374,,
BMP1,-0.004712487151709396,-0.04839082994834494,0.0010749171112794907,-0.016117487900818385,-0.06442249698655994,-0.0014154346187859686,-0.020161491235609005,0.032142268184410586,-0.023623316946687376,-0.03288120924570127,-0.11746841359882101,0.013129514236837168,0.07184733319134086,0.029923517560965764,-0.08558536147278044,0.03790106897824487,-0.00840566216335815,0.04331864246519999,0.083361740877306,0.05641074354689277,-0.03422198578035742
NDP,0.06125592260350852,-0.0064266575734399645,0.05847989826367409,0.014383688693556433,0.14392610576052206,-0.00042269867502512797,0.045741734566761234,0.058815502990272626,0.015996952049435357,-0.008535234680959885,-0.01840356018305031,0.12231085081716095,0.05169839033371201,0.061098177197277656,0.025911208885363378,0.006056626927816642,0.0449755477034626,0.04946607768202243,-0.018753089118950482,0.014615799963914647,0.02905314452718655
TNFSF18,0.017130318622022307,-0.054940740373422094,-0.004374828155351619,,,-0.03551119501601646,0.1182446171100537,-0.021679608071834246,,,,0.04542633687042418,,,,0.06081133645809963,,0.06303822685467429,0.0826637778709827,-0.031836887850023664,
IL36G,,,,,,,,,,,0.06558263882409615,,,,,,,,,,
RTN4,0.12505636160256572,0.0346170601729638,0.0008575965672823908,-0.0028248863944583215,0.16897208697421157,-0.03576759244579733,-0.024385045113010973,0.04303489924570319,-0.008475473441259962,-0.002952773047816195,0.17843016512738258,0.0256755058110014,-0.07876402865205105,-0.03714030086262674,0.029995157326726748,0.04783224927464313,0.10993528229199458,0.1119111421769378,-0.004919515511765933,0.056871018268872475,-0.0500880742011225
HEBP1,-9.995986391256869e-05,-0.04436650174751825,0.0038583796147764757,-0.028922986384973155,-0.005836673942902157,-0.026050187138226634,-0.014965255464371024,0.03345060341047529,0.04777203946374222,0.024472195322894564,-0.01805889871603944,-0.029972528394055783,0.03046521427348734,0.03138241071774431,0.018994526844445504,-0.013479919661005152,-0.025080023905364675,0.06701007178522925,0.08788640707578653,0.0916689160662896,0.02091234967856396
WNT7B,0.262564538090938,0.06253402168963838,0.04037703495907036,-0.017169528640840707,-0.016831058201373202,0.0014697503883651726,0.0317183964810317,-0.029164901424880964,0.031584052186606884,,0.00482983121032537,,-0.008418317172651204,-0.05143937928146211,-0.009015295415551397,0.06244815589917421,-0.02181734175796865,-0.03947945504316859,0.07315760724451562,0.17282431395529532,0.009759715753075741
PTMA,-0.03265616812895577,-0.06263685572553401,-0.025579514055312374,0.0912797130329109,-0.14426545915846997,0.03339620128147116,-0.05984171110064144,0.001891295140593046,-0.01209783051102534,0.017859976298336053,-0.17742806965283905,0.009706988933901763,-0.22367387993934196,-0.07201323017116062,0.02505052488504514,-0.004787960764625809,-0.042356253769277985,-0.059122382551257846,0.07869187824612116,-0.019129607983591226,-0.09236330103014838
FASLG,,,,,,,,,,,,,,,,,,,-0.0327004948055252,,
