,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03339027207623856,,,,,,,,,,,-0.02149433938756491,,0.07193384739079332,,
BMP1,-0.007222126298814774,0.017608282272360973,0.01222614402063144,0.07362233993917643,-0.047154394298807766,-0.06871994214080525,0.04979151619286988,-0.014014145478622857,-0.038603486097458596,0.014296511550837365,-0.06936131948468514,0.041413388650049926,0.041197584551072454,0.05518196503608684,-0.0001744607651863211,0.09233952476926247,0.011992334538932796,-0.03083268580836295,-0.000702714328563226,-0.03840501182397985,0.029167439562526397,0.013822088141716782,-0.089982230703319
NDP,0.03411729000877922,0.009741571184506236,-0.012622741387944654,0.06333413244951344,0.03640387721417226,0.09514522782440303,0.021009918990503324,-0.018369732435980966,0.02465977389524118,5.562977715907337e-05,-0.026412967379468303,0.016399411866244187,0.04623265121590214,-0.02213097696534938,0.01924308331647244,-0.01657263414210576,0.02317693965776576,0.13089581437530243,-0.022456651322696024,0.03470530020314203,0.05435859625701965,-0.07427726815969618,0.03432696057857119
TNFSF18,-0.009066365222200981,0.0025902687002723893,-0.005671814830053294,,,,-0.006519590384825709,0.046964086473357626,-0.01820831517528483,,,,,-0.02841154484695321,-0.0436075725929402,,,,-0.02216673281302537,,0.0025233916000444306,-0.03904966985024628,
IL36G,,,,,,,,,,,,,-0.0016465555259607997,,,,,,,,,,
RTN4,0.08994278337032659,0.03192385003836288,0.008800059472896337,0.015968999386905942,0.027318208814278624,0.08757966522580646,0.08220992523181231,0.020117162310149973,0.05471063771488226,-0.011768212232887387,0.08467907173919663,-0.051658450872176805,-0.03950769229505017,0.009133201814920201,0.003094522015515058,-0.05821198344243867,0.030528701221072613,-0.044387658210334004,-0.0339344836045992,0.02587294844238113,-0.03388891042367018,0.009377012185699134,0.10004582518343658
HEBP1,0.03592970350171396,0.008638193006111473,0.024617723639237112,0.049581532955020546,0.012968351678251831,0.014043400074562546,-0.04677959802441639,0.007083281450235355,5.202078351275509e-05,-0.013653853951000066,-0.08126454778115039,-0.01397112924624333,0.00809863759721503,-0.05175665391651854,-0.037061289144590545,-0.010851048702759637,-0.039129092596681445,-0.02349696495920174,0.0674464360186194,0.02153850123501538,0.05860658421095331,0.006836064768770822,-0.012678673088996756
WNT7B,0.17772313498211395,0.02582570389558369,-0.0066705284314341005,0.02662890143347785,-0.007139900484254157,0.05866637732010938,0.04748685226558831,0.03283902652300275,0.06846390677673493,-0.018482038548074793,,-0.03238622428371493,-0.021184520477734756,-0.03127833775601584,,0.07199794125465352,-0.0018466115321230292,-0.0004000710011828547,-0.04635243155405985,-0.050043742117620034,0.028346007708204838,0.0947972986315309,0.11009116372516106
PTMA,-0.015959549117934565,0.005571407608853798,0.015225736740568114,0.1525590782719321,-0.00679331597851344,-0.05298930758904917,-0.004902941007434888,-0.059201788055837125,0.07626154737001337,-0.011507268753710982,-0.1281689887047239,0.04329652679101845,0.03756087439339167,0.03422530556094631,-0.08277189975512406,-0.0904628357593756,-0.05608090178651879,-0.01819774406532598,0.06947927434821392,0.015258605972964964,-0.05853891072382447,-0.0016222642334493879,-0.08680486160056684
FASLG,,,,,,,,,,,,,,,,,,,,,-0.002863411042196404,,
CEACAM1,,0.03314148174442121,-0.014319572744065734,,-0.04336168550266986,0.08807769106697737,,0.02585097943058149,0.04999094219135424,,,,,,-0.010931691336415151,0.12929620773295242,0.09653097839860657,-0.02784402338675906,-0.031851280814088674,-0.02183672475454783,0.06496000271104677,,
PDAP1,0.006784230352713876,0.08025240167559902,0.030361112372941035,0.05360041042179914,0.009993882948526371,-0.08797672803304125,0.022863139431450828,-0.012613680075299128,0.04053441813396244,-0.03707511518740984,-0.04137922185353063,0.06107917267791962,0.04618342251389492,-0.030511578342598062,-0.07026833239897753,-0.006474922178880316,0.06898909972902638,0.010187198756299217,-0.002403196342564648,0.014218426031772894,0.033753147078071255,-0.09310625143834776,-0.004207851348739918
QDPR,0.0828946313361763,0.01443250477481502,0.04780326204838868,0.12237552019528068,-0.018263848021086094,0.11363073538144747,-0.046984689737831674,-0.05129624908774108,0.03298398869567295,-0.010024093631796576,-0.08848611646773973,0.02277570160932597,-0.023653189626966744,0.01767206258214232,-0.06451158789996386,-0.07774470578994121,-0.022869781452960324,0.05288225146466429,0.10261149124010037,0.04065223553058311,0.05162983671983486,0.010382427728423673,-0.07207074361530327
POMC,0.060356870773127465,0.012619697600987512,-0.03314713582576519,,-0.006489325210273872,0.08980038158069746,-0.03962719374891766,0.0062702165340533,0.059479782170599266,-0.03136464899852575,0.045687880352426366,-0.02225655452364648,-0.02469738469625844,-0.019272480507642242,0.0069830725836190115,-0.06749330938247546,0.02521677038558063,0.0730948047195429,0.11638717554219152,-0.04045971629715682,0.003388074785860234,-0.03375295266227069,-0.030561490882224245
CCL18,-0.007514038805972602,-0.04132861196180511,,,,,,,,,-0.08276673842620362,0.06100990936981659,,,,-0.0277077580252275,0.09311182041033542,0.039233650922753965,,0.01998410980536988,,,
CCL17,,,,,0.0028624715921461577,,,,-0.01937741244541105,0.02767431196249012,,,-0.01760749023924163,,,,-0.024430666047522104,0.002648327883344805,0.10480161895062771,,0.0440586058388403,,
VEGFD,0.0007885122240284891,0.004321876457526353,0.006717275111641062,,0.010419104984834006,0.04035637954347703,,0.06410938404407948,-0.03826408262155491,-0.016779516547557514,0.025860026199828193,0.03580888110304383,-0.018870492652119944,,-0.06924379975629046,,,0.02990546001059834,-0.012392684571442911,,,,
TNFSF13,,-0.031187906717374567,,,-0.027878671078937132,,-0.01247059864294048,,,,,,,,,,0.018240152391259343,0.006051093666489375,0.039546054207369535,-0.01529058381386824,0.07213718450031001,-0.04248047076441456,
