,UKF248,UKF251,UKF259,UKF266,UKF296,UKF334,ZH1019T1,ZH1019inf
BMP1,0.07392163514170838,0.015419887165580093,-0.019587435824825562,0.1026763358580671,0.0367450057010866,0.05901242735293034,0.0762430025269001,0.041179781898364104
NDP,0.019963972532097942,-0.035630444882194,-0.0016905555151002728,0.00792457955366667,0.007257335916915983,-0.0018319313665001095,0.04494137919196983,-0.016811274529913003
TNFSF18,0.0748611391335013,-0.027574246629049497,,0.03809551617249904,,,0.017698257168382792,
IL36G,,,,,,-0.013752911436744552,,
RTN4,0.0820394294823248,-0.021500569066976418,-0.05620932170454389,-0.07911429100709326,-0.032090515797932345,-0.03608703175308959,0.03871880323911562,-0.09191326132493996
HEBP1,0.057065285030586624,-0.0017358434844249948,-0.025208470480423236,0.05096364623478848,-0.023017195907526742,-0.016987589339333645,-0.032559818523993755,0.06192375458437577
WNT7B,0.02462739307960308,-0.02314189134296212,-0.03332247284722462,0.026245964615398805,-0.014776919660501583,-0.015116034573743229,,-0.04756691569724205
PTMA,0.0264335046443755,-0.02021723141347184,-0.016584654082098773,0.14675673134291498,-0.018797768884871148,0.06287383431768767,-0.07946644189513677,-0.18511924204522168
CEACAM1,0.0022121735729472465,0.0007683962601637279,0.04457513991361486,,,,-0.03038594958752888,0.02382165759462389
PDAP1,-0.02225505555089064,-0.057489694183230314,0.021837046041566076,0.08787472246383468,0.021000792088516282,0.045378132295704136,0.018385969415675676,0.04140416841992932
QDPR,0.025333492213664266,0.03211615543369022,0.0194336332481486,-0.06682155578318831,-0.02977814694862575,-0.021099136418570204,-0.060190967538642885,-0.08019930553862813
POMC,-0.011806535228194269,0.08401183596401202,0.00855051519750132,-0.00481017674881386,0.029901178118654316,-0.029465760158764898,-0.037717797731553336,-0.045362175773607266
CCL18,-0.01853451033645883,,,,,,,-0.03024577064972639
CCL17,,,0.007026523147865898,,0.044205636511228635,-0.012563675042489455,,
VEGFD,0.021321082973982403,-0.02543765073679432,-0.016100484105211033,,-0.013415704513349924,0.011198442122473829,0.023241157599626763,
TNFSF13,0.020818170320965765,,0.01585956132517491,-0.007504595838296147,,,,
WNT5A,0.033112417704308346,-0.01305798744116263,0.00032054775284844853,0.1026440402771107,0.04302400678753424,0.029987353108389618,-0.026901552323115852,0.02424819809135867
CXCL8,-0.019663416962033373,-0.009652056031284155,0.049110352395217514,-0.022143099547042248,0.03269764499528032,-0.040483741055510364,0.08118056154279994,-0.05325244122076575
GRN,0.024756177708781316,-0.01856999617597167,0.06476768818483372,0.10704541998904268,0.03921123879565048,-0.006422830433576881,0.0410842252318958,0.0913278185333409
MIA,0.04133654093926683,-0.022622467638566207,-0.03994360027742477,-0.015965363524109533,-0.01525753856287236,-0.01844076978704828,0.016788544945312803,0.05644444382623015
COL4A4,0.008536457581574895,-0.0032499167591735602,-0.022259830978769733,0.028354191828140012,0.008814846698578543,-0.017888230829369873,-0.03690156101958691,-0.03824010449124212
TAC1,0.08653886548035658,0.009770342255257134,0.019965934902270395,-0.09379683113354186,-0.01168783537886773,-0.03170168871892075,,
RARRES2,0.02731088872287811,0.01633168079274423,0.005079999013786555,0.09342358641399606,0.005217937268833782,0.04429811023126467,-0.13230612648171397,0.02898460422720212
FGF7,,0.040767841261312505,0.04491800124313132,0.07994806839368807,-0.024873146381140635,0.04353748800164113,-0.00012982957524675624,0.001319232028701633
HBEGF,-0.00027484499426336375,-0.03273006159948161,-0.05402904563595582,0.025410021528420486,0.055187278474611474,0.04183414963026629,0.08251974399021171,0.12510926316781507
CSF3,,,0.09027087770743289,,,,,
PI3,0.007978113110018253,,0.011953472391909113,,,,,
PCSK1N,0.031014972480581174,0.004049471260366351,0.02108669183693131,-0.020994717430063137,-0.042643362496861965,-0.06339589159782665,0.020298740359916672,-0.010073077196965909
NTS,,,,-0.0271125414980195,0.016175028489683958,,,
SFRP1,-0.0030305974211890345,-0.04907950015902256,0.018333916914403652,0.0964733311249196,-0.0025259464277777245,-0.015921394974423686,0.11830046560464932,-0.011515551340061598
CXCL13,,0.03278686079208877,,,,,,
MICA,-0.004645696713285295,0.045255685911154656,-0.04698902117005722,0.0022616975879644224,0.0406579514955513,0.004217402034994164,0.005469448476864112,0.020553123661550637
TG,0.02323255672993575,-0.011016044978029386,0.009990763667577285,-0.007546889476204783,0.00840092340888494,-0.018872412685289667,-0.009364692615035858,0.06963763868738876
ADA,0.03438946940721782,0.008318762278043186,0.036539341639357154,0.06738472851132746,-0.021496596410692282,0.09164178822028296,0.061575421193723355,0.04241839201671903
