,UKF248,UKF251,UKF255,UKF259,UKF260,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,0.033082338121534625,
BMP1,0.08761110043465548,-0.03915586049284775,-0.0026951401301696706,-0.036060696509634636,0.02199956531654233,0.048491024074282504,0.03815924792498091,-0.030723513738552786,0.04776033460371217,0.021797293330314462,0.10482623103268836,-0.011436683100880663,0.05588234145104811,-0.07350600782258059
NDP,-0.037168210079806106,-0.08359701931667551,0.007860995789045463,-0.004992689353366099,0.015493217525332803,-0.05361234715107946,0.07857022108114078,-0.04948815639178874,-0.03361250654447429,-0.01993501725679499,0.1123064195926477,0.005708870554665496,0.003428173819436619,-0.002839477421607003
TNFSF18,0.02377159515161247,0.03792620589323313,,,,-0.018525843224839314,,0.10393525086836163,,0.05826269567936361,,,0.004426134880178256,-0.024659562097705843
RTN4,-0.02315579967947979,-0.012491938125025467,-0.050701344763415646,-0.019217217786031162,-0.03045176128313695,-0.046685512020491045,-0.04130734340260843,-0.04323554187358451,-0.16345885325512208,-0.008308857397449774,-0.02996607268341999,0.02826116458113292,0.08585704566146939,0.05189476020827401
HEBP1,0.043140020879008825,6.076425816395268e-05,-0.041273715492480545,-0.017604502993487446,0.03673484182901746,-0.019819905344957377,0.05854711216980757,-0.05061726747693475,0.0694457430174129,-0.01622119106162713,-0.010334423930396894,0.00807046397522128,-0.019912277365591195,-0.031203098894427274
WNT7B,0.05238256413512117,-0.019936821713792456,0.1699996931058866,-0.01971280620586875,-0.014442333999784564,-0.015163211100743004,-0.011246855396774986,-0.026559163257668605,-0.057311769253796406,,-0.03673614309094761,-0.004667867317710547,0.0402478245387806,-0.031731271661604485
PTMA,-0.017222825884148207,0.02660107826258542,0.0522268310751937,0.010770946972255085,0.02533558245174792,-0.059670565781388955,-0.03029747752915031,-0.11261348337046159,-0.0208304468965963,0.02566664509021271,-0.022798689517573915,0.025693951485790827,0.04608637414497349,-0.0007175751123290919
FASLG,,,,,,,,,,,,,-0.01955424789887497,
CEACAM1,-0.0012884037251536466,-0.015300311546254377,,0.013795592054483618,0.06410846756990207,-0.008724489011986476,,,-0.04315719944634686,-0.03236427498142176,0.0013602744851322452,-0.02111203124897305,0.03717684340968626,
PDAP1,-0.018410333453004874,-0.03365739863815916,0.04192208500856061,-0.024139168535698353,0.024941277617805523,0.03344756138362562,0.03253277923938342,0.060730850561308836,0.025687252054656454,0.05326057370220715,0.05051313161849884,0.06804396122564299,-0.021187135329696825,0.031094070941767093
QDPR,-0.02813559691242882,0.04838903441870202,0.012565704806891767,-0.03300132733969219,0.04875546288325081,0.03187369024880469,0.01770124463071146,0.010574204170407959,-0.05025027326407106,-0.014216194638000218,-0.013045650489300687,-0.012496374102373921,-0.008303607613085533,-0.01334624691217915
POMC,-0.02314421925049756,0.023869447089569507,,0.03023645382641571,0.007600457479442949,-0.021495923488930146,0.029351619858812378,-0.02513397088299258,-0.06074451587063228,0.004814609928461366,-0.0494261691483459,-0.022261249536388455,-0.009401926426060867,-0.059035500484013334
CCL18,-0.03299638017632372,,,,,,,,-0.0370050422724099,,-0.02498639960962564,-0.015688104502872256,,
CCL17,,,,0.02554701463483718,,-0.023105333372261717,-0.013920454173200043,,,,0.10300863612909084,0.0677508011870053,-0.017723729394657856,
VEGFD,-0.03299639065421988,-0.021914626598202494,,-0.026788387335677125,-0.016770279940891444,-0.013601410058279962,-0.010210821482018302,,-0.04169031659404597,-0.043998522612093624,,-0.02111203124897305,,
TNFSF13,0.002317471158781051,,,0.0514237620525409,,,,,,,-0.028023098997405644,0.005602677667530264,0.02854859073219137,-0.007659006364018764
WNT5A,0.05813056869713364,-0.04633294143969407,0.055076533319022694,-0.0063987262558620394,0.006268728154684822,0.010630329007995331,0.002484468648230358,-0.014776321963423877,-0.07019296321207487,-0.03931679248360458,0.029371049508722498,0.03796428261167948,0.015247348588393606,0.04282541261756422
CXCL8,0.03652595734727323,-0.004361315138284504,0.014476426843328834,-0.007155350352389405,0.011016138908827876,-0.007722438896773732,-0.00950876094533376,,0.036296751675933485,0.053494478076335256,0.07145956026506657,-0.012968339482734998,-0.005464732461945623,-0.04723056564990709
