,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
PDAP1,-0.05863087447539806,0.01727499346520623,-0.04984274760811605,-0.004909021110637837,0.07907763664193417,-0.09136765851857324,0.02218059635876166,-0.30625820436841705,-0.01875296885885563,-0.011414593227428967,0.03358314867047471,-0.005292704659292764,-0.17134956957584846,0.04641134745437625,-0.06448776136010788,-0.04953025097171027,0.12621227465968515
QDPR,0.1383110974380315,0.06784157639671445,-0.009352807989667138,0.1170049780765245,0.005908110682554898,0.2719214369942823,-0.013200508980693382,0.179871965244548,0.08479822149729054,-0.0658996345548737,-0.49600220656983596,0.021715438552945394,0.106874805779842,-0.021579196390827084,0.08103384258822549,0.030455389136615704,-0.06005610896645451
POMC,0.16676309153748264,-0.006870283265518438,-0.020147470462761042,,0.032653831661709994,0.17870415802442147,0.05863197873076322,0.03208988943426487,-0.021341398470915103,0.03076827194195564,-0.09434573579672748,0.012886738247349346,0.08737568029521343,-0.010967268685292098,-0.029084543850342606,-0.0338253526516536,0.03382402793568696
CCL18,0.023256843832065444,-0.027175568582563835,,,,,,,,,-0.172355983083587,0.09496951091525584,,,-0.006079510941055766,,
CCL17,,,,,-0.01293001050289907,,,,0.019730772526469195,-0.033081496638904764,,,-0.031681476373966226,0.01394029313696821,,,
VEGFD,-0.00021562294737770106,0.09672457954219404,-0.016240743024201483,,0.07531675216373408,-0.011001581496101904,,-0.09117253490076022,-0.028461389148435295,-0.018170938656715464,0.09798221957501554,0.03780966967481053,-0.033954019511016405,0.010667411337748766,,,
TNFSF13,,0.023146360640760283,,,-0.03442217772009005,,0.028694010302092923,,,,,,,-0.01610130451718706,-0.019964924284203104,-0.01914674979580365,
WNT5A,-0.10443092731675899,0.027305770817299024,-0.05254201391861289,0.020581695582687583,0.1017694629085555,-0.1064858689483592,-0.07370551092103103,-0.34719274257584565,0.0022212036440417814,-0.05583695038201982,0.02826420917493311,-0.07817544665746126,-0.06520560684541354,-0.015459651925165813,-0.04100311067919402,0.038519934877794114,-0.053015215876297685
CXCL8,-0.1380688632483154,0.002857666501843104,-0.015206869148323535,-0.05624707217922579,-0.06972902809534058,-0.17383365220270877,0.009038845599300764,-0.09316561245751598,-0.11130080302533363,-0.0018488101924078993,-0.1824802781846367,0.004712522807845667,-0.06851301046148066,-0.05612745229374914,0.05150453983480732,-0.04001876671270741,0.019315811681973633
GRN,-0.05746046058566896,-0.06219981777326921,-0.029936688404506775,0.06898851043073465,-0.037589980408372504,-0.12676579958922546,-0.05902669019424264,-0.40477994523623634,-0.004681862538292148,-0.057331959020762616,-0.3928908625613257,-0.004316937763026727,0.03406093498794054,-0.11269119582995281,-0.0015282492348102242,0.047957640914924354,-0.0681996390076226
MIA,-0.024033052871893893,0.08930971488839501,-0.014443381084709741,-0.012719955542021672,0.050694445267408586,-0.0813784572007801,0.06446023557074196,-0.16438722900816277,-0.03795226487823442,-0.046994873395452226,,-0.04638255618114322,-0.046501585750211884,0.03783032618833576,-0.14714099053294152,-0.06931349037297592,
