,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.012030808690417191,,,,,,,,,0.00030494611906514214,
BMP1,0.007192525984445576,0.02903855326842063,-0.011330945719116999,0.005446671649641085,-0.025825349521271794,-0.01953791876448725,-0.05938166826671683,0.04242406405977128,0.02573301446323382,-0.04955047277080187,0.01291808506680971,0.0012472903870034036,0.02728840114366641,0.026045954057285867,-0.005633328059941164,0.011959111661315264
NDP,0.061961003052346836,-0.04423653797948024,0.029416087563425865,-0.04389679067650776,0.02642901965883481,-0.02346128729906288,0.026650122716774118,0.051046527828015484,0.05219865230999291,-0.03179799851479127,0.14808127149663822,0.0746917234590346,0.04495482637158896,-0.0173016771811277,0.10835913885710943,0.07043591092981392
TNFSF18,-0.024278987734657562,0.011575124431635931,0.009467009052911401,,-0.011440822283683524,-0.017865389730495358,-0.01512909292373679,,,,,,,,0.05190231835152397,0.005745594570056307
IL36G,,,,,,,,,,-0.018385983340805958,,,,,,
RTN4,-0.048648283062307604,-0.025518107810967684,-0.0055468019833401555,-0.05353618011141587,0.037121768988622045,0.11057396327545467,0.05723190583510888,-0.018247179349936207,0.06283536353666742,0.05918225387197517,-0.09425129724586571,-0.007797592180649764,-0.023656414057877415,0.12391870628213403,-1.4171341724509162e-05,0.029723892852692207
HEBP1,-0.053799708645101696,0.0003915152690929237,0.02373499054067637,0.03452090212171912,-0.010533390652471619,-0.01311279088202843,-0.06009141144427572,-0.018891232694539236,0.017415193889768216,0.006897012280931275,0.031240513738009734,0.03286161789138089,0.0009696654490086555,0.0010425460931204307,0.09761249974521075,-0.01567562008502706
WNT7B,-0.021389027755191223,-0.04872201819643699,0.022003540235577886,-0.009074243668775416,-0.0021781488483019295,0.07194051485158025,0.003224444701536511,-0.005050881697361329,,-0.0033711533066370205,0.022431107600798344,-0.015405443277817397,-0.015057017266415625,-0.0322822459381693,0.005999158307184036,0.03270259124418208
PTMA,0.04283293284635913,0.03552539783313472,0.08634579654347624,0.030862057735964718,-0.05940793568744645,0.03835733492632136,0.001980270989573066,-0.08809145473414581,-0.03362755151266108,-0.10394239309825289,-0.19201929789755065,-0.05458636864740593,0.004329144509180624,-0.058901831807132356,-0.06275502466015216,-0.02551510563540227
FASLG,-0.02138903380181458,,,,,,,,,,,,,,0.04369013640472127,
CEACAM1,0.034464512307496524,-0.02095441067516067,-0.013060768168181596,-0.013319542101687757,,-0.023509835348816795,0.02436917436885424,,,,-0.005987862710028671,0.02927355490514443,-0.023491959159059907,-0.009455750483691471,-0.010598633967842611,
PDAP1,0.051192328533730375,0.003298111991194955,0.032821012553792495,0.020713051308145145,0.0110652743267814,-0.06586341468127942,-0.009323424415952365,-0.005043896875573111,0.044062005926634465,-0.06232283276795281,0.07996854025585806,-0.006932436829211688,0.035243415006553626,0.0042295611237306435,0.021661053074265177,0.018199685497189266
QDPR,-0.042608458812340974,0.017180923778012048,0.0040067637370820525,-0.002146551125738177,-0.03146584916271055,0.06170838002738409,5.1920322832223164e-05,-0.031959455597096224,-0.00411054535956556,0.08170976476620812,-0.029932670103866365,-0.027567889692653932,0.06057834437337227,-0.004118320274071373,0.09572627665437701,0.031999119487255014
POMC,-0.017668284980349065,0.015944567434080643,0.058783114804560915,0.007880095191562277,-0.017839300813805456,-0.002669868916493992,-0.00140965142712035,-0.018702151311327665,0.017779016288758682,0.11545284153606238,-0.02033919020151292,0.01799207427909691,0.18082977693077104,0.07322875141677684,-0.0023773406005200446,0.08355891056454025
CCL18,,0.027502405749539965,,,,,,,-0.015167031857265905,,-0.02835963606582259,0.008219621223976568,0.012953423646226692,-0.08122844420839605,,
CCL17,,,,-0.03148451909873925,,,0.010315409308955872,-0.0016845492729473316,,-0.01679611775971631,,-0.025534073774288162,-0.0091679261484822,,-0.02269058707042429,
VEGFD,,-0.02614913296906482,0.051834089962965894,-0.02676090309174284,,-0.020154831745863782,-0.020103243013729465,0.028470706882175786,-0.03244697557364679,-0.01800091963489961,,,-0.023491959159059907,,,
TNFSF13,,-0.019732974859211157,,0.03423677690135724,-0.011095210925011425,,,,,,,0.022458295944205793,0.05565252929351411,-0.011066737343555915,-0.01411918855315139,0.023957123869729938
WNT5A,0.023843522515864003,-0.03499405386434537,-0.013012587535628724,-0.036431526842037563,0.03090426513647985,-0.034002042679124087,-0.03307468687426354,0.005171012416286421,-0.06334076841640318,-0.04060628596314287,0.10657006998025911,0.01678405701483747,0.020226042625220642,-0.01647949676311898,0.0036818103761040695,-0.028648324729086485
CXCL8,,-0.02449246646685403,-0.017516060482442253,-0.043645891802833105,-0.015782217914817022,-0.028579631137314584,-0.025223946054183228,-0.016793586491434004,-0.07393580802838273,0.014851600158101051,-0.04993160432667593,-0.02903644263912852,-0.09510571204477171,-0.03525283210289733,0.00834974164038538,-0.05115598808144897
GRN,-0.01956607484413094,0.01534991224850092,0.00834012308554252,-0.028939476509348663,-0.0006343101627995009,-0.07894171879155769,0.01441635967017038,-0.025959693926751185,-0.03288200831758861,-0.004196288858171527,0.030493053545950933,0.02276433033481852,0.034557848808911024,0.003017326162119539,-0.09136894202974946,-0.006648191600924851
MIA,-0.010758556753071481,0.02615513318406337,0.0027708585393538335,-0.007119447118573096,-0.02006228118825387,-0.034367115387779354,-0.02892166962384609,-0.02050931718520588,,-0.02465308437822416,0.054361036353847855,0.04818992524589957,0.05153626226252067,-0.0033436042758477327,0.07434455900877926,-0.020378773775737644
COL4A4,0.0323710907461406,0.04781399975004157,-0.01664990808972362,-0.037660931097530014,-0.010556603004115692,-0.011855468975620372,0.06529403281540182,0.024401052227096397,,0.034583732905593044,0.06982663447874034,0.052004229096190645,0.044267382205902435,0.024065981587681227,0.0014653780262432314,-0.05181858442450109
TAC1,0.0005564606060685923,0.07834693370012426,-0.025027503869879737,0.01466240863064653,0.057604784523484234,0.10031087301247488,0.026728340393071225,0.0339587150054213,0.04726149730876979,0.13742420744658684,,,,-0.006396365241050943,-0.0016198057000200027,0.02437588179999211
RARRES2,0.06748948348649342,0.05666158225147053,0.022786651880445388,0.013485133060151831,-0.0288288727798029,-0.09980903228443744,0.020861169241880057,-0.010223585005308733,-0.04827528692410841,-0.05131087828140123,0.03573874136395482,-0.028253583837809296,-0.056833230313121715,-0.008083393325713563,0.061029460289209095,0.041567157074890164
FGF7,0.033533059534763134,,0.02449160561495843,-0.0273300098589262,-0.03025699951565726,0.045573488394055485,0.006743866109838551,-0.02890111537109734,0.06905729139222545,-0.01891117320578818,0.06600505452991655,-0.01356651831070341,0.005505732190232561,0.01194473843011658,0.06923687062413808,-0.034741107014943366
EFNA2,,,,,,,,,,,,,-0.02232753502649059,,,
HBEGF,0.0371321999975008,-0.05264310322801138,0.02146754480274913,-0.042630061534211845,0.039611699088092596,-0.029739582316878913,-0.06663058066711196,0.05817135476948439,-0.060283526464074595,-0.03393072658145844,-0.008997368379966168,-0.08863128550197184,0.055739063016324884,0.002399156274057687,-0.04114137327329755,0.05487347434846639
CSF3,,,,-0.0217782032091346,,-0.0125428579867645,,,,,,0.002004970811692849,-0.08425655310859516,0.035388514920556814,-0.02388968774894891,-0.00777230231275725
PI3,,-0.027509981641065374,,-0.0014643733555687237,,-0.014123423640903259,,,,,,-0.025826137000295908,-0.05965816097482892,-0.00444588757077597,-0.05190435490776644,0.030707100653448616
PCSK1N,0.10728822364281147,-0.030760981000752988,-0.019468076697699354,0.028134752911930204,0.03155997707926212,0.05892111938147151,-0.03947572371266408,0.010580169289961206,0.041886347353880596,0.09588420624857734,0.04177706389607993,0.017045606465567277,0.01686851587612952,0.1347323404933292,0.07570192799964269,-0.018420500107565768
NTS,,,,,0.10178450409648883,-0.015416681263239241,0.0028474980902110873,-0.006713894442660029,0.06617986949899735,,,0.026374229726678543,-0.027201864480286518,0.100766576913831,0.18789660235558153,
SFRP1,-0.01516219743679301,-0.047544539507785435,0.05218615688509851,-0.027471459903357975,-0.03922166642425266,0.01655063974472233,0.012707844230240063,-0.01261498888525439,-0.00183853204594822,0.09346458637679271,0.05406717053884513,0.022868658798778693,0.028902589652824454,0.059361417498633044,-0.03455528947864041,0.14491335607130576
CXCL13,,,-0.02003141930770332,,,,,,,,,0.026810053127117484,-0.05736580239463776,0.0010064784700014205,,0.012721150459181258
MICA,0.04767002215308379,-0.03159900871766065,0.03025078392391874,-0.00023663040819332573,-0.02735353383192114,-0.036017179969659384,-0.016245583756882735,0.021560832996232644,-0.010822653025303181,-0.018024230648182694,0.026076634706194837,-0.0034060987533816316,0.06634909712266282,0.005319653427020141,0.04172276168500305,0.015176386172822838
