,ZH8812bulk,ZH881inf
IGFL3,-0.021110098335408903,
BMP1,-0.042343215348788335,0.03354643640451955
NDP,-0.018698288706909004,-0.03211639879560835
TNFSF18,-0.021770471798189743,0.07244871195116084
RTN4,0.02487329993785427,-0.00981225294585773
HEBP1,0.0436102197141995,-0.0025102713722559913
WNT7B,-0.010478210557089994,-0.044307863167116115
PTMA,0.06608729445572613,0.07542306921444564
CEACAM1,0.03399836170262593,
PDAP1,0.07411315833822192,0.011025288148390282
QDPR,0.051976672592539845,0.1434384996490735
POMC,-0.034012486490793865,
CCL17,-0.027832445230003094,
VEGFD,-0.0293546392523924,
TNFSF13,-0.029846698130792472,
WNT5A,-0.016438950388834913,-0.004632058836414154
CXCL8,-0.03951600518167852,0.0234980942359255
GRN,-0.05994681261458931,-5.97208315945017e-05
MIA,0.04110236512530794,
COL4A4,-0.018945837022282155,
TAC1,,-0.056304169957513764
RARRES2,0.027955362332647747,0.1112059249020874
FGF7,-0.0048931257973947664,0.061761182315307216
HBEGF,0.02890918709974482,0.04824392541913357
CSF3,,0.11380537528130673
PI3,0.018886116717703853,
PCSK1N,0.013756213363328345,-0.11970870755481827
SFRP1,0.019957981001870843,-0.048541902137089324
MICA,-0.0391511333062221,-0.006847429275606956
ADA,0.06025947995243388,-0.027681963750764607
LAMC3,-0.03190667075996839,-0.06509827102846032
HMGB1,0.06635658842480922,-0.14192100221354856
ITGB3BP,0.011636103803607528,0.1033758236300488
AANAT,-0.03442784182683406,
RELN,0.007262917938800183,0.12127417323000554
IL15,-0.017619035777999646,-0.04211855424386566
BSG,-0.06607069782908168,0.11465560770196671
ADAMTS3,-0.05334367517567817,0.0847703210532872
CD34,-0.013890963318763005,0.009248888892717104
PLAT,-0.026428199620689586,-0.05836652748577793
CKLF,-0.0003309873535238927,-0.0051120809573984615
CD24,-0.059735078242260674,0.08629936294150002
HSP90AA1,0.020249775719298414,-0.0854491403628335
BMP4,0.0015090985062590648,
IGFBP4,-0.0460003510158029,0.0752669590640418
LEFTY2,-0.050096563847629554,-0.06521449600726491
ANGPTL2,0.02613918916523566,0.021707085958848057
LRIG2,0.08353103340056306,-0.06006421690345035
ICOSLG,-0.023571275399789676,0.08544831493282683
WIF1,,-0.042859278448582734
NPPC,-0.03266198140669502,-0.003066068002412738
LYZ,-0.028139931542849193,0.10423454326976204
SPTAN1,0.0024027071001834783,-0.08417667562857943
LIPC,-0.02670224033178769,
COL8A1,0.014364561145220115,-0.03250809177953981
GSTM2,0.011702772331151521,0.051491738490237464
SPX,-0.05457025778996802,0.0006594925556410469
MFGE8,-0.039077083490840124,-0.051447639527028945
TGFA,0.08022178570710488,0.03932641124402232
SLIT2,0.009164567892802091,0.022812672000277482
PLTP,-0.05879597813840138,-0.009781841033176534
APOD,0.08852011855798542,0.05675226502371572
B2M,-0.09933414593216867,-0.008298371828551972
OMG,0.08886357873212668,0.04473356499360403
CXCL3,0.01774824509084008,0.015191589096676438
CXCL10,-0.03266197785524227,
RSPO3,,-0.01805785954507507
CORT,,-0.0022904726715770565
NCAN,-0.02166133117498706,-0.061961845654590696
TGM2,-0.07564849571194558,0.13206472770422337
VEGFC,-0.03197837108334706,
NRG4,-0.005158214561395195,
COL9A1,-0.038060852141676704,
GDF11,-0.008305766666874827,-0.02388638168237676
SORBS1,0.006065525369921236,-0.005791232493084036
DLL1,0.004901984796802683,0.11743901184084599
TLN1,0.004247236287540315,0.014914866602805086
SHH,-0.006830156643133717,
PON2,-0.0063831616718734805,0.0327356015799465
ICAM5,,-0.07602658231601112
HPX,-0.03442782772808342,
SFRP2,0.005114919169034006,0.19810474646321846
HP,0.08077849323030534,
CXCL2,-0.0005305430120822217,0.12484568869182354
CCK,-0.010772614898295967,0.005452990976560096
SEMA6A,0.07392284563793182,0.028943895685123545
IRAK4,-0.04026297873112669,0.1626542651972436
GSTP1,0.026948627347688738,0.019442382234538563
VCAM1,0.08091836755460545,-0.03088453083939067
NXPH3,-0.019847440342829682,-0.10348374019872633
MTMR4,0.012504508553907482,-0.02216750915048932
LAMC2,-0.024826821164773572,
IL10,-0.023947853251238636,
SEMA4D,0.1065981888767973,0.014943023826701075
TRH,-0.03503877227355216,-0.04430791304915097
SEMA6D,-0.06065442503691674,0.13690688315249375
CEL,0.052065673802982736,
PDCD1LG2,-0.002424152344847516,
SPINT1,0.019714657056954875,
CTHRC1,-0.02972514045847908,
PODXL,-0.02360652157139525,0.004164532078418931
JAM3,0.056574155435579886,-0.026129498318620343
TGFB2,-0.06926058030947829,0.019937536331783644
COL18A1,-0.0699576295134163,0.028899252557564474
NODAL,-0.03734750852512618,
INHBB,0.02715703223875425,-0.06227270207085606
ARF4,-0.025788292883957904,-0.026718666137488033
CXCL14,-0.03293644609289474,0.021241232580490422
LIF,0.004314614629642195,-0.043081757889552375
MATN1,-0.004061447590999392,
ADAM28,-0.0054114154676445135,0.10612374710765687
TCN2,-0.02973620399103905,0.059928328798491505
CUBN,-0.009284274734133067,0.06338898094950163
TIMP3,-0.04085650640381365,-0.009668401897780211
PIGF,-0.0023402345466952477,0.0021104223212671668
CRH,-0.01637071609145921,-0.0516365732675074
BDNF,-0.03163592169607839,0.07812336056398825
CCL5,0.022625464305986817,-0.06364435513020339
GAD1,-0.027376383483991976,-0.01821382093718961
COL14A1,0.016760732549586987,
