,MGH258,UKF251,UKF259,UKF275,ZH1019T1,ZH916T1
IGFL3,,,,,,0.008666883905154495
BMP1,-0.001624744659818631,0.03697905496765339,-0.023274427335092596,0.016170131979482295,0.023984895768322988,0.05779664819654021
NDP,-0.03150484123420259,0.009045114744177653,0.012446458679822761,0.06579967460338237,0.022305082746550114,-0.018459519737570575
TNFSF18,-0.017217144824210114,0.01986019312124078,,-0.013383382930971759,-0.04602618158782122,-0.012846276064611924
RTN4,-0.031786124136696146,-0.03089727568817475,0.02170025763401153,0.06990232527350389,-0.08347558200675013,0.01738287757772903
HEBP1,0.06316278993658764,0.030225297607673576,-0.012076279555757468,-0.014779474162192137,-0.1018052476439772,-0.009524783911925114
WNT7B,-0.015167765334157621,0.0011038193712401328,-0.03186427367396853,-0.024080852943445717,,-0.010668686582523412
PTMA,0.05739457020965206,0.04740024500357277,-0.03350560272760383,-0.013700472442645436,-0.059166231126596046,0.09358124791901262
FASLG,0.10990250655339791,,,,,-0.014244069206120893
CEACAM1,-0.021060580863786278,-0.013221174095439842,-0.029029811898360534,-0.007425745398867203,-0.032364216960750015,-0.019818530227354334
PDAP1,0.042421715876789036,0.04421547767999096,-0.02418159552888055,-0.01072088351543588,0.06913465931543711,-0.005258274148352116
QDPR,0.02272334240489009,0.03401202187542994,0.027688062084961232,-0.03376800441960589,0.025630053958797458,0.015344199831076745
POMC,-0.017987144079333325,-0.009933627476654938,-0.025462754245085043,0.09240271099781135,0.049088987292808285,-0.04360950129643668
CCL17,,,0.05989652827791786,-0.01669168417954275,,0.05022242442587497
VEGFD,,-0.018936679335939496,0.024441532827374844,0.01354031062338577,-0.04399844373426184,
TNFSF13,,,-0.014710415395333102,,,0.13636576298450168
WNT5A,-0.02552225446640184,0.019618137987059872,0.03748690922126415,-0.03417542699769195,0.07495324529727677,-0.03415063862250209
CXCL8,,0.16623798935959347,-0.026738758670224284,0.02064798795293747,0.03440303824628912,-0.014565793216732391
GRN,-0.026182725795604826,0.00017608976919386836,-0.00444721579520057,0.010392683055448873,-0.03795932455093047,0.02989232466456401
MIA,0.050847287301342324,0.05975160910775444,-0.030876036769568405,0.003363191698079287,0.04379403640703996,-0.012319647174481786
COL4A4,0.09169818619534378,-0.02832147584950722,-0.03256401791247718,0.01349483785754111,-0.00702034955165674,-0.03791451702981519
TAC1,-0.015167761369886668,-0.053039620616179804,0.022453211375914536,0.034280382087777894,,-0.01697236071931193
RARRES2,-0.0306880020453788,0.0008363040959453964,0.04124902448715202,0.009124193844429302,-0.008084936371405137,0.047726249614152075
FGF7,-0.04011541266593793,-0.021373544172825193,-0.03780287360953176,-0.02432496797561216,-0.008157099975890248,-0.014668956065877568
HBEGF,0.023179764687721705,-0.004891368548314326,-0.030609663982922905,0.01374557726597573,-0.020189283388222436,0.06397296604260268
CSF3,,,-0.025419109019855737,,,-0.013592921533147508
PI3,,,-0.006502056207703782,,,-0.015083402226693066
