,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.02489591771595537,,,,,,,,,,,-0.014974386125739312,,
BMP1,0.09324474139184229,-0.025418814972081285,0.03304206684909856,-0.006955343686514899,-0.0391151083826521,-0.00022162664190722054,-0.10718349606069683,0.0010357598796774067,-0.023062585497681955,-0.0940643340259704,-0.13588232409982826,-0.11182302222676764,0.1157982735184354,0.19195094790680067,0.05851433706220954,0.07842159485610846,-0.007904959369436705,0.01903520943464978,-0.00023408262935736048,0.011881557677207394
NDP,0.01936149457397723,0.019219506765001754,0.06504538531069594,0.05004229010543289,0.079788824297106,-0.04765536376589925,-0.07453051639250557,0.0029018648579674632,-0.008074921236507824,0.012997035942305874,0.004532964067420127,-0.05689428430745151,0.03418624928771754,0.07774513748486062,0.07667165481962117,0.027417181707191218,0.060763031061946624,-0.03736805854340875,-0.0708789592518763,-0.054487600193574785
TNFSF18,0.04944851458943783,0.0059290514009807975,,,,-0.03910402172186536,0.024246412092250987,-0.025053012193685546,,,,-0.043522590432209775,,,,,0.023153133545428986,0.04174837996406246,-0.033971170607617084,
IL36G,,,,,,,,,,,-0.025937132947275808,,,,,,,,,
RTN4,0.09678856586490672,0.02883725796505023,0.05017636490402969,0.05666827808942297,0.09499594212889116,0.07002884181364646,0.13754337293868807,-0.004176060389036158,0.05408108736924008,0.23066823356695842,0.23305167344421188,-0.03460522906108035,-0.07515716823303718,0.0403922033269454,0.08358914939629586,0.006809739960391565,-0.022871364190380696,0.03410948641670584,0.23633062997142004,0.02325063175687538
HEBP1,0.007494529192625775,0.03673127102830618,0.03982921777511536,-0.024255373793681815,-0.003488369339858407,-0.0056357745689589135,-0.05083610323244383,0.021301535296441524,-0.015660685571709434,-0.09268409668560071,0.02513056917329764,-0.06156105149870646,0.01783167646180492,0.013369919604387588,0.07423059412204895,-0.030606328314509868,0.07762419099356696,-0.027492502064343057,0.0005534028809258865,0.06082591430807981
WNT7B,0.019716801822948337,1.8796214423650216e-05,0.04360501526957229,0.03165519114138828,0.023083747853682217,0.02517177060079936,0.08470758616191561,-0.030011509122547863,-0.02116425283503286,,0.0567500056450807,,-0.00047378807853318435,-0.012843974592970866,0.017442541760897528,-0.0437039117553814,0.08686304230130104,-0.0066721533248596905,0.021074326953432504,0.12174413152959396
PTMA,0.08214840501219238,-0.017002107852984536,0.0662694529972366,-0.055290354491478795,-0.04450668846427156,0.0033771325595347373,0.022504043949945575,0.05784612171484254,-0.06096853520164966,-0.29806781146478156,-0.21696007009574994,0.06898418616852255,-0.10686445500667952,-0.1278311581364849,-0.06496365207780234,0.014775006286977315,0.011951121472144808,0.017123004756012583,-0.05670974069900295,-0.008817954042906907
FASLG,,,,,,,,,,,,,,,,,,-0.012987279978268061,,
CEACAM1,0.02622678175568852,-0.013997074124767936,,-0.026274341079143768,-0.015405852169258407,,-0.016495380667196247,-0.009631069759021598,,,,-0.03060376748295402,-0.012841804781199919,0.027849346322114964,0.03848083010311914,-0.03823546475718415,,0.004595309340728464,,
PDAP1,-0.02087198130538878,0.0014077109922162703,0.008076064356798198,0.005585617122284216,-0.05066045994536555,-0.03223786130705016,-0.08497233624180825,0.004997379905796583,0.02094829792718543,0.07031687566344895,-0.10073611542129952,0.03574603053513091,0.02655872240855501,-0.02052765014050591,-0.00020645654597698158,0.009545591616199695,-0.04560361241850823,-0.0017921083132395425,0.021636258953801845,0.09265752050011697
QDPR,-0.017276224642085548,-0.009963134841725554,0.08476745537410081,0.04310213688090388,0.06160828517601681,0.015540000627231284,0.05298896455285078,0.057427597484409926,-0.03437508725498586,-0.24051126648614324,0.07797934371222658,0.07335224966511346,-0.07677026949334254,-0.014293415892916248,0.01456510634313787,-0.02193678807854137,0.05110406977032832,-0.013806762442329645,0.06667124852840833,0.04280619656651852
POMC,0.0769741396561645,-0.02487056759014831,,0.06061542286568538,0.07551823416173722,0.04799288139069914,0.016358849748110648,0.05015530992564701,0.016759657227930033,-0.06485804571471654,0.07561623215855211,0.07821765316183141,0.018633168809788766,0.06514539895700754,0.06059474589788991,0.0030666836037729415,,0.06119556807826651,0.06805279911135702,-0.045072126334822354
CCL18,-0.025384206803624163,,,,,,,,,-0.10178846779207712,,,-0.023735740237372332,0.09683901630490742,0.01814469907593281,-0.04022557627371959,,,,
CCL17,,,,-0.015228933061595151,,,,0.04252086190147951,-0.026195412077990674,,-0.02369430730229116,,,-0.031235270519527784,0.0971519743682841,,,-0.011771510573962005,,
VEGFD,-0.008788692870807588,-0.020048000459620935,,0.018631401557343337,-0.014739447104565878,,0.024031584002595176,0.03207105267207692,-0.01921465155147169,0.1345809124809438,-0.025393923027624814,-0.04160515124738491,,,0.02585233015804162,,,,,
