,UKF313,UKF334,ZH1007inf,ZH1007nec
BMP1,-0.08854538789054403,0.08261456684813134,-0.0211328913938314,-0.005465177656377508
NDP,-0.015940070450060444,-0.015783819442419425,-0.024201679309631626,-0.0746939754893578
TNFSF18,,,-0.025257669095113035,
IL36G,,0.04168874882296797,,
RTN4,0.052068782066586605,-0.05464575190302692,0.01785880092364048,-0.03744632024330799
HEBP1,0.014275576263499122,0.01645076092673149,-0.12020137642589893,0.0011061126824310537
WNT7B,-0.028294207291436505,0.006081349469748808,0.025136830463272,-0.06735479449810232
PTMA,-0.0014369303667111628,0.040836932146909935,-0.011783948337631153,-0.07769882235469282
CEACAM1,,,,-0.05071984930267625
PDAP1,-0.022556974906277543,0.047652331647084246,0.07134178994637314,-0.056350147944054435
QDPR,0.054877546103268116,0.010517810045687258,0.029050460266185525,0.027215746904588316
POMC,-0.022698305365464216,-0.022940850271349695,-0.055600698146813704,0.017292860013664264
CCL18,0.06947833700183284,,,-0.04348961914985122
CCL17,,-0.019380002440124937,,
VEGFD,-0.0234678552160011,-0.020770148878423888,,0.04498497701246064
WNT5A,0.013435952146542245,0.0931148222117192,0.01260109828628456,0.08723122883632485
CXCL8,0.02707115229212682,-0.007522110455270291,,0.030846789749205673
GRN,-0.04480626414634855,-0.0241127715952527,0.03470788516565508,0.0347465380193193
MIA,-0.03182662774159628,0.020257227029697143,-0.024641004819083948,0.05201750090595215
COL4A4,,0.048786696236796226,,
TAC1,,-0.04890120149167978,,
RARRES2,0.012165825976258985,0.0007975019232395319,-0.05886989694490554,0.02018395259633191
FGF7,0.09467632294446428,-0.004671933168138509,-0.03024529731166158,-0.010452480918979021
HBEGF,0.049303610223479774,-0.0025962114530354444,-0.07812919501006063,0.05189074402719509
CSF3,-0.0352563746698334,,,
PI3,,,,0.05284129673603473
PCSK1N,0.049941242375655344,-0.0011360570712528112,-0.08649110887481509,-0.054105043636297714
SFRP1,-0.00826797691286783,0.0007632644001149741,-0.023852832935623937,-0.14231429842737447
CXCL13,0.006364777181395118,,,
MICA,0.0014688232134980458,0.038147039746509626,-0.010012821709134267,-0.07803768931078754
TG,0.031308479357838974,0.006337019212785537,-0.03236888233171713,0.14789767993467987
ADA,-0.016241813961672482,0.03560693277452538,0.03215126135284598,-0.04788003152562188
LAMC3,-0.024935232401487116,-0.07048560750872819,0.03170096790923755,-0.017241204965424195
NGF,0.02290915667224459,,,
TNFSF15,-0.00537339433929842,,-0.02983591556275081,
HMGB1,0.014487732096148355,-0.001337196588222795,-0.013049252213912139,-0.053421415472761934
ITGB3BP,0.02711938437740323,0.03915774704405564,-0.009530249499750032,0.05239120600258057
AANAT,,0.013101176906077911,,-0.040369397927692084
RELN,,-0.028780280291680508,,
IL15,0.010412301812059002,0.13419852749865036,-0.05092955267660295,0.08545445308494683
UTS2,,,-0.05514070871350168,-0.07751951966117009
BSG,-0.006343045045888136,-0.014186464359594858,-0.06775422442655663,0.05447692036721697
ADAMTS3,0.048735351738889626,-0.00458939718719786,-0.027007253245351238,-0.04281305418533694
CD34,-0.0430661403534772,-0.01416680409778933,0.06492418526547425,-0.005402556502267881
CCL23,,,-0.0281534537788106,
PLAT,0.013325193793708577,0.07433420653445844,-0.027438892880580084,0.009522040992493333
NTF3,0.028953998964736927,,,
LTA,,-0.024110480579591528,,
CKLF,0.009062433225846525,0.062481060328366846,-0.0010043835888744787,0.037368232058018265
APELA,0.05775433226734441,,,
CD24,0.07314429337099077,0.016846258304814576,-0.08501005399483383,0.06448417598462934
HSP90AA1,0.03885796678311673,-0.08385588175646813,-0.07543008281086729,0.05412008629600201
BMP4,-0.052101999501785325,0.04471167687844197,-0.05037502383563373,-0.0447624945048616
SCGB3A1,0.014048321289672988,-0.016823974500668377,-0.03474362370490062,-0.048995869672891726
IGFBP4,-0.012938400015825554,0.005460794406664993,-0.01846519481814504,-0.004415556939303884
RSPO4,,0.05002869925052595,,
LEFTY2,-0.025386194899576133,-0.006688066514536946,-0.14278927778852693,-0.0957447933466664
