,MGH258,UKF243,UKF251,UKF260,UKF266,UKF275,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.018602410266979074,
BMP1,0.015336136905994717,0.08890629554705941,-0.007307717770728709,0.0676825781183521,-0.007081500748863958,0.008177163598804436,-0.008086049088539524,-0.02760148772330938,0.0024882382314593025,0.017523299274778536,-0.04760281511615148,-0.08091553758116177,-0.006469638684740942
NDP,0.031954927227100936,0.008927047777030949,-0.04183216571549864,0.0207952356122164,0.017451195113087778,0.006489478836341057,0.07936026780264385,-0.01469511246467023,0.056796503623666346,0.062580883612829,0.0002840497806300719,0.010124986154505747,0.09937879222912195
TNFSF18,0.08955217484583941,0.09608172192407304,0.06695045493967965,,-0.014925466456516536,0.005172509571438159,,,,,,-0.03137894035082053,-0.025685320809149606
IL36G,,,,,,,-0.015082911163072,,,,,,
RTN4,-0.09417498496704968,-0.03508694427676794,-0.0020658815582672535,-0.025731814808202684,-0.00881107790030641,-0.01333008389575495,0.017373579581043474,0.021870833604474928,0.019378834147891294,-0.023019836672327577,0.04982099198372561,-0.019893075057761687,0.016023148513682407
HEBP1,0.006903166388433861,-0.011376536913681007,0.00604974697091932,-0.03733427469039619,-0.005136322443289441,0.03558693051394141,0.023794041913482097,0.06057735319823548,0.018585715447625772,0.056764196266434495,-0.05144663242369156,0.06135616342038256,0.01731352697317461
WNT7B,-0.021389027918170534,-0.015635242678197978,0.056989487999453976,0.005463279238405772,0.04646968210864187,-0.040433272109317214,-0.016577857544006872,0.0630732808844621,0.03655110782411256,0.008019750757080958,-0.026558531938768764,0.04001759590278132,0.07824542548752242
PTMA,0.027650641515832717,0.0008744926697379649,-0.0648043796406905,-0.0030799491943170024,0.0654197612381688,0.01180164281477421,-0.01733845737090543,-0.08095334582063951,0.05168713765505947,-0.0576411116010703,-0.023661119870213815,-0.07574156158711026,-0.002990508907667582
FASLG,0.06510330320272335,,,,,,,,,,,-0.016133864078246983,
CEACAM1,-0.02969886085025131,,-0.013221172518243904,0.046855299179532586,,-0.022185232729036383,,0.13873744812980526,0.10048685022278085,0.004444129324854864,-0.01762728390709366,-0.02244790223157319,
PDAP1,0.08767300135408909,-0.020495187861167427,-0.020206896289697813,0.008843986661034876,0.046441726162964214,-0.010708275227974072,0.03782102115560696,-0.026645693439883024,-0.05595290845950114,-0.0005947848842167609,0.07313714593074502,0.04671474829173769,0.006296278490622662
QDPR,-0.06001627300509642,-0.022863475671657932,-0.01205202603631755,0.04488514829934681,-0.06133304704315196,0.005151105134320142,-0.026183832481151675,0.08511257595331634,0.054172455117709864,0.08551877428112394,-0.010645907782910106,-0.005686159887105891,0.031943411679874974
POMC,0.019546161732475965,0.003691105675492171,-0.023491914224712872,-0.02134519230901806,-0.039376390835771255,0.017096464452789114,-0.02109588178851695,0.21240351875367722,-0.042816808460017,0.0950387622114271,-0.002546276440972857,-0.03456143360074921,-0.020528230670649218
CCL18,,0.004106375466169949,,,,,,-0.036420747378635605,0.02407065873765589,-0.009194527564537855,-0.060703883330451125,,
CCL17,,,,,,-0.0017048746082278456,-0.013778667551169004,,-0.017818944226704707,-0.038656985453324896,,0.013239754439249846,
VEGFD,,-0.0013648084197912186,-0.018936677076922745,0.038619485919158106,,0.039473017117572014,-0.014767024785897994,0.2549134227050092,,0.06454717310137147,,,
TNFSF13,,,,,0.010536339769841144,,,,0.2110344915973532,-0.022509325182956785,-0.01979425840240913,-0.023827830744325523,-0.02794196529425478
WNT5A,0.0028178281331242582,0.03181671480456043,0.06418774899122515,-0.03711005025560544,0.038152200408140054,-0.035966589460089064,0.07852336069641548,0.04137120176258019,0.029266464183237955,0.011369834238758482,0.011658472655379259,-0.04709799332879601,-0.04581961043801864
CXCL8,,-0.0785621166624168,0.01933920722667811,-0.020095913716181378,-0.02058916380800516,-0.023735752529735577,0.021983702059636023,0.0857061855833382,-0.034116851098906796,-0.1514069569546776,-0.02527749456543855,0.05916451234209408,-0.0020335526379570337
GRN,-0.03196525884183429,0.05445204565254597,-0.022053891421252685,-0.010593252121687796,0.02702393995257918,0.04217468999292694,-0.05021830116040241,0.08608369478930294,-0.03402967085994495,0.00856182727470271,0.009601016539855884,-0.06715711465613455,-0.00044379249461747657
MIA,0.03733761691336028,0.020069675406766362,-0.01684095629691982,0.028754859067702605,0.01550130920374213,-0.03457890779627118,-0.020224117181005415,0.28475290132919007,0.0785437651032833,0.10631666951001932,-0.05809109567104678,0.06594042333191605,-0.051185450421090295
COL4A4,-0.02477110757113753,0.023684058314925805,0.008241897430019024,-0.013095712206590775,-0.01377193178303275,-0.018367441669770376,0.05048786050308569,,0.02697936764282415,0.006969206231399719,-0.002037013809865745,0.009954643597298102,0.05169986298360751
TAC1,-0.021389022327900627,0.025173701764237597,-0.04102911488638384,0.022788337846664848,-0.06504069559434007,0.02542047356148249,0.02770139240860272,,,,0.14766783346945583,-0.01922412457913979,0.060042508519790705
RARRES2,0.050532972298074554,-0.000843968379387137,0.027547288523289207,0.01990326681954409,0.04181337973856938,0.018714256661219075,0.02989338391024926,0.0442699021494369,-0.022550706185240212,-0.02258740767773769,-0.04802843603217717,0.07442555488391434,0.014328036061812282
FGF7,0.03147224529113045,-0.028156399220208798,-0.021373541623107083,0.04614127288082499,0.03005082818745455,0.05492692749997905,-0.04441663293836781,0.06263408421472152,0.06531009548612593,0.009087483664170247,0.03359549529561043,0.0783691314115795,0.022819050991373224
EFNA2,,,,,,,,,,0.08991749001479957,,,
HBEGF,0.001066496287271462,0.08227000669186359,0.02610355273771581,-0.00702381804636143,0.08292549882242685,-0.035318927350065955,-0.0415379523806634,-0.06679115818129408,-0.0324368838877321,0.02365560355981633,0.019593939732082323,0.006609021695951711,0.018030724591787815
CSF3,,0.04609024339422356,,-0.016825492773041708,,,,,-0.05703091602161169,-0.0787240461978037,0.03214277368318202,-0.01539632707961284,-0.03284973160240895
PI3,,0.0017564020433403014,,-0.0024602852153263713,,,,0.059319869675874715,-0.04099047892051747,-0.12772088842970175,-0.005763789616307385,0.028227172937537733,0.0435478212901356
PCSK1N,0.04639274848078488,0.04343430900073503,-0.022162377939072105,0.02849436069547078,-0.03716308973950069,-0.05288707819942615,-0.025539191217411897,0.005196660881048923,0.01801590755871588,0.02373517797854153,0.054996005332636134,0.030980185885565167,0.05889753591796867
NTS,,,,-0.05949154433582727,0.0059243881662786645,-0.020982667029399604,,,0.060027837771780695,0.039047413112830706,0.013864432897292408,-0.022799860943001224,
SFRP1,-0.01568470219938725,0.12509577862358087,-0.0015341662934993375,-0.013950891551266548,0.11094069710251557,0.019531293255328416,-0.0008560610526077311,0.06564605316688522,0.0642096820616923,0.026309714688809095,-0.010111957159823659,-0.022270049936808402,-0.04098268509296025
CXCL13,,,0.03269562087236352,-0.02733443759166118,,,,,-0.029149782440487233,-0.005580173879435351,-0.023477251482876264,,0.0498311928530905
MICA,0.0034827223095128396,0.035843083204438124,0.012911562820454685,0.056629378662871474,0.04914669308236575,0.005704289495228724,-0.01390583261061673,-0.09593906171490124,-0.04264266802948543,0.06819543212141636,-0.04864734570661762,0.030890264233883566,-0.043687329007061924
