,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF313,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.03028777299287744,,,,,,0.14978244341068564,,
BMP1,0.04612101658623831,0.07256672847368144,0.05464445762388133,0.061096038843103544,-0.16380110560795486,-0.08193309749489133,0.025142240465577895,0.045964237073533955,0.019367923047298844,0.04740876622744972,0.09685220364904781,0.04638910560691873,-0.040397659500158195
NDP,0.007412718336395562,0.014289617124183382,0.0741133729505636,0.0031985645347200682,-0.01372016869767289,-0.032492267365233626,0.06326047428281048,-0.04351345922653362,0.08185936544063716,0.048038945045392016,0.0642584315926598,0.075506082977779,-0.02479741940315574
TNFSF18,0.021576958389914483,-0.00706289780589383,,-0.02487023512901578,-0.04497643363056117,-0.02086831793054244,,,,,-0.004997314189132112,-0.03518292860220731,
RTN4,0.05129955780523461,-0.05286885376306066,0.05116469875280189,0.055021310392421904,0.2686898833853441,-0.02759377311530238,-0.05402240805304821,0.02662689340386488,0.02592992986447648,-0.027158484595270375,-0.03833842028299195,-0.016165849839055557,0.12546157796290236
HEBP1,0.09357661068443035,-0.006473578610098434,0.050764013033756834,-0.03560980140942246,-0.06997802856212562,0.02322292114353403,-0.02582119010665791,-0.010927395314351331,0.04506002679560127,0.03586927561829688,0.09826005283933205,0.04999286856692791,-0.06474035620950909
WNT7B,-0.018764086703354516,0.052202831389795805,0.04657432062741021,0.06209582112102967,0.20338307351576104,0.012087794397200037,0.03357980939925458,-0.03046730404317268,-0.04569590965226146,0.04342796702159862,-0.039912033756508196,0.029504611869214752,0.37276347310643887
PTMA,0.025305067799874664,0.01382180559783526,0.04277792977929921,-0.03426211949129604,0.013966096551592817,0.05503600284888639,0.021674978975257844,-0.08065366507472058,-0.05383650721942773,-0.11912525725805773,0.006984865892250777,-0.05113697671049422,-0.22148500482959113
FASLG,,,,,,,,,,,-0.004544544389923719,,
CEACAM1,-0.02586736836200243,-0.014296302618219332,-0.02779795941699599,,-0.05918642499170159,-0.032820892561108504,,0.025422480756388473,0.02921978299196735,-0.018272034012226886,0.08861083952671545,,
PDAP1,0.04004758511095255,0.02046108757239952,-0.003750203942894692,0.00739733817830042,-0.14449817239286278,0.011412485628175173,0.04167208195025335,0.0026795412853125884,-0.03171598131829549,0.009399764223501675,0.009776268047713156,-0.019970972010660726,0.021976837678007847
QDPR,-0.012501834535716874,-0.02583174961782134,0.008303898537325483,-0.04258858925967368,0.05061248030386558,0.09153153867492934,0.05998699290846839,0.021100913470131124,0.036263634272996996,0.05246976123995782,0.02588751094424045,0.006508278853570019,-0.13771309007220756
POMC,-0.02983512336397827,-0.025402248883320325,-0.033485584305880195,-0.009491662501218712,0.005992200356458931,0.0918143410733672,-0.02720186441836077,-0.04143118882710542,-0.021505105112612617,0.0776357241945119,0.05376066587048902,0.0712468715320559,-0.00011902462245527725
CCL18,-0.032280031662643954,,,,,,0.07392177638455837,-0.019372857728900673,0.06669692564732958,0.01376429001250513,,,
CCL17,,,0.00694774917288429,,,0.017661685412697553,,,-0.021596633391836303,0.09905949195031923,-4.69868188295844e-05,,
VEGFD,-0.01117084674492037,-0.020476585242467097,0.03984883200621341,,-0.05074014426932041,0.014277504142630739,0.15239358948030868,,,0.0039847432552612685,,,
TNFSF13,0.004123910746222295,,-0.014376154627743398,-0.008801235273978799,,,,,0.036725854717476185,0.030043853365049365,0.018281350575963834,-0.03827400783730636,
WNT5A,-0.000108635366101078,0.036161738767905544,-0.0032342709497027505,-0.05621925405641847,-0.15034258196288314,0.005941159572117865,0.07299421086858325,-0.03245918857661136,0.00876294234542592,-0.015911440975125042,0.03917397785717626,-0.02861291422061438,-0.07421457153989257
