,UKF248,UKF275,ZH1007nec,ZH916T1
IGFL3,,,,-0.015714768326731788
BMP1,0.07315922389808166,-0.0004307787795189436,0.2069420420949973,0.0738183060188288
NDP,0.0711196696848541,0.035222210714072076,0.05908124598604352,-0.014678719129558827
TNFSF18,0.02668606120473591,-0.01670528141097455,,0.09551175085105817
RTN4,-0.03955493091311209,-0.013030697262573988,-0.05461484113969196,-0.018624253648580346
HEBP1,0.0032708690594152987,-0.026048526152204387,0.05864599215732572,0.0025615395439239456
WNT7B,-0.0371733213034569,-0.034284533346323476,-0.07155109792002863,0.11881452068311436
PTMA,0.004964962904421396,-0.0031796165838813882,-0.020845388625824177,0.09480591082058983
FASLG,,,,-0.013629413208603796
CEACAM1,0.015669589255703678,0.03970784059681742,-0.0650912479939244,0.003440570061538068
PDAP1,-0.055772276804687326,0.026274039054973487,0.008281564916014396,-0.016244179062114682
QDPR,-0.02214564046606708,-0.0005448392851460603,0.017535723825779583,-0.05200111624777472
POMC,0.016162105960073964,-0.01938348752675848,0.1066911852562258,0.007496629896003705
CCL18,-0.020332610499493396,,-0.013066174983365902,
CCL17,,0.05965040792553321,,-0.012353532223101621
VEGFD,0.03428675729478972,-0.009406661825169697,-0.028804833465974924,
TNFSF13,-0.023528215852576785,,,0.06086972401196414
WNT5A,0.027254091281021433,0.026610999458752668,0.14763135592572477,0.08376411716496034
CXCL8,-0.025705631310266167,-0.03561030566156066,-0.044150951473298075,-0.06179309220025555
GRN,-0.02411504292472526,0.01016283391600938,0.18359057879760413,0.035725059582056
MIA,-0.03195674276221198,0.0018328137573260244,-0.004673525217067882,0.0010224644949571623
COL4A4,0.0012261952282691024,0.06618307759306388,,0.07898575568969962
TAC1,0.009364751190597077,-0.01126367895269522,,-0.01623997426729541
RARRES2,-0.04339387746582855,0.058452309148957014,0.0015732672652234848,-0.06081954562386794
FGF7,,-0.024682612348006762,0.012381533723871291,-0.016980569652084925
HBEGF,0.04753713341922496,0.029905947604208536,-0.013823203240864456,0.01082854593358246
CSF3,,,,-0.013006363673646363
PI3,-0.03280097353639893,,-0.03232053211856505,-0.028258507322102777
PCSK1N,0.0182811587791572,-0.01004816654949393,0.04365665357122917,-0.09022919360676745
NTS,,0.03048595293706037,,-0.019260651037084662
SFRP1,-0.01538637221167122,0.03672802710395569,0.055055172208994654,-0.018813082302722748
MICA,0.05948458864915114,0.015501735327448796,-0.03964003553298315,-0.006437868977203861
TG,0.0194598540121615,-0.020990210416127118,0.14506904208795177,0.00697726638097912
ADA,0.061236177575494585,0.016054072303945732,0.008532307208176581,0.06850197346009916
LAMC3,0.11431735526674501,0.005993871915073971,0.032525772040950744,0.05341409278457808
CCL7,-0.01983208551955918,,,-0.013629408362147141
