,MGH258,UKF251,UKF259,UKF275,UKF334,ZH1007inf,ZH1019T1
DCN,-0.012543533597163986,0.021720323262025804,-0.021250383475479247,-0.004411122733048288,-0.04173854718600361,-0.020172082874289773,0.05340272573928851
RARRES2,0.08324753562411633,0.0025524409099648014,0.06528691263689823,0.024807751096125177,0.1048949086759623,-0.03082919175760699,-0.03912784241593762
SEMA4A,-0.03427479048890741,-0.003945968757344851,0.03832148088045536,0.015122674360554787,-0.05821369001082708,-0.029256959642069667,0.08239708460052068
GDF11,0.028382354106330023,0.0007450328238853067,0.040175510709928745,-0.0054380679877118155,0.07366965885557418,0.10637304556137847,0.019761833340872493
GPC3,-0.028795753796352564,-0.017267645434233227,-0.015859097556935462,-0.012257685885022521,,-0.0358826582248725,-0.04158868830077763
OSTN,,,0.03921143952962178,0.025016946052954257,,,
GRN,-0.1353958091007241,0.0020531797624332515,0.010542671222772563,-0.004625032814919933,-0.03708465958923249,0.07209016907870161,0.06781701690846335
CALM1,0.0619404865032467,-0.030357479342772487,-0.026206526400096457,0.04741242853303401,-0.1577665601290104,0.014434294894829088,0.03588240427848171
ANGPTL4,-0.024127772631014788,0.03102445189654137,-0.06841300868493708,-0.012552513250225487,0.16105734254256482,-0.021933698598036854,0.07798867819194684
BMP8B,-0.02985747540651811,0.03544592532874273,-0.015662418094629777,0.04247981884345854,0.04003944970132527,0.04717515750433125,-0.0218278983936205
TNFSF4,-0.009446539359373837,-0.01769006464794317,-0.024363379301163657,-0.009414256663719377,-0.016422748764487148,0.04103591474216066,0.04139345803924547
RBP4,,-0.03084633351884715,-0.0202186027593917,0.013697080958069903,-0.07152425085355663,-0.032038362853772206,
DKK3,-0.0033058158184088924,-0.020976237322158926,-0.0037186238281435658,0.026919782493433426,-0.12641547000082634,-0.031169518758937274,0.04719238084581389
COL11A1,-0.01349400462398385,0.012171032973704435,-0.0025062841808041274,0.011033753121948516,0.024243745374089066,0.08641830205079198,
COL5A1,-0.007190646916827073,0.05088912933844618,-0.014866381577188512,0.030735731360804007,0.0038757585015255277,-0.05985595428187495,0.014370624160289086
KISS1,,-0.027886343543737754,-0.015956612578610575,,0.032935299921692064,,
MEGF10,-0.0007637326110707249,-0.045239622607545854,0.01639435271251849,-0.012663480787057846,-0.056142514567735585,0.007652770055402429,-0.034885593745660755
CEACAM1,-0.0011161715562856467,-0.012055896488437145,0.018485250985862952,-0.015230884713573123,,,-0.017900517743271917
EFEMP2,0.007950813819245204,-0.02047150609226898,0.05684053032856692,-0.018326903670252963,0.033957996796785996,-0.012080294960555342,0.011515067718706777
IGF1,0.004647287423159899,-0.014220048179270597,0.056819662157184564,0.018936560961413065,0.017558562219360523,-0.02791114361012768,-0.026695660706371978
COL6A3,0.023668431562352814,-0.016944648706972425,-0.04770990432794081,-0.0024776583648946607,-0.014814156011595603,-0.03921507581175781,-0.021142236299099466
RLN2,,-0.011600951258197906,-0.012976962154239055,-0.010942902507183093,0.05050417955655148,,
WIF1,,,,-0.009458962461932263,0.0004978853512015986,,
IL13,,,,,-0.013448120741422638,,
PLAU,0.016051209154353218,0.013513234979477559,-0.05148060578233915,-0.05053666659742241,0.057596088891636046,0.03141954170804629,0.07037679044420622
