,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
TNFSF4,0.133554015379349,-0.02334440406038214,0.01254719230511457,0.028705428057769652,-0.0006919053002765351,0.044393448205978056,0.08263768562281971,0.06251082173578675,0.04158656215949582,-0.027316109390273208,0.053168500496366976,0.04423853359786983,-0.022836858440004226,-0.024391142214428056,0.021486984059048708,0.07270092312240392,0.1487477029513274,0.06792059568288697,0.05281728959535402,0.029231673457793563,-0.006448342058142722,0.2200980133202856,0.15937714196459535,-0.028446437222256628
RBP4,,-0.04113722865722974,0.044712942314110264,-0.031062348329080516,0.028977946988991327,0.18186898831363266,0.10392704135997131,-0.21035307536078723,0.015153363481121751,0.015878454216166165,0.18233102644621024,0.04391959235713553,0.23031473946346742,0.14561593116530186,0.05280691571269908,,0.023302849283484847,0.015952818160799992,0.028095979782300384,0.005884423161870679,-0.030921438470497838,0.05929958323579067,0.033004507135168115,0.03748464688939975
DKK3,-0.03500482162094274,0.09134608387065309,0.07741730179841443,-0.04548037444541657,-0.047413822354495,0.13453792305285414,-0.011859586386167457,-0.24384215432234782,0.06383589044205322,-0.02996949456311797,0.08016444160529733,0.011247836312224096,0.18596364456606695,0.09700213667235259,0.23521620774018798,0.03174675818574667,0.09354391119870253,0.08117886503124623,0.03485056029600611,0.05412670912925546,0.025023618793690208,0.1111640456883224,-0.06434965010065556,0.14170437364388244
COL11A1,-0.03451946749585334,,0.06582793011897763,-0.03023219248975097,-0.0315982736150403,-0.052740389246799045,0.0008793367569156817,0.021768519114441172,0.023081930023832853,0.01858334318235934,0.1518615881842234,0.04237059214529041,0.025908389122122507,0.0641933337371505,-0.0333930728272033,,0.0203884644518895,0.01917812571499789,-0.008632715894115251,-0.05133990238881645,0.036711867669524834,0.11153173310831589,0.127024747750543,0.049086849391965226
COL5A1,-0.013733869907314834,-0.0180454838292631,0.17085082931344747,0.16130855706546582,0.05039486378385019,-0.03375749398020619,0.04491954394076062,0.17957041517287403,-0.03921812998113191,-0.01313633334748889,-0.03488459027468148,-0.10929573102028606,0.004843542969431027,0.16461841769310223,0.07072468661010906,0.05116218582543502,0.12044362120446919,0.10249411183065732,0.13128093236656832,0.01462173268875724,0.18916972468922,0.2993430776698445,0.170196454428913,-0.040145174876372536
KISS1,,,,0.026636991013335373,0.05311964426684784,,,,,,,,-0.03038517955487497,,0.08561898380103126,,,0.006413230709833206,0.020785559229958638,,-0.01793898381781081,,,
MEGF10,-0.05206512003852722,0.05575742178150638,0.04389276647063649,0.055413106402726446,0.017519620940421903,0.03966608043357466,-0.009045183493743274,0.06045829808900069,-0.0057617254512958545,0.0027708673917854923,-0.10202303459593183,0.004623120742028831,0.019245619664488994,0.017320836868082258,0.0637327083857043,-0.01980848303387129,0.015465696258841958,0.001840810452204237,-0.02585660818158006,-0.010541366259464197,-0.038918871857470214,-0.022631446085145866,-0.047224262804531285,-0.031190048263709403
CEACAM1,-0.03578918130760336,,0.03256297983839995,-0.02523983601341425,-0.024459706738339932,-0.03599802608291591,,0.08270600458630044,0.009723301713631904,,,,,,-0.06059322518488823,-0.022884331190809206,0.13134131674095414,-0.0542383465055067,-0.019411563022128497,0.1112486874041089,-0.03021774358609259,-0.014331243831462207,,
EFEMP2,0.0007802853611569055,-0.07938478818966731,0.07336727701183796,0.016979838501191356,0.07903352069101087,-0.03930662663869499,0.032639590526306494,0.2651930974272237,-0.06786921257640334,0.01878181942804839,0.012817062662893739,-0.06405990622442732,-0.13177776352780546,0.14624651649889941,-0.02121460711855055,-0.011295041416601112,0.05094853965238874,-0.017933737892332977,0.004143309404039007,0.022291442248754213,0.04420792514809717,0.11980777544713596,0.08926419165573421,0.03233428803843434
IGF1,0.013745940533206718,0.10403301928978666,0.04868183790638592,0.06690006039879835,0.025606483331032,0.09975244181441947,0.025030904184248838,0.010191118517033576,-0.01027152800575427,-0.02506072219578883,-0.007052204825842609,0.029198761502859875,0.005362200339768135,0.0431854588848667,0.13308898364034666,0.013294672699698666,0.04340152866550971,0.04685889728231433,0.0020192385140848784,0.01624717173994726,0.004896419227544461,0.2401441001672038,0.09451528104761134,-0.014037007221117496
