,MGH258,UKF243,UKF248,UKF255,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,,,-0.01108146249545177,,,0.011417007018095365,,
BMP1,0.059026848387671436,0.029496709252609707,-0.026819270732070348,-0.10156206135646528,-0.0036267933671566355,-0.011286619150409868,-0.04710826017641344,0.022658767932576204,0.03880353398966026,-0.02818608813268302,0.04258486669202103,0.007933887154062524,-0.05419250210018266,0.06195959483508603,-0.016657037515983287,0.11484085416937208,-0.03499721247498099,0.050445199743914135,-0.034689939729853514,0.04375117608515528,0.07426753562187872,0.05902013234898533
NDP,0.01654483540443248,0.053172300300807954,-0.02690478968814501,-0.07760744016766931,0.1188045302507216,-0.030023765960711254,0.029422325760181618,-0.04602987188329824,-0.04864141635938145,0.009915516930521274,0.02523115923640065,-0.035223143444295495,-0.08449312069569435,0.07329974157462071,0.015652346025085584,0.04140705014775593,-0.048423521845062795,-0.020184636397541426,0.055296266083846246,0.05242049537590179,-0.07058321218797842,0.03049104375702435
TNFSF18,-0.021153796781782253,0.008444827864169016,-0.036591113674652835,,,0.02896838390588913,-0.01300799875836387,,,,0.012132988647464349,,0.1213135460417597,,,,-0.020338978224029927,,-0.0431413577035139,0.03573255132375279,0.011240628831709716,
RTN4,0.01725696143884204,-0.13198730898809044,-0.032351787428840276,-0.08558598409256406,0.0329199033974017,0.006457032503796827,0.0010968413649472461,-0.02617789130591029,-0.06064113087981297,-0.035683415482004564,0.014799790387824927,-0.03547001164123895,0.06337151857756958,-0.1513394499065995,-0.02238668527142218,-0.0004985590843362555,0.006218630232860775,0.015363201387561698,-0.09309245129860944,0.007296823314936454,-0.08042342149136593,-0.001107431797372894
HEBP1,0.011817771614899998,-0.015739415621445284,0.03179582289067459,-0.017230474136815617,-0.0621995326825912,-0.03571239314740798,-0.011510780380181005,0.030629503888826813,-0.013725429762009378,-0.0010163835222711112,0.019811392456505927,0.014941545941064343,-0.0753225306150023,-0.052973343890170464,0.04362740256149593,0.06880041471735787,-0.013311005572443139,-0.010863452118882828,0.016533331550277513,0.07442418051783405,0.052117551028945164,0.0583887770360613
WNT7B,-0.018635832409410667,-0.05372345301390047,-0.01879198678269744,-0.041014802776910005,0.0022528132135475826,0.0028854569741755026,-0.037286217556633805,-0.016442653383900732,,-0.010368305600907617,0.0904093695386326,-0.09862134399027737,,0.05366395400913646,0.05420003973494359,0.024274020308055345,3.5092872295913536e-05,0.007192553972173968,0.0046827675904362685,-0.0026640787211375866,0.025323649963539512,0.01097401786886247
PTMA,-0.00040596828836023444,-0.0996816092502255,0.04037675806452427,0.002424357414643578,-0.052049479362193424,-0.03545829608007392,0.03773497861153002,-0.042244209950637074,0.018280623967934326,0.05568359247992508,-0.017325497670358413,0.10892356806929421,-0.04548141286651004,-0.0880703600878032,0.03084412996984156,-0.006097106448138246,0.036673356180494054,0.05293808268809174,-0.08277856060481284,0.02623071034722078,0.10443372488410747,-0.12308907355129285
FASLG,-0.018635837677712746,,,,,,,,,,,,,,,,,,,-0.03173353225646857,,
CEACAM1,0.0485897424783874,,0.006564153256152056,,-0.013436798497975733,,-0.020458483098843416,,,,,0.05023623081058417,0.028530607147878074,0.02146614621667804,-0.03634853664556122,-0.025349350225641006,-0.04872225917149495,0.00909938648337128,,0.0437794036882066,,
PDAP1,-0.025144985903208995,0.04251431925857319,-0.006877450696633992,0.03500577769455823,0.02139764915157068,0.027816905015258873,0.03828643689308155,-0.0026617763559409263,0.022687438072357957,-0.014185244924139894,0.0704813317871992,0.04853739779515422,-0.0005096183632069816,0.003976090325748671,0.009002859215401532,0.015534564195323546,-0.008669318544115399,-0.03288926956511521,0.007413930987741562,0.0297741575245653,0.03178136486048359,0.04390952639280825
QDPR,-0.00812347833315406,-0.020152718468383797,0.020185594004521936,0.0009850496029319227,0.06976716397816721,0.04954182229254257,0.0525912382855684,0.002668237432261246,0.0019256745186374182,0.0008809454619973827,-0.0598691399514527,-0.05565689399457547,-0.034897024251734535,-0.07152390192096628,-0.06498023884024218,-0.03258224806658671,0.07550868994808778,-0.004522939445593754,-0.0823164815795023,0.04703852643026457,-0.11702926298721769,0.06639035663268568
POMC,-0.02285831587414553,0.03620744028181605,0.03659437370764497,,0.06873002538896662,-0.024956332132413106,-0.01509345311089414,0.010786591871208737,-0.051211456524739414,0.011784246279612092,0.0632386087839399,-0.054416897874918074,-0.0461445028204277,-0.013810338792908106,-0.03415970237351556,-0.05614100816521071,0.056562219912808354,-0.04183444591992421,,0.032202907656904145,-0.000692304008507192,-0.020158206248148132
CCL18,,0.018135222339359477,0.019109468959994286,,,,,,-0.044026132110196854,0.030345473333814044,,-0.01895438227750433,,0.05981964017940411,-0.007164406201416264,0.03710455151779051,,0.0013455734811135484,,,,
CCL17,,,,,,,-0.01622350703124719,-0.020351395553821764,,,,,,,-0.038317324808102654,0.06150469460185945,-0.026816252701746677,,,0.016530309310998626,,
VEGFD,,-0.007457590694515534,0.06672181822609621,,-0.012855568036075554,,0.06384655857604679,-0.014927994756815091,0.012961769725057614,-0.015037429136974406,,0.05452499580742644,-0.04281638423855742,,,-0.044293385603857253,-0.005269644019873246,,,,,
TNFSF13,,,0.04133430409626396,,,0.031047538105753416,,,,,,,,,0.03627128410078527,-0.020099111733994292,0.05338242484974355,-0.03407448549631308,,-0.024778099698700835,-0.029689461023222053,
WNT5A,0.022249746295022035,0.013867606153557945,-0.017914320329991792,0.005049018149036085,-0.02937410303203031,-0.018597774662774163,-0.009330277485830929,-0.0027406656570042078,0.01977489621019838,0.008980184877241077,0.020118115295220673,-0.0481129504667752,-0.05702069537758616,-0.03903357063623422,0.012218684614864608,0.06331257652145346,-0.01964568852402665,-0.003590133479753715,0.1014337086158316,0.024153309041772833,0.11745782800042609,0.11194793940292702
CXCL8,,-0.01887064605584096,0.057555475767554785,0.012703517878359147,-0.027533925652578315,-0.022436915138437114,-0.00738727262853871,0.026259598683405005,-0.04089721985422075,-0.0014330834711941147,,0.11740989410850601,0.005017485594650958,0.06041951503898547,0.0032959404557217522,0.09685076994786385,0.08908111109205102,0.044310978363255746,0.06282761311793146,0.05596453584161524,0.13590667529487496,-0.05986773215294687
GRN,0.016061136798278294,0.053470334747813104,0.03262074858724951,-0.07772801156425922,-0.02678246708811522,-0.04225947748099838,-0.005271986857415071,-0.010792079519718127,-0.02633145902501365,0.0482469962190064,0.015690224316608162,-0.11143408732231219,0.06650438754437811,0.03218095292540592,0.009490833512614646,0.06498345141680728,0.03911703325440972,-0.010889786576917778,0.015833358460454024,0.020329073531132193,-0.01168038875423714,-0.015411289290025078
MIA,-0.02439270413899636,-0.010886058596861856,0.025961675773961256,-0.04508106535795088,-0.0390082353992216,0.04818153744758426,-0.03188751767298707,0.10427188344917025,,0.05820765652645655,0.1036576235340533,0.10574714108171582,-0.013051128095889175,-0.018370133026128922,-0.05407788073927801,-0.14729806020537126,0.02051364698769954,0.0989109629460609,,0.009359380110698097,0.01953467894284009,
COL4A4,-0.021582570795516884,-0.010498547126477934,0.06524084103619963,-0.04159230124363348,-0.03927855959659032,-0.015007878298977359,-0.016937843274376644,0.013126278955550094,,,,,-0.03352607209457041,0.011365454544724232,-0.07305882035058803,-0.036037276043293064,0.01420335934954366,-0.06115401977270758,,-0.0026895518345748065,0.05667768878721019,
TAC1,-0.01863582753872026,-0.048467017738973855,-0.0017678368710352112,0.018236677227577117,0.08819949132483772,0.026656713617686564,0.05592676710648138,-0.05616799278327471,-0.019904944261099546,,,,,,,,,-0.035848475221537175,-0.0060434820127964585,-0.022437055953571556,0.008412662542696018,0.07435308411162847
RARRES2,-0.04533996794947025,-0.07091953346722638,0.014538964221124266,0.007715234883383253,-0.05701489986203159,-0.01388136420707394,0.02965857736215105,-0.0459161445188747,-0.06856475205129964,-0.010996139298156259,-0.047725631874736975,-0.07569969683871346,-0.05282733619294471,0.10539665144468993,-0.051560594312690264,0.1105880586639803,0.05557496714603194,0.0591608196713113,0.02510505021024837,0.030117827496233058,0.15244837594742244,0.006874809868133692
FGF7,0.02225354959721729,-0.0024865708410859028,,0.006323711326817162,0.03666755545385584,-0.003781162452848419,-0.03861197932233151,-0.02683707068923993,0.08010275824138216,0.027428432799008865,0.06418123345011331,-0.05870361863564651,-0.08641243672546965,0.002972161806945589,-0.033766468006250494,0.007817043860524406,-0.025377141217263602,-0.006492383081423946,-0.05797954781560732,0.08465582023801306,0.07049886009837812,-0.04562986739442756
EFNA2,,,,,,,,,,,,,,,,-0.0420978987668031,,,,,,
HBEGF,-0.04219597349413134,0.09202562505873141,-0.018572798536852918,-0.0019403033337074206,0.03637903428401253,-0.030527231677550223,-0.016096215000864944,0.013646239280625375,-0.06308567738467494,0.0011807355960564074,0.030650291370598676,0.012546945618225898,0.04846235292487795,0.10443385003729531,-0.02510157615700977,0.04425693126831123,0.04780533799204505,-0.03795235620148984,0.029928088735423568,0.07620449256545622,0.14661077664928812,0.08141568786900483
CSF3,,-0.047182603259837,,0.0941144014261233,0.0344187843260383,,,,,0.010739170365240204,,,,,0.008551252698730378,0.10384075440791868,,0.00390983141441319,-0.03877423376910597,-0.026634136613450078,0.11576540050623368,
PI3,,-0.022256785630233592,0.025285092477153177,0.006217217179425865,0.08829304199520122,,,,,,,-0.04193926196654923,,,-0.00538926246107486,0.1579804552303911,-0.02290111101335018,0.0952881653426559,,-0.0003122471465240195,0.14895940466958177,
