,MGH258,UKF260,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.010176008135030813,,,-0.014290195656378419,,
BMP1,-0.06027624035382553,-0.06962224881480772,0.006586352278980839,-0.027541455307983288,0.03045431882491141,0.055447079859894,0.10032522765365642,-0.03953134199867581,-0.012319381719896829,-0.058697527460691595,-0.04094935612152764,0.1212158430007025,0.006380564300387944,0.0864506024952508
NDP,0.061421107827893076,0.05175007165865891,-0.029250575618284015,0.042855442493178526,0.025762816027348364,0.05367194349091089,0.04841417919984901,0.049033123135861174,0.020377717889543248,-0.044291773201225376,-0.02246949571612312,0.02955577211092541,0.03443893192019868,0.007682536206504671
TNFSF18,-0.013765678647619036,,,,-0.03394626657076318,,-0.05814471452910397,,0.009391288176992137,,-0.02217488670296223,-0.029352802797848104,-0.04347419887547525,
RTN4,0.07811683300964996,0.08747571805937582,-0.03908764569828701,0.007476606672965437,-0.0719362964231921,-0.04788437414188948,-0.050239668202888506,-0.01805849324556057,0.04023442599181496,0.000814322159370365,0.13172360744600872,0.08779250898817434,0.012276722657683772,-0.003633642302971231
HEBP1,-0.0029417794670536105,0.0088965074218757,-0.006716540347468176,-0.023836649014144184,0.024653292802902328,-0.05038748409669303,-0.0019656581649852866,0.024523357953458398,0.011117463433833541,-0.006060115355002871,0.10255730761534983,0.07730917212933514,0.0440209148462326,-0.0008487805207727036
WNT7B,0.05333669035193739,0.06156422084518034,-0.012332312690747553,,0.05969930134386341,0.025773631609974403,,0.010766805802299152,-0.0383235465503063,0.019868332252824306,0.024986602048724604,0.09902144224147902,-0.007057927236634742,-0.059454624665488426
PTMA,0.07722259153554381,-0.03961853697608956,0.03856525785881189,0.02167479775077252,-0.007609641452308974,-0.1448201674717237,-0.10172421105114389,-0.015462380993760847,0.008974380248681413,-0.050869716639847705,0.02861513869820802,0.008151538187937395,0.014029852003166799,0.022636998169932608
FASLG,0.024423099861361187,,,,,,,,,,,0.0201351139833095,,
CEACAM1,0.03061838966166458,-0.01434377828995697,,,,-0.04315724576686489,0.16265026855506626,0.02556352780593715,-0.026334196546776243,0.022444791617051887,,0.09026013965846605,,
