,MGH258,UKF260,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
PDAP1,-0.020451862459698055,-0.004307613060785137,0.006000108201996108,0.04325849255602474,0.006760094572454488,-0.06292912371469306,-0.022709175707309574,-0.020756600940343334,0.05185344559319422,-0.038221782418109675,-0.01608532998386383,0.023798558774578323,-0.046475616470637277,0.1168094013656065
QDPR,0.13099139948042954,0.04342687053383953,0.06369385143618128,-0.11286090274783035,-0.05143431165619887,0.07744544158729837,0.06549020867907296,0.07781589664138944,0.061943120148873,-0.04633746134997658,-0.003263340266765549,0.048156214842291094,-0.004060490615766554,-0.07270302150905847
POMC,0.018804844874029024,0.009804709210741988,0.13069545749352382,-0.0018591157529053838,-0.009528011066977881,-0.0038396502603550114,0.04485797926940029,0.06445787281847533,-0.015250841458677576,0.012704668285859873,,0.020063278445662348,0.09676119995956083,0.04799159709698052
CCL18,,,,-0.011303574276552708,,0.05343127832102441,,-0.03085370059517516,,-0.029430363031765543,,,,
CCL17,,,-0.015263946019111355,,,,,,-0.023430328647965397,,,-0.0335985821879887,,
VEGFD,,-0.013723314949517543,-0.011196288998412855,-0.022416424246155166,,-0.04169036134016217,-0.003295096579740971,,0.038527366421375636,,,,,
TNFSF13,,,,,,,,,-0.025125997391965565,-0.02969309651354889,,-0.007908206975805182,-0.01357366293361462,
WNT5A,-0.033236526144936364,-0.029802574096041812,-0.00694276134698497,0.06346568197808324,-0.022906405778281038,-0.0577978119124277,-0.06694434454315444,0.0335276143512363,-0.03487818538256374,-0.049914378726340566,-0.051666537771309175,0.04175945438022622,-0.013415813575782629,0.10446848476686847
CXCL8,,0.010587995151144633,-0.010426471146152526,0.009404153481478968,,-0.03859959136418498,0.13424203249143316,0.01752686071143421,0.07375796541864835,0.06231093918549922,0.0032788379315275107,0.0390337690345724,-0.0934016268986156,0.06340233175553377
GRN,0.038946616148766273,-0.04630626416741501,-0.013434049399591932,0.017449648429560014,-0.020561475260676736,0.1367709074949733,-0.01740057450183083,-0.026989632462958397,-0.05127331391367887,-0.07508240443459112,0.08262133705482723,0.027241252558470423,-0.026990328158517825,0.030157369259778716
MIA,-0.04449783054819685,-0.041641279366746387,-0.012733420819186759,,0.06218115043812657,-0.07374861466984772,-0.06573147245852018,-0.0356874902538083,-0.03716059265878607,0.06661617496456655,,0.09304965710890094,-0.07948548974755894,
COL4A4,0.011793084617348884,-0.06389947098558932,0.031033670137390123,,,,-0.04352264660143034,-0.039008717891989654,-0.0074133296698983666,0.005319310594283569,,-0.0023517230674403567,-0.031941570011401,
TAC1,-0.033995980569357,0.03127309999710503,0.003707938318899361,-0.00863651472623089,,,,,,-0.007884116256313072,0.012687489942386138,0.04754021287044755,-0.04777805712585687,-0.0027261523771440407
RARRES2,-0.13856025744047748,-0.06058367586926837,-0.017486392598578385,0.024838251233499743,-0.009568001760790841,0.05789191394975672,0.04678092867163875,0.07698800139936121,0.05989799990539645,0.015934195576385684,-0.016144080964336612,0.05700036401691497,-0.09419743833056114,0.06989969828266669
FGF7,0.012719032356827035,0.07108071812966253,-0.012214508036458108,-0.02133005115996146,-0.021268577242744117,-0.09820047256928635,0.12092085754021961,0.06120223557903784,-0.02040543937694591,-0.020771264720022588,-0.0297287708748158,0.17392241505179112,0.014269210943711582,0.027436737215906958
HBEGF,0.009077402488603458,-0.029492995041070183,-0.028753143677305068,0.05325847657846105,0.011131927967302386,-0.02338344657165064,-0.053483470038388894,-0.00016942018522168384,-0.064710733914968,-0.04767990552954026,0.037058658407817725,0.04309379027823658,-0.05639590648757079,0.01259217691376408
CSF3,,-0.004802961946355902,,,,,,,,0.006426034597876409,-0.08482818554756637,-0.0006767473679861552,-0.055600464378096785,
PI3,,0.026163247175351855,,,,-0.059235462270219294,,,-0.019907885586716165,0.061311290731462076,,0.01036655205237084,-0.04580734348446492,
PCSK1N,-0.04387200567714093,0.018212684262656785,-0.03407751412758237,0.025464524161092954,-0.025349434610444165,-0.022112358019084812,-0.07599044813129767,0.062439468927219924,-0.01352994214684127,0.006458748160302037,0.0056168174169391235,-0.0236078894782804,0.017495342881463052,0.03720017256173614
NTS,,-0.045971430045300736,0.021966323366739683,0.08729249057231316,,,,,,-0.023957871731890824,,-0.013280246045774593,,
SFRP1,0.03185018645713673,0.14655834595262104,-0.01526394617283183,0.035396371992140366,-0.05409605989813352,0.08999629425239776,-0.0830321672080927,0.04404212722842409,-0.004849919365191363,0.007891692996032656,-0.060243482237469,-0.0737255854582652,0.023973814328170587,0.08420712459916808
CXCL13,,0.07668165411572922,,,,,,,,-0.014643008675032088,,,0.022165812187526095,
MICA,-0.01779628924144622,0.06199251985408735,0.0032588671224841595,-0.06424921051397202,0.06566228887962358,0.002261441876791431,-0.011253609745596378,0.0351184854869719,-0.006327065888723631,0.06187830750561397,0.01500656442858714,0.023385808975009425,-0.043154628102048655,0.0530519573420782
TG,-0.03937150043537987,-0.01149411266273512,-0.0110464514484964,,0.03265837628524819,0.04068204644795651,0.03912011081499781,0.026593718896440095,,-0.016095578829114086,,0.037115157091353976,0.035888101495531816,
ADA,0.03002839923339093,-0.020645437096999134,-0.01794032550857492,0.0069182916090660684,0.0021746150939615616,0.010410009879996247,-0.023367632850289144,-0.00322742223602103,0.07850781382705806,-0.09586229263454901,-0.02966077984746074,0.017689680872733832,0.018787997281852997,0.07332030669755546
LAMC3,0.016068189678504093,0.014903435332163971,-0.026345827189514146,-0.05417668584125851,-0.004673196441164264,0.06533448542654012,-0.08299229335123358,-0.012832539745498504,0.03314226960489331,-0.09995253443348404,0.015016832856774642,0.012151361261360731,-0.04521729129471477,0.03445565473231109
CCL7,,-0.02057032037227334,,,,,,,,,,0.04510271761683061,-0.060240800434859444,
NGF,,-0.021956676011169175,,0.08700487140308834,,,0.02083581452568036,-0.01338083439016458,,0.022972682496045563,,0.04707322872208164,-0.04523216455884927,
TNFSF15,,-0.01523019539984136,,,-0.04009942244717606,,0.040366475040471105,0.08612324003264843,,0.035671513446671244,,0.016774296874231254,-0.04569991919347981,
HMGB1,0.09595233126075449,-0.025388757541640362,0.028999024407174532,0.04187769431952339,-0.02751270219357269,-0.058985532730418476,-0.052881074356720056,0.0033082737222153986,-0.005862827526313531,0.0013886285884104066,0.09050726932910177,0.06995435680071108,-0.0033987888043327335,0.035976458664237085
ITGB3BP,0.08303320489702849,-0.03797266091426302,0.08224252334054775,0.06128720728053887,-0.017863805840911896,0.02249773933309313,0.07162996049033689,0.06339777514355106,-0.028882145741244564,-0.017687090197618032,-0.01739539563030211,0.06258807302403606,0.08208656211033959,0.019996668003353642
AANAT,,-0.013723316908598092,-0.012733421527452136,-0.018974044209919303,,0.015245646190124015,,-0.03213542249962622,-0.02898256484390113,,,0.024135055846724207,0.011622777488606262,
RELN,-0.032640017684146476,0.005130048960167635,0.052004673536500436,0.03276486937266681,,,0.05039228689183825,,0.01931976096255977,-0.0009483516362397059,-0.002451768448532724,,0.04427970920850992,6.452930546700788e-05
IL15,-0.02444329556094254,0.0043609405603427355,-0.027368295854234243,0.019671951957308212,0.04321508194160008,0.0074489686825522155,0.07596389758965771,-0.054322939581637364,-0.006545035801649983,-0.03983200178145453,-0.0652599309291915,-0.015751479491879047,-0.05905238980773275,
UTS2,,,,,-0.011025966350580865,-0.05204504988055668,,,,,,,,
BSG,-0.10950370624404042,0.01799811934888355,0.0018661706902644633,0.007826868512341023,-0.012403352197439002,-0.010001305914679565,0.012072861293147415,-0.028677554123683665,0.01337784340637113,0.02673245464803652,-0.12978664308935992,0.028907730087470787,-0.029886004294875285,-0.02972566958223319
ADAMTS3,-0.03636119361282906,0.03026337786581762,-0.02425986570488457,0.005569079197408605,0.029400824299110725,-0.03958110067292554,,-0.03847889692168125,-0.04490657685042766,-0.01610351482480411,-0.04924596634847174,0.13201112052529074,-0.026354666629395843,
CD34,0.053334030654863925,0.06342658972666398,-0.02382388593882377,0.07389323003465058,0.07539187083501735,0.10299190548560197,-0.024255675886331284,-0.06568024136159828,-0.03572617268592355,-0.015250844285031274,-0.05340955828578402,0.019334851625523907,-0.06165759101677223,-0.08058232337646579
CCL23,,,,,0.06301302103794607,,,,,,,,,
PLAT,0.0007724952199011538,-0.009657614882193908,0.028650008444456015,0.030904661340963317,-0.004698303826789418,-0.03751689444069386,-0.058166598962682954,0.03410542427831706,-0.0017459663133116852,-0.01960222672041359,-0.027704208560135894,0.05708717627605526,0.0071705472032162435,0.04556389155098108
NTF3,,,-0.02055477996060242,,,,,,,-0.029082056085440393,,,,
LTA,,,,,,,,,,,,0.004833893631735235,,
CKLF,-0.003034296844419932,-0.02023591996247818,0.021902910178638168,0.07066679689715194,0.03726677741173239,0.0483871319601805,-0.0028030054935640493,0.010001105171373755,0.014952225938305237,0.013105741524352362,-0.021873735088916442,-0.005712389997683754,-0.04005247330432996,-0.07478138778907795
CD24,0.01436373717008862,-0.004082252775230719,0.0025990349860846146,0.035146725528928155,0.04852357902256109,-0.05470650254897091,0.04010050759053851,-0.038117082480684863,0.04907580495557725,0.04167952081445461,0.09901500035279655,0.06932893875895547,-0.016607055991970283,-0.01249339409241832
HSP90AA1,0.049589354527862006,0.07150230618437585,0.039623480779927375,-0.037136596077034234,-0.030051063080692143,0.01659800812337287,-0.15201299150056855,-0.07757186728169539,-0.013814687266672145,0.0010134083450448615,0.1719171038511162,0.06581625699312361,-0.015369969521597205,-0.015384263891176952
BMP4,-0.018131994632115688,-0.026632313304385404,0.018309829244659986,-0.012853667524407749,0.03846742758892565,0.08292660535465145,-0.0406233868692202,-0.052567885523244505,0.03886616641073752,-0.005307196298799425,,0.018265057435673707,-0.031562512323839206,
SCGB3A1,,-0.0163427763001249,0.015468362254761637,-0.03339962765777501,0.03487305233344118,-0.04169032081336835,0.028307103145511967,,,-0.0384135309854503,,0.07484194594235416,-0.04256977653030256,
IGFBP4,0.0025988381007599134,-0.012596563087800995,-0.010037142316600547,0.0010520043412169738,0.05301467444677412,0.0416255103563354,0.0544883027712959,0.024066233253194617,0.03533144356785134,-0.024449267816074198,0.11672465298234506,0.028185631636975177,-0.10285467964561049,0.028321936530223902
RSPO4,,-0.01886222045300906,0.015562935240839546,,,,-0.018670438269917385,,,-0.05183498959208472,,-0.012487570118365623,0.031195347451840102,
LEFTY2,0.07642529354290095,-0.02927708186906024,-0.011777379120193448,-0.020181995872922947,-0.0004446990589868974,0.008707063399465299,,-0.023785715336969,-0.03977749570556677,-0.05154040427573508,-0.025501916688055147,0.10440005847597457,0.07207279315111541,
PF4,,,,,,,,,,,,0.02259613038621681,-0.0037676833461068814,
ANGPTL2,0.06280401131336831,-0.01647376928915235,-0.005032273039648357,-0.054637996733070356,0.006565119462461499,0.011833367564262332,0.08562544629129373,-0.07272615496908587,-0.008451691743821358,0.023794583481792246,0.04200578504901622,0.1296598428120983,0.014884538757323991,0.06904163991246778
LRIG2,-0.0432251793496323,-0.06228465563115382,0.01381260884672094,-0.02779974392419846,0.010845699685996763,-0.04840686770610392,-0.013051079554909266,0.06992197918623858,0.08857097717767111,-0.02008616733898355,0.12352171018346772,0.08522713363265273,0.07315192342470435,0.02326373681980033
ICOSLG,0.054045415210880285,-0.030979244619039528,0.09195690563751023,-0.011792071711852484,0.006372777893997786,-0.046140593339378595,0.10222168077322785,0.029112106038674555,-0.04290576527020175,-0.02054051334466236,-0.04775614068668506,0.14680143586957636,-0.03397505993240667,0.0349546093762893
WIF1,,0.07665913762038987,-0.020211894078207754,-0.046231228133842416,,,,,,0.042077586604642336,-0.03368315724852826,,0.07029054270975495,0.09120711823453352
NPPC,-0.037878889008129586,-0.011067914075828873,-0.014927033507189871,-0.025545118738658255,0.056308357385490164,-0.052082931623538206,0.021314139139567635,0.03542493455468782,-0.027496001602749377,-0.035586753608485976,0.013143956182719262,,0.03714571394337872,0.06313384805273595
LYZ,0.04600072980467985,-0.0411461177742281,0.013936434675789162,-0.010286132977543043,0.04404275095340793,0.11749158217584481,-0.012943696976128868,0.024533337901450354,-0.05210227611599151,0.04027266989272131,0.042313332753623444,0.027533918915383513,0.0460099267093267,-0.13810893556382334
EREG,,-0.026543619606878826,,-0.02076137579980896,,,,,,0.06804368771962319,,-0.005449825976184205,-0.03860845021237343,
SPTAN1,-0.06379869688336273,0.08252248264880034,-0.03434327931123847,-0.009013951056536164,-0.021444042503722834,0.07991382838732498,-0.007392423002308027,-0.061641096408942005,-0.05062189255245985,-0.014521219126123747,0.10546099831325706,-0.031155170713635463,-0.03374431384751412,0.03461746865478603
PTH2,,,,,,,,,,-0.04013542961608143,,,,
LIPC,-0.021978699898251856,-0.01826173394239217,,-0.0371832456572144,0.07263688472989,0.08317711988386826,-0.0024265840256822674,0.0890191046337768,0.028575967962693294,,,-0.03363298034557444,0.005801932734267525,
COL8A1,0.03538044819269607,-0.019291701791821214,0.04512978464750373,-0.004532820781388062,0.04368838431337292,-0.07528178111687575,0.008518816445624498,-0.09089660657485212,0.10627841131412848,-0.051047603430678275,-0.013074157670638254,0.03616986887610584,-0.02881716768041458,
GSTM2,-0.057441794735587526,0.0016673060354599324,0.003826026713567354,0.03002995342274323,-0.012967835031330454,-0.02353560056742195,0.11164915949958021,-0.019399666247213482,-0.006630539756842329,-0.01565787617308247,0.10575162352493601,0.05880669078947739,0.03898662601729601,
IL4,,,,,,-0.035894164688113885,,,,,,,,
SPX,0.005059236101203005,0.06340258194134318,-0.028545957144608912,0.010732498521375762,0.012272235648025128,,,0.050508594297652934,0.03490989928011353,0.010869671904990563,-0.03579623583673037,0.03454314944793646,-0.047529014127063174,-0.010888198070096331
MFGE8,-0.03844261734956147,0.014796291732908884,-0.0435782290689382,-0.05545100104271471,0.053742283645623515,-0.011837682903963944,-0.0844815968897309,0.009876339194270549,-0.014024513516136797,-0.07995208412429586,-0.028089726945498678,0.04676795248151964,-0.06633152211178911,0.11235937724579932
TGFA,0.09608788166019444,-0.05568195901652659,0.034292063254920825,0.018135028094847107,0.048452656115593365,0.044800381874720296,0.042702552771654544,-0.027233392151405845,0.014444619881536952,-0.046986533233086464,0.1001271097773011,0.06394491849613988,0.0809647128052635,0.002203354686078561
SLIT2,0.1358024899249427,-0.009552885582572486,0.002900715754702952,0.007558857551141937,0.05680160434290076,0.0071899260494315085,-0.045411450973095235,-0.04351614587205257,-0.027101102789820485,-0.0009420653807159486,0.10534461822606585,0.07043249522936346,-0.028837447055861224,0.037496083687363325
PLTP,-0.08686255333585556,-0.07595080599660255,0.03889732569336313,-0.01569009737456405,0.0032720957136750913,-0.04823617953418321,-0.1408514435827964,-0.04198681191462706,0.0029422794864860597,-0.052116130855672016,-0.015062512660355007,-0.0678278884176233,0.03640478082640713,0.023634439635958113
APOD,0.07166164853631171,-0.010879504732047577,0.05217024379712051,-0.0584076893582401,0.019430070692353984,0.011898223075607098,0.010830070356159668,0.0015910403978960728,-0.00380592067570596,-0.05399204218491062,-0.02918609105456138,-0.07848287409187409,-0.01978315494377582,-0.038301909753873466
B2M,0.0407124416232075,-0.027950075135773474,0.02038372751662229,-0.009760511212361335,0.014247121473140629,0.01886288699995846,-0.03082781616114582,0.019337960747897353,0.023691532168043282,-0.053785281252305125,-0.16767499588912455,-0.027962575955036602,0.025112095331560703,-0.0688316696014644
OMG,0.008113153329141844,0.06739681448537352,0.026072039103064524,-0.01715010178268741,-0.042101023007275876,0.034276626678424064,-0.04339548137898309,0.07960516862130776,0.008449594691969898,0.0012292374457295303,-0.06604403678887905,0.061182003968456196,0.12105552193067622,-0.03950685985300635
CXCL3,-0.031705994172829426,-0.0326955831160419,-0.011490347163869747,-0.009754612482908683,-0.03445435386729823,0.11203129417972688,,,0.029295171481605008,0.023027905018165196,-0.044247663042186906,0.0038928491873774645,-0.026026859369097467,
CXCL10,-0.05625758249249297,-0.008130245738354117,-0.01745467833996914,-0.014870283752593163,-0.06813390160459128,-0.015446663741263784,-0.009605840444868724,-0.02270148290130213,-0.027495998613011885,0.00011544384584667809,,0.08972366886786069,-0.005681910837657278,
RSPO3,,0.15945741602135213,0.004813744971400888,0.057085804401062805,,,,,,0.009377691396717423,0.01873984010745926,1.436550691376918e-05,-0.06704870112024856,0.03549121581908298
CORT,-0.03937150867414937,-0.02216335772588505,0.08174529272050736,0.021880605541087547,,,,,,-0.009740625625206235,0.020796556157207945,,,0.07578761318609237
NCAN,0.09206492570119688,0.09133928895613895,0.005917719465912139,0.02799147477309669,-0.03837645383076678,-0.057356071430092505,0.06613195187407682,-0.025498551854974086,0.027104548767435337,-0.019161867868694775,-0.09803348153120375,0.05812316594864507,0.011572922637533529,0.0338661901453628
PRG4,,-0.013075327878174347,,,,,,,,-0.07293684525604902,,-0.010985960228778532,0.03770451152949611,
ZG16B,,,,,,,,0.02508873002081402,,,,0.01205132780022125,-0.02860859505005053,
TGM2,0.005790533833026704,-0.05042057760746107,-0.0007030581919710181,-0.015335236120573798,0.06535678347355323,0.07104972293176431,-0.046809041250892434,-0.04728522578426933,0.034822106284487134,-0.008938086650162744,0.039151191110640485,-0.004526523074832741,-0.03778054813992535,-0.02328552303362387
VEGFC,0.07882956547329668,-0.02012726234934637,-0.009895578759595302,-0.023460264256032634,0.003029320365065142,-0.04068855015058883,0.0186318233211356,0.0576327714476093,-0.0071089515353415286,-0.0363120477923748,,0.048360314773426685,-0.07782821526470508,
WNT6,,0.10297421364845671,,,,0.0021100443634198677,,-0.03397336762581492,,0.017906404200504367,,0.06737364379600473,-0.02956126188456978,
NRG4,,-0.018624094668660586,0.009394063856089511,-0.02613612258018071,,,0.09451435717352712,,-0.021616784266991783,-0.0164164312603154,,0.05241716731504253,-0.01988717258702377,
PMCH,,,,,,,,,,-0.03941036641710818,,0.014727388646934337,-0.05693179859848318,
COL9A1,-0.030287220336768405,0.057889888520203,-0.010290821728580618,-0.02047356557628144,-0.018627931267973852,-0.07000988617071907,-0.06713690361942451,0.06297443715053298,0.019293431008086805,-0.010907671833667023,,0.02947783419449578,0.022739618408740368,0.031327558528091375
GDF11,0.03342046036406123,-0.02009755864843297,-0.0019197471966304245,0.013513668577707144,0.016155289076395487,-0.06670473164031797,0.01356309087278023,-0.03626869996827671,-0.04386464524923198,-0.011835306992321765,0.050546127767355065,0.1302043296863281,-0.013415899555183535,0.06450410375848756
RAET1E,,,,,,,,,,,,-0.00527106042647518,,
IL24,,,,,,,,,,,,,-0.04969988615647138,
SORBS1,0.0006411524006067322,-0.0455352816503929,0.017737727873026004,0.036211174082779074,-0.06327986012964464,0.024632775408737595,-0.10942975400994896,0.024995366400102196,0.008382926376745491,0.012351080121391588,0.10807752586670315,0.05566057471948488,-0.013550638894282208,-0.0015262723504536812
DLL1,-0.011949462270134006,0.034699719560103114,-0.03374956083850108,-0.010537485249907537,-0.002995610648204441,0.006526532364359267,0.0131648748463313,0.08514864789745503,-0.018875572241703106,-0.01685835925981504,-0.04531659328468949,0.0960381061178047,-0.0018480018820968159,0.045111299861407717
TLN1,-0.030800891144267876,-0.05033519062069674,-0.023536008317699225,0.00042853432370600666,0.037634248257674745,0.004710993041898871,-0.08245244930309999,-0.07241959706923613,0.0021796751426748175,-0.02834916626539024,0.04740781623906775,-0.02361841535773716,-0.010805944145048802,-0.019566117478183303
COL2A1,0.03313729928308905,-0.011678251345909739,,,,,,,,-0.024720716660690114,,-0.02229824065272311,0.010201754207236124,
SHH,,-0.029605157290134097,-0.012332314442941254,,-0.006312374205917356,-0.036875366354574876,,,-0.02227922326201115,0.00867737755250081,,0.018004589408643305,0.013582621319554584,
PON2,-0.13648572948378826,0.00817539973337126,-0.05976149287860963,0.03775046649336961,0.0034268850619171786,-0.026989017756582485,-0.009810858772510405,0.06728437916846132,-0.053018498980193264,-0.05411656594882437,0.009308714779068306,0.016909922436333134,0.03902508212626072,0.040850729643249414
ICAM5,,0.03917771268520882,-0.03833954140780844,-0.005465128225220035,,,,,,0.03236595829462254,0.02817250305087927,0.06240650715608571,-0.0015518054581161208,0.11469829326317206
HPX,-0.042004824485727635,0.055761953567683806,-0.010740764505052491,,-0.03445433584152078,0.133712556927526,0.014850519815870204,0.11628127606111462,0.021883785604069162,0.06273851929146414,,0.022500507586062677,0.004405574969633947,
SFRP2,,,-2.9017666279363272e-06,-0.02608359286213256,0.07844633281690182,-0.035894185814854956,,0.09514650656594947,-0.03456846633091294,-0.05960051546875564,-0.006020916143942354,0.03208094149486782,0.04688154001592586,0.058485593604915766
CFC1,,,,-0.021326174504610402,,,,,,,,,0.013677787125559648,
CD70,,,,,,,-0.04723465563637696,,,0.008145690390618281,,0.10341155710903396,-0.0780959185409357,
HP,0.06755905648279817,-0.03718719035057677,-0.02208900218761698,0.011213731342406113,-0.04691408657135117,-0.031017986170885428,0.0036001977855754596,-0.03584016323823015,-0.027685534878867206,-0.006787012889948799,,0.10274683580330128,0.020008158816775878,
CXCL2,0.04222808894357864,-0.03026422677850186,0.1934561129060171,0.004748370892606136,0.05797135384934197,0.11309214537692208,0.09310400413901894,,0.025671539618585412,-0.015210810076109433,-0.008975090196109505,0.11985389491675232,-0.021424906364866637,0.0034655353941379415
NPPB,,,,,,,,,,-0.0450979901568715,,0.04535862610325162,,
CCK,-0.04801390401945831,0.10591036396262529,-0.04762274561087194,0.018069665778482402,0.010546637399293598,,,-0.012528638731898259,-0.060519793587782145,0.004598680154526107,0.03605843831223473,-0.022303590450206114,0.04156594672421789,0.13367617988822142
SEMA6A,0.039543854221477284,0.02917350768430581,-0.015147277932313595,-0.08482917532134367,-0.02349913804081356,0.0011686250307087046,0.0043259557507246416,0.020657740024822815,-0.08536222050314429,-0.06073533190350621,-0.04509786007468681,0.09392895370267867,0.08008610954307879,-0.08039192890029136
IRAK4,0.003735474282872491,-0.014743311678017743,-0.025644794979080017,-0.04253693124681934,-0.03540346153340394,-0.048962407328057636,0.1041709143108573,-0.01746376573951409,-0.07529169761235112,-0.07603648108025043,-0.06712987063985726,0.09696620469450515,-0.026894187864148166,0.04335534491966496
GSTP1,-0.006400587168684542,-0.026252270022797185,0.033489771697953426,-0.007819487311654723,0.05979921511961266,0.11062872980499117,-0.019650343159585408,0.027615635640307088,0.06180477712875126,-0.019280672034431547,-0.0702218972894162,-0.028054576677142316,0.05852327269526659,0.13159344688076946
VCAM1,0.027450880027181445,-0.06728313908862392,-0.039783441849454815,0.02852085210059068,0.0859931437367568,0.0214042369745085,0.0008592749015029055,-0.07610799256669397,0.0313774400732046,-0.0324519516214463,-0.006016533763179748,0.10926451265891,-0.08093914009390275,-0.025207177908294902
NXPH3,0.019175862210095172,0.05192032108526609,-0.005346988083201358,-0.012114551320319033,-0.01894040939302011,0.15533453853561313,0.18659953542844038,-0.020748812544052753,-0.004906637411858428,0.003451046561869361,-0.06240738964774082,0.042188721854108095,0.06345189581363668,-0.08777450215345582
MTMR4,-0.015487882259989845,-0.011310551517989792,0.04899528698541792,-0.006697246902343691,-0.11779284131133964,-0.06754239691458654,-0.005133122635015905,-0.016462708000899957,-0.06673164147538685,0.015082652801300408,0.059855321745859086,0.04586341897202775,0.03250492173717581,0.0939985031462178
LAMC2,,,,,,,0.12019421731044505,,-0.02090008888431551,-0.03825390775062694,,0.00323959295822351,0.1384753468649319,
IL10,-0.04089501184156077,-6.653828628550715e-05,,0.000769384887525025,-0.004069123789270192,-0.009090635124101553,0.00534159601023407,0.008673655952839532,-0.020160142863944318,-0.051670078864202794,,0.07680961951151136,0.04649194589832324,
SEMA4D,0.0042060259201662075,0.007213665796754885,-0.024383759289809938,-0.0029080379867208375,-0.06286838322693938,-0.011426518034680469,-0.03617220543355649,0.04722842750586012,0.06024007049440264,0.01992684561702204,-0.043198002999063435,0.06474032777376718,0.09369342150570123,-0.06570856931755002
TRH,0.11095158558465137,0.11298742703771897,,-0.03321085827023382,-0.03133104258789447,-0.07003292179561446,,,-0.014398182008448659,-0.009403903043902881,-0.11695992411758008,0.060547960153830245,0.021395357679078002,
SEMA6D,0.060264053753411595,0.04361842757767428,0.04881434470850983,0.04375087950042987,-0.020046402745337175,0.03351481933795512,0.060245020773367075,-0.00179856903101301,0.02017373844544378,0.01654513796471013,-0.07857714607273705,0.005434759006971719,0.0027667870622363707,0.022841217003124283
CEL,,-0.022673080654815866,,,,-0.02132230697411816,-0.0770352794409874,0.02719057196303691,-0.012296125387296688,-0.007701892621937796,,0.054439329380335785,0.002176111436016949,
PDCD1LG2,-0.012510371669425762,-0.025552098991052347,-0.009457353762221208,-0.010844258282173879,-0.04257944164180611,-0.02681146779459039,-0.06487039420134413,0.03131684312812583,0.05191923128806619,0.07121971201869079,,0.03828932346127443,0.04137220396602201,
SPINT1,0.009327932940497281,-0.007016442710510727,-0.0008800829258538832,-0.015584594257041801,0.05801621837543115,0.1143589314505194,-0.041854964643405004,0.10846114658434869,0.011446183099379234,0.003758177041196751,,0.01836069448464788,0.02939297600030605,
CTHRC1,-0.07428658912108124,-0.007892264488941805,-0.0053530944962895555,-0.06388247413137557,0.025635531802008504,0.04294195639344533,0.04918976818591279,-0.06361505759108697,0.0577983320537311,-0.041645129280938394,,0.054595131041960746,0.0027272418200205515,-0.0483155573552829
PODXL,0.055515678036170024,-0.04859393836983918,-0.009555507418382844,-0.07538435088124061,0.11315687339450385,0.07224062476326086,-0.11069587218277982,-0.0179920349630489,-0.01587339018268282,-0.022642124699852138,-0.06633581134504858,0.013785884738241501,-0.058485461238307335,0.05015854922354011
