,UKF248,UKF275,ZH8811Abulk,ZH8812bulk
IGFL3,,,,-0.020915611060691935
BMP1,0.07145753614146248,0.0029085724201118003,0.02070900887221188,-0.054325195788367406
NDP,0.039951705414977806,0.002874870085294591,0.04961218133834076,-0.033249262411902396
TNFSF18,-0.027651648115447208,-0.010336036015386987,,0.026554041966567313
RTN4,-0.007462015195168819,-0.002276919652614154,-0.06208305533758981,0.0004724374959765468
HEBP1,0.031208828459532937,-0.004036201837869866,0.06453738664505695,0.012851980697617577
WNT7B,0.0056210102087076875,-0.029627285080660298,0.01307497891819156,0.01325752631645112
PTMA,0.05024952807749354,0.005931361369034677,0.017319301560548575,0.03408064227276259
CEACAM1,0.035183587102518996,-0.01625612225661287,-0.01982371979177676,-0.03099369509712717
PDAP1,-0.033445426794354804,0.03786307344092404,0.014974831671838851,-0.01714629550401713
QDPR,-0.0062751780389009556,-0.009712363079206815,0.006722538714059335,0.020498304977042657
POMC,-0.0017611885066029188,0.08027956279617803,0.010173989582373822,-0.023247768243714693
CCL18,-0.029457568501938515,,-0.03627716404942621,
CCL17,,0.008169102757533022,-0.01406396969725696,0.009055788246453025
VEGFD,-0.02945757785609622,-0.013734322663189929,,-0.029084195046127314
TNFSF13,-0.007055591838208769,,0.07185395207363697,0.005049707465360833
WNT5A,0.14060129433099308,0.004022966650905483,0.02635321885545696,0.09561118927097403
CXCL8,0.02891689797299843,-0.008118783167789748,-0.09983724539770272,-0.026382670287450588
GRN,0.004139969435837316,0.03034886719310565,0.012823048165397638,-0.02474873965112774
MIA,0.005274573628042661,0.009288544581996063,0.07944395624616243,-0.026651099843048864
COL4A4,-0.02544001445733664,-0.01345865427565257,0.07107630164501051,-0.04247863739279066
TAC1,0.038875511582374206,-0.02400807045733334,,
RARRES2,0.026607833834292223,0.005516926716346619,-0.03667200520963718,-0.055129206770468564
FGF7,,-0.030680723169994668,-0.03860456067111736,-0.04105440047195702
HBEGF,0.05787417609553715,0.01755006548903483,0.010238128302321658,-0.039383802027413935
CSF3,,,-0.07519367942566309,
PI3,0.013174075043502268,,-0.0635681680675776,-0.023430330779493903
PCSK1N,0.030267019635969297,0.004668868905124799,-0.013265215483917417,-0.012787099283330109
NTS,,-0.015374948041599184,-0.01921528872436768,
SFRP1,0.025357108401922464,0.05310732972885606,0.03387935018865621,-0.04152863800950222
CXCL13,,,-0.004183116465091066,
MICA,0.08996928720818242,0.014000993417091285,0.07343266587397777,-0.05280448651675568
TG,0.03711962780283583,-0.01298724430281742,0.07250111526598656,
ADA,0.019123560066572766,0.06319349556526008,0.13865805327737454,0.001832720010337095
LAMC3,0.05377322834256442,0.10070944555491258,-0.017924664597239175,0.024836231241606443
CCL7,0.05369083199155564,,-0.021078648822427132,
NGF,0.05581123353336179,,-0.02434415191647625,
TNFSF15,,,-0.020549315673744583,
HMGB1,-0.007569745515442408,0.009287115830965044,-0.012949491452151672,0.020554660899912165
ITGB3BP,0.01294031743033888,0.023830608690349954,0.011641452543541531,0.05273287843854536
AANAT,-0.014457980084281646,-0.011679504699215656,-0.018491922672679753,0.0752098315767797
RELN,-0.021045532518264628,-0.0038550840108817937,,-0.04265748139080989
IL15,0.029443888662444656,0.05445874153868037,-0.03387795998156095,-0.015900353108887513
UTS2,,,-0.015747225535010265,
BSG,-0.036487574019789935,-0.02219948776885126,0.008329275991660274,-0.06641311301854054
ADAMTS3,0.004920832719832327,-0.02526809514106302,0.09302739764966593,-0.02088858919137583
CD34,0.013032330375214961,-0.004274723791229348,0.02639388536662228,-0.05524112459637597
PLAT,0.06936169267967601,0.04283895478447543,0.029984463245746728,-0.04402175252826368
NTF3,,,0.026468354765533,
LTA,,-0.011248580220093913,,
CKLF,0.0006898375372820704,0.04908025549674991,0.057609546210370385,-0.007826490421635177
CD24,0.04065930355117002,-0.023247084840266104,0.013658023634196225,0.032099098341670664
HSP90AA1,-0.0285068599378877,0.04931078380219465,-0.12746776438403007,-0.009905687121505751
BMP4,0.04169030211981817,0.003920175612946794,-0.01705141134243974,-0.026242684129689536
SCGB3A1,-0.018737500203063705,,0.07820087157508916,
