,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01823190703260452,,,,,,,,,,,-0.022429284317998274,,-0.03882241119135866,
BMP1,-0.0817776716378701,0.05327650838101344,0.09754551180414754,-0.008075231695558264,-0.04622278755450183,0.017203626562365768,-0.006163994510900985,0.12092139866190359,-0.058946414440289904,0.029576627468118583,0.04304430394126059,-0.0044192613045391065,-0.04381145995990933,-0.010303100659109398,-0.007638635711693441,0.033604116852722396,0.09005311748943634,-0.056377721433024115,0.07172930320200925,-0.0027951208314641813,-0.050056923222946983,0.0003628002610280463
NDP,-0.05682939436259734,-0.0511104950149977,-0.06868378236219862,0.020689927486181026,-0.005281617583187019,-0.06539484399193234,0.11036064279257864,0.054671344142977016,0.021137285672498295,0.05919831330194776,-0.021511873925409417,0.024290497649608545,-0.026920774532141648,0.08686033694075797,0.05889461204776332,0.020888174449838568,0.022166961995343765,-0.045604978889843745,0.1005969499975995,-0.001724161315217669,-0.10960924938309041,-0.08635526641828296
TNFSF18,-0.033848895320120934,0.02627624712113499,-0.04947960030350852,,,,-0.020842223946889803,0.020686551564816545,-0.02191796293801214,,,,,0.03885620114788982,0.010521551578345499,,,,-0.02313092501703416,,-0.036557352205700125,0.03606942918049525
IL36G,,,,,,,,,,,,,-0.015442931690595851,,,,,,,,,
RTN4,0.04999353318473155,0.11523597754626454,-0.021045319231885684,-0.028950470776480032,0.0312757708487578,0.05692426820056502,0.12152403458024466,-0.15151846568310098,0.019895585990840188,0.09129857165521793,0.13436587032500447,0.0235873725185322,-0.009002755190697835,0.027936451746812512,0.0769363583355732,-0.09665972937098424,-0.033826764633583,-0.030591989485560356,-0.07898767246295005,-0.017808911065210018,-0.018371831230086715,0.008759799690550832
HEBP1,-0.0335846147032936,0.07524778775564711,0.03490746504164295,0.06764352723182064,-0.03088482626560958,0.006426566990576746,0.030275534508534915,0.09154724766782697,0.030044467232403758,-0.004968906960289815,0.006519878814825503,-0.004311982171584174,0.0052319223169007,0.010840207168783356,0.006487279037941217,-0.0006995936702954904,0.008803593567186057,0.015727913972855657,0.07999431543855845,0.021543554948895784,-0.04849792244714865,0.09448186192857874
WNT7B,-0.0790036979471644,-0.016591599348718945,-0.03073519390245825,0.07195393779736839,0.05840842826103826,-0.04024002849239703,0.07088272686643209,-0.04151399877556296,0.0032187123928437674,0.03285452323001033,,0.020029616464227594,0.02267246879751389,0.16207539716879826,,0.11850496298649828,-0.03348587504138266,0.07177755460720905,0.0641175600602454,-0.023135558423021108,-0.016688885403810697,0.09824200150307526
PTMA,-0.0004973564654705911,-0.04650654711042535,0.015203417754398884,-0.0524180553352646,0.009450793544164822,0.045040237539875703,-0.11605569825411578,-0.10057818964264832,0.02277533548196271,-0.09893697829793612,-0.12000301747536277,0.00898386483427899,-0.02046258191323009,0.016658151643985382,-0.08437066911779388,-0.0005796513914398334,-0.10306544115315157,-0.012019001205696513,-0.10558092543498919,0.006088983164136918,0.033547315536681055,0.0963574195939163
FASLG,,,,,,,,,,,,,,,,,,,,,-0.009746116307833636,
CEACAM1,,0.014889062158269016,-0.023587412722701973,,0.0038448599352060428,-0.034903493371934935,,0.031111730050035,0.08333666644186898,,,,,,-0.03334069762806538,-0.026025446756984316,-0.018763787371557396,-0.01471619734147584,0.13730268302297732,-0.015355406601990487,-0.029073416299031974,
PDAP1,-0.031438045772656124,-0.06504021225442182,-0.04809192024331237,0.012645161384465326,-0.0020081392546900815,-0.022934441747828316,-0.019802007379904094,0.174257259235921,-0.01787210600802534,-0.009593476521252118,-0.01726202242761495,0.012888052105330554,0.018729305942938135,-0.022860077558377094,-0.14426968827128847,0.009520959281239494,0.05326910939165508,-0.005072276898223944,0.011536339464359318,0.011990304218177532,0.08310765706289554,0.015302226181434963
QDPR,-0.015678909897268316,-0.08417785033763552,0.04945485772695999,-0.09635376855482534,0.07730999766337417,-0.08105362390127456,0.016361384496784037,-0.17733729334723974,0.10405761036075221,0.0014428052435423856,-0.07597572171705157,0.057019268493594615,-0.02467517195486618,-0.06513706719508393,-0.01483292652960076,0.0163381341052449,0.03326752772085198,0.013191381238658534,-0.13975977223015082,-0.003351716835191271,0.01728075148535373,-0.04150882477225042
POMC,-0.012775581276106852,0.012220005470280921,-0.03336024121004771,,0.08429746378753018,-0.03003174067636824,-0.01766274725899443,0.05647413579314414,-0.002977019411557292,0.022329764870273217,-0.012483330829494904,-0.022256556793330433,0.011281500981979657,-0.0433162411554998,-0.04651465259398224,-0.03657513716301739,0.03324769049650596,-0.007006807918503929,-0.007020907499629736,0.035363977279253,0.016578927654922446,0.006251344933532984
CCL18,0.15257912030759235,0.04700263967002621,,,,,,,,,0.007611914763021656,-0.026947701368345522,,,,0.3282326658056046,0.04124605989186816,-0.013172935478954777,,0.04282786380127405,,
CCL17,,,,,-0.02418746619892758,,,,-0.01699557874967184,0.04460149853030047,,,-0.014107556524041356,,,,0.11800503305167144,0.17099894633153018,0.037070771828258346,,0.022475973980548212,
VEGFD,0.004248541341900679,0.015484732435876787,0.008186859740816052,,-0.005820270663617009,-0.009319383139322847,,0.09847201420015048,0.008172196032033657,0.004093843718901378,-0.01568314534344782,0.01103427696244536,-0.015119505284914209,,0.1173102434277947,,,0.17690541246027888,-0.031189032821311496,,,
TNFSF13,,0.016906301639075794,,,-0.01668397285254205,,0.016073688036654474,,,,,,,,,,-0.025543726486917263,-0.023091235098206802,0.12981930299368874,-0.017243092455755036,-0.049727633660265814,0.03643974840082422
WNT5A,0.03997459311881553,-0.005774237078241251,0.015264873041042635,-0.01117723375175671,0.021042771807634735,-0.12073113698466492,-0.0021450955072986845,0.09213481185425751,-0.026784629886460836,-0.016088709546265716,0.040488203982662195,0.044646232931082074,-0.026509990259313863,0.11448435840483392,0.01116955927604942,0.019308456034245504,-0.006962601771258508,-0.047737222121544444,0.015332268410308377,-0.036077248067447096,0.026649935125772035,0.14216433728651295
CXCL8,0.02085140008765825,0.09426078534423092,-0.0103074312091974,0.04658293186319456,0.04271004710518392,0.1269792615449074,-0.015750984190399494,0.08570609366601807,-0.035296675465668746,-0.006905386061342763,-0.04814273331126903,0.01757844023044047,0.15975671657834942,,-0.03723651950642657,0.07855655815695121,0.021815133168483346,0.03337161200441523,-0.04198539017910229,0.08122915295117755,0.1195999981551451,0.1661911815288978
GRN,-0.005432135529311639,0.002814816760269083,-0.029225819951220876,-0.06458461160273153,-0.054409450672959325,0.0343814642690409,-0.026824971769504477,0.09897573659702927,-0.021392750102760878,-0.02369843281615691,0.001132060867230311,-0.003755177991952891,0.03611904752230138,-0.03248961698041011,-0.10506376627019529,-0.020582138719872647,0.04067671220780368,-0.010179858515920747,0.021037437705464835,0.0703973268283107,-0.039581344913892015,0.010337623308060645
MIA,0.0051586976212346205,-0.00418490602053945,-0.01824992373185349,0.057538140556983475,0.016450676433557625,0.03935560651476892,-0.026196777274938857,0.047706386147188605,-0.021737943617793843,-0.025513233148910467,,-0.020393455861048647,0.12963693131558301,0.11460569951689392,0.01767338782784351,0.027215080668596313,-0.007849614528729806,0.025090479426988575,0.13190597008203175,0.025287552586652252,-0.09328605642610922,0.015823934977725745
COL4A4,0.03648508117737191,-0.03086339724453912,0.001192536008210195,0.07921671920355706,0.037871365027374,-0.06566958069705546,-0.019231404742994535,0.029176318978418922,0.0014783420670802976,-0.0017067501311179272,,,-0.020086417922062907,,-0.03558477491403196,-0.02332968717222703,-0.022502812184150126,-0.023562932952317827,7.742740194332518e-05,0.0159073659744295,0.09338987178767687,0.07079691725312849
TAC1,-0.06448384896678726,0.03324130016092604,-0.02524426939597306,-0.12329628489492964,0.0058826212174073154,-0.022562945225849163,0.05675690130974651,-0.04799203544106665,0.04272412653079165,0.0857103419593365,0.10247095437527358,,0.0645169692738499,,,,,,,-0.026492450874937786,-0.029485133154777278,0.025141370719464887
RARRES2,-0.020002840356863782,-0.02263231012978193,-0.05977163159189368,0.0329382596955548,-0.0053891296435511216,0.09640960348289192,0.01784085206682364,0.1533353147075443,0.09010350514896147,-0.013802325328844381,-0.02916217354017909,-0.024415311695681924,-0.026123790698014605,-0.008733159427275063,0.05997613428055405,0.16379589860366317,0.04604550247500678,0.04017362481279583,0.03291258648878077,0.06290001362938706,0.12091433923740201,0.12581830091041868
FGF7,0.1009675620807747,,0.04835285387598248,-0.028398624534477546,-0.0075067817858968065,-0.020509702297450437,-0.017865795408704775,0.06205211818203454,-0.017168016244067368,0.034179024847157645,0.06616240669225686,-0.007915747446797012,-0.007024943046472024,-0.03958108531530842,0.11489645070371497,0.019532683237045156,-0.03483946468332861,0.036852584607723615,-0.0067041601247888865,-0.051634954029317205,-0.022232422169459053,0.02103926524353529
EFNA2,,,,,,,,,,,,,,,,,,-0.013986760719862344,,,,
HBEGF,0.06006503448784293,0.020432882173353324,-0.0011943063750041848,-0.005170943666252927,-0.03081445227138018,0.07072673425872393,-0.041284058122776884,0.09320419344717612,-0.01945788717750242,-0.05761104331821312,-0.09094689629694325,0.013951925351125462,-0.00814063793050392,0.050327146012060855,0.00993163853551452,0.028133545257000646,0.0036497192859929733,-0.02037477444884609,-0.027557346195448616,0.019061662034916327,0.10999325650103238,0.13852718488210428
CSF3,-0.004095933158818374,,,0.026536231513554935,0.0932888255802156,0.037865343896886304,,-0.01959976731891793,,,,-0.022591124843243583,,,,,0.06581724742314354,0.021958989806931204,,0.011110745043295643,-0.03213145673829108,0.09398302337988575
PI3,0.04737093889229693,0.1389612278398761,,0.02805564788449066,0.04019227648100933,0.1002462110261304,,0.07878329135236424,,,,,,,,,0.02942808352527066,0.02946531244614539,-0.025125995563460693,0.07061494933837978,0.17638497768138367,0.16694393927729695
PCSK1N,-0.05861919578564911,-0.012992001801795675,-0.06177803841664109,-0.08383394916406792,0.0027522843746977835,-0.029945599025558885,0.012988054046943847,-0.08610584858788216,0.005976883904846925,0.047362369080638005,0.09041332878792856,-0.025043165741688796,-0.0037225177631672363,0.05584959284220786,0.05136007396495097,0.011959707080639941,-0.00834509762643257,-0.043975258095879495,0.07596643247254892,0.003283252689864366,-0.04807349573730353,-0.10040464925222609
NTS,,,,,,0.002040703600635456,-0.023477175658768928,0.0337304636541178,0.02663530292968675,-0.037675057181328464,-0.029212683083741284,,,,,,-0.031055507815989595,-0.0170402137615498,,-0.05089958872576319,-0.03799157489314297,
