,UKF334,ZH1019inf,ZH8812bulk
IGFL3,,,-0.01971269933705811
BMP1,0.04265322241277776,0.003776401511653733,0.014943946097403031
NDP,0.047681975580384305,0.033154078454319696,0.027826782961209155
TNFSF18,,,-0.020329358876731377
IL36G,-0.014899820612460365,,
RTN4,-0.03198991383561744,-0.0022972101561596673,0.029381586180915794
HEBP1,0.035872077080958756,0.0008985098357420245,0.06624831872778351
WNT7B,-0.016376619929273396,-0.033189187251287784,-0.016881419885776287
PTMA,0.02140874673482945,-0.07889710513191837,0.03384491599370695
CEACAM1,,-0.029764594729724578,-0.012404236551937224
PDAP1,0.0511398698689724,0.004434934224214763,-0.03084580968990393
QDPR,0.021108393113829952,-0.026057426025015845,0.02921638185479622
POMC,0.009241617318975368,-0.002933470336679438,0.03764148326308029
CCL18,,-0.021103587040256135,
CCL17,-0.013611409135246309,,-0.006556469780662277
VEGFD,-0.014587768761002397,,0.04989337679264603
TNFSF13,,,-0.027870973271089207
WNT5A,0.06608836382248241,0.027889490849065193,0.03747150289034288
CXCL8,0.10776947087436936,-0.03715618760134717,0.016291061344907785
GRN,0.03772670399481791,0.059556711363496606,-0.010962093067977545
MIA,0.030631774228787004,0.07830091594114656,-0.010975607684958944
COL4A4,-0.01938000049355257,0.08099701871469579,0.012411064234024185
TAC1,-0.034345416764771035,,
RARRES2,0.05916368606645655,-0.001217441142724612,-0.030154962945674026
FGF7,0.035309132447869714,0.02190672505599974,0.04972029307402519
HBEGF,-0.011740181537750933,0.05790765349256417,-0.004639088364948993
PI3,,,0.1140538837208149
PCSK1N,-0.014156049600504195,0.005553480144320149,0.004153035990805131
SFRP1,-0.002253458816428427,0.02757146616124383,0.09118469741492012
MICA,-0.0018444296898739822,0.008654136075771993,0.008518109263108057
TG,0.19250211518006743,-0.03436157367494603,
ADA,0.06635885808237123,-0.006723424898556678,-0.04640874343347118
LAMC3,-0.009256313048694164,0.046258631827407234,0.08119849659659131
NGF,,0.05724059975533891,
TNFSF15,,-0.03167222379996486,
HMGB1,-0.01540412978523006,-0.07444677009830554,-0.020232274742852677
ITGB3BP,0.05428381749838646,0.0553771135114799,0.02513028072613222
AANAT,-0.018258403409586507,-0.02198027052554981,-0.0015958574204416273
RELN,0.06259336721757049,,-0.026380257823712082
IL15,0.04306715806167984,-0.037156284712341205,-0.01363241021495512
BSG,0.02346761832356958,0.0038540893500438466,0.010358046673056384
ADAMTS3,0.0943437441073758,-0.026319136270050208,0.02692240765289161
CD34,-0.039216026197414385,-0.017920771884910487,0.012478720883342086
PLAT,0.03278888782151228,0.05872178772385672,0.021364418384121134
LTA,0.022834115642835225,,
CKLF,0.047812356391825,0.09817881106881954,0.03426558914689414
CD24,0.09659665173487163,0.024870532401164974,0.018177586285045014
HSP90AA1,-0.0345515423193683,-0.03417494057431569,0.024096928919312633
BMP4,-0.014429369913934184,0.028269559507032704,0.059543876413166844
SCGB3A1,0.01603012461007619,,
IGFBP4,-0.006744036243175656,-0.04354892647289977,0.043801379149682476
RSPO4,0.005064315711316257,,
LEFTY2,0.07733608764471224,0.021712069376166303,0.013195278463805585
ANGPTL2,0.05035357377859262,0.12474791170442211,0.046705470431584885
LRIG2,0.021673278938585862,0.06327981221078345,-0.046880083278058454
ICOSLG,-0.0029055335326195098,-0.02263352995909061,-0.000249873697588335
WIF1,0.02840561584435737,,
NPPC,0.03747094677837309,-0.026319085722572973,0.02088561090091228
LYZ,0.08262816500240373,-0.040185528368596644,-0.04333883896947605
SPTAN1,0.01749630253941295,-0.0014034548283329321,0.03639380100861569
LIPC,-0.01312007069636461,-0.04090671368308201,0.022843532601928073
