,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.01777121055491463,,0.09668388636386577,
BMP1,0.05880551502451632,-0.01774943653742933,-0.026788411134527207,-0.01598086740815461,0.03504699187287955,0.008240021512263792,-0.006853277868235172,-0.0038972460172317226,-0.06997311288077511,0.095896068871023,-0.13819236859526693,-0.11456980421315045,0.0106458273013756,-0.03697287728022446,0.026519226421979996,0.008963441467444768,0.10363336355776956,0.08508868340602596
NDP,-0.007557790546679357,-0.03881007127118951,-0.02755226903855676,0.09963108597430499,-0.002543686997094903,-0.042561077156701134,-0.021060272869401896,-0.027806204477484657,0.07061985965574868,0.11268546093967996,-0.2773574480515113,0.10261316100298107,0.014275199174718417,0.010991276177957822,0.003327679258833859,-0.023573458636911362,0.0028028255477948213,-0.058856552468795016
TNFSF18,-0.02851837794643854,-0.03863524584639419,,,-0.020956612425786426,0.10631491147114243,,,,0.180361117210059,,-0.046026263106726945,,,-0.01832713576499628,,0.010982369536977963,0.03935489971446299
IL36G,,,,,,,,,0.029881219077941626,,,,,,,,,
RTN4,-0.011113821335697058,-0.07048889375276737,-0.020486527258553412,0.08393159172860956,-0.0048544456882742065,0.010892998408914898,-0.023924426081647885,0.030519481099157773,0.0949882604995652,-0.04631421057048084,0.18706336097772405,0.13765169502577304,-0.01948005622114986,0.01962992025492545,-0.024266062516366094,0.0443649645353002,-0.05315462070839773,-0.07870848920576508
HEBP1,0.06142453832732787,-0.03512811377315202,0.013809506585212442,-0.017558522292239663,0.006366723420593938,0.00383905684630051,0.033741763967487806,-0.06917280562017704,-0.0020618417482704374,0.10925678123194904,0.1489657616613724,0.027761874034543575,0.012199765254321666,0.027010504632993936,-0.03106546904788185,-0.025539335433631263,0.045511268175912695,-0.025789321230194284
WNT7B,-0.04220407119513704,0.06528765912657034,-0.03780713130576454,0.13200935069816416,0.026673032770022795,0.013284323125831797,0.011866933763309957,,-0.01637661771412432,0.08799513559284025,0.21433129908258192,,-0.02657911959698021,0.001077562802932484,-0.011969221582496291,-0.029532829473372154,-0.0006522598028855214,0.08524109711432518
PTMA,0.050465031381765196,0.020351367475841337,0.037804816256304684,-0.04750371520915861,0.0787445906422013,-0.054149662838761915,0.02818363120753264,-0.09875585583957494,-0.10163209576508497,0.072845852585879,-0.18214536574136622,-0.06736240253325226,-0.002202946407565729,0.0021553461636351534,-0.03298850074947765,0.011925900668694145,0.07271627076029911,0.12266744119354085
FASLG,,,,,,,,,,,,,,,,,0.10296886140506069,
CEACAM1,-0.018151165996881737,-0.021931692383237562,0.0035409569082103516,-0.016595309016696792,,0.03224582086884748,,,,,-0.004061750684471059,-0.001379652949201595,0.09114341548269225,-0.026506977908284275,0.013067527630424666,-0.026184939343386872,-0.014412128080917314,
PDAP1,-0.05836282241133277,0.015255221416432714,0.04504154439933186,-0.04635954212247115,-0.04082361301202772,-0.005529325123431218,0.011688136983891272,-0.03881286195547175,-0.0830905911272719,0.09256972052715817,-0.21507126502928353,-0.07024005248836275,0.030097552968121746,-0.042216590941895726,0.11297517492433462,0.06113480441843852,-0.0823148173431254,0.02285516322729639
QDPR,-0.07937036458710965,-0.01287120906822888,-0.005916296274620905,0.029419921521045604,-0.04101127434499034,0.0342219457854329,0.0007810972182157411,-0.07172352073664462,0.005859990298068463,-0.11620325617734725,-0.14544342306239813,-0.04862789259554723,-0.0326011530586682,-0.0015197575715497269,0.01404446149790278,-0.04804852345896776,-0.07199077850673574,-0.17258586363845707
POMC,0.0445139067069988,-0.03896911832584112,-0.004180858212229326,0.12215898894581335,-0.003063207665625709,0.006072519493280556,0.03129812051977276,-0.06407500319988664,0.015546677122129364,0.1001365711662729,0.017800757141772188,-0.024068708415566978,0.03504911785350347,0.044802834247689965,-0.008018227395452155,0.01419686385098908,0.0347936481124022,0.1052522586175235
