,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.032446666977111474,,,,,,,,,,-0.015714771204231492,,
BMP1,-0.04960746451684004,0.04193618050256416,-0.021313605414534226,0.02089283716143628,-0.04295622966912019,0.026866112127003444,-0.20555144299799627,0.007218125432489774,0.012374475573172608,-0.010143941128466184,0.07417731449745164,-0.0652342021127648,0.06479403684439805,0.05013195475965589,-0.012437233874228746,0.032295609522630865,0.015310850625422893,-0.07011166268989365,-0.07024323202143369
NDP,-0.016996221547277108,0.023285296995519466,0.011899330661859076,-0.004375783501109922,0.037912119422402885,0.012793555292850796,-0.07636146591515292,0.0017780463057835388,0.032102867043434076,0.006869001764167155,-0.06898180304249119,-0.01238266895217032,0.0860220206240139,0.022062204761775523,-0.009331525321670262,-0.06456261989042397,0.04590997252075354,-0.08007062763131846,-0.046686705736862
TNFSF18,-0.021000970526792014,0.015700883212996578,,,,0.01420217702501806,-0.03617281482053484,-0.022543082589631468,,,,,,,,0.07220776517513101,0.03910531430987617,-0.044524183998808545,
IL36G,,,,,,,,,,,,-0.02012642916343878,,,,,,,
RTN4,0.16944889545779587,-0.02735653669930433,0.02081706834812485,0.04445680755115784,0.08602958726494077,0.06892150021750754,0.23600990162457228,0.021947316941447834,0.05006394819660086,0.13106333104527323,0.13230244946524877,0.11459637811948177,-0.07965694710269419,-0.024662645752603657,0.01709010131862467,0.08416171475184697,-0.0620444567532622,0.08842396763067242,0.05755725925837517
HEBP1,-0.055667961635807,0.04529510772123941,0.00034672604033472026,0.021079442127563987,-0.05186412643095681,0.0020262942814039653,-0.03201182998802551,-0.0016664884387795796,-0.021991492034244952,-0.08560523518571514,0.12337187277817159,0.04678245127976797,-0.01250653836793142,0.025523959492447092,0.04422896028405441,-0.03486615643618371,0.00883610508301971,-0.06954610724482858,-0.06254015237756444
WNT7B,0.10432987544663322,0.008431004487884452,-0.01049040617381586,-0.02697617800253322,0.026453286138502008,0.06896496263134096,0.31237163701337417,-0.006535023199461378,-0.018885875525302076,,0.001414133485708795,0.023161582359189522,0.10074881689374043,0.08198220739756973,0.041797578009877545,0.1270011874846227,-0.033541854471743335,0.0748691314864242,0.08563064134450227
PTMA,-0.0629941574990383,0.026602517754206998,-0.0033375477580909257,0.027173261476036183,-0.0861857308303519,-0.07043547702604967,0.05779488358874917,0.0003896550199530771,-0.036921220933949915,-0.12979010802277607,0.18735630699449013,-0.08667778087100245,-0.13238919421545225,-0.05229017475836883,0.008656077389325247,-0.07322544366696818,0.03395920579325598,-0.026080285467864783,-0.15037400165260303
FASLG,,,,,,,,,,,,,,,,,-0.013629415704258307,,
CEACAM1,,0.004528224906990112,,0.048605314657744585,-0.027539947517634368,,-0.06159870330065391,-0.0354548983839091,,,,,0.06489758293754071,0.03447094623987734,-0.025640817459819654,,-0.01896333015567972,,
PDAP1,0.04272163288761526,0.051289959207901685,0.020611974570029834,-0.01000619013268925,-0.0468845665125975,0.019632975279182847,-0.17346830203150543,0.013699950431578945,0.01407423188233353,-0.020744924543813614,-0.0031518919853050593,-0.05505402496735141,0.019765167464668817,0.012621839892531274,0.03138810527658761,-0.02594250877523427,-0.024225495801953423,-0.09965940664308316,-0.01460899479184964
QDPR,0.09726090107869734,-0.018484131922526296,0.0926383617715362,0.0042088323517595495,0.13081009523961776,-0.019088489489230257,-0.013012235737839948,0.01275544724468235,-0.019101474054811163,-0.12285102283769905,0.1844749623748932,-0.05037113094727092,0.012370773195117726,-0.005669901505367104,0.017947888022748888,-0.08939861936737852,0.03598843811828613,0.04951091223560811,-0.05511620124884436
POMC,0.07191531121518967,-0.058803936994587296,,-0.018134091120322764,0.020137179210136188,-0.015364515700235356,0.041478476053914345,0.0598753757812488,0.04565494643214247,-0.07688158482096584,-0.025983375045192405,0.042772717311966885,0.006388679131997513,0.0029102858008586497,-0.004974245152637251,,-0.001159403540931174,0.04384850346884543,0.07913208753570948
CCL18,0.0565775147846036,-0.012995512243979563,,,,,,,,0.008201802627846963,0.10822220216884293,,0.03566698599789992,0.04695296878536979,0.00266963890363086,,,,
CCL17,,,,-0.018054781324662213,,,,-0.007763290513871332,-0.023375419661402764,,,-0.018386064429931546,0.19813077048181169,0.029750921562807866,,,-0.012353534485132125,,
VEGFD,0.006133722954595459,-0.0034044973899149704,,-0.020115020180128562,-0.026348662523757824,,-0.024042002630511476,-0.029954807592390695,-0.017146153010536142,-0.025978658609044174,-0.04065201750391837,-0.019704914727322925,,-0.003683165056952079,,,,,
TNFSF13,,-0.023335877445490774,,0.010472883071021028,,0.045353637896471066,,,,,,,-0.02768163735210975,0.039744240664682934,-0.028792919494785393,,-0.020129053335895326,-0.048435961275070084,
WNT5A,0.035548781458496555,0.0072634173486356025,-0.053808614947432123,-0.04171811542187962,0.0014787030500100547,-0.04858289309480852,-0.16750288560311954,-0.016082673557194106,0.0518682249178419,-0.002370028272407829,0.0877143009195656,-0.02318575720489216,0.049528859140198854,0.05477403955699124,0.00995947442895075,0.06480917838376733,0.1227272608812375,-0.054502464129291904,-0.07229407428053052
CXCL8,-0.06294529454499788,-0.034073469435797574,0.051143102851534776,-0.03817878780971621,-0.05327645802758622,-0.010089265451491778,-0.08512662372758362,-0.05730016488786907,0.054139186539132814,-0.039730380831527044,0.02182824174593063,0.07964353200192203,0.08427146670194534,-0.025803219797212302,-0.010486033327330738,-0.08144271939803423,0.002174167924800869,-4.186933630152894e-05,0.04760322599807194
GRN,-0.04293455651949868,0.04975875079994049,0.004062302966513631,-0.011112794983732039,-0.06504492536940372,-0.0547037987625807,-0.19656873552152318,0.03063681188293596,-0.003316101607638899,-0.11054386311229208,-0.051371638288159605,0.0012799101709090664,0.04083476124030966,-0.009900554838863472,0.043760136811880304,0.0688332158439481,-0.009328500568567948,0.05930749402664926,-0.11624075472471097
MIA,0.007900287543938482,-0.02126106437236642,0.05898906895578061,-0.03801731235400848,-0.04662898248736559,-0.04168772371414754,-0.0581201091678984,-0.012169384820856,0.04129006552955026,,0.011274397764905032,-0.02698678374723566,0.05874289628613451,-0.0186424489326686,0.020599098521161596,,0.02294304460734271,-0.031486364973247714,
COL4A4,-0.014457994797801329,-0.05339419604350444,-0.012057433594001986,0.016126298483031886,-0.0030691629788381705,0.02150941278506898,-0.008500262979870997,0.01932925861331047,0.030277187591173347,,,-0.02617818142016453,-0.015832922446657672,-0.04998055204659716,0.09847166756340062,,0.04841780825935095,-0.03390758600209543,
TAC1,0.11317180730292047,0.05966524441345681,-0.012330921055755862,0.05418116061574237,0.18971699075562956,0.06386519922176087,0.3106790551348096,0.07211828434418853,0.02930502247818587,0.13248495675858868,,0.017822827163703918,,,-0.00889479583444262,-0.0009635426090260416,-0.01623997724096452,0.0703443121470123,0.3111087700115656
RARRES2,0.056841102009514366,0.006959066136159561,0.033978983713577,0.023875029360360702,-0.091373476046003,-0.08464426533295924,-0.2413667149394204,0.03305725410997153,0.021537947989689967,0.012998811545042907,-0.23557298186080142,-0.04580460169419851,0.07931677763404184,0.04914820739944569,-0.04532984539170894,0.039349453057626424,0.04480130026480946,-0.11585724915308351,0.11593711793122687
FGF7,-0.02748781197141677,,0.01088219055965712,0.016940845924558995,0.07250671513927458,0.04085120739378662,-0.013035479465800736,-0.015261852696853212,-0.027693902448829837,-0.0077471938856057704,0.13578359453894767,-0.05862913414108887,-0.04778271064879115,0.010933394430420663,0.003419898827238474,0.03371730675947897,0.0345706958974803,-0.015513529523365075,0.011764907358438182
EFNA2,,,,,,,,,,,,,,-0.029668039353887614,,,,,
HBEGF,-0.01744638280976568,0.08607941623767365,0.05645840967495047,0.004492339308071926,-0.11873529063746374,-0.0643039650812232,-0.07541060091772614,-0.031549192020115205,-0.030804506346911013,-0.0777318192607798,0.10450840212492778,-0.07105233281627243,0.07324229260247347,-0.014390584497178635,0.007743777768901244,-0.03934709905045378,-0.018363614446512733,0.018657889633032627,-0.006846892349516395
