,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.07416733379938784,,,,,,,,0.1072666175976872,,,0.022121401495375562,,
BMP1,-0.01691942812787127,-0.01645033074877217,-0.05259617297914089,0.04316392895993845,0.0161311259081156,-0.020905444609453167,-0.07622369531592703,-0.15083754279272638,-0.4640495285455244,-0.14592172071011553,-0.010445220197353226,-0.22902870261494346,-0.32347024650133155,-0.155234065091527,-0.08176960189737215,-0.08341978787398163,0.04278358555357173,-0.1498111759227006,-0.05458214330632916,-0.005280151216898799,-0.10280843907216565,-0.047950830299097635
NDP,0.05017633745230277,-0.022684874814528303,-0.008780051374404437,0.040694362794414865,0.05455079364069061,0.012676384011309596,0.22938722302285078,0.03980646148994498,-0.09712260562675244,0.061288127317076814,-0.030604153749539502,-0.13600765191038594,-0.08490905208262371,-0.04223857823779702,0.028745060466086755,0.09380576789727792,0.013660148603666072,0.027875331266474155,-0.1060765758213125,0.1535991693692989,0.09077660609286771,-0.01049430894784574
TNFSF18,0.012168222400572132,-0.015892285691867594,-0.06175974743052205,-0.030295275815664054,,,,-0.050501360461149836,-0.07584814319502944,-0.05315916623390106,,,,-0.04352258417015321,,,-0.024243210165023607,,0.017264488445185692,0.036929354362981615,-0.00991372606112218,
IL36G,,,,,,,,,,,,,0.02690038654036543,,,,,,,,,
RTN4,0.03848872301652799,0.3007805819822868,0.022922895692966273,0.07812636188410615,-0.015470890549144807,0.08165451454104561,0.2434336291543523,0.32805928927671346,0.5694982718610107,0.22020740865145966,0.172846870883481,0.565584146247179,0.49494411637882124,0.019967240614819224,0.05210219464859557,0.05538153232042751,-0.0010676756493541017,0.21279587983533804,0.12998383380378442,0.00045915707416027793,0.3180197277808924,0.12177515791693788
HEBP1,-0.06481511351231356,-0.11917846438448416,0.07430208197531823,0.013396283561793735,0.009197226745196059,-0.014316464213630269,-0.04343180833999884,-0.06549383597958532,-0.2538338278411005,0.0024177747762161098,-0.056176661616434254,-0.24924770846766428,-0.06785335539875804,0.030098204370106824,0.035765661270595585,0.08616229017525077,-0.016056319192923604,0.08347533243586497,-0.039335984695724115,0.05427206975419204,-0.05053356900293734,-0.05491613486067018
WNT7B,-0.022745674307043023,0.44316223862952614,0.016153940274171,-0.03677631659106007,0.017648683052546632,0.027591286215614626,0.07862108511715267,0.01630510409943032,0.2723839198160196,0.014206722774895023,0.07705960623074869,,0.13111788185409765,,0.024974932074096064,0.01084248187155429,0.06850274998959316,0.02589927016051891,0.10636129968620994,0.017938422267778066,0.09130135584223059,-0.02255308235733084
PTMA,-0.08808434224580514,-0.031968439402931176,0.048347460317069074,-0.003847963814010755,0.04407356742189,-0.0389548993435921,-0.2417645530608851,-0.36121787601435407,0.08801973857660877,0.11005820714826052,-0.130089490273152,-0.7132425554923782,-0.4812864379819126,-0.03159019213016043,-0.09260906540456987,-0.013778225654350069,0.045128322150838944,-0.03570033627460141,-0.09159930227570805,-0.06174148697795938,-0.22844946800309057,-0.18708477171818208
FASLG,-0.022745680737186882,,,,,,,,,,,,,,,,,,,-0.022505818182442787,,
