,UKF248,UKF266,UKF269,UKF296,UKF304,ZH916bulk,ZH916inf
IGFL3,,,-0.012238775118225223,,,,
BMP1,0.10725424131618076,-0.01959898293905208,-0.02650626005402623,0.016980083802905083,-0.0663098429830095,0.04349243487236252,-0.04229216372141831
NDP,0.03607991637652958,0.030122134922450555,0.007897370974513868,-0.0007986180082206961,-0.0025550062770006744,0.11377748264713415,0.04180779492938792
TNFSF18,0.021181204315161285,-0.015830098181538365,0.023220324022225493,,,-0.028861141984426623,
RTN4,0.06355768417977956,0.056319014992773364,0.045934498733063135,0.006024508204304584,0.09950547252402261,0.04678023509493628,-0.07570974679994681
HEBP1,0.035810327619638954,0.023090641445470152,-0.001083581248978061,0.04966024434090059,-0.045261796005598244,0.01481141002858074,-0.018529712940228454
WNT7B,-0.00380475086220199,-0.025383300736123025,0.05021298927265488,-0.015866375857547844,,0.020294236426564263,0.0041268901060136755
PTMA,0.04938555075071477,-0.06364800332234705,-0.0066959501140903726,-0.06001537964017945,-0.12864922161453754,-0.036176309779642174,-0.09358612342867775
CEACAM1,-0.017005345339605703,,-0.023916230014517266,,,,
PDAP1,0.00829603518767982,0.03356524787570623,0.04420943494679846,0.01807171879056984,-0.010366190932314133,0.0010489780426006564,-0.01927724283690087
QDPR,0.0019711199569868634,0.02242996452938693,-0.02343292918687036,0.009818951926555455,-0.09426653576035612,0.030598514776816386,-0.0037957856120464516
POMC,0.030738919629958734,-0.0031478949678179734,-0.016993101003110345,0.021522485197001603,0.03544573594129542,-0.0690941694276602,0.029318901109955515
CCL18,-0.03655537849709874,,,,-0.07475181307036534,,
CCL17,,,,-0.004915731598702938,,,
VEGFD,-0.017206111893248627,,0.017201032675872793,-0.014404802563255303,0.00686555429556501,,
TNFSF13,-0.027585870428928867,-0.015351892891326241,,,,-0.03139680573482033,
WNT5A,0.019803610321353325,-0.05213384742196129,0.0019094657183592416,-0.008862827105598664,-0.082412969703922,-0.06243481280956707,0.011952358224995038
CXCL8,-0.036130595658885885,-0.02183707192710188,-0.04076832503442678,-0.01341437848854169,-0.06691617102392951,-0.043214255272627775,0.005292434871506158
GRN,-0.017819290947774975,-0.051212702640828056,-0.033999304278872884,-0.01096744404431099,-0.10873206853551404,-0.02134046346952794,0.0057119220067461405
MIA,0.009014508003282337,-0.02775918313219679,-0.022898857928883815,-0.016382429292529976,,-0.04882063880717203,
COL4A4,0.005148326064570993,-0.0146066478330848,0.019368106875604293,-0.027521178360068094,,0.03878252932741467,
TAC1,0.08676863825720928,0.09139328129126228,0.051849144163145296,0.05577252416758129,0.06879337680873379,0.022131249620060134,-0.00764224323251728
RARRES2,0.01601642477689114,0.007539877404601132,-0.0044152342822105185,0.022118922712945865,-0.05555701455466185,-0.056775004191549364,-0.06987029955749932
FGF7,,-0.04186510909226378,0.05616154400701204,0.05145650648054276,-0.00026894053060667054,0.02562722972086954,-0.05765172702543571
HBEGF,0.003679507240409435,-0.01615750138129828,-0.0336069052609877,0.017193203741309067,-0.006806982946142851,0.023198290050555816,0.021091771214082223
CSF3,,,0.04603032990379413,,,-0.03691138510482245,
PI3,0.0009676982439873867,,-0.014367563335798226,,,-0.06336448868032575,
PCSK1N,-0.05674737468330842,0.09589768419863029,0.03618038749906589,0.04750501680186902,0.12236865184112307,0.10493204782509785,0.09593342523003107
NTS,,-0.01783139825435922,-0.015683176410279907,-0.028557289406948676,-0.026439179326199998,,
SFRP1,0.029751000635597952,-0.007857486342711878,-0.0004350804012750521,0.009675621683681166,-0.011176382088444296,6.575267249280242e-05,0.07300280415934021
CXCL13,,,,,,-0.01276703560078745,
MICA,-0.007994373339873819,0.024949506746442716,-0.03830757876590161,-0.04999249640478776,0.048628853142260675,0.014935431351855634,0.07661559486717563
TG,0.017092343966556494,-0.02058213417881998,-0.015399787081986482,-0.014212026159983255,,0.02947440815259598,
ADA,0.012988393701022189,-0.04020922087101259,0.003709060765646483,0.0019305990016691592,-0.05699598346735139,0.009851335070043116,-0.019238205061486352
LAMC3,0.08562244814956402,-0.04977348907805958,0.009061161854450843,0.013705547033338004,0.010263847348035132,0.09317967231835017,0.08048316728529929
CCL7,-0.023252308840837153,,,,,-0.021395570691816215,
NGF,-0.03992305959130752,-0.019640876485366155,,,0.1942341987043441,0.013238987581303112,
TNFSF15,,-0.02384832998264012,,,,0.12059765883136742,
HMGB1,-0.0004005356993299415,0.009865056475964088,-0.009195537721559732,-0.013206642937858075,-0.03764969419491099,0.09164791736904183,-0.0688850341250793
ITGB3BP,0.03834292552509632,0.006283453147858296,-0.030392889602862166,0.018161727223772413,-0.09188514320100682,0.0016075907269349071,0.019025701962328726
AANAT,0.021085991357304337,,-0.0115095728533116,-0.016382430203762524,0.04054277431324223,0.023306732483835146,
RELN,0.013343576676919317,0.013848845714040324,-0.011075202581891224,-0.03198347745668925,0.00992473805888364,0.010327266036391065,0.05346520425952032
IL15,0.018994031359447206,-0.016969504549483514,-0.016043487252346535,-0.010326083503021636,-0.01948293581074582,-0.05857386701451057,
UTS2,,,-0.037965986714847993,,,,
BSG,0.029008405289179636,-0.002990125464481414,0.06334183077477916,0.022858329085043212,0.05624476552392964,0.09063635703269282,0.049287043432556625
ADAMTS3,0.0365821517834188,-0.02733296276522321,-0.030268219005143877,0.01155233082768192,0.05322407451071175,-0.017984507769832705,
CD34,0.06392861746819958,0.035224147735947,0.019105026287050422,-0.02079432741465319,0.013013517011239165,0.0058486344834739025,-0.07792623037728934
CCL23,,,-0.013096066882631324,,,,
PLAT,0.07398451984399185,-0.06861177405480291,-0.00886731919869669,0.017088346140918288,-0.04080766326490598,0.08035750359949725,0.1269857943691176
NTF3,,,,-0.015565877806368849,,,
CKLF,0.005875429911547922,-0.032558776261601634,0.005850566296989381,-0.055118543747733534,-0.0684287767398245,0.0025973171442889836,0.018553197721598084
CD24,0.0069013204331562755,-0.023315165676856948,0.07687586112313861,0.012420735594296942,-0.05041902909601166,-0.0202870594312703,0.0029179990855324046
HSP90AA1,-0.02255929987849582,0.08998751384771189,0.0407225288225958,0.08734150646619317,0.1423299276869606,0.035303614582536266,0.10394417119389013
BMP4,-0.02060821802474487,-0.045856900465941014,0.09453108868147787,0.032995944078835285,-0.012001715361377334,0.013648394705428323,
SCGB3A1,0.005348050240748494,-0.021661872685394833,,-0.01381874010833621,-0.020020788839492727,0.032974883182354676,
IGFBP4,0.051538372935571695,-0.07197475810584704,0.054544216226845445,0.050389768636556635,-0.03476826927024906,0.051198880778442174,0.021471623955470708
RSPO4,,,,-0.013818738087032868,,0.04370285160424811,
LEFTY2,0.08790214716064765,-0.048641967360796144,0.006573375682589482,0.02313215664636946,0.05216233978285847,0.007488465727246226,
PF4,0.031944776266509045,,,,,-0.02226266795554916,
ANGPTL2,0.0545128082764761,-0.0377756212603465,-0.021748659631579195,-0.015173382308329689,-0.06044115790027298,0.06934366539594776,-0.06617259720006916
