,UKF243,UKF248,UKF251,UKF259,UKF260,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,0.054379099370615164,-0.018642263366775932,0.0827990085407908,0.036853435702038397,-0.013491398909760142,0.02028905672207114,-0.04439942751917409,-0.004519251102862764,0.048241892727762595,0.03501157928172227
NDP,0.0749935683429603,-0.03271678854222519,0.026506917217478103,0.04397283615006732,0.014542999520675753,-0.006416182822849137,-0.027549637544326124,0.028391893048539372,0.044773132584552955,0.002392299876218832
TNFSF18,0.05951051384662016,0.02262360926748557,-0.014266326389515936,,,,-0.02392671845024736,,,-0.0243087271724507
IL36G,,,,,,-0.021214447728546765,,,,
RTN4,-0.008109524676367936,0.047521471660036924,-0.025485843694025973,0.04357214438144069,0.02375214050646619,-0.007206819074797848,0.11534297645246243,-0.09603734783689143,-0.04910783154040754,0.05029954713919903
HEBP1,0.07681535691634651,-0.004594488305640765,0.017825984408153816,0.009077674860850713,-0.018438418060968194,-0.017702509433961084,-0.005112108866122008,0.004158239921792149,0.04875468961047743,-0.03746012598893892
WNT7B,0.01100930185805754,0.01355496238598764,-0.027103734099328522,0.0040198252399776474,-0.055513155879739394,-0.023317122836318434,,0.03507497386424584,-0.007580531284761613,0.10384225616151338
PTMA,-0.061452121396797066,0.0017141836607965212,-0.08461996844929483,0.061907048991268435,-0.03159622000762325,0.029750860678397016,-0.06172962713064631,-0.05432648688599442,-0.020828943651045574,0.08062861831431392
CEACAM1,,-0.03031898206827221,-0.004418588396827752,0.006406711782576205,0.01004085611798048,,-0.03236427428237567,-0.022267308214995552,-0.02176930368975591,
PDAP1,-0.10540184091083415,-0.027693621634310814,-0.05194168255948268,0.0051636470195551626,-0.06288922788070703,0.09443748753052568,-0.07383443622879601,-0.02282178507046955,0.06329909941075533,0.03368058708700989
QDPR,0.045471939770075166,0.04140282197640476,0.002615730537896154,0.015866699857828404,0.0476127222503961,-0.023675504702000253,-0.03863653695738261,0.05786538685478802,-0.034297321082994006,0.01880690270867984
POMC,-0.003546170608299078,0.016871625753891308,-0.036959144598940986,-0.030473499466757974,-0.029302361644070466,-0.02251984240684894,-0.07153450726259533,0.07324904397731692,-0.0062192107700501644,-0.00258658413311707
CCL18,-0.03603813104413192,-0.010708465464627316,,,,,,0.012969454219932314,-0.03632793944385588,
CCL17,,,,0.043565543031516454,,0.05131386308033768,,-0.01579757741052644,0.05025044172819025,
VEGFD,-0.040604440290474074,-0.010201576398751968,-0.029792522636285634,-0.021131305293461987,-0.013932179921949481,0.10877470486283682,0.041140536786096124,,-0.002173752695513832,
TNFSF13,,0.03139375692502995,,-0.013082995248962644,,,,0.02715535537579654,0.015644334167455008,-0.026444427774410723
WNT5A,-0.04739097946234596,-0.025915071394728807,-0.0505053965099523,-0.00842112490063405,0.03261478327980846,0.058705209829990314,-0.0678964090529206,-0.04477951893687204,0.020140994060688425,0.05930730884851236
CXCL8,-0.0510623358880303,0.0034296168223183895,-0.01627114735842095,-0.04883750231250724,-0.04878903848956822,-0.056334631945058576,-0.05970000406504614,-0.07198202392088976,-0.04655113619768234,0.08917682831828985
GRN,-0.06887904258100554,-0.0008520398959141313,0.04784273534354197,0.0031262443531385885,-0.068685007682786,-0.007896376321437137,-0.009974791261780825,-0.049906904412988284,-0.02138945975496139,-0.09645993988486008
MIA,0.03334544717086843,0.034408801065293614,-0.0019598859829186664,-0.0005419391353194731,-0.03298942566048355,-0.02844566756070841,-0.06302830257735496,0.13970962403943266,0.056388604412510576,-0.03794040575303186
COL4A4,0.07823128447559394,-0.02962460241847553,-0.02860156838085928,0.021033979578309978,0.01437694196266749,-0.027593352842507263,-0.03445170897822271,0.0876139130969238,-0.011338787129220351,-0.01156712211926368
TAC1,-0.03972932052359178,0.08876718374506565,0.14052259046014465,-0.010950638603109828,0.033230046897250086,-0.0489011960360155,,,,-0.04327746088144076
RARRES2,0.01784497905407546,-0.018384161978872413,-0.05167104667046331,-0.021482987390302327,-0.08271892632804824,0.048111075692232996,0.009941523872687262,-0.06151230312290522,-0.026520229727445076,0.08917157861658641
FGF7,-0.05815925494170474,,-0.03362637066880203,-0.005660562009394896,0.06818100321488775,0.0039591575410650596,0.14627037324553535,0.034130791537762516,0.008600548956026452,-0.02751337705137345
EFNA2,,,,,,,,,-0.020690266288322063,
HBEGF,0.040282270821118335,-0.04059390801812299,-0.06053669440724435,-0.02382000767777292,-0.039753293733444654,-0.0006804555834713748,-0.05038366150347501,-0.012627440693298181,0.040466063413919943,-0.011810401567206995
