,UKF251,UKF255,UKF260,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.023331101286204265,0.05370559482062945,
BMP1,0.0032882004912610664,-0.016681703566748123,0.04635540310620948,-0.05503014077319704,-0.07112560359241796,0.030337175388808556,0.13598961129357412,0.04000685016956331,-0.0034178300953133216
NDP,-0.02716838969516324,-0.01347164611848419,-0.010622085836018279,0.023856743623039606,0.003265793090246357,0.03222070968261448,0.07802998220532145,0.0722912464648594,0.03926972812340956
TNFSF18,0.011511645923924858,,,,-0.03654676715881041,,0.15044281877159,0.005463985243559297,0.04194394889908012
RTN4,0.0037107097235139067,0.009254277930872152,-0.029539839601928807,0.020964687222143227,0.014154728677391272,-0.06376572657886703,-0.15726685125762516,-0.012952137341446407,-0.054770159434273394
HEBP1,0.01903372977075729,0.016708316655828354,-0.011245161425049884,0.057083547232418735,-0.09226002132842528,0.018111551300378944,0.011555472090682826,0.07996084318569463,0.021802318556523176
WNT7B,-0.01938624916862745,-0.00291381001156313,0.02659696994966442,0.07506317468635257,,0.0167787524718241,0.0012442684636071546,0.10801881966306924,0.02201890676623831
PTMA,-0.022694969856539765,0.005841467682242917,0.0200419655343112,0.012428301945498259,-0.07207998262514803,-0.0380592349665655,-0.1683071159273757,-0.05703076083900212,0.0676800586849856
FASLG,,,,,,,,-0.019403851992306972,
CEACAM1,-0.014877780232548992,,-0.014777320781550952,,0.09917509684382476,0.17344038525182137,0.07199802579361574,-0.026997610140183537,
PDAP1,0.06586170135671929,0.09222425418477195,-0.008585459428730723,-0.021327020393176726,-0.0025595655660530505,-0.01804544175064026,0.0013028659852079344,-0.019900452892712483,-0.022721452423866164
QDPR,-0.005700801833524753,0.020689284529871826,0.03435416724677426,-0.02387185977350338,-0.018792922656508653,-0.032794403277545736,-0.16290919399910747,0.05147037328872868,-0.028004754533045833
