,MGH258,UKF243,UKF255,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.022793766959145326,,-0.01980241528046518,,
BMP1,-0.10023662304138908,-0.01776090867101622,-0.03543180834311386,0.02955178330593939,-0.031096358675882584,0.04068682119706094,-0.0609008242093591,0.06101475995800057,0.03213692940008056,-0.028891573975778902,-0.05809217727093573
NDP,-0.06056375038632838,-0.028702325150425954,-0.0020966491084192618,0.04107461031759187,-0.015276319821688821,-0.00888356753284984,0.006182984811258033,-0.02863225660333904,-0.04909673524435672,0.03142901162419873,-0.0005429447087129101
TNFSF18,-0.022403027021726973,0.008361682030539198,,0.1294734012772813,,,0.06680127485719081,,0.031015109038844465,0.02637915141990948,
RTN4,0.06868650006290715,-0.02062686889561533,-0.01914690725911731,0.018505398157564683,-0.05467469538211601,-0.00036999750053038445,0.09284378779352699,-0.03125840774552425,0.013278812424869751,-0.04363814934962796,0.07023965895901452
HEBP1,0.01694076147517202,-0.02428343337197166,0.07746330237216137,0.041517809938158685,-0.05695568997336911,0.030962181441338305,-0.0018345096802019237,0.0004984290114772212,0.036974007470832834,0.011608228143870442,0.08789955034376437
WNT7B,0.07787167578262076,-0.03283795002971361,0.10767799149696232,-0.01436839348879751,-0.04735574374624321,0.02096308869657185,0.023204607359312512,-0.04120823142663316,0.16182886732098825,0.04616364875373485,-0.01673066253721956
PTMA,-0.04240211974553931,-0.018490597494326032,0.042691495330954385,-0.04768886158956061,0.07222272702789553,0.0022335641088719184,0.008175381900887273,0.04119630470972213,0.012857343422752679,-0.07741342651349133,0.04573160072214377
FASLG,-0.01973637070324267,,,,,,,,0.0073156213910411955,,
CEACAM1,-0.027404123447995452,,,-0.01836162348633581,-0.009458027989634483,-0.026232700483099274,-0.004519915011885235,0.08665544845288879,-0.023895972392027103,,
PDAP1,0.005423242191634762,0.06783445153330185,0.006826109496203005,0.012683578405882098,-0.00864884970301848,-0.06301424885188377,0.073779508049795,-0.011785432570380203,0.005942706718695003,-0.08171679174374996,0.01757151378173475
QDPR,0.03283546267206149,0.021253067051971976,0.06872224861048119,0.006454412995778987,-0.06850960820569392,0.00155094822631004,0.0006531051452366706,0.014567562686422777,-0.002541144902698469,0.029805544463436022,0.03214954713142449
POMC,-0.029839236285413896,0.030317724621949184,,-0.013546473694648937,-0.056218109441478245,-0.014295942381695898,-0.00014105260713475481,-0.007590100511335257,-0.06213405775360859,0.06188632232969558,0.06773084788626657
CCL18,,-0.02665078173305802,,,-0.04856011327393165,0.11542205026637382,,0.010612991323352874,,,
CCL17,,,,0.11560490434946645,0.004656413178776268,0.0538721045905551,0.0026371801823279395,,-0.015566871249787135,,
VEGFD,,-0.03002764139597678,,-0.015513199125871216,,0.09727324872385654,-0.031695864020040904,,,,
TNFSF13,,,,,-0.03612395269180436,-0.041161819188770155,-0.032227167817220126,-0.030712781227728806,-0.025364917387578685,0.00591657308206119,
WNT5A,0.022495432988845744,0.03988992080738793,0.025148550523157287,-0.035140002072060826,-0.03358271143725691,-0.039602398614823425,-0.017440217055960355,0.023980035334675073,-5.20525173730624e-05,-0.016974345056045538,-0.021174687686471405
CXCL8,,0.03398287197765998,-0.05333274766139775,-0.02086035852130519,0.05185865832318977,0.08564659869014324,0.01033013381571072,0.05419999717673114,0.034437892206908655,0.014654673486955264,0.016720638277976294
GRN,0.07482932325723016,-0.06976928377513027,0.058282485449791525,-0.010955748210160397,-0.03865832639151655,0.028187242212642558,0.027255063049362042,-0.043289243736314376,-0.05313556883740343,-0.030796784991589825,0.049467122503812425
MIA,-0.007313438284322937,0.008920577844293393,0.03707561985838913,0.0003844818415908796,0.006668936876965519,-0.012439575848829581,0.0018812704712935283,0.035209804079470275,0.02920741868233042,0.03228143474966387,
COL4A4,0.061886624034356325,0.08501093095362845,-0.042363171765101404,0.058774369603315814,-0.022600702726799825,-0.04200265518996597,0.010993128737099114,0.02792572253683489,0.0344113125160872,-0.0213555387388595,
TAC1,-0.019736359965495442,-0.03785829044240226,-0.014334903307889654,0.07735037738745429,,,,0.10813357644018684,-0.020464235163938516,-0.020928982534741757,0.02390051643321517
RARRES2,-0.13397740717215476,0.010148743344265916,-0.030119891017131462,0.03695881956298201,0.03098635005653542,0.01234768153266793,-0.08221378096370774,0.0002650625247246297,0.048593656516196175,0.005397823264311223,-0.06522490434654543
FGF7,-0.024864501086204936,0.10218409969433968,0.011877488321442913,-0.01667783180647757,-0.046307429640245895,0.018934023753792162,-0.024010955238615204,0.04208310923674,0.02283706766743629,0.015861040514276503,-0.004626808168351921
EFNA2,,,,,,0.041650015757726415,,,,,
HBEGF,0.025855871081235073,-0.01690082409300221,0.011116609752705084,0.0020980642166813536,0.011019666853755355,0.026204815085381587,0.018416755355849093,-0.02025825125431645,0.042260876523392554,0.09922957354793607,-0.09912651805576761
CSF3,,-0.030228037586319836,-0.02965260990264234,,0.020234214443504775,0.06888767838768267,,0.013862941840920759,0.009560874970859045,-0.022193480702184812,
PI3,,-0.03580961815568457,0.03883340006883828,,0.003569437565453963,0.04595098893489085,-0.025534300576432974,0.03451696329634045,0.03948700779300082,-0.04297116190571451,
PCSK1N,-0.06144819920229008,0.040318845673968415,-0.01532304253354013,0.004447549813743773,-0.0031589816073485425,-0.033017667888199986,0.006735041277052425,-0.004712192151595582,-0.07970677806924767,-0.058784381469688916,-0.05652700867372648
NTS,,,,0.04516575004307732,0.016770219806000977,0.026839316094953946,,-0.013755963845674865,-0.02427063526986112,,
SFRP1,-0.028716902286043674,0.003401174158693513,,0.04693180655313302,-0.012344407331840453,0.013676240617335158,-0.0186546489546577,0.004772468407289618,0.09784737579254259,-0.05311263601128505,0.11508399688783522
CXCL13,,,0.0018960366120806843,,0.033169513435554784,0.01581018532330356,,0.051432290393192574,,-0.008788201177122217,
MICA,0.0403076330832743,-0.012637714683277738,0.02367626482405265,-0.022077549678456935,-0.019289237886384085,-0.047846683955469635,0.06450315631559828,0.014551071114362978,-0.05400112057937714,-0.045055569398435996,-0.08919567253947067
TG,0.018493430521620915,-0.024096570707237613,,-0.014669358795969116,-0.02501483007125774,0.03126327211407763,,0.013381464600467392,-0.03196267838264066,-0.008394323732209035,
ADA,-0.025039963799185286,-0.03563489151313005,-0.058507973355870116,0.053496332553981674,-0.05182925022930776,-0.03602578201280151,0.06215496137922113,0.021254456996950846,0.002535584623775126,0.006959023098263065,-0.03988491097484772
LAMC3,-0.046108283672008206,0.15163675642335414,0.002416930194650226,0.0010665420699139732,-0.06028175199988519,-0.11070365641826267,0.006402936125948933,0.07792287972522667,-0.0110762524054754,-0.06791561079708765,-0.0656332639531566
CCL7,,,,,0.0044698124933154155,,,,-0.017174621909963137,0.021052167786927853,
NGF,,-0.017415231730743098,,,-0.03258674721682345,-0.024597292481581105,,0.002537716354794637,-0.042435140642607165,0.004266454314866023,
TNFSF15,,0.08262279359075238,,,0.004801192901532084,,,-0.024349159986146843,0.0037652363956748106,-0.031178103856532555,
HMGB1,-0.016503588629475117,0.018791511376917536,-0.015061691925518404,-0.0015829438162133173,0.09663294728134857,-0.06868142604188715,0.025728530490401306,0.018649955874926485,-0.006833238397650193,-0.06173126335282725,0.09599043630505846
