,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.06390236821966891,,,,,,,,,,-0.03125655931113849,,,
BMP1,-0.05223873086310506,0.051088220816420324,0.07874356263740369,0.016906793693295518,-0.0423592593731717,-0.022656863156488904,0.0750358262967505,0.06586344743093206,0.030106175714173882,-0.03161296012002212,0.006186373985304832,0.04885039248718266,0.0351609576986688,0.12363416694440128,0.013800535098204158,0.1248117039264417,-0.09746243358476685,-0.0509637038137332,-0.03680369033227087,-0.02494447009107089,0.014756659077479499,0.039610744722166684
NDP,0.08107155529285852,0.003951832415916731,-0.004062872603580949,-0.008046477823825837,-0.019217356572521955,-0.011783691928830003,0.061494018432523966,-0.07389478257466006,-0.043404826787650244,0.01157698096685262,-0.02892175633782452,0.022024780472264454,-0.0005519368398781275,-0.01112574786341125,-0.03511773560086865,-0.06846704860452185,0.05351365540173188,0.06085526867304978,-0.0022829708386119985,-0.04910581235691705,0.02723216371139245,0.04389383932852472
TNFSF18,0.17378151564585972,-0.020160132331603135,0.016811684293321524,-0.0022850531278554003,,,,0.13481241168141572,-0.027349445725569403,-0.016389594775696122,,,-0.04082645777595024,,0.07837732748494511,,,,-0.03223433790690605,,0.09108911378994933,
RTN4,0.031216126389795425,0.011861085740569656,0.004069303606411062,-0.02088471875800372,-0.04484206319156059,0.0038802310540930586,-0.008560268378280656,-0.07234813013106099,-0.030096999259844055,-0.012824709752710576,-0.01206091221415973,-0.15178474264193081,0.048907037717830476,0.04741327812565315,0.04517429081082737,0.026663901568224742,0.08500275205504557,-0.011926367336174424,-0.017517913881419017,0.10836291756052394,0.09004417384402658,-0.02585463626861192
HEBP1,0.003737934944726836,0.0627471594454581,0.008577967274294215,-0.028577331193706704,0.009935025873762764,-0.018226706834550258,0.0170291890803807,0.01925112887489794,-0.010162314981807202,0.020583333418871398,0.06526729969100888,0.021662605946128594,0.04628968786364881,-0.013936105066920541,-0.01793331189023599,-0.01137878409509551,-0.0032864403973487037,0.05344349055774,-0.0491646943186023,0.066191660684295,0.020509511555956712,-0.024712058458764456
WNT7B,-0.019303093403330283,0.05947548421161254,0.05241047588450622,0.00484979237625395,-0.03394589368043592,-0.005340395368686133,-0.005724719114285929,0.03299424275045324,0.011777954325457314,-0.02922471542997517,-0.01796578923774639,,0.12633164264641114,-0.06131356959454416,,-0.033496030884905714,0.016768457221106214,-0.04138540590802861,-0.03416436159444344,-0.0008553543463242448,0.0354102264152576,-0.05397470503200328
PTMA,0.014512689035978842,0.02480587074252182,-0.008560163345218396,-0.004973567648214819,0.0326029609319239,0.03857481070705659,0.0059415045740107315,0.12109180305375083,0.020354776525431734,0.010087434599021863,0.05753278848187756,0.15233035266763884,-0.048826777655002984,0.030266851353941922,-0.005061791709260865,0.03644884985476721,0.008614273514461618,-0.0020321352098513277,-0.017620637539782828,-0.018490892816626043,-0.05286723394140363,0.015742665436395357
FASLG,0.05495251726613623,,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.026802521702161786,,0.07198508570984473,-0.0255949843431984,,0.006495657752501759,0.04725621088320319,,0.007292954323730257,0.032358801269491935,,,,0.05563015891726962,-0.03486011086511956,0.05558512724864429,0.03200232904891912,0.01970544817884879,-0.024037951393747484,-0.03015192010415471,,
