,MGH258,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,,-0.019913153060689782,,,,,,,,,,0.05787865355915019,
BMP1,0.006732771635479893,0.05261165971710972,0.08169639682864392,-0.06058603537461112,-0.03298411149186221,0.03329428348869524,0.0261894255815311,-0.0025791046273413213,-0.00047734415039299763,0.012890565326728741,0.1787669745346972,0.026649679055141144,0.11468578077426952,-0.0032374036993019985,-0.02062276900598944,0.04169285418058453,0.14623001690762966,-0.03120885498509299
NDP,0.04951776778550029,0.007676918606207149,0.02339091165812888,-0.03155665767067078,0.03949163175038247,0.022100063431477274,0.06042728462590674,-0.04577157103413726,-0.013176194720787099,0.01939506909282808,-0.0710741486303441,-0.05825275931024463,-0.06399304071170367,0.006418729268847247,0.05200451547766885,-0.09596867193726101,0.016295621921428523,0.0708286119947037
TNFSF18,0.21233208200245254,0.03873457280121351,,,,-0.013966647984672311,-0.016354396959696475,,,-0.0457875470256555,,-0.020577960018362824,,,,-0.030607494262314835,-0.016384269977364748,
IL36G,,,,,,,,,-0.018536725113804886,,,,,,,,,
RTN4,-0.05835361465282303,0.03926658902964274,-0.013536073613877974,-0.0233335156755127,0.08023839910030878,0.039839575575413386,-0.08322331031463599,0.02123336240014885,-0.04354556819132725,-0.05901724514962998,-0.048522124986684255,0.049819633197219514,-0.056002309502290015,9.205293168777236e-06,0.01480817732847004,0.09898654595532073,-0.008501418007663917,0.06858611040424467
HEBP1,0.012528058400239286,0.020243506919053706,-0.036652077272403535,0.012580114033791662,0.013712126113783365,0.0023160792151960753,0.054819183285150175,-0.03530574705776544,0.04145881656897357,-0.00963981431540327,0.11778450154183995,0.04318371336341306,0.006521974443245375,-0.020157324745105863,-0.005013155891830555,0.06295423298189373,0.04141193569381128,0.0249068125878555
WNT7B,-0.019736365123822805,-0.04698439296499032,0.027283915837436844,0.04739186318960495,0.03215995085098557,0.09132143512688068,-0.03940569353702383,0.028346874541414498,-0.02037399709821556,0.011464216832572292,-0.028320589830098133,,0.008952321086226376,-0.029892571147609234,-0.021233125755604664,-0.03060746252464252,-0.059606411351543945,-0.0016509681260452223
PTMA,0.05437095793549764,0.038607162127135684,0.13008287823085352,-0.009868649527260678,-0.051026528498820695,-0.017197789045324263,-0.06236245336906522,0.01831666258587755,0.03074125295007793,-0.035812445440064185,-0.14134278085396657,0.019097550384607705,-0.08814746279857226,0.021721218877120745,-0.006829201326124319,-0.012116230476212735,0.09387435169561752,0.018954146618928434
FASLG,0.0034494825241123232,,,,,,,,,,,,,,,,-0.014261568960673727,
CEACAM1,0.05931642549068865,-0.012546897059383437,,-0.031149753427538326,0.0415690240447991,,-0.017274190537008113,,,,0.03165760864857282,-0.039812731125423786,-0.011892450473983431,0.04135462340136845,-0.014092734372215364,,0.0469477899347374,
PDAP1,-0.0010757336899212047,0.04557043425059702,-0.019989472551536054,-0.02939126364462367,-0.002091562883434794,0.017805180372937036,0.0342647399152613,0.027538524460797496,0.03678216537136602,0.07580051672773568,0.013554836011827087,0.0040765192248333965,0.027170699366539312,-0.007201082310903977,0.021473555356103628,0.04869198443529327,0.018553861066078106,0.042796924482474796
QDPR,0.02010391320230386,-0.033558798987790545,0.026239093553697943,0.011651970491127808,0.02628285737496106,-0.0035712414303944082,-0.020463930486646922,0.02782577129734696,0.10594234342097603,0.007626668967662105,0.03768979222710761,-0.013893336688902035,-0.1585524511604178,0.04225784627159,-0.008434715886772554,0.06196158685940106,-0.01831463239777444,0.06272390011127311
POMC,0.027605704497128312,-0.03312599113889536,,0.01317342805256226,0.030378729795882384,-0.017037730826846717,0.01666494314381466,0.020916174154790954,-0.039715132235419906,0.012209968025134252,-0.058090241003170166,-0.0728983987795337,0.03840976247340316,-0.03392512242172651,0.04480692327937702,,0.12874877048953326,0.0009243476636160721
CCL18,,-0.03209875145058435,,,,,,,,,-0.07534255022202055,,-0.031054287709563713,-0.03536300820024769,-0.024562669118412685,,,
CCL17,,,,0.04626736996279459,,,,0.0008708052704614258,-0.016933824648908313,,,,,-0.020905039611230553,,,-0.02629686905210331,
VEGFD,,0.02121321401582768,,-0.005383832020635712,-0.02611501085471966,,-0.03335987295579858,-0.012105158336484125,0.07581751689751788,,0.002134549961320413,0.05692209700938836,,0.014071687818038685,,,,
TNFSF13,,0.0033666185223275562,,-0.012453784793883699,,0.04065404795055592,,,,,,,,-0.00495280496004468,-0.015825196169211596,,-0.022979401715065458,
WNT5A,-0.04131791892663902,0.022483446789630768,0.053580588640782884,-0.055437178966384254,0.05415822551696614,0.05270053338541507,0.06796387565481488,-0.010795195308282938,0.013615089178508094,0.06142295997337347,0.07662961018115899,-0.09085019781173191,0.03868329469600462,0.029001029173479298,0.0064362345041115935,-0.004703767019157098,0.1010279766769119,-0.005293274813018515
CXCL8,,-0.07301314877162143,-0.08556028758684125,0.04422815652747134,-0.06593304070675005,-0.01926650694924261,0.015214168400355757,-0.01127284979271713,0.024096267539583004,,-0.10987647341694395,0.09203094080515536,-0.04165596833186394,-0.06770390389255261,-0.04114990263526894,-0.1088778546872726,-0.008490483427499829,-0.037707271717771315
GRN,-0.048028452305731065,0.04182848675070245,0.0650842231363697,0.044665413454988395,-0.04636071783935608,0.02229958797888092,0.07202765228507858,0.00875775734761622,0.0021460395549722467,-0.05102799851680477,0.0902140814804268,0.09896393628515918,0.023839382153415637,-0.0020582630935701415,-0.021106137254135952,0.05208978405436413,0.07427667015781128,0.10854566798116048
MIA,0.11831459722079675,0.08087410452450645,-0.03050487280451323,-0.006324166879232716,-0.006295469930886864,0.05139917114707919,0.006625195531040614,-0.013767068285142464,0.07152956483478348,-0.044073089852352615,0.022043779940143563,0.036072455073203384,0.09884439549502229,0.02091332061401343,-0.10150666884864346,,0.016954205146709377,
COL4A4,-0.022857122138315398,0.019508302616195173,-0.03960661798479938,0.006426123666846312,0.049089089155601846,-0.012887216881490419,0.06034889406828599,-0.023127579860418263,0.04882460481495846,,,-0.04238057724990481,0.015014405733456283,-0.023187240336003674,-0.0019261246986544086,,0.008756913285847446,
TAC1,-0.019736359965495442,-0.0008745414328775075,0.08671893868583196,0.027228432877346605,0.02741018538171733,-0.005587568741031332,-0.04013712721413762,-0.01474854568122794,-0.002550345481910431,,,,,,0.035796306467207724,-0.05715888336193956,-0.03456990834718298,0.06161283476051868
RARRES2,-0.02090930508471652,0.03450333336920277,-0.03207028672977659,-0.01682473637811587,-0.06918064098486361,-0.0004215507656487537,0.08935274109344177,-0.010723977322653913,0.04064419959434827,0.12461216806962377,-0.09603977027408854,-0.06517581951684388,-0.004699385922169145,-0.04669794710793431,-0.003892700237660207,-0.08176106938224448,-0.04082278615473773,0.07424130235282884
FGF7,0.04525340457697612,,0.04556252530009359,0.01678642627594854,0.026710560972790044,0.01846310183133312,0.006594648522710087,-0.034728221404274104,0.014699481145654069,0.005556193644492838,0.0003041323498477492,0.07350307037510836,0.07809278842116717,-0.04708285971553049,-0.037633767244885215,-8.892812269806537e-05,0.05562558545605233,-0.0202962373159714
EFNA2,,,,,,,,,,,,,,-0.013763752712360109,,,,
HBEGF,0.02245216854368908,0.02535637796262718,-0.0357518010445898,-0.035721952097092745,-0.062130556962420314,-0.005928366692856344,0.06977622849435894,0.04572284734602972,0.012002443117806235,0.06571597449802495,0.060424365621246964,0.07183412843441604,0.10116336101290355,-0.0007556126559198724,-0.02034979503275054,0.17764632601782926,0.015081667085852252,0.015503138226477906
CSF3,,,-0.02772312704011772,-0.021519726321663338,-0.05148191671768484,,-0.02076068677809518,,,,,,,-0.06504288574984254,-0.020203859771284666,-0.027509151329210505,0.0028809058904628706,
PI3,,-0.0337692398656836,-0.06567996525867041,-0.002975875703706944,-0.018733365153710494,,0.04246193036310465,,,,0.04150069272101609,,,-0.049253429571256016,-0.05186944956911235,,-0.0393496351107976,
PCSK1N,-0.006589720419266099,0.03653948879022812,0.07328227417267774,0.016565673233191993,0.0011916586891342082,0.036166641271324164,-0.041105294687526696,-0.00998204132776916,-0.009165742689882395,-0.03157812243037607,0.004142771763556241,-0.0009707954444862851,0.014411537842364265,0.04569740057182922,0.0914037969305298,0.03303437323619249,-0.024302952960764165,-0.0009173196320318752
NTS,,,,,-0.04291072121673773,-0.015732363731235776,0.005737654500737644,0.015577757513214389,,,,,,-0.016768520823171373,0.02743947118795318,,0.05619470784289809,
SFRP1,-0.012829114876073067,0.01734539775484606,,0.05826783278842998,-0.005790960030445242,0.02057282654190521,0.011336892057837406,-0.01650301142529394,0.018832084063040874,0.03183252884860935,0.08961855383333936,0.15247087290343478,0.027457202301424823,-0.012951093552928285,0.07533732405311074,-0.009126136604781026,0.03246798849179637,-0.031406376934623115
CXCL13,,,0.03165107326557386,,-0.01717236188623287,,,,,,,,,0.012052698119584116,-0.03295669962672938,,,
MICA,-0.052211234596392826,-0.003071566394145826,0.006827459515021687,-0.031425342031065194,-0.015343971008487839,0.026979402866154172,0.0733335592130821,0.031154619442776966,0.030808138405212317,-0.08402401553844323,0.019295713737220593,0.05857173799084467,0.07983598029638002,0.017469040924738312,0.04779500897813161,-0.02102351736225869,0.06050558601190058,-0.0007358354759905177
TG,-0.022857116987374918,-0.029646043808112987,,-0.017000517528101326,0.02854139941598206,0.06473300139028228,-0.009874953594552075,-0.011943157581881716,-0.025436994035083215,-0.007452811969361067,0.015251086270144756,-0.03801390459600319,0.03732442742023213,-0.020652266468502718,0.005939923964692552,,0.009484356424541592,
ADA,0.06792222498229242,0.005021902607782148,-0.0146177361827729,-0.010676687581481,-0.013853330860932468,0.03260887436618599,0.1487382383967026,0.04172272914926572,0.011735280929894936,-0.0008465710932210674,0.11698198250076504,0.04893517244556463,0.08730484274982635,0.09050676053080244,0.019419202887320755,-0.05169560417576454,0.12713610369290207,-0.0010084130230056266
LAMC3,0.01923837927341539,0.004331539719240775,0.07081984222696551,0.03826814868834517,-0.007985852966326108,0.01134498016414555,0.053242758216840574,-0.009690788294259125,-0.012111170641007463,-0.046887101210836654,0.06093809191827912,0.09767028072799372,0.05809412048635464,0.05258843686752787,0.056886232004980934,0.08559239834129918,0.152230873381715,-0.047955439014505385
CCL7,,-0.02041751755336068,,-0.012291347010592188,-0.020145455049643695,,,,,,,,,,,,-0.029012816778571402,
NGF,,-0.025325005597303028,,-0.02816261535869059,0.0036637900820705753,-0.01732883806756522,,,,,,0.025270397546570445,-0.030656829592967012,-0.013578744719968245,0.010231095976073669,,0.044623197851360895,
TNFSF15,,,,-0.013687016058375905,-0.015492062707762096,-0.021041008468178187,,,,0.021129711269420405,,0.00468367896014818,0.00018997510431561154,,-0.01254625006049269,,0.0008732241054268711,
HMGB1,0.06448064978888447,0.04384035588312621,0.09736509929184953,-0.04702045782050002,0.024378009305757474,-0.003160088316673068,0.08372671259476237,0.048452713086915906,0.016544488609766008,-0.012396307282133208,-0.0612692537215342,0.05079786746572612,-0.01846542652806989,-0.018597968237243415,-0.000739709130986222,0.04311323847157592,-0.07425316927056198,0.037709672992648054
