,UKF243,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,0.08462071289313543,,,,,,,,,0.011097317428910953,,-0.0281259088098254
BMP1,0.0695835775485686,0.03886878888048226,0.07107872860279217,-0.008062092205110406,-0.01774738629071547,0.08271437583050177,-0.008630978652236438,0.0004048517624598235,0.06080459919062478,0.02391167306979355,0.04528343365771615,0.013465487272734689,0.05000737135834836
NDP,0.026318078149923128,-0.010207382162233308,-0.053996822165265745,0.01552061404640941,0.08842543668946384,-0.017312060477131495,0.04905781613939522,-0.016142569636914666,0.0567340017095556,0.06549233026427473,0.014558416150822371,0.026724971962393623,0.032992083315032464
TNFSF18,0.05746353889033056,-0.022820653804792458,0.03395699895635765,,0.06764246926507894,,-0.058018023378977705,,,,-0.027343673144595067,,0.003527995792915489
RTN4,-0.08162255196227759,-0.0946496806340596,-0.05030480420890075,-0.007459096239605904,-0.03401903815474652,-0.09110990189614933,0.11629554856920707,0.029721557094536676,0.005354809178578434,-0.07799629995369725,-0.08421557185484017,0.010032596685728493,0.0035670603000533332
HEBP1,0.004812858806778915,0.030283522269353685,-0.04279157597319614,0.010534344612692209,0.029774977724226916,0.035246476887513485,0.024079924783313965,0.008773386405983642,0.04898748451828803,0.033480124087074334,0.07952323199994908,0.04089554279963989,0.05067138778363041
WNT7B,-0.04853146208550774,-0.023972640422372044,0.011810456988526846,-0.027513781470865372,0.014631452069545439,0.010001359611109161,,-0.03362343050814046,-0.02581898454252925,0.00044066312102469015,-0.020625687915054577,0.046863620523042354,0.039043106183848986
PTMA,-0.049657277325169155,-0.007788355910230479,-0.03555438295508503,-0.0021673346054678546,-0.07280306039458713,-0.08316659268323937,-0.012989219820300605,0.017206205954693892,-0.04752969228323378,-0.03737255378928522,-0.08167508045334079,0.02084790893057218,-0.08454884096192317
FASLG,,,,,,,,,,,,,0.11023622479765077
CEACAM1,,0.07551282256785666,-0.031634727441440726,,,0.09032491477752859,0.0269642608233891,-0.030154031037895518,-0.03490847289951535,0.031830464912062345,0.041020525491363785,0.0928280291583545,-0.002802903606116039
PDAP1,-0.02841876158116172,0.07816661185251952,0.009936396076043545,-0.02585684101801058,-0.020143226504993915,-0.09007190780597076,0.018162079724894965,-0.0422195088656267,0.03904663075945553,-0.021072636878936468,-0.018378921364361617,-0.011635149399909969,0.05475511112548949
QDPR,0.0355763921133855,-0.1031272559042904,-0.054207734731218184,0.05577596655598977,0.0058959850905276,-0.039292946292005936,0.048191187030969314,0.024257537555726977,0.04362364734237824,0.10312139378484195,-0.036604555090494366,-0.04069490512265599,0.07350021319048955
POMC,-0.07180614587041971,-0.018582897244643286,0.02654620276980039,-0.025941319391635496,-0.007930344198007904,-0.031680674043861254,0.044872080861484205,0.05142056845884715,-0.01329255393979333,0.042127269005474775,0.04596987440597623,-0.026898732248553357,0.1213641558504205
CCL18,-0.0356267511657176,,,,,-0.08175844043565163,,-0.02137970378569645,0.08030270941245259,0.026115691663003475,,0.03625905767062724,
CCL17,,,-0.014122622510761244,0.0010276455210706584,,,,,-0.02476587190462385,-0.0388517475455737,0.021347976060918504,,-0.031123530307125512
VEGFD,-0.04654634118140762,0.1408603210751865,-0.026727256794963624,-0.0249792765162454,,0.06140513349502557,0.018393863185481356,,,-0.009180190051212124,0.023609356241978505,,
TNFSF13,,,,,,,,,0.08316103362621045,0.00821029077300304,-0.037487398789476295,0.07918886681328072,0.0015304356308767472
WNT5A,0.0006181471852526995,0.04656365866619423,0.020679305375826438,-0.009129527914675747,0.09464819709178386,0.08920288519992596,0.08276412309373374,-0.07073143670190421,0.05258046672584187,0.0017124466396661034,0.04129063651716185,0.04147087887545013,0.045255745294945665
CXCL8,-0.019517263214197098,0.12864927139323173,0.04138075943578024,-0.011062490232923428,,-0.06372328600592718,-0.022524675144451074,-0.01911423754555102,-0.05192781021218979,-0.12497777567322826,-0.028284203846075585,-7.814350030311842e-05,0.07410937518019398
GRN,0.009814259311987195,0.034185217180074216,0.0369910931905615,0.0078524596210724,0.07865549216644431,0.05235766380937804,0.01306785709925186,0.08773271845729391,0.04027421871741855,-0.032899461665856174,-0.00907557332956325,-0.01633983200972802,-0.024785840141571577
MIA,-0.007848623696329658,0.11882323387341288,0.14393793029161056,-0.02840866645057757,0.04524365489707125,0.02820652184504533,0.0446521669782185,-0.022465633571942662,0.07334779815924479,0.16093420347587284,0.0055615460349888535,0.020864000555545287,0.08917189579534952
COL4A4,-0.005774781176239126,-0.015143781203064099,-0.026190800796029545,-0.004122476956446416,,,-0.05325391003506405,-0.027030625743511446,-0.0010673592136136152,0.047850772790234884,0.02410032566167238,-0.03903621634873418,-0.00884644481195131
TAC1,-0.013959232784609815,-0.014948114510805759,-0.08930907484257211,0.049052905178704254,,,,,,,,-0.045350354728341924,0.011868323941806482
RARRES2,-0.05249722840738551,0.09195656400339935,-0.12148429006606244,0.004287388414569035,0.052373064786682764,0.09608380699630917,0.02246485584652364,0.04097301258890176,0.04794065013538084,-0.06189320031933332,-0.023405038130650264,0.01138231546325307,0.024321499105565827
FGF7,-0.011463483111996143,0.002506796022759935,-0.019896538950713017,0.003401829883212838,0.0158143834223315,-0.086832210811281,0.02005533496258953,0.06344341915602786,0.0772894538781002,0.09634851652562783,0.021652263516613833,0.004469216755376371,0.011994361436123705
EFNA2,,,,,,,,,,-0.01781675812345705,,,
HBEGF,0.04843335137059906,0.03874274069111562,0.11811040282993802,0.025124962732474974,-0.023445067324240933,-0.06331736637626612,0.05178652476711925,0.04116722393284558,-0.01113214418830358,0.04407485395181468,-0.0014533476089335483,0.013304881775361863,-0.005178770244530293
CSF3,-0.004921672282077526,-0.016021829031249026,,,,,,,0.003926834416081095,-0.08808034457070085,,0.008994705317721995,-0.020224001836417815
PI3,-0.016845086975833316,-0.018040790954440493,,,,0.05832621411164722,,,-0.06336248199611262,-0.15403339728380477,0.04141686801878531,0.07126297185049853,-0.06462152203606703
PCSK1N,-0.05007926074923425,0.009273084710134837,0.046905851564322996,-0.0105784071036571,-0.09318592376816959,0.053597014378337866,0.0230595110987341,-0.07813214786853188,0.013646137258541262,-0.04408777080753831,-0.0027703421149465612,-0.007031313567552334,0.040055791972520974
NTS,,-0.01969275516708575,-0.0018745037286075567,0.0950942920137723,,,,,-0.05777620112123342,-0.02742934916087552,,0.03849972384320484,0.02727393181788355
SFRP1,0.012044579010398711,-0.005260764357070781,-0.012452443789860468,0.019035261902889674,0.02699763338254945,-0.017443891839791857,-0.04103189609007886,-0.02026219703603248,0.06451389428153885,-0.02002862698670993,-0.004881473724201631,-0.027359517419096493,-0.011126289845163317
CXCL13,,,,,,,,,0.02036325334224354,0.02559313844129666,,0.0008780350796138937,
MICA,0.02066829871687715,0.03447854276525566,0.006949957074547283,0.031719216778475355,0.06105004136775899,0.015791445116642773,0.05113999587405352,0.17116942568060484,0.06081561099363212,0.07141291145913305,0.018337359440436966,-0.08128041208538038,0.025979005857189454
TG,-0.01579083200829123,-0.019336914200112423,-0.02527342789685917,0.021362570843136672,-0.018761844062738346,0.044393239199920456,-0.03752046262574726,-0.03481115629202602,-0.03290765193840428,0.028483785722341837,,0.051422156399631866,-0.050683295334822166
ADA,0.020656388460715252,0.005219776680850556,0.10914537628340286,0.007696820163394809,0.0036723976229310583,0.05665849342683263,0.06658789560662735,0.09923382425346094,0.03328460248166787,0.05752445513773766,-0.007577221984963001,0.001893920543877826,0.026637105291264108
LAMC3,0.030552586631918836,0.009121923776128403,0.019796515498326756,-0.0217564081003176,0.0019275503957831676,0.017962784829634672,0.05653733465958967,0.0512361965422639,0.00676617536786137,0.06826770938953595,0.0025536754397108875,-0.006184046701568964,0.01825148526584082
CCL7,,,,,,,,,0.022283818840592915,,,,-0.007866347506886808
NGF,-0.012012611048900034,,,,,,-0.02380807666640277,-0.03177158963654364,-0.0003292428650249334,0.0230291760178859,,-0.029500282281053385,-0.042042675647134084
TNFSF15,-0.02822274501445673,,,,-0.03510448692335656,,0.05754262969336453,-0.03208661929300695,-0.03618620707088821,,,-0.01785994273620706,0.05437284079853356
HMGB1,-0.043294573589736395,0.10339653603269269,-0.05426359467420996,0.049042368114635256,-0.07215350797051164,-0.13593638853579518,0.04487534005063671,-0.0051678085323375875,-0.018943261096377458,-0.08221817044773445,-0.05908262114687491,-0.018244230233616036,-0.015766078169559654
