,MGH258,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.06058653259906151,,,,,,,,,,-0.01929670517403393,,0.041674115695580397,
BMP1,0.02729135366742986,0.019334863687007358,0.0012278282367651195,-0.02976563258405342,-0.006362609821546162,0.24059858441322926,0.02166807287546621,0.023907526917326585,-0.021915206019661796,0.09769010999290227,0.09031248250400717,-0.011764994457982689,0.06679575865240092,-0.00696633935583659,0.007765479871843678,0.03825736945454987,0.046802121286261086,0.06831123107394108,0.03679162091447642
NDP,0.12203652953698979,0.038777559299384146,-0.003444015892752635,0.0022751162958646893,0.06019849031545829,0.0059681388346660225,-0.014376503600149875,0.10175146873566294,0.04026631402238104,0.06031687122245594,0.09051840026736463,0.030649575457697496,0.005577657035010129,-0.004872455161489965,0.020275202564955647,0.11008023709783221,-0.04311328701907049,0.1222666201840131,0.004634952747805284
TNFSF18,0.03499829834513854,-0.01947779670287458,-0.02528979954525549,,,0.07491305636748248,-0.019684282577740034,,,-0.02773833228209194,,0.02647424182135594,,,,0.08111827558450518,,-0.002755901265334857,0.08758434510962475
IL36G,,,,,,,,,-0.013552784655005352,,,,,,,,,,
RTN4,0.020984392900528746,0.0073054805791595255,-0.018486267878642722,-0.024063520130139224,0.061402274494937334,-0.2575004617166713,-0.013388019517327716,-0.04255482544279646,0.0345021552545285,0.051968450817342145,-0.03331845542780207,0.053305786493775105,-0.0027756705416894516,-0.04729419082026911,-0.06879804862398693,-0.10279366996593037,0.024247492136183997,0.004426053036870957,-0.1302995979851533
HEBP1,-0.096751402372274,0.040637492790205156,-0.04197318695829058,0.021165165230254215,-0.009618386854667598,0.12942927634857462,-0.022049283946308666,-0.042632795153260475,0.016083347665611595,-0.011587841410144751,0.04182296549162476,0.027692745006660902,-0.07967085822561736,0.07501452895415212,0.050668206775114875,-0.03383180556242115,0.09124300046670125,0.10449763756149237,0.047680082757939224
WNT7B,0.051196144928351645,-0.020734789881565876,0.13054605715558318,0.05591014492046445,0.024550175084699002,-0.11470243015744946,-0.001002785816656225,-0.06658596520254673,0.07717399956338443,-0.030537196431291908,-0.05908593234613445,,0.12370756162885209,-0.03993161578894368,-0.012292728022824216,-0.005510893221868165,-0.010191535135608758,-0.021685612925973635,0.029309045819931368
PTMA,0.025034266862770257,0.01142908089059488,0.04116190524136294,-0.005783870451181791,-0.013631031449537562,-0.189446603529535,-0.04768114075820419,0.03463406246513738,-0.04383376855544945,0.07601827000735788,0.00318911907911763,0.04690026345405408,-0.1610205094625396,-0.07168395676570345,-0.0416139499991386,-0.08748119782851049,-0.019739685991645075,-0.06739173332111258,0.010907686173343614
FASLG,-0.02477279571786051,,,,,,,,,,,,,,,,,-0.01354115325517218,
CEACAM1,0.11416877452601847,-0.023269074887070123,-0.012055896488437145,,-0.007040610723697764,0.07272039983960793,0.006843106782696126,,,,-0.04449318874528668,-0.03644313295653913,-0.03203773010576054,0.04358263923942143,0.09670801915750621,0.0059861414492441796,-0.022637195828459643,0.07095370781867473,
PDAP1,0.025686290992991218,-0.014636003268371403,0.032284353703374874,0.033256536826028256,0.014159997994988838,0.2072062368866986,0.015668472090644738,0.04941579586312835,0.008112841731602137,0.0069085285682879685,0.045327917235077356,0.06797500319442486,-0.024712644058691266,-0.0674487605779191,-0.011741216702629592,0.11636477554592783,0.014849868848090149,-0.00243827058254586,0.055266200670979586
QDPR,-0.04619332007486756,-0.0516285570908563,-0.05549746870741637,-0.02067142062057747,-0.012784535631903616,-0.22433443140077688,0.000465255658330869,0.052590863895218415,-0.018056625081557955,-0.050742424214776156,-0.03844386982827852,0.03770053684291774,-0.18310283045151923,0.06808797914004135,0.07600279030258618,-0.08997916809369015,-0.038357345806477434,0.08901445807028416,-0.06317399275752648
POMC,0.06612909469214551,0.03918271612148177,0.010190953949127248,,-0.026829562242784637,-0.04434508263365819,-0.010594744538984293,-0.032039980253131,0.021007400600283752,0.0020987219341687723,-0.027796497577538277,-0.02456646819298908,0.006794407361719998,0.10593600962898941,0.03238173757864447,-0.013006619999498422,0.05893108687559952,-0.022147207821066005,-0.051388692728356604
CCL18,,0.00798043185339595,,,,,,0.04515804133256889,,,-0.038150583250902204,,-0.022715277395796353,0.005962998530699381,0.010884328850312494,,-0.03487381460076395,,
CCL17,,,,,-0.01669895680813275,,-0.012860818192373525,,-0.012380853545773288,,,,,-0.02990649264258164,-0.000738831151295718,0.013196432568315066,,0.08809166156207213,
VEGFD,,-0.0070629988012172315,0.020863924539718876,,0.07666896315746047,0.09918977322636316,-0.0261560900052618,-0.03254208117029716,0.0866761836020384,,0.06251766771847708,-0.00741232839444311,,,0.04693171700571194,0.04945931852619112,,,
TNFSF13,,0.047594106500865214,,,-0.011518566672560836,,,,,,,,,0.0953521981436957,0.024047192076448287,0.048956080894159,-0.025420053713104768,0.11266048925795001,-0.02782277259803242
WNT5A,0.008061600081308273,0.0004473934669890261,0.02310923269377082,0.020669799739765786,-0.03939673492254299,0.18612295732905257,0.029262456051425762,-0.029308494374122317,-0.018060552635545117,-0.015665000300420992,0.12422569099958337,0.14394021338313426,0.03438738304323828,-0.05283006228142864,-0.03699400386791615,0.04774319685143944,0.0031033386811389987,-0.01518680437845265,0.006443161390382748
CXCL8,,0.027566267399741558,-0.016168406738585335,-0.03655421777795423,0.038722472226647105,0.0303909399702832,0.010058670234391847,-0.004517516118423989,0.02859044662235796,,-0.10688495241564178,0.1672836566111207,-0.039993822222016244,-0.10675779667449958,-0.12347232315484796,-0.02133345756910099,0.011061076399398097,-0.03731443092952276,0.12047054676489151
GRN,-0.04563199015374545,0.044236859232117856,0.036771474898657175,0.04520354038513381,0.012782178637337155,0.18259787977566927,0.022874221998591272,-0.01583324298149384,0.015611810941453343,-0.05676261951108594,0.04654270902609353,0.028011441145011542,0.12182972844511167,0.008092590614402232,0.03872470461773,0.1100545789199329,0.03744868139104718,0.011439636603871322,-0.09638450170640522
MIA,0.029177725803298762,0.0032361419342241465,-0.015356642960508524,0.060834856165950385,0.0073633288893284144,0.15020050700337895,0.04046102123965038,0.07378734798600899,-0.018172427194481644,-0.04147548597879835,-0.01003409186989955,0.01435780557613017,0.050192377491740846,0.14220595891950855,0.14060966676751552,0.027608548792609853,0.06329165434644544,0.16367157609631733,0.07157258015236831
