,UKF248,UKF266,UKF269,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,-0.022758178966476212,,,,,,,0.12434642062036738,,
BMP1,0.019714279491429152,-0.024433233394753392,-0.19705084083162586,0.03305669400181109,-0.07699034204951437,-0.11480092078114253,-0.03701821673187922,-0.056056178110848474,-0.04751615273804764,0.06607278291905418,0.13264548532106865,-0.025074980519710896
NDP,-0.039218241292852125,-0.015519505142229465,-0.10215793400056687,-8.968363425470124e-06,-0.00027981651014703795,-0.08959807949048566,0.10902614058956775,0.00862286937139368,-0.08215324113489245,0.10816794209283936,0.1369548137950342,0.031737215221078925
TNFSF18,-0.00847984423649872,0.016057387144832878,-0.03379521254596232,,,,,,,-0.012224618224763529,0.010783828319786658,
IL36G,,,,,,-0.01614023196780226,,,,,,
RTN4,0.02369504576771737,0.10415432701120234,0.23331337897080406,-0.10166252818548727,0.1536836578971103,0.17895753611730447,0.09628934224529749,0.010224781814627578,0.14944406073102193,0.11429492137075341,-0.07734090306265061,0.05232681824679655
HEBP1,-0.0030791929056433877,-0.02813494830081456,-0.04514391388297623,0.057650995695580555,-0.0569897898913344,-0.05667038743818301,0.025420053503483322,0.10379159563663551,0.030418011656493455,0.10967543480125069,-0.03454932648702097,0.0003133368699479908
WNT7B,-0.0351187808735184,0.05810401288499759,0.1834766591747453,-0.017624955158221007,,0.03951682248862515,0.002425983347326521,0.024162843745430155,0.020609985718814422,0.06304578556506923,0.06925255525349888,0.11724285772804441
PTMA,-0.059173628105559095,-0.12492428398785346,0.026480572430454243,0.05001008893274626,-0.15671272832593516,-0.17949598799064412,-0.11579166802624401,-0.044084374764606395,0.0655273816054516,-0.17956432564363062,-0.08502052497151645,-0.15809012983393347
FASLG,,,,,,,,,,0.031930808429236485,,
CEACAM1,-0.015103917778358733,,-0.04447257487910464,,,,-0.011864402604216643,-0.017586346290246222,-0.003117789487847409,0.0401471819994944,,
PDAP1,-0.01637843039101678,-0.06456368404076179,-0.12625025877286558,0.05526023766867082,0.035913689382344495,-0.07657849829442312,-0.021257627247956913,-0.028591665211688627,0.002130009384178834,-0.046624808254845676,0.051059633769683005,0.08216420308660781
QDPR,0.004894559405296235,0.03206519685027606,0.05270225014793288,0.021526399049306522,-0.13994692937274128,0.005225212848218479,0.07592707211505494,0.08314584431642845,-0.0013474356017415205,0.15307724656733387,-0.012651111072956706,-0.0036926321325913454
POMC,0.02817221150971828,0.057848072921856494,0.05536520406797044,-0.019452798715150602,-0.009236603629946551,0.047461327809819036,-0.0008275879919466464,0.07047036526253228,-0.03707001472788867,0.11463196212955783,0.07742404778136755,-0.012191166296850922
CCL18,-0.01884826230841398,,,,-0.08357562958151095,,-0.0408670731810202,-0.01760626303311463,-0.09731294467657918,,,
CCL17,,,,0.02570775704436705,,-0.014744560123617568,-0.05594457135808321,-0.028867422928652155,,0.05326082367598619,,
VEGFD,0.05457615685425809,,-0.038126054508450365,-0.016362056424181537,-0.031245538672022368,0.02801028760257193,,0.04099694432254747,,,,
TNFSF13,-0.014223508091747375,-0.002390960765411013,,,,,0.0032988200687473325,0.1482908854649484,0.021505951055640446,0.03474769392863595,0.10247390117105107,
WNT5A,-0.009710637611386923,-0.03878056180675682,-0.08074735062616045,0.03316699659415401,0.03839046002304164,0.014786476896404874,0.03469759316762713,-0.023961381702061375,0.0029198722866449357,0.03813704798645079,0.02619999273587059,0.15277461299016679
CXCL8,0.01576570664622274,-0.013059414764255409,-0.042959781388512634,0.02615643768352039,-0.07119813505436091,-0.04751117423868522,-0.15900363899478043,-0.20672213759939806,-0.039626336456695846,-0.033891468464565616,-0.0490983538571741,0.03509857408889666
GRN,0.005116660215001124,-0.032779560659699836,-0.13887367729519434,-0.015719060103727606,-0.1258614352980968,0.016312325454814817,-0.006174385245085461,-0.056738735166311664,-0.08738875349819387,-0.05868209065004192,0.06680796894634633,-0.11293379797854267
MIA,-0.0017001741675073787,-0.020618114841254902,-0.06501083864625057,0.021605845408103234,,-0.021641839504076138,0.15882545447362006,0.23107125730613273,-0.02120421849773181,0.23383012538075157,0.05192040640491376,
COL4A4,0.038631055041366456,-0.02867893631656682,0.048625083161173255,0.013449169696676325,,-0.020993387211687333,0.11544107710670233,0.14564077072181417,0.054429861948226854,-0.018490204989363275,0.0527652111580423,
TAC1,-0.004860587947885085,0.059482513885446134,0.2177074303520451,-0.041755495569547774,0.1448689194520073,0.16277915256135728,,,-0.005295607261440856,0.050343906929716534,0.03933071950492588,0.12956434637791708
RARRES2,0.017569068203036,-0.03639976295692711,-0.18615578872948885,0.009145990857137428,-0.010631468718257348,-0.07860514993044886,-0.042293732568788926,-0.11096130018098739,0.03726337569456183,-0.007808543416910144,-0.08887153738401418,0.11727323613521566
FGF7,,-0.014417202125994148,-0.03533693385223983,0.09793257799915243,-0.009916168409697293,-0.02029815796018349,0.12053586619768271,0.08398871135621076,0.015363519057658476,0.1744409974686363,0.09413546475685049,-0.022680251942414048
EFNA2,,,,,,,,0.06735711125014887,,,,
HBEGF,-0.03078446300940768,0.0011830011133813843,-0.09730500411616937,0.048654140360249565,-0.0723615595007455,-0.03763199615673849,-0.0044229634906613365,-0.010228855541863327,0.00013634439046185157,-0.0018954741392406824,0.10349065288055112,0.019900185923673357
