,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.04703336833529027,,,,,,,,,-0.015352606691407426,,0.07705994194183739,
BMP1,0.016717824347302675,0.06574934411295894,0.12857539402142623,0.05175756988166774,0.0651633007815043,0.05585030948541063,0.1307967086134458,0.1347977439627455,0.000607076387674938,0.01702692093491448,0.08727210317627704,-0.15493975169961322,0.03403833931635943,-0.03794865538962543,0.027997825884930033,0.01594031171678661,0.05719762027463992,0.03185864539091954,0.15262644722788452,0.03550575163226349
NDP,-0.04453601968417199,0.02727236395268655,0.028804227568161863,0.05841164151867837,0.003919494828815176,-0.05813272592232032,0.07390830702533878,0.057612738661179726,-0.017202536817777433,0.06922488216382996,-0.02212410196032599,0.02173180871994683,0.02664776378254092,0.03479122421780542,0.05291151167385297,0.017098309756568262,0.08368937375179722,-0.014230755463964634,0.033501958719994195,-0.026492798050674494
TNFSF18,-0.0264543141223777,-0.001026022420941068,0.04864457652029313,-0.024738789276138595,,,-0.022825196412478144,0.06429499247318073,-0.018121348069411573,,,,0.05545179574347841,,,,-0.015832872291426513,,0.11703435796078172,0.20614633688115963
RTN4,-0.06582414019664573,0.03231873950481972,0.018146719280324155,0.0521212804326679,-0.058029329536679754,0.030341176174523515,-0.14199721970237572,-0.14091084863481715,-0.03872581152456931,-0.052598237723961924,-0.1237095252101741,-0.009852705939163259,0.0010139170772164674,-0.05777593883031922,-0.06887284290623699,-0.07935039746421282,-0.13041434800439736,-0.03095758851289024,-0.06866611964100541,-0.08450164823055875
HEBP1,0.006796416307411666,0.024812189409417294,0.036986370252242266,0.010203947339751235,0.07714518089847787,-0.03546268862940956,0.09812110747897942,0.0626824597233013,0.06379310818295027,0.03520448526054727,0.0020873568848188513,-0.15137838644610796,-0.0005593196325992182,-0.008175712329929096,0.05499880770121198,0.048206817093515895,0.04676114802855203,-0.02028108672659055,0.06512192786231714,-0.021888860487980173
WNT7B,-0.023305422169655563,0.052865759025210936,-0.022414072518262395,-0.01374966788404759,0.0069783950647168275,-0.025558885218970605,0.01643379204981812,-0.06741485062916686,-0.0678254893650905,-0.03069136236088839,,-0.0786953566687162,-0.036093561833778445,-0.028016771866787925,0.005565389648094905,0.17102263658610903,0.05061909460409183,-0.03496713094137679,0.07218191920821897,-0.036197217550471485
PTMA,0.021789188308719058,-0.001252030261113483,0.07930745300030428,0.06771518259031431,0.05770983042040411,0.01668308819124144,0.24292783250026653,-0.09193685704667469,-0.08062714774981442,0.020000431533486792,0.12808294689726527,-0.09966839561439479,-0.042841102665083806,-0.10708548625830028,-0.05769300850572024,-0.08980925675446325,-0.1218480031627473,-0.0163248249667876,0.05324403615614912,0.0665198550953719
FASLG,-0.023305428758038708,,,,,,,,,,,,,,,,,,0.0217882694495163,
CEACAM1,0.054452691967825595,,-0.02662867537242028,0.07658862227803526,,0.04529640653964355,,0.05650957520462288,0.033291678851434574,,,,,-0.025125889764526694,-0.008190603782051876,0.015824178012240713,-0.0011682035739957763,-0.003565952789219574,0.03407317393255224,
