,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.019802427375939038,
BMP1,0.10680641588000754,0.0420184426953112,0.0035288183713901872,-0.01992356508160991,-0.05959105375347176,0.03382358331276329,-0.021654268318633332
NDP,0.03201392984671089,0.0018292751791763036,-0.05216620478493107,-0.04142121134638119,0.05413288304006288,0.055326787180406636,0.03551883536319037
TNFSF18,,0.07529676060753014,,,,-0.008660364282082196,-0.03642883714118695
RTN4,-0.11245930751430228,0.046374982186374515,-0.002942898915063462,-0.017743698660554547,0.07975222554551023,-0.008644716009439134,0.006122477664341906
HEBP1,0.000957793890400096,-0.06715129364108062,0.03258649995047604,0.032302967669166016,0.07557680128044564,0.03741934521809756,0.04418047362487692
WNT7B,-0.05937455880799843,,-0.028333837261560784,0.02024807330559657,-0.020748844414713377,-0.021231151095856486,-0.0310046398765778
PTMA,-0.012622950571501066,0.07204675071534897,-0.05014496136664291,0.04326671798946887,-0.0007061011715589747,-0.028908958124641247,0.02053353971470236
FASLG,,,,,,-0.017174638507456208,
CEACAM1,-0.03679958603252923,0.13392350250400342,0.042544396885459586,-0.015399744224654443,0.0651355603402616,0.045280522369182924,
PDAP1,0.12191578662667035,0.07453395822604433,0.016860521343960166,-0.03405170267987639,0.050950062107768666,0.0007250422916898953,-0.006323261404392803
QDPR,0.0276946512916464,0.030833016387825825,-0.00679020844687897,0.020815600128315678,0.02572462309802423,0.01602959386115649,-0.03419316104109821
POMC,0.04975625600489135,-0.03186852418350913,-0.015726801370436125,0.015748138886681872,-0.012999470081984535,0.09529836436927987,0.05056036569051962
CCL18,-0.0478702116767524,,0.01773328915433394,-0.03760515563128296,-0.06928402032730725,,
CCL17,,,0.0272067621566503,-0.0222304975755132,,-0.015566880758156775,
VEGFD,-0.05393114445151624,-0.016337800632122812,,-0.015399744224654443,,,
TNFSF13,,,-0.03612396806803148,-0.024163790828051392,-0.024302338123308145,-0.02536493288067338,-0.0396293786117132
WNT5A,0.0545207418242548,-0.016376932307988153,0.09027310055669995,0.024998943903177112,-0.040415959696765306,0.04065795646865244,0.021077531609158408
CXCL8,0.006083450857665418,-0.0763262210003964,0.025281136191790753,-0.06929540673073209,-0.05176303298587481,-0.01651974469216457,-0.004100710873277716
GRN,0.021837170703603914,0.06971275197766728,0.03953038588029547,0.0041285890820958,-0.01767891739035696,0.03875274585260809,-0.018209850912930002
MIA,0.06946295020192013,0.07626106209372663,0.02292356398784884,0.06101097126191782,-0.020787572329307277,0.10136323582167513,-0.042223640994026465
COL4A4,,0.17321193572365984,-0.004228985888037125,0.09426606424252838,0.0014312432285314858,-0.007070432200664107,0.13702388165069054
TAC1,,,,,-0.027284908598062322,-0.02046424766365726,-0.018918756135608245
RARRES2,-0.10478643198077356,0.07490424117953812,0.023363156174314587,0.02995131681962076,-0.007128484650709077,0.08259754087302248,0.06660759088485503
FGF7,0.02333266616886953,-0.044611649696411015,0.028121250556910334,0.0634872363470937,-0.019587000054700036,0.04901120521259939,0.05952662066208386
EFNA2,,,,-0.014636426287262787,,,
HBEGF,-0.0460329631312579,-0.00261649583127883,0.018924774334929513,0.05053577593493844,-0.021072948043029883,0.02845488053048073,-0.08522364365064448
CSF3,,,0.020429335064441348,-0.03382862030029356,-0.01845386004698609,-0.016389523963538967,0.043079529875964466
PI3,-0.062185735865211436,,-0.0017625810015712575,-0.03966847258734229,-0.060399022511039895,-0.03560899068721808,0.035366456093018875
PCSK1N,0.042949168137308015,-0.008048754921291267,0.012804705501245713,0.01140023033164975,0.08380175500829265,0.02413664487890813,0.008312067657699514
NTS,,,0.010204063340375158,-0.017831707972664833,0.03517607040486864,0.009123688959553318,
SFRP1,-0.11709769333707108,0.016911953583701168,0.02717957223865538,0.029874266298459417,0.030320504505546315,0.06379673365039702,-0.04819009598467823
CXCL13,,,0.011602943149298587,-0.03760515153878903,0.04885742932688133,,0.014295469735708713
MICA,0.009184358361787022,-0.014950461251669388,0.00864985530329171,0.06126755158311344,-0.010245100936107296,0.06438424544817486,0.027140989934245286
TG,-0.04231565437777679,-0.06446306531639154,-0.025014840718866317,-0.021961697666923352,0.03289100957618109,-0.03196269790570061,-0.04164562304094379
ADA,0.012802673018694526,-0.03964260744186211,0.050853124962543024,0.03786443638788461,0.04154963353696512,0.036946376687973216,0.03685284229233837
LAMC3,-0.04507994154467278,-0.06753326850782063,-0.06187968934747756,0.004245134816770682,0.08848174930753636,0.04885684779411523,-0.10180942726800982
CCL7,,,-0.028215601659856416,,,-0.017174632400359758,-0.028287535003771937
NGF,,0.003210945973976071,-0.005428267684637741,0.09840173546581776,-0.038511628102330935,-0.051420331771472254,-0.033197781899409445
TNFSF15,,-0.04541750845407172,-0.011053624795717375,,0.03773230911647281,0.009851771841087069,-0.01230037600189018
HMGB1,0.009540493451173984,-0.018013664218469897,-0.014335778780414067,0.04456624744323388,0.011901160458485282,-0.012026863936590528,0.00864248134466559
ITGB3BP,0.04880852376823873,-0.047459338693202915,0.015566093786967355,0.0017698362915356447,0.01745417702441325,0.0010119969248120486,-0.046682364987208305
AANAT,-0.06519264873581163,,0.045202716393817094,-0.019696665570494615,,-0.018171477299161437,0.04569720297163705
RELN,,-0.004712174986800042,,,-0.023272383612818838,,0.016186700223156783
IL15,-0.01432209437008585,-0.024299647796127363,-0.04534859098137455,0.06057068091454664,-0.030025276196346585,0.059027536740920324,0.005541944816011987
UTS2,0.024532830977098834,,-0.021079028674315534,,,,
BSG,-0.08416800368576337,0.047264534225498894,0.047744589212510735,0.03378404409466381,-0.05537516747175355,0.06318542736929285,0.016230735560464334
ADAMTS3,0.04775324279984048,,-0.015538143114661881,0.0715376132146212,0.00758304482033452,0.008227471223002098,-0.018291256363689133
CD34,0.06643267108332124,-0.07396093197141251,0.024546957946915676,-0.014660584888216898,-0.0017347110091283098,0.03933735477665714,-0.06560327865975751
PLAT,-0.014712387990243887,-0.0819712626242404,0.06771370428161115,0.04825461682883434,0.00397418044604684,0.0125054921033982,-0.04476592805150064
NTF3,,,0.03789841197360264,-0.06268794388692656,0.028651352240770842,,
LTA,,,,,,0.09296447152598385,
CKLF,-0.04197016701090886,-0.023439078350857383,0.028358173962452958,0.0870559757267211,-0.00675093354861357,0.009804339950133753,0.023125818907873505
CD24,-0.013304809648418908,0.11814350601745004,0.033743107829192286,0.02817716546390697,0.1440617745143673,0.03536147282487635,-0.0015509138447508555
HSP90AA1,0.04767394783134031,0.03941378650942968,-0.04070471769825385,-0.033016731498320726,-0.013888462329840512,-0.0729542202468603,-0.005530030326909372
BMP4,0.22492775397751819,0.004897147608894623,-0.025926107401426337,0.054224661889713116,-0.05433653052788834,0.005799972461212531,0.05582893347057414
SCGB3A1,0.15987925390714444,-0.043307757980742656,0.0845107672330331,0.06370136681098366,0.0260772431123284,0.05676888485435001,0.023894770783812178
IGFBP4,-0.09350489089093877,-0.07725553579513307,-0.0007800736978186942,0.00717137554632426,-0.06143301979947188,0.024812589028991368,-0.04662812430793689
RSPO4,,-0.013908820632800545,,,0.02884706097166142,0.0769684907090765,-0.03587149751498657
LEFTY2,0.09489514902739939,,-0.005662138423480402,-0.01682926054528779,0.007539882866977425,0.030671324110145653,-0.011528286826230293
PF4,,,,0.017007141531212806,,0.05926241228864286,0.008426740026871481
ANGPTL2,-0.01579295923747686,0.030737930926977377,-0.03332078858350114,0.014073360518784968,-0.036504268425175304,0.06662250529167223,-0.04993800580575711
LRIG2,-0.0019106490809251944,-0.014239525911410514,0.036936712708938356,0.04223597475774511,0.050040763211102915,0.0332745208655236,0.017923612176795854
ICOSLG,0.012361296326172482,0.05648257218905552,0.04547422999477705,0.06744463360847076,-0.051208671283812436,0.06715005287050664,-0.011020677129714647
WIF1,,,,,-0.025048874326186472,,0.009093937162477018
NPPC,-0.013010653731877214,0.08741693624693567,0.07377399871630996,-0.02538264321412138,-0.02737397364723179,,-0.05992045032241758
LYZ,0.04360138206173251,0.09172378232684407,0.015195311755782606,0.00528144859340437,-0.0470191112278143,-0.0024310888003917755,-0.053665661021241325
EREG,,,-0.01625501712299495,0.00633234614871359,0.023190565430322347,-0.013721034652209679,-0.03235162421483037
SPTAN1,-0.04392460644921594,-0.015668735598302307,0.06737892654605164,-0.014544966009850776,0.05061326932677167,-0.004680846222131533,-0.03496960654338605
PTH2,,,,,0.10879613086401028,,
LIPC,0.021027069166830354,-0.06281550944094351,,,,0.06339057784632525,0.02868002473228648
COL8A1,0.053362674191042514,0.055613344398136276,0.027792503614191076,0.01752707796620233,-0.03007498643490191,0.03230536590259383,0.04498126007374836
GSTM2,0.0047807857458859486,-0.04904240887905047,0.041075581808156826,0.0009282177935550325,-0.005655969620758115,0.00828853874603565,-0.05278903623547595
IL4,0.19676749430582988,,,,,,
SPX,,,-0.028448269328350696,-0.01665680721536756,-0.037051088330601036,0.060739777192442494,0.05457270266016808
MFGE8,-0.010981419082521957,-0.040347630664248034,-0.023987002631522578,-0.05327078442569191,0.032140274140689915,0.03151556845219051,-0.023733793380953168
TGFA,0.013946651838143932,-0.041586982092751495,0.015172021639626953,-0.007127235334136737,0.03928834036234894,0.010029373075853276,-0.0438880841350885
SLIT2,0.0028036500990464637,-0.03297599292103383,0.01914104950552336,-0.02917895061259207,0.01634374139041311,0.023474743943346386,-0.0377183494637892
PLTP,-0.012596235295481843,0.017112963449733,0.049288096722724176,0.028913752065324615,-0.07641936018178942,0.018382175035293002,-0.03471965045862749
APOD,0.06169732949703637,-0.013259969607722027,0.007802676578832547,0.042392698091911964,0.02760586555007884,0.0034235258120603887,-0.08548039809284046
B2M,0.010607040129705057,-0.00655093554982998,0.047008409970981366,0.08129945500891735,-0.057084345332218636,-0.010042344379800946,-0.07313207123053615
OMG,0.012449972077611346,-0.022825181037265833,-0.05652451126799105,0.03526416444319928,0.012077429525338846,0.012782828750821557,0.020313703556681648
CXCL3,0.1550930787421975,,0.008761483371739823,-0.03552202058611091,-0.015686380930618516,0.03696927558339984,0.00469063762614556
CXCL10,0.08712836050845109,0.16111996933871636,0.001228802241858949,-0.017993803691635564,0.056994368794310205,-0.006192897727766062,-0.056836695926276916
RSPO3,,,-0.03628120368066128,-0.04433000847519366,0.009163182484056726,-0.017428893550868338,0.07014139337569368
CORT,,,-0.03217325279161734,-0.014038427529839186,0.015233188330713458,,
