,UKF243,UKF266,UKF269,UKF275,UKF296,UKF304,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,-0.017106939047004242,,,,,-0.019211070765237623,,
BMP1,0.006231218034977357,0.06172847295370235,-0.1122792860749729,0.012512762882526831,-0.01898838137194416,-0.0006100889992946026,-0.01938932643899463,0.04313441094702905,0.03310249568087406,0.1163693329208952
NDP,-0.043021083441842224,0.11884570158632222,-0.009005100975897582,0.06254505079666114,0.04965752846669091,0.05877784715032845,0.027741570471719105,-0.011882170576515035,-0.019796694248255278,0.056140929085196176
TNFSF18,-0.020724156793836136,-0.014292933338300244,-0.025403290920417886,-0.010647509681371023,,,,0.11485969575445938,-0.024308730675378375,
RTN4,0.17841352669253438,0.06325506534006743,0.16562927651636924,0.07470573505689675,0.046754735539162616,0.1296265905086956,-0.01009708369345373,-0.0730360522094141,0.12805167227603853,0.16663256649629202
HEBP1,-0.013503068978586703,-0.029425521657075068,-0.05138175630198132,-0.013186084928349369,-4.5807352362070325e-05,-0.005337243198195762,0.0059879380450912015,0.04977582543163385,0.04631895541751395,-0.008274304369310613
WNT7B,0.3702163928853369,0.04213396749714423,0.048451207714679284,0.030394777593064658,-0.013874670123448075,,0.1642857610546783,-0.010014997102204442,0.018952892764937494,0.0007755771097778108
PTMA,0.013612035426870634,-0.05967713304497095,-0.013331453520684593,-0.009777842925647076,-0.009483823165877765,-0.12866409598014664,0.06389458058060782,0.03753402404829271,-0.042980188804153996,0.0006409794831833612
FASLG,,,,,,,,0.033301147388021465,,
CEACAM1,,,-0.03342928398800499,0.08614660310555078,,,0.007086736292295089,-0.005614999134928885,,
PDAP1,-0.04509623662087544,-0.03388182050345649,-0.0878067783873636,-0.021164804290054493,-0.013088247135895403,0.03926225792634495,-0.05647561077231826,-0.019837448000104924,-0.051177080258112885,-0.02227383953473317
QDPR,0.0769568593298654,-0.02182797779499527,0.05901395126464457,0.042723274319081184,0.03281343529458114,-0.11927223361390092,-0.026672605051049014,0.005950221619957586,0.09044092891502217,0.06957572866386497
POMC,0.06988323933377048,0.04781799845510245,0.06591220765305626,-0.012354528249030876,-0.006887604016698172,-0.05676512807083015,-0.02623112584178775,0.03878885918228644,-0.05819560281995274,0.03950526994397167
CCL18,-0.02779279828829789,,,,,-0.010996128413107452,0.04516895267240206,,,
CCL17,,,,0.07108900606340829,0.015414411874608779,,,-0.015102009574964256,,
VEGFD,-0.03131436025970434,,-0.028658711733463835,-0.014148202783512946,-0.012596568085426368,0.06062669785033331,,,,
TNFSF13,,-0.013861163664060597,,,,,-0.018006211272057714,0.008330267527397864,0.10806836554611773,
WNT5A,-0.03817590155612893,0.04773407163281677,-0.10352951420904824,0.0048453241515011534,-0.03167270985088345,0.105440966187653,-0.0018088023906657619,0.06841096456350877,-0.02257896737376149,0.0013008405246298783
CXCL8,-0.03311489554275479,-0.019716606288755403,-0.03181630767180768,-0.04740729924264858,-0.011730471918138391,-0.04629619156846226,0.04011956381671529,-0.016348875371697644,-0.10047776009193417,0.017818178735192362
GRN,-0.0940045994192899,-0.06930405575463464,-0.10810131387330124,-0.01871187684089695,1.3425320292661923e-05,-0.0031606047578033444,0.003058831795236443,-0.0013956129021163422,0.10928917059806069,-0.05547736016111456
MIA,0.03458591141925563,-0.025063657185454065,-0.04886755024443132,0.04244741196041235,-0.01432594338463476,,-0.05338033688437149,0.08021765939440026,-0.04844219537024392,
COL4A4,-0.0315233686137244,0.014232482980238938,-0.016857618665412813,-0.013864227203243833,-0.012285569922074703,,-0.020748753595861116,0.06662564673462752,-0.029555656455248637,
TAC1,0.35811597071503665,0.02924600206437052,0.15828908238742764,0.0896280034497486,0.007823382976448339,0.09469655444632263,0.026027424066311863,-0.019853127223259187,0.14218086431776755,0.12997784092066317
RARRES2,-0.057901082318283725,0.021192662356423083,-0.14472133804739673,0.00745217416044177,-0.019879763571178256,-0.0026397299660114114,-0.008985771401750922,-0.00027478270930783865,-0.05395167776462651,-0.061098965197432416
FGF7,-0.028388458436483598,-0.03779984221160678,-0.010498016547115076,-0.021268224129463754,0.023303006874389565,0.10365202722947359,-0.04558054260089615,0.0029306414563976934,-0.068638015251795,-0.039497609273538195
