,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.03731934625041372,,,,,,,,,,0.0070779885802236125,,
BMP1,0.008852259268732801,0.022732068572387625,0.02357935070194666,-0.04675078338718494,0.0010262439404683452,-0.03162510104288161,-0.05485584021938542,-0.15320000996905528,-0.10565592096758851,-0.03983630942823887,-0.04551376656425671,0.06863289922127151,-0.2159749300110262,-0.03434313022721932,-0.06461961335176032,-0.0781146563881292,0.07255380099527188,0.07320213736196697,-0.03528858015103561,0.02243430682113985
NDP,-0.09413531927622687,0.0067590767288152305,0.07643124610505726,-0.05490831522989392,-0.015064319444248476,0.04650023104166743,0.020225237775378116,-0.11538687008187595,0.05456271426786335,-0.028109731727771196,-0.05320588842057487,0.035058876469219104,-0.05480894970061306,0.02852960320897023,0.05187321806054851,0.036663554630763706,0.0594021986449686,0.024162247064936793,0.04333676873745145,0.00154408955241539
TNFSF18,-0.030027625320582216,-0.0014159339387197606,-0.01994009710797416,,,,0.004466294795035104,-0.05541810882438875,-0.03656379044291806,,,,,,,,-0.029893576885940867,0.08676183856512168,-0.05355068000411321,
IL36G,,,,,,,,,,,,,-0.03468034333733709,,,,,,,
RTN4,0.11296378476513803,0.10182133591429955,0.031184159756795095,0.04938901533977291,-0.015702894784268583,0.10814163053319652,0.17790989916229258,0.23210516229994738,0.11444051075474496,0.07181176317882824,0.2741263436707659,-0.05955413440182121,0.2859543270564035,0.056678643752301736,0.11997421160952092,0.2467027015061748,0.04599054754982541,-0.03518714138890194,0.19892950129616557,0.09753514504687975
HEBP1,0.009487884743970722,0.02996271525733999,0.00834446329132042,0.023821374336375354,-0.030881441379268647,-0.029460782695596002,-0.02860060266519212,-0.0867886854984484,0.007643179865622726,-0.032272979022264545,-0.12517699592590756,-0.007453276470017992,-0.004498861897049781,0.05890284226584646,0.0609369635005062,0.07679358768994377,0.07848304897712863,0.0576488306011772,0.06976357778190749,0.016709040221872102
WNT7B,0.10533341371113315,0.03141236064700807,0.03804252261188331,-0.0019792153674997193,-0.019812998168431333,0.07817665781696909,-0.0190868302215943,0.20825294195427732,-0.0159199469295588,0.03516424666550804,,-0.0413570918283752,0.05568376676019724,-0.01680311753980272,0.048033046655705326,0.02370042370877314,0.03253140350889611,0.09520357048153165,-0.0038593964212881708,0.11408303578340902
PTMA,0.060845682612340225,0.06687649669902287,0.009231150272115761,-0.011260482278469633,-0.058451078642925224,-0.14545268163370073,-0.1091781184698291,0.05126122022491028,0.10226781820748021,-0.031565918311707915,-0.32138928243291703,0.06853520229624947,-0.3021042403116762,-0.00501626401625435,-0.023957062905690985,0.032452200352118966,0.0464117603383624,0.022521908393967397,-0.14104729520434206,-0.09910787218720712
FASLG,,,,,,,,,,,,,,,,,,0.01767791662333477,,
CEACAM1,,-0.0005585822722846048,0.03544164020230807,,-0.004615346346236369,0.07114508053966868,,-0.05120470217991647,0.03325490036755226,,,,,0.07657291525192789,0.01372421131603087,0.030769368864416294,,-0.04604132638688949,,
