,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.026584234701639325,,,,,,,,,,,-0.015863883629892474,,,-0.02844330172773302,
BMP1,0.00989862621775565,0.10029278537463991,0.09340069137500737,0.03202190037894641,-0.0003430877804518352,0.05755415916465387,0.08284483385169036,0.08012956113803509,0.01953662192626523,-0.009716566708018558,-0.03203852980733615,0.06887184320549829,-0.027509778508503425,0.14482897550383497,0.2009355726076643,0.09613719924541732,0.021118924799251107,-0.01277260172009484,0.10797290702353878,-0.005047533081748053,0.03210087017966082,0.06477453307648433,0.0808656327254843
NDP,-0.003009785081229268,0.013437118489462134,0.017074277542864304,0.044221403361219255,0.05848615965799138,0.0028329207974029454,0.05229142644995926,0.06920552275412147,0.07758724699398092,-0.038807020448380705,-0.111212780576822,0.06928279367342907,-0.026284736267681626,0.0314386185547694,-0.050827996619383906,0.02352094249719516,-0.06475859720443382,0.03792789339242579,0.08298546130388607,0.008052739343682525,0.016138158560467016,0.03465998088062322,0.09325964412784027
TNFSF18,0.12364220186730825,-0.029419584919660458,-0.03878265090657319,-0.02264954037600064,,,0.03166036763355691,0.09892313652129256,0.09350719659052663,,,,,0.04281432549533502,,,,,0.07491598960331604,,0.08930525427637387,0.013926206329266257,0.06161489251349224
IL36G,,,,,,,,,,,,,0.03663145495565643,,,,,,,,,,
RTN4,0.0010534188871317088,-0.005466601719220117,0.09197912168798839,0.06492829037996531,-0.02207657712894993,-0.011989284497315098,0.011375972224486617,-0.11238672350139509,-0.017266385853319202,0.06047472955564788,0.13287409217968887,0.0036974528602703787,0.019662090965576466,-0.018305931115978166,-0.027346374102139668,-0.07373479560186645,0.0172314136181556,-0.015727252900090673,-0.07894097621406329,-0.04147596541219108,0.002180387438600758,0.02326864101406513,0.0001977508453474468
HEBP1,0.060053541184059304,0.017388673650636403,-0.02495848279168387,-0.028645109990052653,-0.00832432414493317,-0.019423110611628863,-0.019429634144295983,0.04618816688138835,-0.03682717006846081,-0.026737392210991175,-0.04627052225791998,-0.05857467475401902,0.05334659322010725,-0.04674827858260499,0.13259379182227116,0.062321530558463165,0.005539278895143393,-0.0020913425011352287,0.022934058758050112,0.06865502146703885,-0.0019371378264316308,0.03478052448932948,0.046499830635916964
WNT7B,0.2839766214331328,0.007210740661218101,0.006609411465196349,0.04246216155575315,-0.02308001756315853,0.022273011221979996,0.019740937373166425,-0.009893569256903453,-0.030520095349847606,0.11536233146929764,,-0.008055695440192146,-0.014672968665314383,0.03112345873773917,-0.058758339221671875,-0.047244759277905966,-0.031998368060988755,0.03559754629570347,0.02980020509619734,-0.034106822561837905,0.08044122640268833,0.04206804479321207,0.05749243312639064
PTMA,0.01759871581158014,-0.052037809496242975,0.06204991526128836,-0.019062214990843863,-0.0520598944568623,-0.004596195581645128,0.044374290965868875,-0.04561646742735069,-0.03987583767401019,-0.05613304650574916,-0.10973441662519004,0.07674220977655864,-0.07936700372670076,0.03606251660018721,-0.10214013729221533,-0.11117020407801051,0.0758725936746876,-0.046754902960253863,-0.06647426180701912,-0.02016792128139336,-0.03461638895240633,0.05675456236887456,0.008986326944226323
FASLG,0.03676508343987101,,,,,,,,,,,,,,,,,,,,,-0.024668865884890246,
