,MGH258,UKF243,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.0179903001167724,,,,,,,,,,-0.01950571460607334,,0.010328537721778483,
BMP1,-0.0026028961940153515,0.07407729048742336,-0.02157791022151102,0.08074088280025309,-0.008329424600889486,0.035171522701337145,0.05485420243452995,-0.021004145407280767,0.012487925728624097,-0.04746982697517141,-0.09851136493405016,-0.03424214346999478,0.08933064153339973,-0.00157146553254809,-0.04761133671688095,-0.04410506571261372,0.02381060744934383,0.04306473031139134,0.026417581734732954
NDP,0.08695073853756899,0.0500306915904229,-0.05046946190556267,0.060940410225287366,0.131974585984973,-0.03035027444397723,-0.01762459157790674,-0.05322181191056614,0.0543273690621188,-0.0681344596930175,-0.09935227299933548,0.006070993980745752,-0.03283073899440444,0.012548586874405309,0.06950135558217112,0.008449430109475572,-0.015588670921311665,0.040619982191197335,0.005183626186922886
TNFSF18,0.13089716560645193,-0.025051862419114404,,,-0.01682865432458005,0.029599609060858567,-0.01262208878819351,,,-0.0252577245950281,,-0.026784428374231176,,,,-0.020115899177161837,,-0.04112625540724329,0.010539051274384764
IL36G,,,,,,,,,-0.011654890686585753,,,,,,,,,,
RTN4,0.03789869568284912,-0.07293796480931157,0.02133524153771344,0.025158694768099756,0.03024854635149134,-0.07419211975885959,-0.006532307984946275,-0.019840772005839887,-0.007871927141680361,-0.03398209908054246,-0.03269123447747931,-0.012840110707240266,-0.037986849223763844,0.0769063176991155,0.0091717290361371,0.054455559549371035,-0.029676124221174698,0.01782835898888176,0.020263919623249825
HEBP1,-0.021869472561749093,-0.02735354459532893,0.005402916631014547,0.0183025885446977,0.004459415222255339,0.026598970367773027,0.04912938003892669,-0.00605331779323757,-0.009392329682204575,-0.05213527543259144,-0.08225315235258775,-0.020596406189308004,-0.04679742878690127,0.03823226195540558,0.010688328729136304,-0.006952377218940956,0.03749663817430074,0.037858377101107066,0.02147045591565729
WNT7B,0.030239918595736215,-0.0061557189411138484,0.043084309492664806,0.016143959205364766,0.09863652012877651,0.028066178477121364,-0.020413076701515043,0.04470469878366259,-0.027386302878324373,-0.027806289488564614,0.07089526416291,,0.003264522765123465,0.06654306626002462,0.006421170590916329,0.02320975547419404,-0.02490159630525082,-0.0357259117407167,0.03748113348171365
PTMA,0.01893178814889116,-0.09741853718131376,0.0198651813391795,-0.011131925943944935,-0.00957780550096728,0.005311863383373478,-0.04387017393247933,0.02555605835272534,0.030135993604833676,-0.12190644309577145,-0.010063836746770832,0.04136590503222799,0.00881890554522521,-0.058157845429191835,0.004537022663919002,0.059500234409234944,-0.04761398221908905,-0.06498906800783966,-0.0236330695142763
FASLG,-0.018635839803552687,,,,,,,,,,,,,,,,,-0.021145564744042826,
CEACAM1,0.04484495795955306,,0.005801308505686037,0.06707561383633859,,0.019601672186188062,-0.019851538652655713,,,,-0.007347471283413802,0.149792579271053,0.15480975579319783,-0.0013099169943326635,-0.02094482603188402,-0.028904446989282333,-0.016527551629152284,-0.01528523125875166,
PDAP1,-0.005032631973940733,0.07504342464601754,0.020521750172625506,0.0487098984818552,-0.06223003522089498,0.0375822878146733,-0.007317578431457112,0.03861595659946592,-0.021252579053492125,-0.021200910176622484,-0.19825798188874735,-0.040940608300883335,-0.030282517005406143,-0.026975812572006062,-0.021885423405833042,0.0232866215552228,-0.03303446547209625,0.008985240853724492,0.012193846724252262
