,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF334,ZH8812bulk,ZH916bulk
IGFL3,,,,-0.012443412518819388,,,,-0.01660307221009506,
BMP1,0.007596206102353015,0.03294629640767713,0.030479462172970723,0.0013216966327702696,-0.041571979190931536,0.02753156069141819,-0.008454791482006814,-0.07555871123378734,0.024082132995977043
NDP,-0.03321836274303532,0.011030157922762919,0.01700312979960381,-0.0258877485433176,-0.01392513641141378,-0.01918475925112236,-0.05090526493851361,0.002321342242437407,0.08326326208415726
TNFSF18,-0.03725538342347025,,-0.012399103476618193,-0.018478094028966257,-0.014682540667656636,,,0.012311741343588678,0.01109601010031422
IL36G,,,,,,,-0.011367921945291124,,
RTN4,-0.007147092147077885,0.03632183169109865,0.0017217968948692376,0.004391758239944462,0.017647686403016557,-0.012531548245736629,-0.010637008041234157,0.07781756774351664,-0.017950567737095764
HEBP1,0.01817569759810951,-0.007932926648696801,0.041485453064990165,-0.05010025000049103,0.06357671632952869,0.015500094587999093,0.03083557501352249,0.006257429645687249,0.021504337391989134
WNT7B,-0.023141889312100872,-0.022753995280856167,0.04221482881462511,0.014666232781409681,-0.0420861360604271,-0.012031756191589638,0.013996478205995502,-0.03580443922136896,0.11889596315113587
PTMA,0.005354854675880414,0.03957123801014283,-0.011701619490516199,-0.032520075832341566,0.0650474709093318,-0.03695788823420896,-0.02618587473906071,0.03190904597057448,-0.016485741197026556
CEACAM1,-0.017760008156120676,0.053439810577389855,,-0.024316119308577005,-0.023092138589281053,,,-0.003001389807656985,
PDAP1,-0.010149305986290163,-0.020655545057758188,0.019224731124446896,-0.0404916729666498,-0.03702549229917354,-0.006071580617233728,0.010771435798741904,0.047022246937281596,-0.024635013542360206
QDPR,-0.02710762060090065,9.78969276461322e-05,-0.04183708565018421,-0.010012935828658868,0.07318602859382378,0.032981824806621325,-0.041767816814124316,0.05412676448149228,0.02500434199753144
POMC,0.011118619421982513,0.0364879435639618,0.0021459146264040086,0.0068534156935643985,-0.0007178611607494353,0.0073714646437589085,-0.009604795087531256,0.08246560315749879,0.01236161012479934
CCL17,,0.023594999786413537,,,-0.018311986815430864,-0.014891941327543531,-0.010384919432218044,-0.021890191632227007,
VEGFD,-0.025437648504464287,-0.01696671315743807,,0.016238148806389734,-0.019509873102687158,-0.010923419058336818,-0.011129839811114883,-0.023087395779263734,
