,UKF259,UKF269,UKF275,UKF313,UKF334,ZH8811Abulk,ZH916T1
IGFL3,,-0.02564575632054797,,,,,-0.003252273410210269
BMP1,0.008287122704980675,0.14951031713564555,0.023066637426471064,0.03182411898448851,0.010686561593723332,-0.0076874278185541595,0.011907357449582432
NDP,-0.006318107813558487,-0.005731465023690343,-0.01621346539636255,0.036867700668883556,0.04292886864021748,0.025089413482074857,0.07555599409354234
TNFSF18,,0.15234640188245724,-0.011674764661574738,,,,0.021671879275121327
IL36G,,,,,0.09032602959903455,,
RTN4,0.006152618887767722,-0.1920031480685431,-0.035757448329882736,-0.050434890151139056,0.0453937860294743,-0.03440117050293222,-0.022401161219211537
HEBP1,-0.0930471282231838,0.0713149527417134,0.04378407265318208,0.017659808605576203,-0.04100917283028596,0.031515129219922534,0.04360120824274029
WNT7B,-0.0013464753971708422,-0.009444550721594957,-0.03346462612583523,-0.0119160838788938,-0.014446564688827587,0.0372292960026051,-0.008592566009418403
PTMA,-0.04391694283801901,-0.12010473326823229,-0.057674307934276414,0.07157140589419542,0.035618477421524075,-0.0018530754093782718,-0.02921542192311982
FASLG,,,,,,,0.002317200211726073
CEACAM1,-0.03972043771640164,-0.02559567593196054,0.012167261361814495,,,-0.020585068915847313,0.02045525924960246
PDAP1,-0.06584807518315121,0.11191821753380722,0.010062839193384429,0.059376489668988994,0.009874245810020697,-0.007869702875945761,0.04103678265532168
QDPR,-0.009186660558459542,-0.17248693859616074,-0.027855146265945933,0.027879980022525033,0.041782047278741706,-0.008143062738099466,0.09505076801864194
POMC,-0.0034390471644788066,0.07076531023487706,-0.013546473694648937,0.10931832083323306,0.023834969562705775,0.00997290535942027,0.04365519815251531
CCL18,,,,0.05277350454267362,,0.03398306638562933,
CCL17,0.0416965898524203,,-0.01456070453984554,,-0.012007245904690116,-0.01460411005045158,-0.017450130437346358
VEGFD,0.06266210410767482,0.07191248564664848,0.10606252413783127,0.15888721299937614,-0.012868537340527368,,
TNFSF13,-0.015880375566684524,,,,,0.03414224462799104,-0.028433531044448977
WNT5A,-0.06145522383314205,0.13364247437556132,-0.055932201660799846,0.005463856018366164,-0.0010451954840450645,-0.007364172072856979,-0.03612721694320164
CXCL8,0.0006324907069677243,0.08494414146018468,0.015389557473147897,-0.027755675428499323,-0.03869076781684995,-0.09756932954185996,-0.021643944608560787
GRN,-0.07581149737869178,0.12030075999890397,0.020935115281354465,0.016785186044646645,-0.001775946554641006,0.025929274399616148,-0.08073221024315554
MIA,0.03257649266759107,0.03320110398238107,-0.02861925738073749,0.05331019620267145,-0.01762405162152255,0.07344455262467488,0.05189314734899288
COL4A4,0.024705988027706207,-0.025271989293350925,-0.015201826028453276,,-0.01709598390930232,0.0520277656701733,0.01938691991507296
TAC1,0.013861549680270334,-0.10524551195927884,-0.04009779732242458,,0.018828867120532024,,-0.02293997086383947
RARRES2,-0.033985788827211566,0.1730961202465104,-0.007404309121270779,-0.03927779383511314,-0.024899148383465387,-0.0020940134625207557,0.010930881098192553
FGF7,-0.040809441085513126,0.053340449132273406,-0.0009534534378840932,-0.010157908854986755,-0.023070689139258742,0.006563628613014671,0.08603890102259523
HBEGF,-0.03386785065195991,0.040282520588902485,0.07352992937371469,0.03653305532018204,0.043756025965192895,-0.01503557891021774,-0.040208343151776176
CSF3,0.07976813366708267,-0.026737278246974323,,0.041768327487032526,,-0.04845852070544205,-0.018372295350172204
PI3,0.027711893362534566,0.046946412835445525,,,,-0.09591897126160995,-0.0074757649019041765
PCSK1N,-0.038755414476384614,-0.03245832610804641,0.04942605766983514,0.049056417392577406,-0.007689294015924258,-0.06703250714446639,0.07182868806504145
NTS,,-0.02036440652439044,-0.017366319138439,,,-0.03406986851587417,-0.011223536660330418
SFRP1,0.008800457636038324,0.0640094641745098,-0.03224561130810252,0.020439122919506607,-0.034286004916310064,-0.0085191477782817,0.03537007526351248
CXCL13,,,,0.012972030196771013,,-0.019483441821417688,
MICA,0.011194614032154868,0.11782194896438553,0.09224728172354983,0.00997343288577648,-0.025707153385834323,0.014249089156079765,0.06226848233689816
