,UKF266,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.028301771316898677,,
BMP1,-0.04830140576729407,0.01385019890885414,-0.01900761096804113,-0.03556293022184976,-0.09028639477773368,0.09931127100153206,-0.0030717972494955477,0.013775757119982112
NDP,-0.02664225658785546,0.06562868908410181,0.030276816180529013,-0.06720774759711387,-0.11394304639458422,-0.011431359820492997,-0.04929072865714912,0.01519482166890103
TNFSF18,-0.012941576280798216,,,,0.03261067436326932,0.033399396993253325,0.02926648493642465,
RTN4,0.105685883570118,-0.03283895236875282,-0.02653107929082207,0.08010506049862932,0.04128289969434079,0.032331324443951426,-0.053675869470511346,0.05790201472391901
HEBP1,-0.027038392675792663,0.010939262180449284,-0.009120929299166962,-0.03929322737363795,-0.08520479521240468,-0.02868293255766837,0.04145708555383861,0.1264477684717686
WNT7B,0.0678785252579867,0.030860138055573267,-0.004405598393058481,0.015354276559161105,0.04452398036551377,0.046739738214191286,0.013053525612723214,0.053926748898169286
PTMA,-0.04205727334247207,0.02341377933718967,0.05589466674532999,0.021626705791834233,0.007933086917320972,0.07505250529270044,-0.03445697821559207,-0.09202871698156914
FASLG,,,,,,0.06244949033026979,,
CEACAM1,,-0.037346256549011185,-0.03145334278520231,0.03570293224112321,,0.04361562020772487,,
PDAP1,-0.027617271156408635,-0.06320768330508422,0.0025789187673248516,-9.220796768584493e-05,-0.10836788627389335,-0.0065899285982303005,0.07546755329475563,-0.03773947521469412
QDPR,0.025154549055300016,-0.04017263711074772,0.06259691628975576,0.004281092651141212,-0.0866499058844956,0.02613556164985594,-0.06625164427548762,0.03527590950174779
POMC,-0.03414248842059919,0.012745202699526885,0.11180610145567768,0.02495895305039979,,-0.03544571078548089,0.01726838297324965,-0.022495699777636914
CCL18,,-0.011526264780703925,-0.028327894648820212,-0.021548818439111692,,,,
CCL17,,0.0070870520477177654,-0.045404874933493614,,,-0.022248297694559344,,
VEGFD,,,0.031914824118625326,,,,,
TNFSF13,-0.012550629227268312,-0.023519505300687287,-0.04935354670942156,0.0328692717161054,,-0.024779972851502324,-0.03630343345242794,
WNT5A,-0.0031603631617202104,-0.039459681918423514,0.005875354901863878,0.06396170106515166,-0.024301454792730378,0.051449225378379024,0.056023225447219854,-0.035148166023176594
CXCL8,-0.017852456052575325,-0.07841971070438253,-0.16654272414938853,-0.07006078084384774,0.08125762071964776,-0.05925945751938692,-0.011967248798823901,-0.13134798231823033
GRN,-0.04290014515570227,0.012328376983740888,-0.03822920493725101,-0.030261908063076548,-0.044894242926350025,-0.017008888857613685,-0.061102832499310866,-0.047408393029055314
MIA,-0.02269395817247296,0.1067294747224198,0.08341056872034637,0.07848224880100792,,0.002802696938995842,-0.0014606451086211717,
COL4A4,-0.011941369217727286,0.009425521748816829,0.029509366349994452,0.014278281182277822,,0.03443578725009918,-0.02847967378257285,
TAC1,0.0530909083139674,,,-0.010930251446495304,0.018976844036714735,0.03030587449702616,0.027802424203183802,0.03545286550278722
RARRES2,-0.025431970299446067,-0.013172348025141258,-0.07615635368752448,-0.01752285030792532,0.0702056458129426,0.04306129818834369,-0.011511435227725552,0.012859090484014
FGF7,0.0020949322355880134,0.07513184214304623,0.06894728526807656,0.015263623577532037,-0.031210471881173832,0.052531987942053326,0.021464158821452053,-0.05586210354836489
EFNA2,,,-0.02989429736284809,,,,,
HBEGF,-0.014749795056610155,-0.017145391285355287,0.009162905302781677,0.01612410378768045,-0.016110644849383435,0.10844679184163242,0.0785729742264337,0.02455949940967642
CSF3,,-0.007373795404063071,-0.05704739601294331,-0.04021223669977066,0.007845655275136231,-0.023424025267352593,0.06511755860405745,
PI3,,-0.059110034993625105,-0.09568627547221951,0.06978592142734824,,-0.041804678731151006,-0.0018045195151217034,
PCSK1N,0.06652242779649363,-0.007806975865807163,0.02324707694153607,0.0961443708890226,0.06782683627425648,-0.01829299129152941,-0.005918756483485246,0.028347577848644542
NTS,-0.014577698638105107,-0.038237411402406246,-0.01141420728663141,0.013022908240430672,,-0.03468778729234531,,
SFRP1,-0.044366582689899334,0.017372502939942223,0.003880987914307114,0.06823799663760036,0.04124888379148332,-0.033881730995164186,0.04312720777408936,0.008259162441722902
CXCL13,,-0.020199609904501363,-0.013703660190915682,0.05072514926055397,,,0.025801493297271324,
MICA,-0.018066575530648693,0.010676233966200072,-0.007114716702666045,0.0005142231972724188,0.09031502653154522,0.018995873119003345,0.06185522518064803,-0.10565009245595462
TG,0.11743687857281361,0.013889318740309242,0.04057038806340231,0.016592340697800897,,0.03061436749711059,-0.038150462046481315,
ADA,0.0038128685518481024,0.006334602536164008,0.013445924186153575,-0.01662043744085301,-0.03776801827829673,0.008871943515242432,0.008881373205922418,0.047018622387434025
LAMC3,0.028673543530660105,0.02644616507870021,0.10132022389730362,0.04073867137696064,0.001887586751730404,0.01599170459877584,-0.04511797108870984,-0.08576613709219957
CCL7,,-0.03971043955914998,,,,0.02579684753850962,0.03683541294413347,
NGF,0.006670254450868578,0.018656296127508666,0.02692814658045313,0.09589139307234348,,0.034993999469072556,-0.0371861933482409,
TNFSF15,-0.01949671935704894,-0.02602397152360989,,0.0004169223250199828,,0.0011079124274297335,-0.02498382077493765,
HMGB1,-0.0489583151998006,-0.004013418495276991,0.05628000028285136,0.02588476632059034,-0.047873886637469915,0.044234937576711895,0.010894990878007042,-0.0844292844031385
ITGB3BP,-0.08600625087733708,0.01626814983316617,-0.0072177874405385135,-0.0008424823801187069,-0.11520287787518704,0.03161162534472267,0.06808251127051397,-0.04176017850794997
AANAT,,0.09262041695181121,0.0025231209255522453,,,-0.02597080576273014,0.0513351314055173,
RELN,0.024733003109846212,,,-0.002422732363069315,-0.03779159906148022,,0.056949902563618364,0.11108146845434391
IL15,-0.013873074889112998,0.05386639318604174,0.06564815771627082,-0.0042523488313552255,0.04571131218080168,-0.020960783515051998,0.047911689599219875,
UTS2,,0.029553003158211525,,,,,,
BSG,-0.01314699243990439,0.0490441038868364,-0.08018878220902366,0.005237966346556967,-0.11706540813778836,0.013374195535949148,0.02745917317989493,-0.056867059086460454
ADAMTS3,0.011472611901837727,0.07420220861911501,0.030844898801568574,-0.01195260130770086,0.03527559238179771,-0.0377272333618127,0.008228600614269138,
CD34,0.024843798933909922,0.016711150715789637,0.0012475728428848708,0.034101334110918875,-0.11555339234879315,0.031336743488992805,-0.022459778967074615,0.02871339889035868
PLAT,-0.030830166595392304,0.04080893623129493,0.09302981184610204,0.028352074515296373,0.06822169543743348,0.01812182164843044,-0.017934907486320675,-0.08408366385794003
NTF3,,0.0961952864499164,0.09501400602123837,0.06316258315205589,,,,
LTA,,,,,,-0.02274178041157534,,
CKLF,-0.1008529554829494,0.011709694526175079,0.14582964482888808,-0.024531190703364972,-0.036988177931469225,-0.070006983206524,0.018170458563933276,0.04857575993844314
CD24,-0.0631333958108467,-0.026385523852092342,0.04469377102781992,0.05495840080407969,0.041639324238550296,0.003496470651388708,-0.005461457323765077,0.0526109109495947
HSP90AA1,0.055325821529122236,-0.1256195595311849,-0.13401566443708654,0.09592084896490441,0.06695615118814001,0.03764665451390321,-0.02878270386537684,0.027226025030217142
BMP4,-0.055592954206189225,0.04944373747414522,0.04942023314896345,0.03776580885193915,,-0.01906394850914733,-0.04012247279879336,
SCGB3A1,-0.017709225459505852,0.06796124493608223,-0.03486631573841523,-0.06084881310248273,,0.10440919234188868,-0.052368214289722,
IGFBP4,-0.08334807844363291,0.023119567144896908,0.043566327098906996,0.05739196319602117,0.015038821593103305,0.03458960286252005,-0.046476730438499335,0.037945359954572946
RSPO4,,,,-0.017830309575076732,,-0.018496028740211713,0.061057290463540755,
