,MGH258,ZH1007inf,ZH1019T1,ZH881inf,ZH916T1
IGFL3,,,,,0.029063975738425635
BMP1,-0.008171997938021274,0.047888202108358216,-0.08858626834373888,0.02384328524853485,0.012134673286475816
NDP,0.030604058761324687,0.04746834151902853,0.054809326623705065,0.0435778233311586,0.1101987973478658
TNFSF18,-0.005805786243364775,-0.030036623615406467,-0.05182695654980271,0.14601451444604427,0.02179459045397112
RTN4,0.10428742401902887,-0.03453313547135351,0.005439363664160347,-0.01315136287984153,-0.01948478748908858
HEBP1,0.004444548432857459,-0.005425677140043391,0.005925452178045385,0.02560491793774284,0.05078025536313702
WNT7B,-0.02158752390378919,0.10842370219283362,,-0.0038267635417018773,0.005082185221887594
PTMA,0.06809146280248128,0.09047373958193113,-0.04761112016309898,0.07626896246802974,-0.03450967876745528
FASLG,-0.021587530006526898,,,,-0.02515483807650795
CEACAM1,0.04605312697247093,,-0.010936506905617385,,-0.03499926261024131
PDAP1,-0.025478501904741532,-0.012851518896860436,0.058746010344082354,0.014040312628020768,0.02484957823846729
QDPR,0.06053515353078817,0.021170844769879616,-0.0663500699280243,0.11089128711476755,0.0766231255622191
POMC,0.025975398065086235,0.14409730438905602,-0.011226688897648785,,0.06969284231816923
CCL17,,,,,-0.022800035334527662
VEGFD,,,-0.030712973476100903,,
TNFSF13,,,,,-0.025285898719041244
WNT5A,-0.03769635465008025,0.1595593225292753,-0.06220788885594567,-0.001208010484415314,0.020746884495176858
CXCL8,,,0.056984619893158193,0.007267838975937335,-0.025288184896342863
GRN,-0.03583319667447333,0.01411111448347045,-0.043163773422732296,0.0869786547864714,-0.05625644467636126
MIA,-0.028256214807594625,0.06275693479314498,0.16205929882396125,,0.08530733868798727
COL4A4,-0.005770410197113142,,0.10978913808654901,,0.063652345307962
TAC1,-0.021587518261640064,,,-0.045124265781526035,-0.029972964852411292
RARRES2,-0.039073853527524224,0.02268988660339589,0.026002647488550773,0.061185731143322084,0.031994414829971764
FGF7,0.062410595999269715,0.10622304559552265,0.007634185911105504,-0.033557779703739396,0.0937510826802485
HBEGF,0.05840170659055829,0.06998150268397015,0.03998355038905393,-0.004942172121484282,-0.06958893051490192
CSF3,,,,-0.029785443435423862,0.01149723687092422
PI3,,,,,-0.052154716060892566
PCSK1N,-0.04043899045587522,0.03591397626049712,0.026545637132622944,-0.031180429518229465,0.10344557202320696
NTS,,,,,-0.010829493773310394
SFRP1,-0.0021583989257474394,0.00719221319396082,-0.07401024421533244,0.16174769721174617,-0.034721967248470195
MICA,-0.007237082443452243,0.01899083769370098,0.037157772067243806,0.03658037937390374,-0.008044612690844954
TG,-0.02500098454000876,0.07968677536082575,0.03914756463622319,,0.050350154930499484
ADA,0.00884787232676171,0.05286258850984866,0.0029931892590199503,0.03363469412731515,0.024199378722219566
LAMC3,-0.010925039140232398,0.030195239127665183,0.0333395306091863,0.009338552164558048,-0.0480583308997736
CCL7,,,,,-0.025154829131747783
NGF,,,-0.023740978784298674,,0.015399559793271785
TNFSF15,,0.11206828154643235,0.018366254172427522,,-0.06646341370099523
HMGB1,0.11631416733875072,-0.04219471933722316,-0.08666820930504232,0.12718330307409165,0.01677932250028256
ITGB3BP,0.009369366143731756,0.04867797050150516,-0.006298647647517375,-0.01502254676787174,0.0322266274453252
AANAT,,,,,-0.011227111586059076
RELN,-0.020726479013577506,,-0.0586376830645966,-0.01807724994081902,
IL15,-0.006200495862686251,0.03617047972815427,-0.019687127386225405,0.03188174358453923,0.07605158031249099
UTS2,,-0.016569390947561994,,,
BSG,-0.08262473602753667,0.04852723150893878,0.07992148418180142,0.02873634313135676,0.003156445867053904
ADAMTS3,-0.0003394037664110604,0.07797628281830427,,-0.03621881292235593,0.02178615823357385
CD34,-0.0281103918053572,-0.001363572078168881,-0.05975252094527034,0.019251742425895592,0.010922797003933216
CCL23,,-0.03348031409563023,,,
PLAT,-0.01061015535160545,0.11996506558604444,-0.02076053489767548,-0.09533888712797099,0.018110598287673214
LTA,,,,,-0.03581958822562161
CKLF,-0.05040257874093785,0.03819075759311867,-0.05207807087235551,0.030577276267091884,0.0738701715111077
CD24,0.11272660437972165,0.078593703368278,0.033190545107575874,0.03211030746908005,0.03328920890530777
HSP90AA1,0.028584806797016533,-0.002200983828426787,-0.11449217636602416,0.021835105641671005,-0.051066536438253214
BMP4,-0.025729642619230175,0.05246958135214993,-0.012371385211206702,,-0.011437640739565085
SCGB3A1,,0.07047273023108759,-0.05315922762429208,,-0.0448206435455935
IGFBP4,0.0055550489993865665,-0.004863056531507064,0.12088251293172954,-0.051113872303603154,-0.03511528971930343
RSPO4,,,0.07097061902662477,,0.009556493660666177
LEFTY2,0.09045934496136508,0.006848734454819896,,-0.04877727570860145,0.04172185475518068
PF4,,,,,-0.012238357577731283
ANGPTL2,0.013860088755049784,0.09907054023931655,0.0800491262708004,-0.004097102377232388,-0.04988128502232587
LRIG2,0.053752679400720815,-0.06777483902267692,-0.026462221517684303,0.0066919484639386745,0.06295679408961945
ICOSLG,0.04766834115171946,0.08610464099531218,0.06860588617190361,0.11240024213183303,0.0082014626998345
WIF1,,,,-0.03205665871166667,
