,UKF243,UKF248,UKF251,UKF255,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,-0.03022925238502253,0.006683342532980748,-0.018441244127323845,0.02548284393326927,-0.04588655239712623,-0.040762943855659574,-0.06604169303114989
NDP,-0.012899204236980263,0.018833244746441755,0.007653017486992784,0.012919606068078003,0.02871593718967404,0.009916703882831135,-0.047417748946905355
TNFSF18,-0.023357421616717434,-0.005006678912963752,-0.023567396044786835,,,,
RTN4,0.032771166295688076,-0.025049229994587675,0.028660254086810385,0.004595986291209645,0.012770502048095805,-0.0107373923043477,0.1485631303945853
HEBP1,-0.07296789127685951,-0.05544426889312654,-0.005923507550783757,0.046114755532340304,0.052754543489620755,-0.0247840321769513,-0.06511722269841531
WNT7B,0.06656928306376365,-0.04358031860178012,-0.025555893354377544,-0.034845324741781744,-0.01707038722250702,0.018285133006138116,-0.022438699537456076
PTMA,0.04719536448081237,0.0209460614258875,0.01720705835830791,-0.020456934343342323,-0.021742712543193123,0.002649102914548961,0.044401192214109306
CEACAM1,,-0.01874306375516329,-0.01961261106600167,,-0.03181952334104159,-0.03000259125396269,-0.022144391783083823
PDAP1,0.02640515235750818,0.013659799398611122,0.03188098280571261,-0.03164357570167065,-0.049141074097496525,-0.024648002291253194,0.022560093282271224
QDPR,-0.04401336665211534,0.002020575413955361,0.01838270664780681,0.044283360175465615,0.06661175791385937,0.046942590951444145,-0.006711983896368066
POMC,-0.0029416475002861263,0.03547031605903958,-0.03484848081737028,,0.05432562428654993,0.05937880919296124,-0.025967779771222006
CCL18,-0.01248522256298562,0.03728214509394167,,,0.04191985116851836,-0.05155867169477585,0.0029761678699074113
CCL17,,,,,-0.02257441170224795,-0.043310624020789376,
VEGFD,-0.035293243653765356,-0.008666863982177638,0.11617456105961593,,,-0.03000259125396269,
TNFSF13,,0.059510969413650035,,,0.05972849502937676,0.033335623431370205,-0.024866667799124227
WNT5A,0.012899785508244435,-0.05091922581031668,0.028933298782599832,-0.0920195418712296,-0.015612359189722614,-0.036118062162244995,0.008082174485332685
CXCL8,0.06616744583685118,-0.07905653877010066,-0.00032340787829282893,0.008710972992351367,-0.12361731522849925,-0.1301799656769202,0.06662636379108601
GRN,-0.050946343267880785,0.0010630523083839764,0.018389417663875265,0.035897574696539626,-0.05556655910972884,0.01871878915117271,-0.13008119726559103
MIA,-0.006282566671243444,-0.01682675579755413,-0.011999180623080048,-0.02217392660468718,0.19454709510700666,0.0902836558550562,-0.1401130807683383
COL4A4,0.08763578022817729,-0.015978233901297125,0.015482027301730896,-0.03533595544700091,0.1029792315426265,-0.030515178084473907,0.039203544781484384
TAC1,0.04222206788540861,-0.0008818328054883011,-0.005339376934520257,-0.034201751806627934,,,0.1098690947271428
RARRES2,-0.024835862765331333,0.037167894345991145,0.017553594095047417,0.08268326576589634,-0.03586551662191813,-0.0893957270768987,0.008527050301789147
FGF7,0.002200006758180197,,0.030722567661616355,0.01288720615871499,0.07268073367461947,-0.0314273012858411,0.042520161223993484
EFNA2,,,,,,-0.028515455121161527,
HBEGF,-0.001424183673229983,-0.019440003462256453,-0.007471160767209914,-0.01111464936098517,0.020360296595333942,0.04389656397712341,-0.06410128617835649
CSF3,-0.0355287810201471,,,0.018455134743633448,-0.07115879444950537,-0.08995899938203132,-0.031747010515425104
PI3,0.018317822011600086,-0.024606816569319068,,-0.05859789207530089,-0.11797403018170466,-0.13541388809491084,-0.001708013486432165
PCSK1N,-0.006044854921984734,0.010278114266015098,0.02761671472683119,-0.025475600857716316,0.02576575651088838,0.030015290639420846,0.05772034980649791
NTS,,,,,0.018155681359927057,0.0619356084280252,0.11882964704954
SFRP1,0.005969578229348629,-0.03326052405971828,0.0010505568458312512,,0.032663559283568254,-0.026194335314728236,0.02311826558721942
CXCL13,,,-0.025082245744488002,-0.017959683962728214,-0.008155232261813711,-0.06779915348612656,-0.028797165397863762
MICA,0.013969472938367571,-0.06153223777529466,0.049489146712591144,-0.019274068600479803,0.043363072143680674,0.03579419644666239,-0.00391922139934342
