,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.018276110501683544,,,,,,,,,,0.06896067131225668,,-0.034431218796367596,
BMP1,-0.010597633462459628,0.04227639761494007,-0.01479111901182576,-0.008681348005288827,0.031987497258383464,0.03767493676401027,0.13106143233750506,0.03786083636124169,-0.002210273401453861,0.0250318669177922,0.047419899516768386,0.062203560353384264,-0.0361932035825794,0.06629217843538265,-0.062060327202155985,-0.02814231084206447,0.04677045363833793,-0.015421846398665293,0.0494903811270148,0.014877712066300352
NDP,0.03385870513294628,0.03895444227387712,0.025894624732033793,0.03293601072994306,0.007300087807339418,-0.015244675381963783,-0.020327424737738877,-0.033422689871433646,0.02179317559100001,0.09371344412706534,0.02267648194710868,0.059940897706439525,0.054877063690452255,0.0044263360202095895,0.0035443114444889076,0.04390167294584632,-0.030331833380539356,0.00458920316815141,0.07507089950474186,0.07140208373186917
TNFSF18,-0.026427550153727743,0.023816524620063353,0.03286794359992912,,,,0.029824213911112868,0.01068587219452416,,,,-0.02373641024706677,-0.0954008918880622,,,,-0.018559368844797,,0.03084417577408563,-0.025931871293773646
IL36G,,,,,,,,,,,0.004849068741972994,,,,,,,,,
RTN4,-0.05126646405212658,-0.006968022101072317,-0.00023523784171483822,0.009837116164236968,0.019870074093091654,-0.046670656926329795,-0.08862327247651325,-0.00033782416149810707,-0.04335437742471512,0.019013944885223753,-0.03899384129586022,-0.009099958297328837,-0.01342533089399244,-0.0010172685210594165,0.03867596544295614,-0.051047610597398894,0.0011608595744070182,0.038204348083546544,0.004534794662892846,-0.012884381154739047
HEBP1,0.027788916678536436,-0.017942809651323038,0.0263261956748371,-0.029575544794244152,-0.04806674204179339,-0.015120519547658286,0.06101156961846536,0.01357612942964375,-0.03661445812009037,0.040532799766473865,-0.010064467298904482,-0.003830920323082859,-0.0418608126186912,-0.029537193554427018,-0.004024531441405117,0.056587046922119445,0.05672415505043224,-0.034793658497246215,0.03884130436391888,0.059519085013809
WNT7B,-0.06168219583188408,0.011087028895211633,0.017692825897983298,-0.028696620390251542,-0.04444722225131034,-0.06016346513889762,-0.038476881488089816,0.05600820183016026,-0.022226276748506756,0.031580426835085634,-0.026355144056575748,0.17671421133853693,,-0.044261074553259734,-0.025279111680445884,-0.011792365761523236,0.01226327921145342,0.001021744729835139,0.051745575482793724,0.020216215081803886
PTMA,-0.03939502885189604,-0.03678518175366868,0.08739493675016993,0.017145712918837732,-0.07570895410936708,-0.03836063198858342,-0.03412892029541982,-0.001954449914021129,0.04200184070466338,0.07523952639224202,0.050145363434088985,0.01922216944151672,0.014010896294241475,-0.09405270026335162,-0.03558136300059096,-0.012350471364203296,0.016240377017946096,-0.009735232376576912,-0.0427414271511757,0.013466054424297436
FASLG,,,,,,,,,,,,,,,,,,,0.08327125653975886,
CEACAM1,,-0.027694793723999137,-0.028548695904415878,,-0.03913511809970826,0.0026038667747455045,0.07534884247056974,-0.01042133286372036,,,,,-0.07376367344747686,0.03319482865984923,0.002185938772348148,-0.025536097882166993,0.1441391925580779,-0.018228274340602247,0.05493796102562349,
PDAP1,-0.002330109866700573,0.031419189734313784,0.003572969879691492,0.014088190449136208,-0.02342485859528395,0.10124653810036617,0.11384901218729905,0.006330302859206791,0.023843737455335457,-0.007567077775628694,0.04898000984403449,0.04454796202594652,-0.026642189977000977,0.008676449776309724,0.016995651100368287,-0.05145305714461854,0.026426477990719937,0.07687196109114612,0.033438873514400655,-0.03396874414678186
QDPR,0.004480209974662349,-0.02674222564441534,0.06984822910984302,0.03632799128004878,0.004796982479833864,-0.017489896736154736,-0.0301484983464747,-0.04084174182979261,-0.03261942033138143,0.05573524642887958,-0.03284797066123819,-0.01696637738125894,-0.022754518745028842,-0.11648968668664464,0.019778297551860204,0.02584081711452969,-0.03120008700782294,-0.03894098644007409,0.05731238246113284,0.07666833227049669
POMC,-0.04989962509651404,0.04662491753679417,-0.02114112221909245,,-0.0007699539473509084,-0.02856815134729343,-0.04603733102609675,0.002831515137519485,-0.032482887160853464,0.009762596622418643,-0.02360161216070273,-0.022191952658572267,0.019784370985845682,0.1144512792473267,0.014212502568882866,0.08178219295884312,-0.013580456141155146,-0.016365198946573893,0.028440125111589488,0.02585103471950117
