,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.07942018030463135,,,,,,,,,,-0.020120869444629402,,-0.033973537436385294,
BMP1,0.06470501484210954,0.13051813341026786,0.021892590013296864,0.016436057364682916,-0.06709026407321014,0.0005022814253044056,0.0197555317147683,0.044319725244688156,0.06291593838843859,-0.012894647694646145,-0.003715391502581752,0.2849903381222611,0.05460838663527192,-0.06928019184125683,-0.07505931403220094,0.0598019967812172,0.04469694786582064,0.11773902147094141,0.1308809517039809,0.2268745710341223,0.11688627344545378
NDP,-0.04262334719633364,-0.04902880936619253,0.018787477297002052,0.046414642193847916,-0.05630493558634414,-0.028748740769586056,-0.010687544542859933,0.02017538728231867,0.005109350927063918,-0.0056692761247550015,0.04402584106355609,0.12836040280701116,-0.015285101420965435,-0.058414400710732194,0.038971338079869404,0.07573572223212831,0.12906000444226973,0.01794563123973761,-0.016559883960520647,-0.06816350638933816,0.04349773108080084
TNFSF18,0.021953728793353656,-0.0015951080620434993,-0.02528979954525549,,,,-0.014769707448621066,0.053358679951070305,-0.021277285827397473,,,,,-0.029395971100984956,,,,0.0032686499125740044,,0.10912545870430228,0.08136360455190636
IL36G,,,,,,,,,,,,,0.06012478296541816,,,,,,,,
RTN4,0.018803618135597742,-0.09118121254300882,0.029407280031815627,-0.022720172232064427,-0.012507513416460695,-0.00239312725362023,-0.10720539907652386,-0.04703199488267819,-0.04577970210617119,-0.03714963175510055,-0.021475819186250043,-0.07944436620091548,-0.05832275461776771,-0.00048718572069309917,0.010810964013544038,-0.07114245645103336,-0.07316026080492583,-0.13122042841035092,-0.102838280743143,-0.08561147873700349,0.03081489284019895
HEBP1,-0.015909724663091637,0.020574507720974154,0.017533216728226567,-0.013338915060970716,0.005997259596928606,0.012100211466347006,0.006010123433989996,0.08121766980784502,0.024344379268815587,0.014020825191184519,0.04299531972750569,0.036551332126104785,-0.011348953571504198,0.02991500307977185,0.07477060495529181,0.030271196797935298,0.046392498921825634,-0.01189116305251864,0.10027690216867034,0.07767981532949907,-0.01950141602803332
WNT7B,0.08725231798958558,-0.0019297707521896401,0.1293621724377439,0.015165149542854948,0.0030656664426647433,-0.041001319249742436,-0.0439709844251568,0.024038698823492306,0.007210729325575886,-0.012031753668203134,,0.10633889749419255,-0.019532688494703285,0.013121895045132717,-0.004131197251605153,0.0010003315543438156,0.07813659572333279,0.02167984580041313,0.010627616717269308,0.036237680366900116,0.004124457910572981
PTMA,0.06261225081786757,-0.009087339008775012,-0.00484871453957585,-0.013540205806997134,0.002726769031987404,-0.0005404525822624521,0.09328667960297034,-0.06984728663386712,0.012464050875443899,0.010177502738092306,0.041258422395766825,0.22282670551245778,0.03371728953797164,0.13252687626215948,-0.019910162534502812,-0.1075353867860293,-0.09192313225386987,-0.09712107397151559,0.011386338715556327,0.22457294724185548,0.020719776447396632
FASLG,,,,,,,,,,,,,,,,,,,,0.042481451142538235,
CEACAM1,,-0.03725918207034713,-0.012055896488437145,,-0.008852551493175053,0.07465932376859583,,-0.031925913046777527,-0.033464101632788235,,,,,,-0.03596418364775637,-0.04575354028101635,-0.03342268489466391,-0.029816011152930453,0.0869920968049294,-0.0272732053926146,
PDAP1,0.003539815136426232,-0.003571743126060436,0.027920185505124928,0.049157703562290336,0.022591343490347957,0.01837091058417614,0.05914651411853151,0.03039748589379533,-0.003937872120948509,0.045445364344316716,-0.004632760357569706,0.17771637802792783,0.05762300011215802,0.03211858287841518,-0.02955303418997853,-0.07378633951246363,-0.03080146521779129,-0.04289659392215261,0.011261403137318392,-0.06898981706400696,-0.023622916295042432
QDPR,-0.06549667379731866,-0.09413281351037277,0.07367043893513049,-0.025980493337264536,-0.0547209708304143,-0.05402378029774471,-0.020037985990669572,-0.06615027465326649,-0.027056054678288564,-0.025050920363212197,0.0467202392515947,0.17703160539315968,-0.07745546284955837,-0.04568437184470858,0.040503855182959965,0.017181562864669393,0.012514579474599292,-0.09845753945903035,-0.05076809017790362,0.019919199870246755,-0.0028810152831841374
POMC,0.0014861173674931975,0.0370385423365711,-0.021421404630910947,,0.072247197313995,-0.030195287740990517,-0.007591131960223322,-0.04115427188175553,-0.024688479905982844,-0.022990083214179377,0.04740761759722958,0.048449429213428756,-0.03807516525799196,0.0037382803315822873,0.03504572416955633,0.05763034439899675,0.07059249097980652,-0.0259445764476006,0.07319882916636143,0.10824457965963262,-0.07195782676296485
CCL18,-0.03359660600698489,0.0012667322587905636,,,,,,,,,-0.04910385175002783,0.08692006278945215,,,0.1030900036725412,0.015852006438413006,-0.017338277003595363,,0.03108984745776765,,
CCL17,,,,,0.09329322148926825,,,,0.05924091933074524,-0.014891938204298415,,,-0.016234571954465624,,,0.05615062249327238,0.08552206087345661,-0.026528204080336095,,0.09211370096934168,
VEGFD,0.08651926336813524,0.009284505952143805,-0.01726765295281577,,0.033955658366342845,-0.021823008398315927,,-0.027369881423829814,0.03311339281933938,-0.010923416767398756,-0.0218647698283845,0.02005013103517568,-0.017399093602465117,,0.07126873030069213,,-0.007865090766061601,0.06698311209062609,,,
TNFSF13,,0.005732779393783404,,,0.02206544294599911,,-0.014323535090381801,,,,,,,,,0.0695982178856584,0.08480213246953995,0.05974463471407513,-0.02024269540754907,0.041573569443702635,0.03149990522913437
WNT5A,-0.025002880730989878,0.030593023753162134,0.03462707180559842,0.02154404737683045,-0.01722440560807743,-0.0020483621737366984,0.054704240979388634,0.06505982311974373,0.00037439101333707717,-0.01675103655991579,0.04162624737898866,0.047250079869310395,0.013648826353112544,-0.041358483256762064,0.09233253567260953,0.041835197706640743,0.040602740647984005,0.002929843791720029,0.03768579097896371,0.1459164974779554,0.01335205799348206
CXCL8,0.1030562495918343,-0.03835135494847696,-0.016168406738585335,0.040831079472826826,0.2074326383343512,0.006724044284161954,-0.02037429965367703,-0.054421871646234216,0.08560455365008471,-0.01017236065975314,0.08571571091116854,-0.1418794411630553,0.03730516283013312,,0.058576032870529794,-0.07537275933480984,-0.1286915401432684,0.0579736542592918,0.022084494150365445,0.0549780066687322,0.031320387413021795
GRN,-0.011946052022595468,0.1786554647609073,-0.0008983912059810935,0.07777224891747776,-0.02554470016883589,-0.009181016710128442,0.0364362661761697,0.09532571602999246,0.0326029414617487,0.03926671303595301,0.06387197841163068,0.06673480744389775,0.0402315479717273,0.057164984080085426,0.04189516419004803,0.10994079800539855,0.030315709061937875,0.07701375937283843,0.12475166763262077,0.18649860230847312,0.06326004104031718
MIA,-0.02056955361277335,0.0014733942613803625,-0.015356642960508524,-0.023043198827091944,0.07972281551903355,-0.019472896115373922,0.0025664188084846265,-0.0053465359448891915,-0.02963386817676138,-0.012423086122764987,,-0.020562879924617996,-0.023828856046586366,-0.029088079314584653,0.08427521039235975,0.14003778515725224,0.15368616218467218,0.0563350305761918,0.03181235604766293,-0.08529489809305237,-0.0031630615893599523
COL4A4,-0.038106209541850115,-0.017012543078309638,-0.025825299536687808,-0.006949909446480523,-0.0013195601631841598,-0.04340349743956691,0.0931736484504416,-0.016099503294202084,0.011828526742469859,-0.020869796710979844,,,0.03522669346814127,,,0.059407340803772836,0.04539027839378458,-0.040864553977693736,-0.031374625095526916,0.13551797036024435,-0.06921819390569316
TAC1,0.002771143656640702,-0.10092930233427236,-0.013798572251644206,-0.029446660556863416,-0.04886155920858169,0.03450824672661306,-0.0480242503677684,-0.01440505673959586,-0.049404599561646785,0.012000506242079214,0.00371998958649235,,-0.0409643949596623,,,,,,-0.060635864134288654,0.0657593353425581,0.07066430662758885
RARRES2,-0.06177385389664946,-0.1054604514876742,-0.04778731452902889,0.04935137773190118,-0.011189686680380997,-0.004027408640286323,0.01928370250920469,0.017779778496280495,0.029740145050497695,0.07925931823695578,-0.006337495402232067,-0.1821898732868261,-0.0005484245626645658,-0.0464578785888069,0.013937325749573725,0.03468894746678995,-0.03283278471352886,-0.026146804067160526,0.045298377136625524,-0.003503768118642786,-0.04479110526240215
FGF7,-0.028900999608484895,,-0.0021770538259726795,-0.02219346820712377,0.04576508066117171,0.02073505712798442,0.08398631814534468,0.06599061306719224,-0.00251573586748779,0.03725604715657431,0.18474701164236645,0.09654782022408892,0.004326937882076032,0.006386383272144505,0.16085199390777755,0.050419076918853285,0.057898353329557846,-0.05784589820100624,-0.0438611847907229,-0.04951582180016577,-0.03950222335703187
EFNA2,,,,,,,,,,,,,,,,,-0.03176602524345737,,,,
