,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.022640969902630956,,,,,,,,,,0.027822229681013787,
BMP1,0.027154524078655057,-0.04417281943187504,0.09383001919939683,-0.05624856838221683,-0.015588800064847086,-0.012617263098078703,0.21724814547537258,0.11277162669921414,0.028169861580181525,0.031877377601662385,-0.06664928772391805,0.15972008835132967,0.003104774955406458,0.09266963088646808,-0.05515175019522262,-0.0691900812380967,-0.08067672426569482,-0.03203247208611389,0.09164121918573621
NDP,0.12235853504689662,0.04143312307729996,0.004115255785581836,-0.02468525442539181,-0.07436196285412601,-0.04437487441595343,0.008766303155839998,0.011697472588315792,-0.05288403666119265,0.026538730741236707,-0.036725244632399304,0.057514471704898214,0.09048964674260598,0.10232574836241441,0.07444996955193099,0.12563540772099357,-0.07994854798484037,0.0758577477102264,0.0006592334397590678
TNFSF18,-0.07555256923299326,0.05939109328692724,-0.004029853804118077,,,,0.017977886919035332,-0.022377399677800693,-0.01468254223438605,,,,-0.02328824343132561,,,,,0.03276345597544372,0.10996856532289674
IL36G,,,,,,,,,,,,0.08621569154400846,,,,,,,
RTN4,-0.2593215639651399,0.0108225754063763,-0.018762533807474894,-0.10853014519807529,-0.05358839313634857,-0.0029188827517211166,-0.2609720023280693,-0.16579791715512682,-0.03885863361339286,-0.08199709848180829,0.04555959495184324,-0.12470822036384299,-0.04479919361136871,-0.10744462605724003,-0.0467867793156826,-0.06882121480678463,0.14364357721305304,0.05903349803725656,-0.182619423027534
HEBP1,0.070511236130131,3.242780070614747e-05,0.03435526577170233,0.06769848869996554,0.046360889720312416,-0.0032568727893886205,0.12848799045285175,0.10554850124824379,-0.021986988948344593,-0.01954801696683685,0.04331716599355771,0.06084037044020201,-0.09221412612469403,0.008980152812338283,0.05483381480271932,0.07976759578598744,0.03866436051271129,0.17408482904643804,0.029982454531879723
WNT7B,-0.1829421926228716,0.03570119292424545,-0.009493424737963743,0.05680164165709706,0.05140460195261839,-0.02590105930971788,0.02851743819517206,-0.06856789376618577,-0.01604844479704219,-0.0029754612857838584,0.00917249883335818,-0.029619781059591684,,0.028588780985337344,0.04063882230614544,0.005099586285057797,0.03577814504114867,0.08518123980374497,-0.003223840280332603
PTMA,-0.16523579536617902,-0.07574987199840144,0.10854571587396943,-0.06183318092540007,0.06959695849982488,-0.03935692005410681,0.3625282274292137,-0.03800342347520328,-0.012246441107358884,0.03365062974494763,-0.09819277160120028,0.16848984669378694,-0.0776559298631525,-0.2695177969379071,-0.058657778737246695,0.029091865441075396,0.11029360212297769,-0.1551996596744434,0.0720014713040065
FASLG,,,,,,,,,,,,,,,,,,-0.06379201045631926,
CEACAM1,,0.013899223400767225,-0.053140843606703944,,-0.014039048441523351,-0.02323567728227424,,0.04723165246952089,-0.023092141053373174,,,,-0.11550974027098806,-0.019367299548863477,0.005568264164281073,0.013516256797832684,0.06074462753890197,0.08041853273339901,
PDAP1,0.1364612787568902,0.018308777808489083,0.06431524974427869,0.0417866437231325,0.03601299946726816,0.017283254720673276,0.15032633532962036,0.14981270675214095,-0.01128266313285581,-0.007822574682450437,-0.08942124321172235,0.11498632224055026,0.16880829912672715,0.04838139342084808,-0.09388427254795781,-0.0946375221041554,0.08144322628914909,0.013554130304852233,0.03015532038000177
QDPR,-0.047417123932444155,-0.009748518867074257,-0.09866565728338565,-0.03959556205278025,-0.05520050538842181,0.013830325244674644,-0.06869880847080667,-0.1486554421119374,-0.024217836561561994,-0.051071407745131206,-0.07448332463697575,-0.005431222234612134,-0.017835032434467716,-0.25454071214328516,0.11265673655291579,0.01682146766587828,-0.06267135841734112,0.07833929395858241,-0.15367338591026825
POMC,-0.13821286958582252,0.06032822038484921,0.011423381133730827,,-0.03264748812855762,-0.015000625340636552,-0.06002918941358551,-0.029392953399806847,-0.017036460940691438,0.0018984265712482672,-0.030759238889047136,-0.027400333175113433,0.013612247343123055,-0.01627034048513482,0.008936421311249602,0.027653430865999105,-0.039254498080313345,0.06791849480495367,-0.030718566412220732
CCL18,-0.004941216609999243,0.014701162799056988,,,,,,,,,-0.07540386076288445,,,-0.11311162386334662,0.08538833747919483,0.07269183325385714,-0.04325818254681757,,
CCL17,,,,,-0.049339819613161716,,,,-0.018311988769447476,-0.035906668506639546,,-0.017376380118668672,,,-0.08252625730128581,-0.038012059223104196,,0.03632730752819049,
VEGFD,0.0009406521131963927,-0.005580212552693011,0.05303645294792579,,0.10771531616392811,-0.022230580462419835,,0.03651328579286022,-0.019509875184526584,-0.0067156982121210655,0.0024762411077941865,0.04173764784815689,-0.05523623176276973,,,0.05614710118476927,,,
TNFSF13,,-0.03461074993550053,,,-0.05565267670829403,,0.030864514932734344,,,,,,,,-0.025875470548466607,0.008553492802694957,-0.03173608841050358,0.035769948590379026,-0.008965611042932297
WNT5A,0.015916584625413042,0.009294340360494716,0.04842073378561693,-0.11591747283099108,-0.052414274100697496,0.05667156156022759,0.24552469661788434,0.09792386484818227,-0.03456957810854025,0.02135102048655431,-0.03648232236080585,0.07480913231567834,-0.04249842405875051,0.10247598201028968,-0.006839276783770521,-0.04476898752008233,0.06862759754597801,0.004327943988618795,0.1329779699181582
CXCL8,-0.021891160048311636,0.09476999489837547,-0.03058068294781667,0.22306153841084664,0.1970914344845057,-0.016378818658412855,0.02196675663185623,0.02796927856898218,0.08622841208042185,0.00868924044715039,0.06942438792215307,0.1319687226110431,-0.03167368299947966,-0.017884908108087166,-0.08209454949659871,-0.17238661121044038,-0.06839117029235749,0.09601345106425996,0.16075374401602108
GRN,0.013587790954911786,-0.05249101197352449,-0.0011086179504096998,-0.185993440104388,-0.08389784072072753,-0.001009506404009094,0.1294477071048138,0.1240965019452657,-0.031454107107395206,0.029920383401437992,-0.055667653048469705,0.015435672205416851,-0.049456828864236364,-0.03613125229317409,-0.1473406922608498,-0.07991955718881856,-0.09280214961803698,-0.1202332368503791,-0.07918917980727537
MIA,0.051384037013364144,-0.031647971439548304,0.02326479831212756,0.05431473171007949,0.037430425510148024,-0.0019798538329524975,0.07669896969737407,0.13550967710197817,-0.02827644654823787,0.024498124151404753,0.034211217952066726,0.06865774688811117,0.00318773131777079,0.13515468173166725,0.33349759115001554,0.277389766699337,0.011666847121005387,0.12052835498733623,0.10985415123102552
COL4A4,0.13149904536571033,-0.027764054368588895,0.010357062263219852,0.013427938970211648,-0.05572766420110493,0.032691291207046475,0.08720052054704593,-0.022310995309267775,0.010405779248876411,-0.0015389275647408557,,0.040968282458516865,0.02119214904164183,-0.016757911377810488,0.10483853776235703,0.030388418566248035,0.02233083751649256,0.04807332775503865,0.025698569589278315
TAC1,-0.18945421836762205,0.030400966149136788,0.034290506709475116,-0.12084312099584497,0.015192504692471055,-0.0047670868958540405,-0.22576263603583593,-0.08341185507513257,-0.0760531382155805,-0.004800135092234046,,-0.13841911937263868,,,,,-0.03435581868446586,0.00778857257606949,-0.12055364610977327
RARRES2,-0.023743754723334915,0.029973094332956633,0.06945238075306172,0.02660971910323839,-0.0022303444365609853,0.011607302243595878,0.08957586699684573,0.13681467897027685,-0.0726230156747895,0.0023042263207728297,0.08296644011603374,0.18656444393443433,-0.018014923044010353,0.1338385874695246,0.025932469500412877,-0.010736822458252583,0.05325495008534409,0.1848645638605672,0.09799293043631288
FGF7,0.08363235752546645,,-0.0060288951129334085,0.07112799792856364,0.06027684253271171,-0.02456629181076607,0.018822383979192628,0.07116711995504389,0.06445284410161779,0.014136474969954268,-0.023012543854679594,0.037291876131921815,0.013012083289725114,0.22279565334167534,0.04903084486136282,0.054473724331082246,0.04126675898293715,0.16467534794465574,0.007937284966017902
EFNA2,,,,,,,,,,,,,,,,0.027871852479010514,,,
HBEGF,0.02863267438066575,0.016905348440299124,0.04243177176100096,0.08836049295110837,0.0648512416503093,0.014072895232426589,0.07318033274099321,0.017477331449386062,0.017429018784029908,0.061330172410526865,0.018428398409858698,0.039447237247968,-0.007881005808354382,0.14766269111525449,0.03980342044303223,0.04420352670424553,-0.04337425855651426,-0.020693297806503908,0.21468205277861768
CSF3,0.02821798098905236,,,0.10744802660537295,0.18930218588403674,-0.058382486226977906,,-0.023604603603871427,,,0.0758291040187594,,,,-0.05194493906068177,-0.16115249422196598,-0.06459181168732829,0.07685439162740848,0.11135667771444774
PI3,-0.028430854142082265,0.07171584337520344,,0.06826091965285908,0.13596966163257432,-0.025710858189523973,,0.03321212907940935,,,,,,,-0.10977058347423911,-0.19021957282324378,0.04893395792379452,0.02167973300684106,0.08728515554373621
PCSK1N,-0.11188770752925772,0.014441443492985394,-0.03915089076897122,-0.16093286440678767,-0.12447426644350602,-0.023338138064579926,-0.19206487632899633,-0.019568306145254618,-0.0014859865734886623,-0.04273189733771788,-0.023019636508201272,-0.14412287331873835,0.017851996948069423,0.050112959723847154,0.05058661082157145,-0.007126760145321285,0.16529657693636202,0.15301004598587684,-0.20628121587710255
NTS,,,,,,-0.014491490805548577,0.03126686528348883,-0.029012897259140965,-0.02184041576830933,0.032665551867384554,,,,,0.021795375037091922,0.020441057239264225,0.052365975689964164,0.06794139142492124,
SFRP1,-0.0026756752495152073,-0.013953472169467263,-0.002514404287542128,,-0.03227920044516545,0.017315138470771044,0.10817444764558581,-0.042787118784031436,0.005052371202845367,0.06135120598287618,0.05208936941638756,0.03574275476704029,0.053406787243502264,0.08309698388253846,0.1434052240709997,0.025139516052057012,0.04939909432972474,-0.05198329026827277,0.0027412048893139572
CXCL13,,,0.03352460529159912,-0.04951525598435117,,-0.0251333151816992,,,,,0.0012239425469834514,,,,-0.06577672249061012,-0.056052120913787445,0.024396788494213405,,0.07500700849132987
MICA,0.06320007515327072,-0.004795917966691478,0.024073631779929956,-0.027149300708255813,0.07845059858323541,-0.0044648139081855795,0.08101884656475661,0.07633348275158418,0.012738267957286213,0.012734070954226845,-0.015093092996463808,0.10561976395091253,-0.027179119136340836,0.10459896282624744,0.04705681529887444,0.06680331458919476,0.02100383759233689,0.0491732105136922,0.15211204817707966
TG,-0.03468414068702958,-0.0244832552621701,0.007421845544098514,,0.013021335124033702,-0.022756142377582767,-0.005742085794333511,0.04144014306729416,0.11952292458214432,0.032605475905729105,0.006326894941507149,0.04347119773649955,-0.002159315597390359,0.06409682405189365,0.05816505594716429,0.07623152786825449,-0.05388699629836277,0.07909898871597924,-0.015962876650683074
ADA,-0.025369733635444,0.009419651383117402,-0.006160131186722125,0.03116725421216627,0.044734501039137016,-0.02500203724691496,0.08222186640212524,0.15519327439071393,0.016552818142443266,-0.02929578836458239,-0.035812557760855866,0.08836219206796478,-0.03568548312119322,0.15091755264596093,-0.02444087145611073,0.07582130858038624,-0.015612468425390328,-0.010688789240252766,0.01579393924631544
