,MGH258,UKF251,UKF255,UKF259,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,-0.015367755658392821,,,,,0.08149800626915532,
BMP1,0.041896498652177545,-0.007528891800349576,-0.01369602836500034,-0.015023854875968011,0.04815598888793962,-0.03391416985108717,-0.03436022424000365,-0.01704479962973095,-0.02338296324035322,0.01827706239163748,0.03789145785302215
NDP,0.03484021385785023,0.012324212740458076,-0.002029970182000399,0.003087202437833371,0.03292702425454076,0.0739897220238843,0.039998115252824235,0.08472504503276326,-0.11931092884586021,0.07427258438828713,0.027765005983567025
TNFSF18,-0.02848147845732109,-0.0056624442906022575,,,0.06184700568174812,0.024109178428678962,,,,0.03501894885493157,0.049237168097316805
RTN4,-0.050542309550784856,-0.0021318489396622508,-0.04636071793641604,0.026438870773757603,-0.08935777194774537,0.030377188372697376,-0.016740400007921076,-0.04068862711971415,-0.19538495607164322,-0.038471347054013505,-0.02144992857960196
HEBP1,0.06808062857633819,0.01745088768718451,0.03240546279935154,-0.01190117889898176,-0.05154775445802101,0.013207748532361228,0.016186719983783317,0.029774233670972875,-0.0480835352939702,0.12613503970483048,0.023019046835502245
WNT7B,-0.025091290456188124,-0.017638614839985415,0.0024059066820888136,0.027526634137690725,-0.06360666604062953,-0.007599653752191808,0.011107576229712849,0.053561775044599566,-0.014573157955529725,-0.0103374708244005,0.15880882245844694
PTMA,0.04048895032563189,0.014085038240253799,-0.06741593252181727,0.048489410092105806,-0.006757041688569247,-0.04840411373221564,0.005735678307894029,0.040406744149131014,0.033829245640908466,-0.11617090408156147,-0.16207007894951073
FASLG,0.030487789920107033,,,,,,,,,0.006541140629338597,
CEACAM1,0.0054814113663846096,-0.013536575998443124,,-0.02083765915367808,-0.003708900754252355,-0.022552089836143954,,,0.04111369406642641,0.013483669546932107,
PDAP1,0.016696403610289883,0.008570333503287666,0.056531479061553945,0.009459662610653258,0.014896498773398235,0.025488015066632973,-0.041104678388968106,0.018872052599576087,0.03685629359519879,0.04487123148829374,0.005509657921415907
QDPR,-0.0056635058455159325,0.048439127001879405,0.035445659281342516,-0.02217223650882297,-0.035462760224155586,0.00897161320347162,0.06161840287991945,-0.0004512815277326411,-0.02217657603850993,0.08105229666818457,0.039361310167869146
POMC,-0.0009308415287505206,-0.010808108743503853,,0.032345144604060995,0.09382644420849352,-0.016638032685510024,0.02076730882235652,-0.017256147571077532,-0.057825339833338034,0.029305551281654324,-0.0029323016016604576
CCL18,,,,,,,,0.05366006594663281,0.057115154455935534,,
CCL17,,,,0.04967685841201886,,0.07448040382138688,0.03287172208590831,,,0.16707950050636736,
VEGFD,,-0.003039055853929285,,-0.005206157892952479,0.03335561861963374,-0.004336787107600902,0.09155496363379,0.0334900051064948,0.07536538793385186,,
TNFSF13,,,,-0.012193530131869737,,,,,,0.09327066478131836,-0.020952253492852825
WNT5A,-0.04081976213462629,-0.032428581716962626,-0.039215747316208895,-0.017117931421852976,0.048778364090276395,-0.007942351369849467,-0.019865781677273313,0.0072458667920992275,0.07437877628679287,0.010911113395872389,-0.04620759018251231
CXCL8,,-0.018154175991848837,0.04499259102946542,0.07395080851361369,0.017047973739650425,0.01916358280390237,0.018928971094993106,0.015046873308804781,-0.0405650763459287,-0.019382205852821806,-0.02532313662637126
GRN,0.02178949390923761,0.05172569623598412,-0.026671775828038428,-0.0322759615597702,0.1043340101074564,0.009509454735759806,-0.01611263699985021,-0.015398830756160888,-0.05018015301794502,0.006538598031830106,-0.0023188002625142987
MIA,0.09903415552293013,-0.017242713116793536,0.10521537016587651,0.09153359074438688,-0.0438994123798066,-0.018812756520550585,-0.008853470111266974,0.0473343193765317,-0.0006570057461948701,0.07648545417406975,0.019777125232914857
COL4A4,0.0035889957840405853,-0.028997107780099306,0.05806958777262873,-0.028322490099052054,-0.015143782527113951,-0.01867116742276281,0.010023587575458754,,,-0.013178476911327374,-0.03926775748783411
TAC1,-0.02509128389828907,0.010723786482130224,-0.03409538986242106,0.011701159041679633,-0.03685201084453117,0.011268075018105618,0.015457453585848968,,,-0.0031022329178955694,-0.017315262065372573
RARRES2,-0.0020305494562848293,-0.010208614238314718,0.1100324980807683,-0.004293462219170479,0.08727551192660876,0.02403540406379092,0.033137665616196944,-0.021579240170679026,-0.03053718976792509,-0.024921111939795456,0.07415516957598198
FGF7,-0.037495432053937745,-0.007324754796435212,0.05713834188308232,0.07428890547153709,0.05004848714776951,0.054735134125351095,-0.009551837966913399,0.0023738000056745348,-0.016425428545156592,0.0880151980631366,0.0801254285588529
HBEGF,0.04718266626437951,0.005158739470784636,0.05432640219420879,-0.041897669439775874,0.024695959852760102,-0.013126778558608073,0.06934092560473834,0.05621874284173468,-0.009730832576083573,-0.052822183361131515,0.05337613497387138
CSF3,,,0.046777787199368925,0.10464854891062889,-0.016021830432068288,,,-0.02800372771658332,,0.05844505295947143,-0.029231840209515192
PI3,,,0.06514351276431474,0.07027940842129353,-0.01804079253178147,,,,-0.018221652923575884,-0.01736438089289341,0.04593581091186357
PCSK1N,-0.0072042589437487,0.00947604793830242,-0.03546227291313479,-0.0700773234879089,-0.013789697683404283,-0.04430114704368782,-0.014495842238278421,-0.016429204767386,0.009093798359492911,0.08250637189485988,-0.028911775680223625
NTS,,,,,-0.019692756888861126,0.04555604331147351,0.04932007526224529,,,0.01318043234427591,
SFRP1,0.030432612936393717,0.0262440806583649,,0.022933448856206972,-0.009560974998068213,0.02780290166431584,0.06345488809450889,0.0774236387516533,0.012860036745260067,-0.04376852363606342,0.07344831960348845
CXCL13,,-0.032732602110612796,-0.023939304275497373,,,,,0.011952477511021149,,,0.07300043213676297
MICA,0.05797082301237559,0.020497864334859447,0.09973758864679609,0.0273102249419539,0.11220053411783039,-0.021832426551519478,0.060442501327671566,0.024649718885064238,-0.025059101070352616,0.09481967885965878,0.036325781535628494
TG,-0.029058773372054925,-0.0008757277285432893,,-0.01664524690021065,-0.019336915890775942,-0.018017181195960925,0.00824287209391462,0.04496761231263596,0.02402139254514224,0.0191119988241264,0.061157138109493143
ADA,0.0424402685930566,-0.0007657534871328258,0.025287659144732022,0.026973335151815773,0.01799983885731647,0.09908988787494794,0.025545902143302,0.03120176655714579,-0.06441213645481851,0.07105687297561786,0.023747629963030033
LAMC3,0.019811194716149422,0.01810254947354953,-0.014551016602942274,-0.06161785129060822,0.026463793776521312,0.027324713002345846,0.011319987186543068,-0.01979880787458327,-0.08372355811351699,0.035395485066130085,-0.042251649607282275
CCL7,,,,-0.012034486914253524,,,,,,-0.031708737167320145,-0.04004349565535216
NGF,,,,0.014356064508510832,,,,0.028701323048835495,,-0.013513252945596828,-0.01400057307494757
TNFSF15,,,,-0.013400989778236415,,,,-0.024288247605995565,,-0.01085269915872326,0.044619134494927645
HMGB1,-0.008567889209878356,0.027583006369481737,-0.07522783519177388,-0.024547613487304436,0.0950627327577336,-0.02768187804146388,-0.012092612543435103,0.06223087461730378,0.05352179704421463,-0.07140988074603882,-0.06604808075791316
ITGB3BP,0.004836070828217467,-0.005543566796237029,0.021233932543396037,0.028842041605683905,0.11615139827368581,-0.013978805085423405,-0.0029309592223429747,0.03289656055699511,0.11899698906319595,0.02539897956705412,-0.05345452638714703
AANAT,,,,-0.012193531433261998,-0.014452124631228056,0.0009185004179189939,-0.001036717099307427,,0.0007528255349600487,0.006842458683019082,-0.02522089693272571
RELN,-0.024090493536059375,-0.04319522660865272,-0.037127990736494774,0.07735263467656549,-0.04240706816731505,0.014194111751718516,-0.03125800917721648,,,,0.06954386414218638
IL15,-0.04537896992008255,0.03064197602964086,,-0.03484365211083703,0.11265592261302705,-0.013559507534935313,0.006815392291005608,0.03999839865170726,0.19439161366280777,0.039213457307454846,0.07908134331961847
UTS2,,,,,-0.03175568517520216,,,,0.02273006992620144,,
BSG,0.015470195675894433,-0.023694619605366344,0.001863629127831576,-0.003356389234082564,-0.045004976087836115,0.004713605500965269,-0.013036774292678804,-0.04005593843109583,-0.06282410716176388,0.05320935443064064,0.06810557151610949
ADAMTS3,-0.0361386395160812,0.08695191790279322,,-0.007190701292743368,0.04136724322630463,-0.03151762599731678,-0.028090738114526413,0.00744044468602908,-0.015880022997635725,0.08980975941851777,0.07620168346940404
CD34,-0.006645549574280281,0.03524022438050799,-0.0357487172054288,0.01948820542828887,0.0391176698531532,0.003750402789261846,-0.0342847083234392,0.07508401754396794,-0.04967603047872012,0.04661839675796215,0.03382310962752252
CCL23,,,,,0.02968989185181029,,,,,,
PLAT,-0.00409672710989453,-0.02755241566511749,-0.03135354340228342,-0.010463390178940017,0.0868415269556104,-0.028839458563615934,0.02626206941514956,0.02506561199145032,-0.09062872623164415,0.0678522195552772,0.011794185182813822
NTF3,,,,,,,0.03942447853526991,-0.0033270772126969793,,,
LTA,,-0.013536577387538285,,-0.015424283954364373,,0.11004365231912504,,,,0.062307799747411734,
CKLF,0.028180357086475503,0.003252268139334386,0.032774023214661156,0.02132369634137272,0.10744409471899108,0.013019819723733832,-0.009880127279777237,0.02289952143234655,0.00037560349080221415,0.0687144440102,0.00619421566021579
APELA,,,,,,,,-0.027723710527620477,,,
CD24,-0.05088407657782485,0.001467115247603633,-0.03338872973544857,0.04932787351513365,-0.009549354077215756,0.007019423903221453,0.04447811575388749,0.018790381817370565,-0.022513567235750206,0.03952065019659418,0.07136364552615279
HSP90AA1,-0.008447574770276137,0.004928968269211617,-0.024426415720419675,-0.034276576275549364,-0.07204084971869416,0.009469534129192958,-0.03266933666494337,-0.046810217933643254,-0.07495821851505789,-0.16321912854182857,-0.029614363189150995
BMP4,-0.029905696418462465,-0.014349565545034106,-0.005440113332935411,-0.012391899364263463,-0.026856259293046497,0.0007413576594552973,0.02802222033486809,-0.042771846995588135,-0.00616990909998744,-0.01778308421749105,0.11606905978888302
SCGB3A1,,,0.026936170254396596,,,,0.0016547738773518379,0.049518737671365186,-0.01238203355127491,0.00658098279989687,0.01986173478472058
IGFBP4,-0.02847478634437413,0.004346848999044992,0.041364726381574804,-0.03195486060005888,0.04180598810113881,-0.008801855699215221,0.07748485423933674,0.05408649251209966,-0.06407819284449336,0.004416018882570575,-0.0823540768081151
RSPO4,,-0.0218834233657859,,0.0013149391618669836,,-0.018149722684074023,0.04117738104813709,,,0.04023321422291649,0.0001518483549897626
LEFTY2,0.08970764024183123,0.034072687462997436,0.01907226676416795,-0.03446422105254798,0.0785910621218827,-0.004586253995714657,-0.021323642755410998,-0.027462475296310934,-0.06567633305388874,0.015823184086785,0.105126518229278
PF4,,-0.012313356947260322,,-0.010499852739156641,,,,,,-0.023829157084765896,-0.024912738526686996
ANGPTL2,0.058253785005535776,-0.013397709339095188,-0.022826602179074007,-0.013501133843317697,0.036456716665141296,-0.042468173084216486,-0.008827647222945378,-0.1135861257529683,-0.016843753654508135,0.029276178390854696,-0.019626069341957344
LRIG2,-0.03698466087421679,0.02692217500468657,0.014704757544672832,0.0397304121182546,0.011020412355315083,-0.01436068372660429,0.0007252007097717863,-0.012745651471188455,-0.004137181901774903,0.07023273638205259,0.0803247789421173
ICOSLG,0.0005341595198717361,0.0045587000336964455,0.011011553246727418,-0.008918503384469355,0.07050219907134923,-0.009915426963237746,-0.011084304056434544,-0.0024278175254484127,0.031187105187571913,0.05802928743297135,-0.012037954817748324
WIF1,,,0.041622770516833024,,-0.07608361056809736,0.06441835905461002,0.0028434128548263235,,,,0.08876407823314449
NPPC,-0.025403295906713412,,0.07844513613693584,0.1062105139192848,0.015055562425197639,-0.027320692240041525,0.07673150203786427,,-0.02688093864011798,,-0.009413093031077064
LYZ,0.03472191911411954,0.04632990254766167,0.0788177470476357,-0.019495355040198902,0.15747497278830686,0.024315807361298222,0.010628904537625798,0.03300291276510649,-0.03986122403782071,-0.006427197088637463,-0.05104028491485472
EREG,,,0.09935012116466808,,,,,-0.03211307852515373,,0.004429211474834627,-0.028681942014257087
SPTAN1,-0.010106834198063502,-0.014913944338229016,-0.053213883480549,-0.049399459253614296,-0.04229381845097337,0.02580156990652568,-0.018907291090915254,0.014096571540361404,0.008664064548719416,0.09408111424300797,0.022652811105062214
LIPC,0.014077029421279474,0.12074811345076616,,-0.01886901737350026,0.059638311975490514,-0.017803604697683485,,0.01949539118605409,-0.03574538420516404,0.03608565212844237,0.09334167055471634
COL8A1,-0.04957064465821716,-0.0003554227219119449,-0.016489392157915308,-0.025891469424467243,0.012470589679024984,0.02310956799436419,-0.043020870914717985,-0.059759435812071104,0.05546631767109214,0.051381633606217114,0.1227203517157082
GSTM2,-0.05548671385334543,0.09363630958242944,0.044056946115146205,0.058077013408714996,-0.01974246705295145,-0.029015635406874223,-0.010123786528176942,0.01901133946674695,0.05662404301429248,0.034846934548803235,0.005408338658497468
IL4,,,,,,,,,-0.03416917582845817,,
SPX,0.00861931253349393,0.053318096028804926,,0.05695145286368214,0.002322355723665601,0.011755222825384765,-0.006019372863318542,,,0.06356171962497315,0.01260330723616193
MFGE8,0.02681201648632413,-0.012889356882267602,0.007777460292914151,0.03210156186225743,0.027952860298456998,0.012524344133767268,0.010463508003024237,0.020080296424400096,-0.0842157681013765,0.05478770243926494,0.028998676973471565
TGFA,0.0008907569246915367,0.052933010689222924,0.05223366124229035,0.023391770000333205,0.013280209263663838,0.03257208199145611,0.030336276111810025,0.0005718062864083846,-0.15573091498034275,0.06205882304650143,0.005238917536809944
SLIT2,0.08215119875614331,-0.032106694726842966,-0.02619318850237793,-0.001890130808095756,-0.03224994598953969,-0.0023951031573301897,0.01793711164372932,0.01484863614317211,0.021385419471803866,0.03644554823544343,0.006207365181552766
PLTP,0.04406543903218002,0.04015968408951547,0.01739635087538172,-0.07587196846307002,0.03858835248443565,0.07318388355425594,0.007570060338254832,0.06024858284945356,-0.04937053516679335,0.017862748686960278,0.09430741254811731
APOD,-0.007065427343953046,-0.07021950515931343,-0.02719573971183319,-0.06886128957363456,0.06650003860180351,0.05086335822918679,-0.008569556137919387,0.009401355087156529,0.01164943485107676,-0.04837796574819124,-0.09485740856943276
B2M,0.02549214834524945,0.05115852464901692,-0.01694872814997814,-0.0030906921540587115,0.07992823341174653,0.004625989957833277,0.0363495137272342,0.04283432783461815,0.059637773547480843,-0.010546923863903098,-0.05271529459693716
OMG,-0.01534649417919203,-0.00032787876460306433,0.05122442011938444,-0.005305531426166061,0.03334063399839907,0.023557654438409622,0.0022586493240270788,-0.02033738907177768,-0.03634248162654787,0.10403366057864082,-0.03074346884916594
CXCL3,-0.003403961792282513,-0.025315090043390387,0.12437753784342374,0.05392464083708102,-0.018974948791922696,-0.0016831511314936158,0.04869600351114255,0.08143442580325848,-0.06924973220687129,0.012182365277324698,-0.004020100821073578
CXCL10,0.01556305834530094,-0.0006659314320938104,,0.02734402257270925,0.058369628653457274,0.02317934355042325,0.005559967613535542,-0.013518960076068546,-0.0736481565382834,0.07915271785559576,0.11765316897196394
RSPO3,,,0.07517046225467176,0.035515037488152115,-0.02373115495936646,0.023119489738894303,0.01830996830362079,,,0.06578513079449312,-0.0320292882106099
CORT,0.03624272629113426,-0.021990875769493292,0.002323606799904055,-0.01648535917801626,-0.004094255102998331,0.055996364455606615,0.02864515131995249,,,,
NCAN,0.05433335807806279,0.009091591830834573,-0.0036654058316956274,-0.10232056316135649,0.02714031484986869,-0.03455374737965231,0.008453802175082235,,0.04134657190815811,0.04341903883693097,0.057626666492999426
PRG4,,,-0.02185207372594255,-0.012034488789649665,-0.002052651290159799,-0.011287931477318965,,,,0.12716680278539477,-0.005891997594936275
ZG16B,,-0.014817123812998429,,-0.013967496055251364,-0.022195262630810526,0.03227391812373739,,0.042307257615358536,,0.007162690301718368,-0.021253121009035935
