,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.01899026961226499,,,,,,,-0.01636014391374916,,-0.005369105925467704
BMP1,-0.01121043269987079,0.07196479910428283,0.01680960072360004,0.10441139133617464,0.014626207679044198,0.08030287326308266,0.13965831301443207,0.0031586470869630215,-0.049254784082870956,0.004129116855977324,0.015834875138122227,0.04071790446401253,0.01757695502650684,0.00037342255190034974,0.025305374642579922,-0.008317499750505703
NDP,0.08430869897708694,0.016659762448173042,-0.03219072419821614,0.08799363347862225,-0.01001841106766612,0.07738943705080606,0.06960065233404496,0.006533958294493576,-0.05169462863281779,0.0015381622461430556,0.08100355247337768,0.026082491773844235,0.012051883583195814,0.03095154783503472,0.02139407925477878,0.07286200415213998
TNFSF18,0.03604123730409931,0.02205086648759094,-0.030668118302308436,,,-0.013800787064850417,0.002293937278429834,-0.0203682192871878,,,-0.016418687013562826,,,-0.0168719276447512,,-0.004388854570462074
IL36G,,,,,,,,,,0.013775075939922938,,,,,,
RTN4,-0.010561909074235664,0.062238488646051936,-0.012289402415125598,0.01913487630008938,-0.029164959314312427,-0.05036758536868179,-0.1660129922128804,0.038928268949459444,-0.0229729894869155,-0.02968273419424822,-0.08319324174233801,-0.0972115957074984,-0.028410774522513522,-0.08150118640601857,0.028557794497720567,-0.057478894333591324
HEBP1,0.007021806932989033,0.03167517985986157,0.019191216524482257,-0.05933603717208732,-0.028157920634758467,0.01100443431303691,0.11476677662447311,-0.016208189620586195,0.0368509582346776,0.04537437701796391,-0.013456947087357476,-0.0029134251737794625,0.04560115251655484,-0.0015016395755701318,-0.034668301187631846,0.030637755472764882
WNT7B,0.01925609836153589,-0.005354292102155023,-0.02422462680510464,-0.014643152879875618,-0.013104520946989159,-0.015226096774870612,-0.055499479431011176,-0.03750219855408747,,-0.022576404142534777,,0.022069010639138815,0.004944285802725876,-0.020988391314566725,-0.033176456997956336,0.0481465553676291
PTMA,-0.08922893360082035,0.015504978127794306,0.0690514315968218,0.07995337455010704,0.026639584842906988,0.11605746473622647,-0.09510798623324954,0.007967306455455845,0.041001050084239474,0.047817441398667004,-0.06751286514347216,-0.05949104594529337,-0.015012307325159407,-0.030702192567054205,-0.013896574304474638,-0.08636163444475718
FASLG,,,,,,,,,,,,,,,,0.06145317065326338
CEACAM1,,0.0070844669547908915,-0.018590944059725983,,0.07548276504085405,,0.04758515786487096,-0.032034356535630575,,,0.17101167743746284,-0.012244216893776,-0.021606664733165897,-0.024243198572420178,-0.022019697017996092,0.002142265949272259
PDAP1,-0.017606125591129763,0.007752853113125307,-0.01027566467311988,-0.03621037910227474,0.03879578423158747,0.04910438544798316,0.1025148904413107,0.006060873996622958,-0.03495112387033141,0.04519669460783993,0.013941947484293771,0.0010382074967959357,-0.029735192639121045,-0.048799667736888375,0.024966557378354154,0.05395229502269099
QDPR,-0.003858430325627441,-0.05872970298427225,0.0330825646642634,0.060328237915921706,-0.05778343016718418,-0.04614717438444844,-0.17484538374666372,0.051301870125563864,0.05055608220228278,0.00036389392804409785,-0.03177240847254739,0.027520146637207345,0.02482040227578276,-0.029970220413955702,0.04007791095191352,0.025015367808560215
POMC,-0.014401525105439938,0.0099478058831873,0.1352018446148274,,-0.02065808814058296,-0.015553822925969591,-0.046235571220690275,0.0603802108667382,-0.010303676094645189,0.005789277256847069,-0.008228705444197635,0.038824443929697465,0.05777143414777062,0.029331873105340828,-0.015359543332168052,0.04641115003508375
CCL18,-0.04514917347425349,0.01056476628437552,,,,,,,-0.058852883353028435,,,-0.01542565536281288,-0.022243760218138127,,-0.01643541035582556,
CCL17,,,,,,,,0.029731378331169466,,-0.018764352773273686,,0.09407469461320195,-0.004479912804964509,0.07514704334921422,,-0.018127206227624194
VEGFD,0.0628245710597031,-5.5599284871366555e-05,0.03420516242760198,,-0.00182540243980653,,0.0976169340890413,0.04895773715939628,-0.01920352828840072,0.046243666501136226,0.10451037284405273,,-0.021606664733165897,0.06390105857916598,,
TNFSF13,,0.055722979914490274,,,,-0.013383884446318382,,,,,,0.054076926160169084,0.028265512867562282,0.019261679823117994,-0.024726643935289998,-0.015185644387438375
WNT5A,0.050516296512692425,0.04685052736804386,0.03717801783480449,0.09188521956752359,0.01799314804121895,0.10070588680667862,0.14515993333901553,-0.0024385682953209998,0.08138825043603307,0.06315290166121493,-0.013775771455552097,-0.002690197428697719,0.022092973277544344,0.008906598360663464,-0.025848473471322346,0.014971794450277808
CXCL8,-0.0515814188712311,-0.008413687490861379,0.000968558566345412,-0.10589171552655455,0.040632351402269604,-0.019037707557444147,0.06353919130990603,-0.0133892107268079,0.009052258660282602,0.03262188694237005,0.017303151835389906,-0.057000942542866154,-0.03579582909355058,-0.030624562775453112,-0.0009750808607783422,0.035726806751210774
GRN,0.013104999020076237,0.0732138830506973,-0.02388389575167748,-0.0069190013953951985,-0.013113452819837184,0.025745079697265603,0.12166515142884567,0.06519150436913597,-0.03995435306381126,-0.015480172812117686,-0.0507294366889315,0.005094010780434544,0.01646442249935446,0.06795066433732672,0.007668237607129106,0.0306523761412645
MIA,0.1156672052492464,-0.004091701161627239,-0.023680900918303143,-0.01597134785871752,-0.024791901655222097,-0.024200644311127447,0.06298403902131562,0.0054808721128023746,,-0.0029837556591096955,-0.010044399132164412,0.07876030062079355,0.040422549066540144,0.039475332250392306,-0.006856220332212639,-0.01469110949462981
COL4A4,0.009312023581858864,0.07465941145948678,-0.005822777968136393,-0.0320389081963987,-0.03704491474424745,0.015716580441049476,-0.02558327576187036,-0.0047936226729769086,,-0.02671679048024281,0.008608041705223233,0.03547544136589475,0.06251864681484424,-0.03322669459617648,0.08681993347007705,-0.003127115556256286
TAC1,-0.028272607927575636,0.04341994313394831,0.01417132784215712,0.15187624975722427,-0.00665545366125237,-0.030905155058728515,-0.13118158714983194,0.05862817728285422,0.0348289273524542,-0.010458363138943026,,,,,0.030800083296249697,-0.023830055838123854
