,UKF259,UKF260,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01497438726559543,
BMP1,0.016139035810177355,0.003623741764013769,0.03204725402217014,0.05580258806162645,0.007018797579107125,0.00535217351877874,0.017219123048883317
NDP,0.04598360148742267,0.027916986376769166,0.026558442097182937,-0.04050735411889524,0.04528052934264205,0.032066930221476886,0.07090669846728861
TNFSF18,,,-0.05767445053547504,,,0.024547095720834057,-0.010768730296136326
RTN4,0.006539428680897617,-0.016496822471866235,-0.09246401922248554,-0.07479054572961365,0.00745613260351672,-0.0250486069316347,-0.04519362532102694
HEBP1,-0.012582716225912149,-0.035418028316731125,-0.01992056304287715,-0.08301181711294325,0.0010584190401690806,0.060118595415759306,0.009348786588193953
WNT7B,0.09521117271537503,-0.023097408565666354,,0.15233018427533762,0.036935007570434754,0.023365677260774036,0.06361706817766162
PTMA,0.020485165892719134,0.0023058211337291315,-0.04127250203331262,-0.07870944443663797,-0.037402158436424505,-0.08450440876029766,-0.04298673667731072
FASLG,,,,,,-0.012987280966864882,
CEACAM1,0.03988165118309734,-0.02460862431993518,0.1476682920351435,-0.030516290973672183,-0.01689306958701784,0.005216347556230023,
PDAP1,0.0355324673612155,-0.020758692879307192,0.02266452612901419,0.01139645001209917,-0.0018343516287125444,-0.0056966911999685515,0.013013558126151889
QDPR,0.04172016417555071,-0.06925059838140506,0.00432445965881744,-0.03344610668032415,0.05674841896802028,0.04352388208524078,0.01684373419898708
POMC,0.0071240652829403185,-0.04204236282496672,-0.00739063156984204,0.007615985825010232,0.13665396669174013,0.0814191962330769,-0.001940982582497549
CCL18,,,,-0.032430637349215585,0.03401907568012975,,
CCL17,-0.01949498182528406,,,,0.00961416478043723,-0.011771511470013986,
VEGFD,-0.021719562578760006,-0.02354413845432078,0.08429368366678755,,0.14791387869339337,,
TNFSF13,-0.013447202152504133,,,,0.005714275219967218,-0.0191806954122475,0.05182226768654287
WNT5A,-0.001839480330629126,-0.017544574463762345,-0.043848176696692616,0.10089972129603213,0.0014956732057227354,0.040079315031706635,-0.025463929666197625
CXCL8,0.009673670548015384,0.08091788867040038,0.03800998241903911,-0.04397527986515787,-0.0912112030046943,-0.01011414195153628,0.0020670005900905297
GRN,0.007146037824353151,0.01955839546336236,0.026457028023869244,-0.02164540718280776,-0.013088820491727254,0.060487344159591096,-0.03142937677792153
MIA,-0.03289909324193366,-0.0034280320265756103,-0.003754389372669655,0.10022728870288662,0.06297313337122667,-0.018509176859712654,0.03248756637883138
COL4A4,-0.004831007488063793,0.06811276092841255,0.02505364212467224,-0.041002458668144476,0.05366595958482522,0.041920915314562594,-0.018922756101726387
TAC1,0.016156042287860325,-0.06520530472873613,,,,-0.015474848805000545,0.08554131924182866
RARRES2,0.025186232828921084,0.0833943368061583,0.047156298436979646,0.07305674612135292,-0.04787255057872776,0.013954183603237963,0.14103329957587188
FGF7,0.0020221337735286753,-0.010059280882585134,0.0301628455767548,0.0166918546762952,0.011200722414575657,0.07112030617127929,-0.030300017594600777
EFNA2,,,,,-0.016055732106260722,,
HBEGF,0.07813014649145567,-0.023049079425782756,0.06311741474384695,0.006698091597713935,0.011094610643200166,0.001964784735353771,-0.047569323839127806
CSF3,-0.010445398845100484,0.020387831442466444,,,-0.035959561988206774,0.053491030696096,0.11778106467719637
PI3,-0.010181180324474218,0.013551752742017236,,,-0.04927752680419551,-0.026927144160885933,0.023230066516710342
PCSK1N,-0.04115814787121432,0.05639461099909682,0.034283242938806024,0.06744262552899609,0.014592563038107756,0.036991501629892065,-0.06888252169517389
NTS,,-0.017953330707941566,,,-0.019560862780782142,-0.018353210280942153,
SFRP1,-0.017010125193604404,-0.012542319335476919,-0.029364314785722243,0.0858877041895764,0.06800039183047149,-0.017926728170804575,-0.0006652630714855291
CXCL13,,0.0017007273655410225,,,0.022718910121981965,,0.14681179052158633
MICA,0.038292943508101536,-0.04614442399283713,-0.09778832862147692,-0.0335427737877903,0.017948525570041007,0.059644643452475714,0.02101782177512344
TG,-0.002159243898637476,0.006542296719135717,0.04079416094776804,0.03434717756497319,-0.0240913408381436,0.13086637216875976,0.0652908399633175
ADA,0.010833114321433352,-0.02313611586128398,0.08087735585643675,-0.033706377676497506,-0.042941497898455326,-0.033326340905340285,0.04628662002033905
LAMC3,-0.007091337252436794,-0.005663553181304735,0.13072121716233512,-0.03734135774551242,0.036946010077850484,0.0044390408081220155,-0.05047289265667238
CCL7,0.07297759083638358,0.028933421340652608,,,,0.018690111751384315,0.045122245323990104
NGF,0.06689203129433587,0.034298464683949106,-0.028497565809404227,-0.03266742790015364,0.08459841682055538,0.048978445974219846,-0.040949248897739425
TNFSF15,-0.014778806190062213,-0.011282658760633956,0.0076924095246640335,-0.048671839632784465,,0.029906811778185247,0.013805853176835253
HMGB1,-0.025661905345278634,-0.0416571211478397,0.016314274943076003,0.023313359800407236,0.014058425657797876,-0.032530521226697924,0.013865996547405803
ITGB3BP,0.034061129475162544,0.07864949874795076,-0.056279582812337324,0.07568328654504229,-0.05878567760726821,-0.013839364394005113,0.00041832781008041797
AANAT,0.030326875087591524,-0.02354414181537923,,-0.03377786823121547,-0.021606666790081074,-0.013741079974682447,-0.02206247964272274
RELN,0.0017248452967395863,-0.012071931422420952,0.04637417541482251,,,,-0.008782637715692128
IL15,-0.03402833318059957,0.02656582195893337,-0.030398566747521834,-0.01989270384489848,0.06509045788134686,0.02427349351068977,-0.01782659427842823
BSG,0.004722915935460883,0.04407335182787317,0.06697045238657985,0.05692313596878715,-0.016321320458916946,0.01072453707405391,-0.07955833968740736
ADAMTS3,0.07894201838089322,0.02469053143623704,,0.028029538576943017,0.058673513867884684,-0.00792036838684421,0.0498056201380772
CD34,0.005710432239571517,0.018189004363866074,0.11114280766136064,-0.02086776279460909,-0.016677807489916513,-0.03850166762195263,0.04806396026947875
PLAT,0.01870705323271303,-0.0626826574345231,-0.026091422842594792,0.06865472516762548,0.0933576849635891,-0.024385028211821168,-0.0821865776128544
NTF3,,,,,0.11234973700960628,,
LTA,-0.017010124397844013,,,,,0.09726203190257493,
CKLF,0.04819190726012339,0.02011565245752544,0.004561363378240311,0.006564629261009215,0.027138564758869308,-0.014353733661125325,0.00404335258906498
CD24,0.010688298209640724,7.575410779398836e-05,-0.11548710452628964,0.03645879874333213,0.012278634206600494,0.07737255210100791,0.008355237390825417
HSP90AA1,-0.07307807538323462,0.008084735833952658,0.015276118859026374,-0.05327492251300932,-0.07564317889821115,-0.02914916482503275,-0.03207845475618004
BMP4,-0.01035650594175691,0.0642480116109939,0.002654526273071672,0.03558973752234824,0.047475046121455346,0.03403343373660178,0.013539029239964381
SCGB3A1,,0.05076336121494458,-0.07341699052066546,,-0.0019191750437106184,0.0030816925582650687,0.04125592740034968
