,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH8812bulk,ZH881inf,ZH916bulk
IGFL3,,,,,,,-0.014158626041441583,,,,-0.013135320557879892,,
BMP1,0.061676337434556056,-0.03254989369446872,0.006260888413056516,0.013108243964669848,-0.013060204862334992,0.01361103152393226,-0.005041528727878455,0.01680752231495386,0.018558540076592314,0.03647819713388563,-0.08813009143825644,0.04742959960885686,0.04603489025647401
NDP,0.016585630113844854,0.01533955349945756,-0.06007924938436582,-0.02050757082411098,0.015698928788845677,0.0024885207611330664,-0.018894045348125138,0.02423050039565799,0.0570992445753719,0.10542864919877944,0.03679329047382915,0.06291529589672525,0.045212027989560186
TNFSF18,0.08551648365148651,-0.024830497528321057,0.03951482478627986,,,0.07184605445808706,-0.02102513461793923,-0.01629866243679805,,,-0.047841890570580956,-0.034106830396555425,-0.046366499390843155
RTN4,0.011293794219829262,-0.02672784823379581,0.012599202996666396,0.04964906607039784,0.05872498902215265,-0.014959899115671102,-0.05937699760741659,0.0003521408131379886,0.01009008267616253,-0.024148233290155148,0.08714955154205802,-0.06396892838363688,0.03813894982365952
HEBP1,-0.03705739329309597,0.004292253716009298,0.005065527655920406,0.030509930642013423,0.004526123935245567,-0.0009159571919652595,0.06339697279238045,0.023936143553904717,0.0713941302545955,0.018874293444299164,-0.12132180585909424,0.1098931644895641,-0.024396017584355577
WNT7B,0.0578058678764439,0.10262087919450331,-0.039765217371753654,-0.03960806305306181,0.08214236493152238,0.01314709942624132,-0.027993439208144594,-0.028326821625249562,0.055913795944742994,,0.06215348827993095,-0.0033120472228285918,0.049484294803985945
PTMA,-0.010357620180278294,0.002762310140450314,0.04583122089252549,-0.0005625905294659357,-0.06595011029884223,0.021651461081750437,-0.03562524781733433,0.016945885862552117,0.029164868949233064,0.028809143315719068,0.0743828177364207,-0.0017596631124974543,-0.05103391459055109
CEACAM1,,0.02809057099119204,0.03294768231164579,-0.025653679387074076,-0.016402715927976246,,0.015861965315077737,0.06346238580875978,,,-0.06221014753216589,,
PDAP1,-0.02935496187605728,0.005291239945329154,0.005552952422030784,0.030730197859491538,0.010202472807050647,0.021331373527000527,-0.0005440890285330499,-0.01302126063066282,-0.021429663813364527,-0.04036675163772233,0.06283014785168259,0.07652691907793231,0.030196756002626318
QDPR,0.03459425471308242,-0.004523218724641394,0.05324300160408566,0.023007559185705566,0.09621050240781431,-0.07485216888334029,-0.06466089683201565,0.040505484349437806,0.05208842158493516,0.0892160569617369,0.08732200419668476,-0.004579535639262535,0.018824310649131478
POMC,0.04661294167245435,-0.03745708222287814,-0.008955959010823685,0.015711168846603507,0.09012956200066952,0.02783729428715339,-0.035665430775575345,-0.018911679023795123,-0.04298836541327524,-0.02350762979129622,0.02760194879535333,,-0.015649360385476513
CCL18,0.013009222363626673,-0.019721812893182016,,,,,,,,-0.06501821273664425,,,
CCL17,,,,0.01609957028173097,,,,-0.02032760531079388,-0.005302943382852709,,0.025891417835226384,,
VEGFD,0.04085575303092992,-0.01972181915578132,-0.034150694443360954,-0.029534094397409685,-0.015693189908316776,,-0.007073546071291561,0.031025872978522995,-0.014510831123591432,0.020541735313178447,0.05387884015353192,,
TNFSF13,,-0.014882717604416996,,-0.018285402218067206,,0.02858542974115785,,,,,-0.010436789651993357,,-0.0073886094806198295
WNT5A,0.06337616442851672,0.09578343012732145,0.027457357556617015,-0.0047121846300789225,-0.0003136872385938697,0.03239988783142633,0.06992092012678897,-0.042286242523672725,-0.04080124406236468,0.019599653276007874,-0.01159322397252114,-0.02689309416594066,-0.0007580944749327191
CXCL8,-0.13415694323152524,0.048180456854957365,-0.018547219798224338,-0.02309908402677384,-0.02839940007461217,0.00801564730382978,0.008769298110392088,-0.06006840779218308,-0.013513116894201765,-0.026040306577940632,0.036144010601287815,-0.03695772540465635,-0.09077491596183969
GRN,-0.0309594012791571,-0.044350036549245506,-0.031307541966851156,0.020667605308610313,0.02028063297586969,0.0011988113987088807,-0.005538596436648059,0.0023734573231335818,-0.04525867218410444,0.014878893368712351,-0.0343614694943686,0.03516453497554014,-0.014263101579196337
MIA,0.07470413020559644,-0.030342026152089592,0.0008879788207141772,0.015097484519116798,0.00393898215634603,-0.02975265711255827,-0.02015991537521202,-0.002037398327692641,0.05172750304586743,,-0.03683073476885604,,-0.030286224529568417
COL4A4,-0.03277165180574765,0.03486785492809811,0.013580003241606286,-0.03868900072597208,0.003459140512034447,-0.015655597013501606,-0.013952275037456406,-0.021222648853571856,-0.027723751835647365,,-0.009849932190964177,,-0.038283296891490494
