,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.027965350691845057,,,,,,,,0.0698066308442216,,0.08049781447792388,,
BMP1,0.045332251736852354,-0.013954933332159773,0.040788967190351716,0.03986463541157987,0.02102377094877376,0.027756493116120752,0.014703183854761213,0.09188937134793092,0.10809258028176427,0.0035745381946554067,-0.001836471403037873,0.039242389574087294,0.011866165928782871,0.028781345914216893,1.1400661465833056e-05,-0.09727204833861393,0.03392833960843032,0.04412925782176134,0.0004688724870237762,0.06173329553443138,0.01245130309988193
NDP,0.008052609748208695,0.10894684868042058,0.01735519696106429,0.0490397756323628,-0.020003113012496566,-0.0154322209748169,0.012622021983316535,0.023283321548373818,0.021361995523224205,0.03753899177561821,-0.0015525456442885232,0.028576641231251296,0.10585616206322322,-0.05730781281147062,-0.007178222945238144,0.023231265252553177,-0.026051455293491007,-0.02542508766587569,0.03679882082371906,0.0024169697246014246,0.0033843258312888694
TNFSF18,-0.020895686901560087,0.06920591116961149,-0.02723213112352285,-0.010656071887162577,,,,0.09014894824965972,0.011919922150096593,-0.02045230737433975,,,,0.10300439451869946,,,-0.022556785558210522,,0.04759261921657668,-0.026674489673715173,
IL36G,,,,,,,,,,,,0.07775905506887014,,,,,,,,,
RTN4,-0.02854340019084861,-0.05434557072785661,-0.05337110255124569,0.03611091700606856,0.00406800419083979,-0.02635311370709701,-0.03306075550007372,-0.08865078889409818,-0.10275520162395112,-0.013727408816862524,-0.019452431643631474,-0.050483940811033065,0.01509493336340874,-0.05375658255186381,-0.07176846477670466,-0.1041036304373916,-0.013637998464520917,-0.0033358305665683393,-0.028679946685355753,-0.027312409350602865,0.09619628014198484
HEBP1,0.05261598251109959,0.05163060752258527,0.006113726039680481,-0.04934876869664265,0.0069388312056713475,-0.025772863365021496,-0.03479243736546177,0.056318832625088515,0.0505117250074494,-0.003970267790197578,0.09563114653800318,0.020911429527552462,-0.007756417803774202,-0.04551983266293059,-0.010228932159966727,0.021309813252366805,-0.014530566914836757,-0.048845329986435926,0.0373925942128478,0.004630738713043456,0.0674245542575076
WNT7B,0.007542335830321905,-0.006027717580805052,0.01090545427224036,0.04660842858477252,0.05337271241083921,-0.006347698295821219,0.0249221249937378,0.02525010000304757,-0.0669398921969206,-0.017825801734863426,,-0.015966940726967017,-0.06734054057302677,,0.018898562244219395,-0.022960529332278382,-0.004014564488293473,-0.018035183511597847,-0.036507979754997706,-0.028966285221337477,0.13582835812950214
PTMA,0.01693228173334419,-0.035231123096760394,0.058635629745116324,-0.014277488441700114,0.10990551289919598,0.018024061674105096,-0.056609512280521634,0.0285284914588445,-0.06245056387455829,-0.04448730790262023,0.05053770371699715,0.08611948389292833,0.032088579485381276,0.016765494486571584,-0.05585000952286305,0.03242719952354419,0.042009272870604734,0.03683801530990156,-0.03760921433747495,0.016541962584028288,0.001237537806971848
FASLG,-0.018408450893181633,,,,,,,,,,,,,,,,,,-0.014834672692968976,,
