,MGH258,UKF255,UKF259,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.038363070305915806,,,0.03699534606822107,
BMP1,-0.07165722641000644,0.039756024753390365,0.030257078124418395,0.017964327463141274,0.22714705196442547,0.08104442340420023,0.1728297052272039,0.01466334732741334,-0.006529445075450695,0.06632044293522027,0.019996219821999745,0.1458056302358149,0.2588199945938258,0.11243061777254774
NDP,-0.040686713639693,0.01510567455301974,-0.001616791050556951,0.15454634252934546,0.1146324277964128,-0.03208920476256754,0.049925232787693445,0.09909589872508882,0.12074231189138683,0.038083350130860255,-0.044470677416000096,-0.0982714369974532,0.1464375364835186,0.05988987613436723
TNFSF18,0.0601391508507541,,,-0.04739016429794637,,0.10395953892958183,,,,-0.02710221974055356,,-0.055248624926501795,0.08662943658096289,-0.005698706754723118
RTN4,0.1329551603585471,0.010746610409643104,0.012066150100194479,0.23002075339864256,-0.05874899666720056,0.016313161922775484,-0.04200953145375559,0.027453926722180468,-0.048823054323413384,-0.12295207132955173,-0.03098975031022956,-0.025742740746539365,-0.11366192164975066,0.0009336019030037521
HEBP1,-0.04811269574736433,0.03683640710192537,-0.005076835805268068,0.10902088645709881,0.03931999909000268,-0.10459246791571047,0.022760217600027246,0.04760128107578583,0.04897763075639968,0.023602025281696516,0.06506186133553572,-0.04180331183556708,0.11837331456024777,0.06332726616213703
WNT7B,0.05188706027532767,-0.02740389408325684,0.01205510677357274,0.10308117249771143,-0.0901377279132553,,-0.007232634584633305,0.07697486601491974,0.06001224135326055,-0.03103951349458417,0.0067332070548234094,0.04098890864557783,-0.007759377208508726,-0.0016753604124708187
PTMA,0.06029397815923398,0.008472953249109145,-0.00552313185916258,0.17839672075238688,0.011443971100879934,0.07368665874605365,-0.053413292166156846,-0.028383206404731427,-0.053341289053500406,-0.006644070494280837,0.042028799898366276,-0.02464724285865901,0.022151045844239076,-0.09599142003544694
FASLG,0.07647797729989611,,,,,,,,,,,,0.06978245948119167,
CEACAM1,-0.0021067568059857625,,-0.024927737631580998,,-0.07941750336348784,-0.004482868863517062,0.09428062673626098,0.03597221176841124,-0.015918558409356704,0.014077931908475247,-0.012158333717559274,,0.01583873509284681,
PDAP1,-0.15352350244583082,0.043031782873507625,-0.06433900067975494,-0.04766680207879437,0.1056925652987135,-0.04123992565835449,0.06472570870356996,-0.032610456874301016,-0.03883191825292803,0.025318657818207756,-0.005189932596676161,0.11770747917996796,-0.028351717479257955,-0.12083071805345857
QDPR,0.26650394476905953,0.020088563606165965,-0.06309067383716675,0.139296361896806,0.053737691109648225,0.022808231437482285,-0.1089776552580992,0.011109115970499983,0.10175460063446921,-0.0194625405651216,-0.06329995514177322,0.034930323721993575,0.09451005434360783,0.05726218463215066
POMC,-0.07096051355024471,,0.054204339196208255,0.10749785227794946,0.0729236288018988,0.01595074985335949,0.08923230760727038,0.0837423543496883,0.07764428772756098,0.05280456528307474,0.08734179517105738,,0.12474448096503722,0.15986824867196917
CCL18,,,,,0.1469402551632558,,0.03974904518527985,-0.04241946211999422,0.015346669915712378,,-0.06122173322016455,,,
