,UKF275,ZH8812bulk,ZH916bulk
IGFL3,,-0.01799641328509159,
BMP1,-0.034748534071466525,-0.03252228572987831,0.041333192106585696
NDP,0.02840892906117826,0.018553143296791634,0.03718112233730602
TNFSF18,-0.010336035924290615,0.036234860330084426,-0.027630975219930718
RTN4,-0.0288097200936496,0.026289986498087448,-0.04515090043296748
HEBP1,0.020367296712905502,-0.009503000930017125,-0.03255061204808699
WNT7B,0.028211685264339977,0.025753470024108157,0.06978272331035483
PTMA,0.033963169666470255,0.045249732925450266,0.04770696265789487
CEACAM1,-0.016256122113339978,-0.026667896270469515,
PDAP1,0.019305751229862684,-0.0031277593486009566,-0.00789255478290593
QDPR,-0.011226223950171003,0.0020293205412036477,-0.05575947624427132
POMC,-0.011993118732079285,-0.02570425052428607,0.04711604679661483
CCL17,-0.012891049161972996,0.020193218049586556,
VEGFD,-0.01373432254214285,-0.025024905683869843,
TNFSF13,,-0.025444387146987088,-0.03005855976565004
WNT5A,0.034269879102738474,-0.06672007430899925,0.04495375201726712
CXCL8,-0.03080934811624481,0.030625114146204436,-0.0062235164929091615
GRN,0.0322956618770651,0.06590132346858839,-0.07241957467835768
MIA,-0.02533752764948001,0.004199772402632253,0.030895440028250756
COL4A4,0.026820927456801945,0.02077640254162632,-0.03359499194052628
TAC1,0.03954776994097721,,-0.0010679817890831948
RARRES2,0.09188895505568655,0.006958305439445515,0.04329537924625127
FGF7,0.009355326158893845,-0.01716588357993203,0.031541086828535785
HBEGF,-0.02251338765498389,0.050502404402166245,0.08968674970900575
CSF3,,,-0.02102591171654658
PI3,,-0.02016015285858088,-0.034219588322310625
PCSK1N,-0.047239499526892555,-0.0082691977949008,-0.08490110979646717
NTS,-0.015374947906092498,,
SFRP1,0.03066694428045817,0.029481692343886465,0.019566642693156316
CXCL13,,,-0.028663989429236834
MICA,-0.019028689252866344,0.07290962840920183,0.012851840200393237
TG,-0.012987244188354697,,0.04938633698001098
ADA,-0.033711601654404684,0.09936174507695604,0.053800135789977784
LAMC3,-0.007309622901366957,0.023063033616113802,-0.010647658193322893
CCL7,,,-0.005263872083158978
NGF,,,0.07478649975449025
TNFSF15,,,0.014849399434859085
HMGB1,0.055186997712968755,0.01463971091544307,-0.019200178837936274
ITGB3BP,0.01122256484235389,-0.006780457294878982,-0.018900101978284276
AANAT,-0.011679504596278659,0.0045934498908490875,-0.021577392838138837
RELN,0.0762473617572886,0.03775002632072144,0.0036090424445512745
IL15,0.09964524027300681,-0.03654987727646476,0.004255603160460887
BSG,-0.031100395716026002,-0.018559220968602696,-0.02833286193894562
ADAMTS3,0.0063111804142720685,-0.045475620688935535,0.10763110525861232
CD34,3.319748544182865e-05,0.04041141419817134,0.019854029574964623
PLAT,-0.026352496640840967,-0.02841747527540936,-0.04427693276762532
LTA,-0.011248580120954857,,
CKLF,0.044809970431657485,0.028764660171524285,0.0617800585629858
CD24,0.0007701353703112564,-0.05856012622221039,-0.01195719465234635
HSP90AA1,0.039497094290379064,0.05332835757491952,-0.040161888053660735
BMP4,-0.0042471075696369175,-0.021324134572152133,0.0411181715162534
SCGB3A1,,,0.1136359413995732
