,MGH258,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
DCN,-0.01982336911200759,-0.04295369663706088,0.12798882906170686,-0.034632357160369553,-0.0368498278680226,0.008648116417611467,0.05100591989277731,0.0024185629662540234,-0.00918147629282468,0.0383325794282049,-0.05976053259534897,-0.017293260818755058,-0.07416296269386582,0.11644539612763877,0.002290793813820741,-0.05364071077845864
RARRES2,-0.15515690613288696,0.04513430025373897,-0.026015823361006885,0.04159140511622145,-0.020764101575229527,-0.01360013835851259,-0.002787182651149079,0.07859981131909624,0.031231101492367398,-0.013505077991738506,-0.01194648807950357,0.08826968759670237,0.02524103652184902,0.03721460723713361,0.052733787998847134,0.037742528426854154
SEMA4A,-0.03172477570158236,0.02269803348336613,-0.0012912056253589507,-0.042258735591499924,-0.006545001267896832,-0.0024594648133748395,-0.010360759025485878,-0.1395855855600786,-0.06810971738138119,-0.055700925047765436,0.17631879285835567,0.07962134314369791,-0.020554686268428816,-0.042085763010589805,0.007068170659814979,0.0013821947847406457
GDF11,-0.027048268575049186,0.01717199233811624,0.05217533391968057,0.03839155927298792,0.036855132148933586,0.029915200123138804,0.05922656043063737,0.06626290869234734,0.060962999422304695,0.005135271990805057,-0.03032090126916672,0.008243860839039005,-0.03911300110459664,0.05796924083346164,-0.005334192896017324,-0.020802416880039944
GPC3,-0.036638861219035534,-0.019243212516256394,-0.030791471428679777,0.056537860619025486,-0.027991829355804784,-0.01814972230995842,-0.004111597525278757,-0.015238925743110558,,0.029032960736518027,,-0.04869393801258872,0.003234403367563924,0.05424946327986097,,
OSTN,,,-0.014739451051152033,,0.01439142921268796,0.02114106892714529,0.013914820640025931,,,,,,0.002145273848703234,,,
GRN,0.14380805071242078,0.019353081130085065,0.0858136855219697,0.02079053593361939,0.05004210200231741,-0.04816877084652316,0.06439821466821878,0.13493492401878332,0.031043518521274197,-0.006609342916855403,0.025279614421175867,-0.05126479239400934,-0.11078353878389775,0.0525718028810666,0.09183094001596981,0.13325532218388972
CALM1,-0.013069365932976107,0.023821500274918906,0.038278138796943695,-0.02988140518465703,-0.03510477049116024,0.06871217605622923,-0.021603214592194952,-0.23736089713634104,-0.04923367065689053,-0.0809040400321572,0.019604527117691298,-0.0654952376117265,0.031049857364037783,0.030859192633226864,-0.03803806995546931,-0.01827917500235154
ANGPTL4,0.05096889979877694,0.020093576083185228,-0.054827308682667594,0.031145600810208375,-0.03958246177705368,-0.044621194068981414,0.014757306884637162,0.07898570303803966,-0.01160680439018391,0.04417168689444544,-0.006535352381377915,0.05392312477123805,0.025258999979238986,0.03046250506478365,-0.08686166788574078,-0.02269384152218578
BMP8B,-0.01281569758806303,-0.023586283014251138,0.019382578119516405,0.050631541550233326,-0.029833618325306167,-0.02549553849792213,-0.0033953166110323066,0.15667589697166287,0.15142501439609415,0.06183054093089556,0.0129137231506063,0.16079580739832405,0.025961467003463887,0.02319677361661414,-0.0058488489361554616,0.12649014825151678
