,MGH258,UKF243,UKF259,UKF260,UKF296,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.016603065773361837,,0.006281461484232455
BMP1,-0.012481467107568313,0.04684729379575502,0.005798858510747582,0.07763961312157745,0.09964436082863093,0.011012071523566301,0.021405697672811905,-0.009841923879785913,-0.01393528807249052
NDP,-0.022255310555965475,0.023293286377089457,0.002303917967878135,-0.0017005009104849474,0.0138746389280385,0.012022157422397615,-0.012824833954198395,0.038468725088851616,0.10314241255520322
TNFSF18,-0.018128369343905985,-0.02154481249045311,,,,,-0.017122448670747123,,-0.029959413956807283
RTN4,-0.011877527440193165,-0.008033589827034088,0.03388567675061986,-0.051777772786028776,-0.02284970077433337,-0.03931833246574978,-0.02937527200326476,0.0736570200758424,0.01685233129903457
HEBP1,-0.018987056085028473,0.016780823117720653,0.014836139816122421,-0.06645598302005376,0.00019825945688111953,-0.0052345472580963524,-0.006458096350129751,0.03694698877669637,0.05779231441703275
WNT7B,-0.01597052559566408,-0.05028583184846963,-0.005501713298523151,0.019609503116522937,-0.01898562901796102,0.015313091270200783,-0.006979717451566767,-0.02701474976800671,-0.026359135391702614
PTMA,-0.025130428269024452,-0.06235801562625253,0.01914981529109333,-0.006880892773989574,0.039647795254305576,-0.110370672090889,-0.02307608150954027,-0.02348942578188824,-0.06055221910138281
FASLG,-0.015970530110490752,,,,,,,,0.01155302829287524
CEACAM1,-0.0007055756848837752,,-0.032102754048700013,-0.014777318299901527,,-0.028158562705595063,0.01557046089037877,0.0029769547625386793,-0.021432399816523867
PDAP1,0.04923575919517627,0.08213391166289451,0.016063329154778695,-0.051739502421918646,-0.0006921629994358052,-0.008698958932051854,-0.029389633134478423,-0.06675214132864746,0.014681711688304223
QDPR,-0.08613398248082602,0.0715404016879864,0.015044869048152826,0.06298503521470994,0.040735516025377,-0.08045753859047958,-0.006528989849320547,0.031361214014082914,0.11608007742334882
POMC,0.06359764303882576,0.05860830598232397,0.009951823761118563,-0.029735458843405324,0.01837188275799419,0.09173943101826894,-0.034703264616768106,-0.029331259271496556,-0.03815971261659504
CCL18,,-0.028893365055241184,,,,-0.019964883929448833,,-0.034648626153768944,
CCL17,,,-0.018607153307017864,,0.024602847745251857,,0.022996767262896525,,-0.01396199338718294
VEGFD,,0.09322337313776262,-0.020730423566756362,-0.014138101484795482,-0.017236717445643965,,0.06528286409790339,,
TNFSF13,,,0.07665389409589089,,,,-0.023474390517263518,0.01765677733741408,-0.022749902864177524
WNT5A,0.00767874143360322,-0.037693858702250345,0.04394650037408159,-0.00649696590918861,0.024376798738580154,0.06311860806829306,0.013615801694897836,0.06117519643479781,-0.03847926234713007
CXCL8,,-0.03083721021545102,-0.0076553920057035535,-0.030901959898055928,-0.01605158076277478,-0.01521291235988611,-0.031079288343789094,-0.02992200531140653,-0.003627731311737053
GRN,0.0029183107653531115,-0.01962562182920652,-0.005471019208551577,0.036313784981901416,0.0009721068742316422,0.01840057706762464,0.04994107905045078,0.03246856331733413,-0.06415267196671728
MIA,-0.02090404642201985,-0.06150941988465136,-0.007166991727469181,0.015715445611848868,-0.01960313607552605,0.12419443835934238,0.05038153031418669,-0.05967885932158078,0.1840163476107499
COL4A4,-0.018495819866676658,-0.03277166220109506,0.0032755666102129675,0.034233744656849904,0.0036618715733118764,-0.02524185138012182,-0.03372005764253099,0.027994734780541458,-0.041001985440465204
TAC1,-0.015970521421582444,-0.04104395199645665,0.05285399253891216,-0.020479576388759572,-0.02863887700283412,,,0.13020680582301344,-0.018354460022695515
RARRES2,0.019740024789843193,0.08598097840663181,0.07213588841410774,0.0505753410623506,-0.04631843370175511,0.08616176052380096,-0.04640673837917068,0.00802058556822215,-0.009182761945578615
FGF7,-0.013830777321715386,0.06498690514325675,0.03938801011024237,-0.013351157899598511,-0.02235507199087066,0.06413933387445599,-0.0029513133813850972,0.0582867894172698,0.11052702517633589
HBEGF,-0.04822453884586048,0.0442541449873405,0.01404161957678908,0.0008275879903741251,-0.04426554310182308,0.040055542635668885,0.03192924018194871,0.0013449739207310974,-0.0940811515285637
CSF3,,0.1601302696608866,0.04473884839863752,0.004388226826621215,,,,-0.025705222224527327,0.09926551093588198
