,ZH1019inf,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,,-0.03041298879776562,,
BMP1,-0.026296403060350373,0.03853337347421629,-0.03511460952627207,-0.017132782370214924
NDP,0.01688836542655568,0.008637903645017302,0.07192510017766943,0.08502220106612755
TNFSF18,,-0.03136437852635858,-0.039479504522585744,
RTN4,-0.11769413006806595,0.17348240424280906,0.023640268510070887,0.059331579851351214
HEBP1,-0.0053276712136028455,0.10681150578789113,0.1452953933444849,0.01648623176888937
WNT7B,0.06668622522495445,-0.025140013751067884,-0.03947946358530524,-0.016247033230971084
PTMA,-0.0352775472938418,0.149766419195357,0.12719393725923617,-0.05792783965364294
CEACAM1,-0.01140383286706109,-0.01972354366060641,,
PDAP1,0.041318729816225634,0.0018648811677683217,0.021696727781588036,-0.11454998758220591
QDPR,0.009351563588169954,0.13579435869180742,0.1343245081103617,0.0696991575775571
POMC,0.002728368094803051,-0.01919383146913743,,-0.02798854846555586
CCL18,-0.022974109437876453,,,
CCL17,,-0.026199607741555136,,
VEGFD,,-0.029413041958524587,,
TNFSF13,,-0.018104380322120493,,
WNT5A,-0.010606385073378306,0.02957305004452937,-0.03096497580262283,0.08565700819124905
CXCL8,-0.04044953678345183,0.006368410105604825,-0.1265205359871578,-0.121372748429551
GRN,-0.0023264066280088173,-0.036071301830992,0.01831214781353026,-0.020732693002078053
MIA,-0.019201675904126816,-0.04141992278911534,,
COL4A4,-0.02904645266512906,0.06775868564341897,,
TAC1,,,0.020885472223418862,-0.010143039444471745
RARRES2,0.021343584104681925,0.08215913489356655,0.018988162227637193,-0.013818324713367115
FGF7,0.017932282120396076,-0.032384531416181125,0.01171812242261904,0.06961957604256827
HBEGF,0.029019973173722877,0.04992315439395209,-0.05625861811401634,-0.017454481662817895
CSF3,,,-0.03548306355973892,
PI3,,-0.034069594498431895,,
PCSK1N,0.017250524546540295,0.0068319240262286795,0.028232552000487392,-0.15835992213315567
SFRP1,-0.007711010698971666,-0.049673597569852804,-0.04555924259448407,-0.04824671354012978
MICA,-0.032303104418351734,0.010031395324836247,-0.059026674741524086,-0.04537593095125336
TG,0.11553047330790736,,,
ADA,-0.03368834260493022,0.04512453220526559,0.0699961458149525,-0.02247983921347012
LAMC3,-0.010650616941206614,-0.09504215768939638,-0.069747322668211,-0.008053472317949202
NGF,-0.03414097709873755,,,
TNFSF15,0.005701685689262246,,,
HMGB1,-0.017298480547397608,0.04735035533825362,-0.026114229970657005,0.08544294128682003
ITGB3BP,-0.031185675233091844,0.0036490306162354517,0.08529042787847481,-0.07660777197599863
AANAT,-0.02392849801149173,-0.029701639234882227,,
RELN,,0.011846156098606737,0.0028719817578698324,-0.1359325857896619
IL15,0.13606707051075154,-0.026524929148528217,0.2372070866638188,
BSG,0.006368562433673752,-0.10738992025827483,0.10541505537055636,-0.08112924589767016
ADAMTS3,-0.028651940346686115,0.040628687081162865,-0.04314706422848863,
CD34,0.013567096479174066,-0.1029806725056192,-0.030144735100647167,0.08580140306393146
PLAT,0.04427125746364335,-0.09641244294384285,0.011455005458406322,0.016016245064694016
CKLF,-0.005209912824414257,0.0013609052631478455,0.07067817205281955,-0.015511495929244569
CD24,-0.020809675062238096,0.0026657242437023517,-0.061031965284894844,-0.053850136940676495
HSP90AA1,0.0027941917382872656,-0.005344565475080382,-0.06903409659847345,0.062316872708034696
BMP4,0.04732551416413025,0.0269426301457352,,
IGFBP4,-0.004151748445753262,-0.06535458608238434,-0.015228645182441197,0.07422583649017016
LEFTY2,-0.03057859252247774,-0.022867125393273575,-0.05810781961301306,
ANGPTL2,0.03485754629689104,0.0650240780360127,0.0883805780775766,0.03553191652490801
