,UKF248,UKF304,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.023892920283527852
BMP1,0.018057215016786116,0.13115378134956318,0.08545462985592692,-0.042316352829810666,0.001498261946832636,0.06511600743684777
NDP,0.007930794029117732,-0.02195244678811025,0.03516643014669438,0.02927976191387568,-0.01770687981203988,0.0422779847450945
TNFSF18,0.08824909346412133,,,,,0.08805798600488839
RTN4,-0.04567696879139549,-0.13342199782255637,-0.016509254036407166,-0.04723028851373061,0.01703638749445638,0.01399137784658877
HEBP1,-0.021532935335199364,0.07010968934615464,0.002655652896245077,-0.05152786375054058,-0.018781738477954307,0.06452334593814957
WNT7B,-0.04030056698494644,,-0.0396421561038071,0.017637845021220004,0.01716174177132207,-0.005813585232660931
PTMA,0.053542418009641934,0.14042694309658435,0.020091884981543927,0.015561150500777115,0.010513075218978454,0.028591734869239032
FASLG,,,,,,-0.020722321610716167
CEACAM1,-0.01733250514458667,,0.09681588708873627,-0.004300234822951783,-0.020868185407936682,0.014856221617363847
PDAP1,0.0330377613415582,0.007919086947142722,0.06690339063262993,-0.04123735956282436,-0.043849210180467814,-0.02505417754427719
QDPR,0.005501904951381909,0.08873762687119797,0.01669463968000053,-0.013948848410113181,-0.005435541782955948,0.004433630253334879
POMC,-0.041079973264110635,0.029982755090054245,-0.04228327771800705,-0.03015401226607705,-0.012110079421262366,0.036252760183401164
CCL18,-0.021629328775557188,0.0700478014874398,0.13596352856216168,-0.018334651523822708,-0.07186472396985828,
CCL17,,,,-0.01628430468705328,,0.024490699591124352
VEGFD,-0.021629335643882128,-0.025253476149562977,0.09407291887731012,,,
TNFSF13,-0.01632219075818291,,,0.022756475567971817,-0.023433573574420757,0.02669162509203331
WNT5A,-0.00964557374447893,0.03357762651523705,0.0037283197927282193,-0.014455990811159404,0.053862257884873546,0.0024249418897283413
CXCL8,-0.02338803363619684,0.21797566262538878,-0.10341514519731962,-0.0446019811789284,-0.04885563926405805,-0.04095232791769955
GRN,0.01756989181464504,0.1124100341015618,-0.043198677596783676,-0.02421421009844238,-0.007761222106111159,0.05432507398322294
MIA,-0.011135118230081833,,-0.04640393975915301,0.08015977004712828,-0.028087190847624264,-0.0639834046796368
COL4A4,-0.025976648126209024,,,0.039957230398965725,0.014034432125740728,0.05361052746961331
TAC1,0.055559619765740295,-0.09353660783273758,,,0.008868550837544828,0.028696937690976577
RARRES2,0.05130692445291919,0.10371626153036846,-0.09071315183110482,-0.024530907128247063,0.002106237385245197,0.01671023925614102
FGF7,,0.010332713915235084,0.04981569679204307,-0.04933807928451073,0.0500745543108816,0.031599836512442664
HBEGF,-0.017500702615048828,0.1140585834635048,-0.03150831645571246,-0.04647800064256944,-0.031985741735566536,0.045817571406250375
CSF3,,,,-0.028319315500612566,-0.029917394348563442,-0.01977502970275312
PI3,-0.022754965802329552,,-0.07511482447620803,-0.05966779953491396,-0.05327681394643849,-0.022049580570704462
PCSK1N,0.019363346991900437,-0.16220918379364677,-0.06480640408159236,0.012188363690831502,0.0014000616541745517,0.01922805481930374
