,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.02322202072863934,,,,,,,,-0.014372640315174228,,-0.02486049310519775,,
BMP1,-0.04103289325811893,-0.018560505106126546,0.005212789897665382,0.07788513018434201,0.020944430627628022,0.09872249955684631,-0.04123171864982088,0.00261891938235985,0.005736962767187919,0.000699435348949256,0.04139184754241496,0.06447406698306604,-0.022358401429965768,0.06810208582867336,-0.013250576223766422,0.0620434638628261,0.00315482031275146,-0.03215999511639035
NDP,-0.012538476093420752,0.04664772635794149,-0.009918172709822884,0.012192880956689998,0.017126148190013596,-0.04910942760125427,-0.03046125491988337,0.08767259784361764,-0.008539166788915014,-0.04386673826978476,0.11842008162825532,0.011259299887021863,0.04104609118629224,-0.010601390998096582,0.03412836621175194,0.07002061606527543,0.06291168501876855,0.06559851536573033
TNFSF18,-0.005432384344953245,-0.029448341422624143,,,-0.02228954208049764,0.023993071416029316,0.009349881434769145,,,-0.03128374613455509,0.09181005463873332,,,0.03773591434197715,,0.06416261508572399,-0.036428838301074025,
IL36G,,,,,,,,,0.13648164964934842,,,,,,,,,
RTN4,0.026629875908632722,0.014704274432782138,0.01250188768970722,0.023670445335436576,0.08122358616883821,-0.12165530008861183,0.04891250711663474,-0.07367367783072222,-0.015394906711280036,0.03724808116407792,0.0580458294968519,-0.02032317311874161,0.04432026966008933,-0.047913967151925634,0.02767432428574874,-0.006062833616213916,0.030468558489336866,0.12152445314775318
HEBP1,0.050786406650229536,-0.05670617683638403,-0.015210028563544857,0.006318252935967894,0.015268135217218273,0.078631285212624,-0.01565172558543252,0.0437999215853154,-0.014456624174315365,-0.03520695634681071,0.0016331621952821733,-0.0331115586460427,-0.042689179969471566,-0.03787225105029333,0.06002811921641876,0.10379715877698324,0.04207242527915983,0.1403546927887786
WNT7B,-0.032687146942661054,-0.009961531029536638,-0.050111428863863154,-0.0025697358139071045,0.11299472434311815,-0.052867551074885465,0.0007170992620134237,-0.01195286796430904,-0.01697356163501458,-0.03444035103128163,,0.013105029647985687,-0.033581886542406195,-0.01693144310166904,-0.00906758478864734,-0.022096597181463992,0.04811330998207954,0.07790601267333415
PTMA,-0.008196952091843877,0.04736903050293504,0.05512623607462954,-0.00046098001222918814,-0.08368306441799372,-0.08613697424124937,-0.005714363161282587,0.049421650093643965,0.011124709461507377,-0.021547876598248965,-0.12702953413122145,0.017964076124471016,0.005034951630287032,-0.05081684189845707,-0.015306318810344123,-0.03966874381341859,-0.02022195650439451,0.07593005118337703
FASLG,,,,,,,,,,,,,,,,-0.021561497188858237,,
CEACAM1,,-0.018743062263176583,-0.008488458421751003,-0.0018200513738674006,,0.01622795301833165,-0.010641407045588526,,,,-0.0017589489389511865,0.017090803679506297,-0.016268860583190263,0.008899764165866181,-0.01603498306079712,0.05628221779747592,,
PDAP1,-0.05187075789503034,0.014657674687498012,0.007948716545507379,0.053015489466865705,0.0031968253793229267,0.11389486633385307,0.015859347020236936,0.006683984544803289,0.03142792628353762,-0.05271908647523548,-0.08723508636437942,0.044855261434010536,0.022834836930926587,0.009846564960241874,-0.03177889533722244,0.015058909437064876,-0.0014238904063737321,-0.02180275233129796
QDPR,0.07161351353862186,0.0009712724165548749,0.0306434870735544,0.03761894369307129,0.07119338869730416,-0.1067180437672009,0.02254072052176239,-0.039155683611990656,-0.0626537891513316,0.0466642438863065,-0.0037929504696913225,-0.08464735007610472,-0.042931173878683115,-0.014988932315622802,-0.021625325979058842,0.004830217345090677,-0.014429510076446404,0.027217153570782752
POMC,-0.051155143916264724,0.05303937938053277,-0.02916919063358805,0.05347711519816297,0.08692630545447064,-0.029732402298640017,-0.008283437786947881,-0.04949398667547528,0.006629990121822604,0.03174610550130458,-0.001272689646959369,0.10686026146324243,-0.03811213182291872,0.01805525319559151,-0.02623112584178775,0.009726020046643736,-0.03967545876576469,0.039372219105035085
CCL18,0.02737209885555621,-0.023389570784440282,,,,,,,,,,-0.037197086429010554,0.05361264840715987,,0.006005271767019487,,,
CCL17,,,-0.015979981524514086,,,,0.02483356650805937,-0.028682090169658125,-0.014107556558940934,,,,-0.023485121601692634,0.008022450247028407,,-0.01954307542255235,,
VEGFD,-0.040936961835818506,0.03468604873486221,0.022618383108812014,0.024930374779927118,,0.022340808421657452,0.010483207423961435,-0.05334815951920115,-0.015119505322317166,,0.026593927899326665,,0.08261913828413378,0.07983746104838939,,,,
TNFSF13,,-0.017650526285729436,0.027868853242847397,,-0.003959141967016378,,,,,,,,-0.025527524250277666,0.039158501455460785,-0.018006211272057714,0.03328678120655607,-0.013381242763653106,
WNT5A,0.02691505392608882,-0.05993097227390582,0.03028817688869952,0.03616136925765129,-0.07335889365145074,0.11761054753962522,0.015055495143170658,0.05104651900980599,0.039816988167801916,-0.026467371932122577,0.07421348437034651,0.0324748012522744,-0.048042432485903085,-0.008821310270089611,0.009550576156346592,0.04777181017126442,0.012093830990517819,0.12045117933722681
CXCL8,-0.025966314518916084,0.019466967646459735,0.048436729379544824,0.02173736101080084,-0.03074765096540228,0.019493210311481254,-0.008238089740541672,-0.025777158527053676,-0.006937588255424257,,0.11831223083070519,-0.00452573275495511,-0.006280916385038012,0.02785035430560135,-0.025442042968637776,-0.005040214653431039,-0.028239462785739754,0.014501059569746365
GRN,0.01752193474192718,0.03920845701488217,-0.035369208456259446,0.02146850505721871,-0.03620558115885417,0.08288887494562043,-0.019298955949634662,0.033404113478939707,0.04364438541229887,-0.006144646637989406,0.009222810155737188,0.044718637424539964,0.041947042680318465,0.005446341265893796,-0.03378357506377759,-0.09408471837571926,-0.009354679721906596,-0.034950589753024924
MIA,0.022088414428807428,-0.013261865623758869,0.004405753964454986,-0.06155525648988528,0.05786143259782931,-0.00349874824627196,-0.041127146883151756,-0.0429108895176958,-0.020706855428954486,-0.05732670199704428,0.008982134496623662,0.02237470201902386,0.038489479607749115,0.07639440691366624,-0.05316555124125297,0.11647496791281262,0.02001414445071503,
COL4A4,0.029360683830869407,-0.028090684477323193,0.028373203628616367,0.02664628299363519,-0.02056686495540825,0.01211506968411388,0.0033357686232974664,0.00554024794657552,-0.003234235938770246,,0.011948101026822875,0.07547355642384408,-0.02604898957503884,-0.026917516772471957,0.041589197123350304,0.09507410085436517,0.0017292526612769476,
TAC1,-0.02693764767130171,-0.022835906085612947,0.01903702597545596,0.03947423163985174,0.0482217589313323,-0.08807191373471769,0.05491768024964672,-0.03299211405918443,-0.03559733637678488,,,,,,-0.027664913865814572,0.05478531935245788,0.034761428814250143,0.08083087289225618
